ix,data,compositional,visual,question
0,d3|d3_1,lookup,nonvisual,How many pending cases was there in the year 2010?
89,vega-lite-example-gallery|stacked_bar_h,lookup,nonvisual,Duluth produced how much Peatland?
90,vega-lite-example-gallery|stacked_bar_h,lookup,nonvisual,How much Trebi was grown at Waseca?
91,vega-lite-example-gallery|stacked_bar_h,lookup,nonvisual,What is the Value of Morris is Trabi?
92,vega-lite-example-gallery|stacked_bar_h,lookup,nonvisual,How much Glabron was grown in Grand Rapids?
93,vega-lite-example-gallery|stacked_bar_h,lookup,nonvisual,What is the value of University Farm in Peatland?
94,vega-lite-example-gallery|stacked_bar_weather,lookup,nonvisual,How many days of fog were recorded in October?
95,vega-lite-example-gallery|stacked_bar_weather,lookup,nonvisual,how many recorded days does January have of snow?
96,wikitables-200|10_0,lookup,nonvisual,How many aviation deaths were there in 2001?
97,wikitables-200|25_0,lookup,nonvisual,What is the value for BBC Radio 3?
98,wikitables-200|25_0,lookup,nonvisual,What is the value for BBC Radio 1?
99,wikitables-200|25_0,lookup,nonvisual,what is the value for BBC Asian network?
100,wikitables-200|25_0,lookup,nonvisual,What is the value for BBC Radio 2?
101,wikitables-200|25_0,lookup,nonvisual,What is the value for BBC Radio 4?
102,wikitables-200|25_0,lookup,nonvisual,Which service cost 122.1 million pounds?
103,wikitables-200|28_0,lookup,nonvisual,How many voters are affiliated with Minor parties?
104,wikitables-200|28_0,lookup,nonvisual,How many Minor Party Voters are there?
105,wikitables-200|28_0,lookup,nonvisual,How many Democratic voters are there?
106,wikitables-200|28_0,lookup,nonvisual,How many Democratic voters are there?
107,wikitables-200|28_0,lookup,nonvisual,How many voters identify as Unaffiliated?
108,wikitables-200|33_1,lookup,nonvisual,What is the population of Yamato flat inland plain?
109,wikitables-200|33_1,lookup,nonvisual,What is the population of Yamato highland?
110,wikitables-200|33_1,lookup,nonvisual,"What is the population of Gojo, Yoshino?"
111,wikitables-200|33_1,lookup,nonvisual,What is the approximate population of Yamato Highland?
112,wikitables-200|33_1,lookup,nonvisual,Approximately what is the population of Gojo Yoshino?
113,wikitables-201|11,lookup,nonvisual,What is the population of the Danish Capital Region?
114,wikitables-201|11,lookup,nonvisual,What is the population of West Skane?
115,wikitables-201|11,lookup,nonvisual,What is the population of the Danish Capital Region?
116,wikitables-201|11,lookup,nonvisual,What is the population of South Skane?
117,wikitables-201|46,lookup,nonvisual,what is the length of the perl bird category?
118,wikitables-201|46,lookup,nonvisual,what is the length of the Dill bird category?
119,wikitables-201|46,lookup,nonvisual,How long in length is the Ohm?
120,wikitables-201|46,lookup,nonvisual,what is the length of the weil bird
121,wikitables-201|8_1,lookup,nonvisual,About how many bird species are there in Panama?
122,wikitables-201|8_1,lookup,nonvisual,How many bird species are there in Honduras?
123,wikitables-202|271_0,lookup,nonvisual,How many votes did Frank Dobson get?
124,wikitables-202|271_0,lookup,nonvisual,How many votes did Margot James receive?
125,wikitables-202|271_0,lookup,nonvisual,How many votes did Jill Fraser receive?
126,wikitables-202|271_1,lookup,nonvisual,What is Majority's percentage?
127,wikitables-202|271_1,lookup,nonvisual,what is Jill Fraser's percentage?
128,wikitables-202|271_1,lookup,nonvisual,What percentage is Majority?
129,wikitables-202|271_1,lookup,nonvisual,What percent does Jill Fraser have?
130,wikitables-202|48,lookup,nonvisual,What is the number of passengers handled for Bristol?
131,wikitables-202|48,lookup,nonvisual,How many passengers did Belfast City handle?
132,wikitables-202|59_0,lookup,nonvisual,What basketball teams have 41 wins in the Central Division?
133,wikitables-202|59_0,lookup,nonvisual,What basketball teams have 37 wins in the Central Division?
134,wikitables-202|59_1,lookup,nonvisual,What is the amount for Cleveland Cavaliers?
135,wikitables-202|59_1,lookup,nonvisual,What is the amount for Detroit Pistons?
136,wikitables-202|59_1,lookup,nonvisual,How many points did the Cleveland Cavaliers score?
137,wikitables-202|59_1,lookup,nonvisual,What is the amount for San Antonio Spurs?
138,d3|d3_1,compositional,nonvisual,How many years are represented on this chart?
139,d3|d3_1,compositional,nonvisual,In 2009 how many more pending cases was there than in 1999?
140,d3|d3_1,compositional,nonvisual,What is highest number of pending cases out of all the years listed?
141,d3|d3_1,compositional,nonvisual,What is the difference in amount of pending cases between 2006 and 2007?
142,d3|d3_1,compositional,nonvisual,Which years had over 400 pending cases?
143,d3|d3_1,compositional,nonvisual,How many more pending cases were in Us immigration courts in 2017 versus 2001
144,d3|d3_1,compositional,nonvisual,What is the difference between the highest and lowest amount of pending cases?
145,d3|d3_1,compositional,nonvisual,Did the amount of pending cases trend up or down over the last 20 years?
146,d3|d3_1,compositional,nonvisual,How many more pending case in US immigration courts were there in 2010 vs 2009
147,d3|d3_1,compositional,nonvisual,how many pending cases was there from 2010 to 2017?
148,d3|d3_1,compositional,nonvisual,How many more cases was there in 2017 than in 2010?
149,d3|d3_1,compositional,nonvisual,What year between 1998 and 2017 had the most pending cases in US immigration courts?
150,d3|d3_1,compositional,nonvisual,What year had the lowest amount of pending cases?
151,d3|d3_1,compositional,nonvisual,In which year was the most pending cases in US immigration courts?
152,d3|d3_1,compositional,nonvisual,What was the difference in pending cases in US immigration courts from 2012 and 2016?
153,d3|d3_10,compositional,nonvisual,what is the highest revenue Infocomm has received according to this chart?
154,d3|d3_10,compositional,nonvisual,what is the lowest revenue Infocomm Industry has received from 2002 until 2015 on this chart?
155,d3|d3_10,compositional,nonvisual,What year has the highest reported revenue?
156,d3|d3_10,compositional,nonvisual,What was Infocomm Industries revenue in the year 2014?
157,d3|d3_10,compositional,nonvisual,What is the difference in revenue at Infocomm Industry from 2002 and 2010?
158,d3|d3_11,compositional,nonvisual,What was the drop in difference between 2008 and 2009?
159,d3|d3_11,compositional,nonvisual,When was the first time that R&D expenditures reached 8000?
160,d3|d3_11,compositional,nonvisual,How much was the percentage change in research and development from 1995 to 2000?
161,d3|d3_11,compositional,nonvisual,How much more was research and development from 2006 to 2008?
162,d3|d3_12,compositional,nonvisual,What is the last year presented in the chart?
163,d3|d3_12,compositional,nonvisual,Which year has the largest GDP difference between Russia and India?
164,d3|d3_12,compositional,nonvisual,Which country has the largest GDP per capita increase between year 2000 and 2005?
165,d3|d3_12,compositional,nonvisual,How many times do Brazil and Russia flip in terms of GDP ranking?
166,d3|d3_12,compositional,nonvisual,What is the highest GDP per capita recorded from 1990 to 2010
167,d3|d3_12,compositional,nonvisual,Which countries have GPD per capita higher than 8000 in the year 2009?
168,d3|d3_12,compositional,nonvisual,Which country has the highest GDP per capita in year 2005
169,d3|d3_12,compositional,nonvisual,Which country has the highest GDP per capita on the year of 1995?
170,d3|d3_12,compositional,nonvisual,Which country (out of the 4 presented) had the largest GDP in 2005?
171,d3|d3_12,compositional,nonvisual,Which country has the biggest decrease in GDP per capita between 2007 and 2009?
172,d3|d3_12,compositional,nonvisual,Which country has the highest GDP per capita sum from 2000 to 2005?
173,d3|d3_3,compositional,nonvisual,Is a smaller percentage represented by Social Science or LS Undergrad majors?
174,d3|d3_3,compositional,nonvisual,Which major has the lowest percentage of students who intended to major and ultimately earned a degree from the same college/division?
175,d3|d3_3,compositional,nonvisual,What percentage of students intend to major in engineering than bio sciences?
176,d3|d3_3,compositional,nonvisual,Is a higher percentage represented by Chemistry or Bio Science majors?
177,d3|d3_3,compositional,nonvisual,What is the percentage difference between engineering and math phys sci majors?
178,d3|d3_3,compositional,nonvisual,Do Math Phys Sci or Env Design majors have a larger percentage in the graph?
179,d3|d3_3,compositional,nonvisual,Which major has the highest percent of students who intended to major and ultimately earned a degree from the same college/division?
180,d3|d3_3,compositional,nonvisual,Which major did 62% of students receive a degree?
181,d3|d3_3,compositional,nonvisual,Which major had the least amount of degrees awarded?
182,d3|d3_3,compositional,nonvisual,Which majors have an equal percentage of students who graduated?
183,d3|d3_4,compositional,nonvisual,What is the total population of CA?
184,d3|d3_4,compositional,nonvisual,Which state had the highest population of 25 to 44 year olds?
185,d3|d3_4,compositional,nonvisual,"Which state has more people 65 years or older, CA or TX?"
186,d3|d3_4,compositional,nonvisual,Which categoty has the lowest population in FL?
187,d3|d3_4,compositional,nonvisual,Are Florida's 25 to 44 and 45 to 64 populations equal?
188,d3|d3_4,compositional,nonvisual,How many more children under 5 years old did CA have compared to NY?
189,d3|d3_4,compositional,nonvisual,Which state has the highest population of 25 to 44 year olds?
190,d3|d3_4,compositional,nonvisual,Which state has the lowest population of 65 years or older?
191,d3|d3_4,compositional,nonvisual,Does every state listed share a common age range as its most dominant population?
192,d3|d3_4,compositional,nonvisual,Which area has more older population (over 44 year)?
193,d3|d3_4,compositional,nonvisual,Which state has least population?
194,d3|d3_4,compositional,nonvisual,"Are there more people in California's 65 and above, plus 5 to 13 populations than in the 45-64 range?"
195,d3|d3_5,compositional,nonvisual,Which transportation has the lowest ridership?
196,d3|d3_5,compositional,nonvisual,Is the average daily ridership by bus greater than that by both MRT and taxi?
197,d3|d3_5,compositional,nonvisual,What is the difference between the taxi ridership and the LRT ridership?
198,d3|d3_5,compositional,nonvisual,What is the approximate total number of daily Public Transportation users on average?
199,d3|d3_5,compositional,nonvisual,Which form of Public Transportation is used the most?
200,d3|d3_5,compositional,nonvisual,What is the approximate difference in average daily users between Taxi and Bus?
201,d3|d3_5,compositional,nonvisual,Which form of Public Transportation is used the third most?
202,d3|d3_5,compositional,nonvisual,What the difference between bus ridership and the LRT ridership?
203,d3|d3_5,compositional,nonvisual,What is the approximate difference in average daily users between LRT and MRT?
204,d3|d3_6,compositional,nonvisual,Which platform has had about half the security vulnerabilities as php?
205,d3|d3_6,compositional,nonvisual,How many software platforms have had one hundred or fewer security vulnerabilities?
206,d3|d3_6,compositional,nonvisual,Name the three platforms with the lowest number of security vulnerabilities?
207,d3|d3_6,compositional,nonvisual,What's the highest number value shown on the chart?
208,d3|d3_6,compositional,nonvisual,Which platform has the most security vulnerabilities?
209,d3|d3_6,compositional,nonvisual,Which software platform has the highest value?
210,d3|d3_6,compositional,nonvisual,What is the lowest number value shown on the chart?
211,d3|d3_6,compositional,nonvisual,how many software platforms are listed on the chart?
212,d3|d3_7,compositional,nonvisual,"How many countries have donated more than 5,000,000,000 but less than 10,000,000,000?"
213,d3|d3_7,compositional,nonvisual,How much more aid has the USA given than Japan?
214,d3|d3_7,compositional,nonvisual,"How many countries have donated more than 5,000,000,000?"
215,d3|d3_7,compositional,nonvisual,Which Country has given the least aid?
216,d3|d3_7,compositional,nonvisual,Which country is the second highest donor?
217,d3|d3_7,compositional,nonvisual,"How many countries have donated more than 15,000,000,000?"
218,d3|d3_7,compositional,nonvisual,What is the highest total value?
219,d3|d3_7,compositional,nonvisual,Which country has the highest donation value on the chart?
220,d3|d3_7,compositional,nonvisual,Which country is the highest donor?
221,d3|d3_7,compositional,nonvisual,Which country has the lowest donation value?
222,d3|d3_7,compositional,nonvisual,What is the difference donation value between USA and JPN?
223,d3|d3_7,compositional,nonvisual,Which country has donated the most with the exception of the United States?
224,d3|d3_7,compositional,nonvisual,Which country has donated the most?
225,d3|d3_8,compositional,nonvisual,How much more does USA have than JPN?
226,d3|d3_8,compositional,nonvisual,Why country has the highest rating?
227,d3|d3_8,compositional,nonvisual,Which country has the best rating?
228,d3|d3_8,compositional,nonvisual,What's the difference between the rating of the France and the one of Japan?
229,d3|d3_8,compositional,nonvisual,Which country has the worst rating?
230,d3|d3_8,compositional,nonvisual,How much more does USA have than ITA?
231,d3|d3_8,compositional,nonvisual,What's the sum of the rating of USA and Canada (CAN)?
232,d3|d3_9,compositional,nonvisual,What is the highest amount of donations received by a country?
233,d3|d3_9,compositional,nonvisual,What is the difference between the highest amount of donations received by a country and the lowest amount received?
234,d3|d3_9,compositional,nonvisual,How many countries are listed?
235,d3|d3_9,compositional,nonvisual,What is the difference in donations between the highest amount and the lowest amount received?
236,d3|d3_9,compositional,nonvisual,Did IRQ receive less in donations that CHN?
237,d3|d3_9,compositional,nonvisual,"How many countries received less than 1,000,000,000 in donations?"
238,d3|d3_9,compositional,nonvisual,Which country had the highest number in donations?
239,d3|d3_9,compositional,nonvisual,What is the smallest amount of donations received by a country?
240,d3|d3_9,compositional,nonvisual,"How many countries received more than 2,000,000,000 in donations?"
241,kong|kong_15,compositional,nonvisual,Which country or principality has the smallest difference between urban population density and overall population density?
242,kong|kong_15,compositional,nonvisual,What is the total population density difference between South Korea and Japan?
243,kong|kong_15,compositional,nonvisual,What is the difference pf persons per square kilometer between the Bangladesh urban areas and the country as a whole?
244,kong|kong_15,compositional,nonvisual,"Of the countries and regions listed, which has the lowest number of persons per square kilometer of urban areas?"
245,kong|kong_15,compositional,nonvisual,Which country or principality has the highest total population density?
246,kong|kong_15,compositional,nonvisual,How much more urban population density is India vs. Indonesia?
247,kong|kong_15,compositional,nonvisual,What is the average persons per square kilometer of urban regions of South Korea and Japan combined?
248,kong|kong_17,compositional,nonvisual,What organization has a value that's more than 1 but less than 2?
249,kong|kong_17,compositional,nonvisual,Whats the difference between the maximum and minimum values?
250,kong|kong_17,compositional,nonvisual,What organization has the least effect?
251,kong|kong_17,compositional,nonvisual,How much higher is the value of SurveyUSA than the value of YouGov?
252,kong|kong_17,compositional,nonvisual,What is the difference between the value of Gallup and Quinnipiac?
253,kong|kong_17,compositional,nonvisual,What organization has the lowest value?
254,kong|kong_18,compositional,nonvisual,What is the year with the lowest risk taken for people under 35
255,kong|kong_18,compositional,nonvisual,Which is the least risk averse group?
256,kong|kong_18,compositional,nonvisual,In which year investors of all age groups took bigger risks?
257,kong|kong_18,compositional,nonvisual,What is the highest percentage of risk ever taken by all groups in all years?
258,kong|kong_18,compositional,nonvisual,What is the year with the highest risk taken by people over 65?
259,kong|kong_18,compositional,nonvisual,In which year did Under 35 age group take their lowest risk?
260,kong|kong_18,compositional,nonvisual,Which age group of stock investors consistently took lower risks?
261,kong|kong_27,compositional,nonvisual,which country's economy will get most worse over next 12 months?
262,kong|kong_27,compositional,nonvisual,Which country has the least total percentage of responses?
263,kong|kong_27,compositional,nonvisual,how many countries in Asia will have their economy improved based on majority votes?
264,kong|kong_27,compositional,nonvisual,how many countries' economy will worsen based on the majority people's opinions?
265,kong|kong_27,compositional,nonvisual,how many countries' economy will improve based on the majority people's opinions?
266,kong|kong_27,compositional,nonvisual,Which countries have more than 50% of responses believing that the economy will improve?
267,kong|kong_27,compositional,nonvisual,"What is the average percentage of responses for ""remaining the same"" for japan, China, and the U.S.?"
268,kong|kong_3,compositional,nonvisual,"Which religious is more common to have religious extremism, Catholics or Orthodox christian?"
269,kong|kong_3,compositional,nonvisual,"Which religion had the highest percentage of responses that say ""Not too/not at all common""?"
270,kong|kong_3,compositional,nonvisual,What is the average percentage of religious extremism shown in the chart?
271,kong|kong_3,compositional,nonvisual,"What is the average percentage of all responses that say ""Very/somewhat common""?"
272,kong|kong_3,compositional,nonvisual,Which religious has the most percentage of religious extremism?
273,kong|kong_3,compositional,nonvisual,Which religious has less than 10 percent of religious extremism?
274,kong|kong_3,compositional,nonvisual,"What is the average percentage of responses that say ""Very/somewhat common"" for Jews, Muslims, and Catholics?"
275,kong|kong_3,compositional,nonvisual,Which religious has the least proportion of religious extremism?
276,kong|kong_3,compositional,nonvisual,Which religion shown has the highest percentage in how common religious extremism is?
277,kong|kong_3,compositional,nonvisual,Which religious has more than 40 percent of religious extremism?
278,kong|kong_3,compositional,nonvisual,"Which religions had more than 20% of responses say ""Very/somewhat common""?"
279,kong|kong_3,compositional,nonvisual,Which religion(s) in the chart have the smallest percentage in how common religious extremism is?
280,kong|kong_3,compositional,nonvisual,"Which religion had the lowest percentage of responses say ""Very/somewhat common""?"
281,kong|kong_30,compositional,nonvisual,"On average, what percentage of people world wide feel like hard work has no guarantee on success?"
282,kong|kong_30,compositional,nonvisual,How much more or less does Russia believe that most will succeed with hard work than Brazil?
283,kong|kong_30,compositional,nonvisual,Which country has the largest percentage of respondents who believe that most will succeed if they work hard?
284,kong|kong_30,compositional,nonvisual,"Which country has the highest percentage of ""Most succeed if work hard""?"
285,kong|kong_30,compositional,nonvisual,"Which country has the lowest percentage for ""Most succeed if work hard""?"
286,kong|kong_30,compositional,nonvisual,Is China more or less optimistic about hard work leading to success than the US?
287,kong|kong_30,compositional,nonvisual,Which country has the most positive outlook on hard work?
288,kong|kong_30,compositional,nonvisual,Which country's has the lowest summed value from the two responses?
289,kong|kong_30,compositional,nonvisual,"Is the percentage of ""Most succeed if work hard"" higher in Italy than Greece?"
290,kong|kong_5,compositional,nonvisual,how much more growth is there in Muslims than Protestants?
291,kong|kong_5,compositional,nonvisual,Which group saw the highest growth?
292,kong|kong_5,compositional,nonvisual,Which had the highest percentage of staying the same?
293,kong|kong_5,compositional,nonvisual,What is the difference between the growth in Jews compared to the growth in Paganism?
294,kong|kong_5,compositional,nonvisual,Which group has the highest total percentages?
295,kong|kong_5,compositional,nonvisual,which group has the least growth?
296,kong|kong_5,compositional,nonvisual,Which group has the highest percentage of staying the same?
297,kong|kong_50,compositional,nonvisual,Which country has the highest Post UK rebate budget?
298,kong|kong_50,compositional,nonvisual,Difference between Pre UK rebate and Post UK rebate
299,kong|kong_50,compositional,nonvisual,"Who gave the lowest gross contributions to the EU budget in 2012, post UK rebate?"
300,kong|kong_50,compositional,nonvisual,Which country has the lowest rebate budget overall?
301,kong|kong_50,compositional,nonvisual,Which country has the highest difference between pre rebate and post rebate budget?
302,kong|kong_50,compositional,nonvisual,"Who gave the highest gross contributions to the EU budget in 2012, pre UK rebate?"
303,kong|kong_50,compositional,nonvisual,Difference between the France budget of Pre and Post UK rebate
304,kong|kong_50,compositional,nonvisual,"Who gave the highest gross contributions to the EU budget in 2012, post UK rebate?"
305,kong|kong_53,compositional,nonvisual,Which group has the second highest percentage of employer pensions?
306,kong|kong_53,compositional,nonvisual,What race has the second most employer pensions percentage wise?
307,kong|kong_53,compositional,nonvisual,What is the difference between the group with the largest percentage and the lowest percentage of employer pensions?
308,kong|kong_53,compositional,nonvisual,Which group has the lowest percentage of employer pensions?
309,kong|kong_53,compositional,nonvisual,Which group has the largest percentage of employer pensions?
310,kong|kong_53,compositional,nonvisual,What is the difference between the largest and smallest groups?
311,kong|kong_53,compositional,nonvisual,What race has the least amount of employer pensions?
312,kong|kong_54,compositional,nonvisual,How much more percentage do White's average above Latino's?
313,kong|kong_54,compositional,nonvisual,Which race has the highest income from investments?
314,kong|kong_54,compositional,nonvisual,what is the highest percent shown on the chart
315,kong|kong_54,compositional,nonvisual,What two races are most similar in investment income?
316,kong|kong_54,compositional,nonvisual,How much more percentage do Latino's average above African Americans?
317,kong|kong_54,compositional,nonvisual,Which group has the highest income from investments?
318,kong|kong_54,compositional,nonvisual,Which race has the largest percentage?
319,kong|kong_54,compositional,nonvisual,Which race has neither the highest or lowest percentage?
320,kong|kong_54,compositional,nonvisual,Which group has the lowest income from investments?
321,kong|kong_54,compositional,nonvisual,Which race has the second largest amount of income from investments.
322,kong|kong_55,compositional,nonvisual,What's the difference between the White and the Latino marriage rate?
323,kong|kong_55,compositional,nonvisual,What is the sum of marriage rates among the three given races?
324,kong|kong_55,compositional,nonvisual,Is the value Latino marriage rate minus African American m.r. bigger than 10?
325,kong|kong_55,compositional,nonvisual,How many marriages are there in White couples more than in African American?
326,kong|kong_55,compositional,nonvisual,"If you add the marriage rates of whites and Latinos, what percentage is derived?"
327,kong|kong_55,compositional,nonvisual,What's the average marriage rate across all the three races?
328,kong|kong_55,compositional,nonvisual,What is the different in marriage rate between white and African Americans?
329,kong|kong_55,compositional,nonvisual,Which race shown for marriage rate of the given variables is the smallest?
330,kong|kong_55,compositional,nonvisual,What's the White rate of marriages minus the Latino?
331,kong|kong_65,compositional,nonvisual,Which reason has the greatest difference the US and the country of origin?
332,kong|kong_65,compositional,nonvisual,Which statement has equal values for it being better in the US and it being about the same?
333,kong|kong_65,compositional,nonvisual,Which characteristic is considered best experienced in the U.S.?
334,kong|kong_65,compositional,nonvisual,"Which reason for offering a better life in the US is stronger, moral values of society or freedom to practice religion?"
335,kong|kong_65,compositional,nonvisual,Which reason had the greatest influence for Asians having a better life in the US?
336,kong|kong_65,compositional,nonvisual,Which characteristic gets the most votes for being about the same as country of origin / U.S.?
337,kong|kong_65,compositional,nonvisual,Which characteristic is considered best experienced in country of origin?
338,kong|kong_65,compositional,nonvisual,Which reason that the US offers a better life has the least influence for Asians?
339,kong|kong_68,compositional,nonvisual,Which administration had the lowest average temperature?
340,kong|kong_68,compositional,nonvisual,What's the difference in sunshine percentage between Blair and Brown?
341,kong|kong_68,compositional,nonvisual,What is the highest % category in the Thatcher administration?
342,kong|kong_68,compositional,nonvisual,Which administration had the lowest percentage of rainfall?
343,kong|kong_68,compositional,nonvisual,Which administration had the highest rainfall?
344,kong|kong_69,compositional,nonvisual,What is the difference between income rank 1 and 5?
345,kong|kong_69,compositional,nonvisual,What is the sum of the income changes for all ranks that had a positive change?
346,kong|kong_69,compositional,nonvisual,What is the different between change of income between ranks 1 and 2?
347,kong|kong_69,compositional,nonvisual,What is the 3rd bigest change in income.
348,kong|kong_69,compositional,nonvisual,What is the change from income rank 1 to 10
349,kong|kong_69,compositional,nonvisual,What is the value of the largest change in income?
350,kong|kong_69,compositional,nonvisual,What is highestt change in income?
351,kong|kong_70,compositional,nonvisual,What is the percentage of people that neither agree or disagree based on the chart?
352,kong|kong_70,compositional,nonvisual,How many more agree than disagree
