Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin
toyota corolla,34,4,108,70,2245,16.9,82,Japan
volkswagen scirocco,31.5,4,89,71,1990,14.9,78,Europe
vw rabbit custom,31.9,4,89,71,1925,14,79,Europe
peugeot 504,27.2,4,141,71,3190,24.8,79,Europe
chevrolet vega (sw),22,4,140,72,2408,19,71,USA
chevrolet vega,21,4,140,72,2401,19.5,73,USA
mercury monarch,15,6,250,72,3432,21,75,USA
ford maverick,15,6,250,72,3158,19.5,75,USA
ford pinto,26.5,4,140,72,2565,13.6,76,USA
honda accord,32.4,4,107,72,2290,17,80,Japan
volkswagen jetta,33,4,105,74,2190,14.2,81,Europe
mazda 626,31.6,4,120,74,2635,18.3,81,Japan
volkswagen rabbit l,36,4,105,74,1980,15.3,82,Europe
opel manta,24,4,116,75,2158,15.5,73,Europe
dodge colt,28,4,90,75,2125,14.5,74,USA
fiat 124 tc,26,4,116,75,2246,14,74,Europe
toyota corolla liftback,26,4,97,75,2265,18.2,77,Japan
dodge omni,30.9,4,105,75,2230,14.5,78,USA
honda prelude,33.7,4,107,75,2210,14.4,81,Japan
fiat 124b,30,4,88,76,2065,14.5,71,Europe
volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe
volvo diesel,30.7,6,145,76,3160,19.6,81,Europe
mercedes benz 300d,25.4,5,183,77,3530,20.1,79,Europe
pontiac astro,23,4,140,78,2592,18.5,75,USA
ford granada ghia,18,6,250,78,3574,21,76,USA
volkswagen rabbit custom,29,4,97,78,1940,14.5,77,Europe
audi 4000,34.3,4,97,78,2188,15.8,80,Europe
ford ranger,28,4,120,79,2625,18.6,82,USA
dodge colt hardtop,25,4,97.5,80,2126,17,72,USA
dodge colt (sw),28,4,98,80,2164,15,72,USA
buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,USA
dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,USA
amc spirit dl,27.4,4,121,80,2670,15,79,USA
peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,Europe
opel 1900,25,4,116,81,2220,16.9,76,Europe
chevy s-10,31,4,119,82,2720,19.4,82,USA
audi fox,29,4,98,83,2219,16.5,74,Europe
renault 12tl,27,4,101,83,2202,15.3,76,Europe
dodge colt m/m,33.5,4,98,83,2075,15.9,77,USA
plymouth reliant,27.2,4,135,84,2490,15.7,81,USA
buick skylark,26.6,4,151,84,2635,16.4,81,USA
dodge aries se,29,4,135,84,2525,16,82,USA
dodge charger 2.2,36,4,135,84,2370,13,82,USA
dodge rampage,32,4,135,84,2295,11.6,82,USA
ford fairmont (auto),20.2,6,200,85,2965,15.8,78,USA
mercury zephyr,20.8,6,200,85,3070,16.7,78,USA
oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,USA
mercury zephyr 6,19.8,6,200,85,2990,18.2,79,USA
chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,USA
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,USA
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,USA
mercury capri 2000,23,4,122,86,2220,14,71,USA
ford pinto runabout,21,4,122,86,2226,16.5,72,USA
ford pinto (sw),22,4,122,86,2395,16,72,USA
fiat 131,28,4,107,86,2464,15.5,76,Europe
ford mustang gl,27,4,140,86,2790,15.6,82,USA
peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe
datsun pl510,27,4,97,88,2130,14.5,70,Japan
ford torino 500,19,6,250,88,3302,15.5,71,USA
ford mustang,18,6,250,88,3139,14.5,71,USA
toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan
toyota carina,20,4,97,88,2279,19,73,Japan
pontiac sunbird coupe,24.5,4,151,88,2740,16,77,USA
ford fairmont (man),25.1,4,140,88,2720,15.4,78,USA
ford fairmont 4,22.3,4,140,88,2890,17.3,79,USA
ford fairmont,26.4,4,140,88,2870,18.1,80,USA
triumph tr7 coupe,35,4,122,88,2500,15.1,80,Europe
ford granada gl,20.2,6,200,88,3060,17.1,81,USA
chevrolet cavalier,28,4,112,88,2605,19.6,82,USA
chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,USA
chevrolet cavalier 2-door,34,4,112,88,2395,18,82,USA
nissan stanza xe,36,4,120,88,2160,14.5,82,Japan
ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,USA
audi 100 ls,24,4,107,90,2430,14.5,70,Europe
amc gremlin,21,6,199,90,2648,15,70,USA
chevrolet vega 2300,28,4,140,90,2264,15.5,71,USA
maxda rx3,18,3,70,90,2124,13.5,73,Japan
fiat 124 sport coupe,26,4,98,90,2265,15.5,73,Europe
amc pacer,19,6,232,90,3211,17,75,USA
amc hornet,22.5,6,232,90,3085,17.6,76,USA
amc concord,19.4,6,232,90,3210,17.2,78,USA
amc concord dl 6,20.2,6,232,90,3265,18.2,79,USA
oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,USA
buick skylark limited,28.4,4,151,90,2670,16,79,USA
pontiac phoenix,33.5,4,151,90,2556,13.2,79,USA
chevrolet citation,28,4,151,90,2678,16.5,80,USA
dodge aspen,19.1,6,225,90,3381,18.7,80,USA
toyota corona liftback,29.8,4,134,90,2711,15.5,80,Japan
chevrolet camaro,27,4,151,90,2950,17.3,82,USA
audi 100ls,20,4,114,91,2582,14,73,Europe
datsun 510 (sw),28,4,97,92,2288,17,72,Japan
capri ii,25,4,140,92,2572,14.9,76,USA
datsun 510 hatchback,37,4,119,92,2434,15,80,Japan
dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,USA
ford fairmont futura,24,4,140,92,2865,16.4,82,USA
chrysler lebaron medallion,26,4,156,92,2585,14.5,82,USA
datsun 610,22,4,108,94,2379,16.5,73,Japan
toyota corona mark ii,24,4,113,95,2372,15,70,Japan
plymouth duster,22,6,198,95,2833,15.5,70,USA
saab 99e,25,4,104,95,2375,17.5,70,Europe
toyota corona hardtop,24,4,113,95,2278,15.5,72,Japan
plymouth valiant custom,19,6,225,95,3264,16,75,USA
plymouth fury,18,6,225,95,3785,19,75,USA
amc pacer d/l,17.5,6,258,95,3193,17.8,76,USA
chevrolet malibu,20.5,6,200,95,3155,18.2,78,USA
toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,Japan
plymouth arrow gs,25.5,4,122,96,2300,15.5,77,USA
toyota celica gt,32,4,144,96,2665,13.9,82,Japan
mazda rx2 coupe,19,3,70,97,2330,13.5,72,Japan
toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,Japan
datsun 810,22,6,146,97,2815,14.5,77,Japan
datsun 510,27.2,4,119,97,2300,14.7,78,Japan
datsun 200-sx,23.9,4,119,97,2405,14.9,78,Japan
volvo 244dl,22,4,121,98,2945,14.5,75,Europe
ford granada,18.5,6,250,98,3525,19,77,USA
chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,USA
amc matador,18,6,232,100,3288,15.5,71,USA
pontiac firebird,19,6,250,100,3282,15,71,USA
chevrolet nova custom,16,6,250,100,3278,18,73,USA
chevrolet nova,15,6,250,100,3336,17,74,USA
chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,USA
plymouth valiant,22,6,225,100,3233,15.4,76,USA
dodge aspen se,20,6,225,100,3651,17.7,76,USA
plymouth volare custom,19,6,225,100,3630,17.7,77,USA
plymouth volare,20.5,6,225,100,3430,17.2,78,USA
mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,Japan
datsun 200sx,32.9,4,119,100,2615,14.8,81,Japan
volvo 245,20,4,130,102,3150,15.7,76,Europe
audi 5000,20.3,5,131,103,2830,15.9,78,Europe
plymouth satellite custom,16,6,225,105,3439,15.5,71,USA
plymouth satellite sebring,18,6,225,105,3613,16.5,74,USA
chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,USA
pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,USA
buick century special,20.6,6,231,105,3380,15.8,78,USA
plymouth sapporo,23.2,4,156,105,2745,16.7,78,USA
oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,USA
mercury capri v6,21,6,155,107,2472,14,73,USA
toyota mark ii,19,6,156,108,2930,15.5,76,Japan
amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,USA
saab 99le,24,4,121,110,2660,14,73,Europe
buick century,17,6,231,110,3907,21,75,USA
buick skyhawk,21,6,231,110,3039,15,75,USA
chevrolet monza 2+2,20,8,262,110,3221,13.5,75,USA
pontiac ventura sj,18.5,6,250,110,3645,16.2,76,USA
oldsmobile cutlass supreme,17,8,260,110,4060,19,77,USA
chevrolet concours,17.5,6,250,110,3520,16.4,77,USA
bmw 320i,21.5,4,121,110,2600,12.8,77,Europe
mazda rx-4,21.5,3,80,110,2720,13.5,77,Japan
dodge aspen 6,20.6,6,225,110,3360,16.6,79,USA
buick century limited,25,6,181,110,2945,16.4,82,USA
volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe
volvo 144ea,19,4,121,112,2868,15.5,73,Europe
ford granada l,22,6,232,112,2835,14.7,82,USA
bmw 2002,26,4,121,113,2234,12.5,70,Europe
saab 99gle,21.6,4,121,115,2795,15.7,78,Europe
pontiac lemans v6,21.5,6,231,115,3245,15.4,79,USA
oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,USA
toyota cressida,25.4,6,168,116,2900,12.6,81,Japan
mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,Europe
amc concord dl 2,18.1,6,258,120,3410,15.1,78,USA
datsun 810 maxima,24.2,6,146,120,2930,13.8,81,Japan
volvo 264gl,17,6,163,125,3140,13.6,78,Europe
chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,USA
cadillac eldorado,23,8,350,125,3900,17.4,79,USA
ford mustang ii,13,8,302,129,3169,12,75,USA
ford ltd landau,17.6,8,302,129,3725,13.4,79,USA
chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,USA
ford f108,13,8,302,130,3870,15,76,USA
mercury cougar brougham,15,8,302,130,4295,14.9,77,USA
chevrolet caprice classic,17,8,305,130,3840,15.4,79,USA
datsun 280-zx,32.7,6,168,132,2910,11.4,80,Japan
peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe
dodge st. regis,18.2,8,318,135,3830,15.2,79,USA
ford gran torino,14,8,302,137,4042,14.5,73,USA
mercury grand marquis,16.5,8,351,138,3955,13.2,79,USA
mercury monarch ghia,20.2,8,302,139,3570,12.8,78,USA
ford futura,18.1,8,302,139,3205,11.2,78,USA
ford torino,17,8,302,140,3449,10.5,70,USA
ford gran torino (sw),13,8,302,140,4294,16,72,USA
dodge diplomat,19.4,8,318,140,3735,13.2,78,USA
dodge magnum xe,17.5,8,318,140,4080,13.7,78,USA
ford country squire (sw),15.5,8,351,142,4054,14.3,79,USA
chevrolet monte carlo s,15,8,350,145,4082,13,73,USA
chevrolet bel air,15,8,350,145,4440,14,75,USA
chevy c10,13,8,350,145,4055,12,76,USA
dodge monaco brougham,15.5,8,318,145,4140,13.7,77,USA
chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,USA
ford ltd,14,8,351,148,4657,13.5,75,USA
ford thunderbird,16,8,351,149,4335,14.5,77,USA
plymouth satellite,18,8,318,150,3436,11,70,USA
amc rebel sst,16,8,304,150,3433,12,70,USA
chevrolet monte carlo,15,8,400,150,3761,9.5,70,USA
plymouth fury iii,14,8,318,150,4096,13,71,USA
amc ambassador sst,17,8,304,150,3672,11.5,72,USA
amc matador (sw),15,8,304,150,3892,12.5,72,USA
plymouth satellite custom (sw),14,8,318,150,4077,14,72,USA
dodge coronet custom,15,8,318,150,3777,12.5,73,USA
plymouth fury gran sedan,14,8,318,150,4237,14.5,73,USA
chevrolet impala,11,8,400,150,4997,14,73,USA
dodge dart custom,15,8,318,150,3399,11,73,USA
buick century luxus (sw),13,8,350,150,4699,14.5,74,USA
dodge coronet custom (sw),14,8,318,150,4457,13.5,74,USA
plymouth grand fury,16,8,318,150,4498,14.5,75,USA
dodge coronet brougham,16,8,318,150,4190,13,76,USA
plymouth volare premier v8,13,8,318,150,3940,13.2,76,USA
dodge d100,13,8,318,150,3755,14,76,USA
chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,USA
ford galaxie 500,14,8,351,153,4154,13.5,71,USA
buick lesabre custom,13,8,350,155,4502,13.5,72,USA
buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,USA
plymouth cuda 340,14,8,340,160,3609,8,70,USA
oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,USA
buick skylark 320,15,8,350,165,3693,11.5,70,USA
buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,USA
ford country,12,8,400,167,4906,12.5,73,USA
dodge challenger se,15,8,383,170,3563,10,70,USA
plymouth custom suburb,13,8,360,170,4654,13,73,USA
pontiac catalina,16,8,400,170,4668,11.5,75,USA
pontiac catalina brougham,14,8,400,175,4464,11.5,71,USA
pontiac safari (sw),13,8,400,175,5140,12,71,USA
buick century 350,13,8,350,175,4100,13,73,USA
amc ambassador brougham,13,8,360,175,3821,11,73,USA
dodge monaco (sw),12,8,383,180,4955,11.5,71,USA
oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,USA
oldsmobile omega,11,8,350,180,3664,11,73,USA
cadillac seville,16.5,8,350,180,4380,12.1,76,USA
pontiac grand prix lj,16,8,400,180,4220,11.1,77,USA
amc ambassador dpl,15,8,390,190,3850,8.5,70,USA
chrysler newport royal,13,8,400,190,4422,12.5,72,USA
chrysler cordoba,15.5,8,400,190,4325,12.2,77,USA
hi 1200d,9,8,304,193,4732,18.5,70,USA
mercury marquis brougham,12,8,429,198,4952,11.5,73,USA
chevy c20,10,8,307,200,4376,15,70,USA
mercury marquis,11,8,429,208,4633,11,72,USA
dodge d200,11,8,318,210,4382,13.5,70,USA
ford f250,10,8,360,215,4615,14,70,USA
chrysler new yorker brougham,13,8,440,215,4735,11,73,USA
buick electra 225 custom,12,8,455,225,4951,11,73,USA
pontiac grand prix,16,8,400,230,4278,9.5,73,USA
renault 18i,34.5,4,100,0,2320,15.8,81,Europe
amc concord dl,23,4,151,0,3035,20.5,82,USA
