paraphrases,sentences,ptypes,axes,scores
There's a graph that shows '1 - HDI' on the horizontal line and 'ODA (millions US$)' on the vertical line. There's also another graph that shows '1 - HDI' on the horizontal line and 'y2' on the vertical line.,"Scatter plot, '1 - HDI' x-axis, 'ODA (millions US$)' y-axis. Line chart, '1 - HDI' x-axis, 'y2' y-axis",queries,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
"Can you see any connection between '1 - HDI' and 'ODA (millions US$)' in the scatter plot? It seems like 'y2' might be trending in relation to '1 - HDI' in the line chart, don't you think?",What is the relationship between '1 - HDI' and 'ODA (millions US$)' in the scatter plot?. What is the trend of 'y2' with respect to '1 - HDI' in the line chart?,questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",2
"Make a dot chart with 'Alpha' going across, 'Beta' going up and down, and 'Log-likelihood' for how big and what color the dots are.","Create a point chart with 'Alpha' on the x-axis, 'Beta' on the y-axis, and 'Log-likelihood' for the size and color of the points.",commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
The chart we're looking at has 'Alpha' on the x-axis and 'Beta' on the y-axis. The size and color of the points represent 'Log-likelihood'.,"Point chart, 'Alpha' x-axis, 'Beta' y-axis, 'Log-likelihood' size and color",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
How does the 'Log-likelihood' change with 'Alpha' and 'Beta' in the point chart?,How does the 'Log-likelihood' vary with 'Alpha' and 'Beta' in the point chart?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
Make a line chart where 'Year' is represented on the x-axis and 'Share of population aged 65+' is on the y-axis. Use different colors for the lines to represent different 'Countries'.,"Create a line chart with 'Year' on the x-axis and 'Share of population aged 65+' on the y-axis, using 'Country' to color the lines.",commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
The line chart represents the correlation between 'Year' and 'Share of population aged 65+' with different colors indicating different 'Countries'.,Line chart of 'Year' vs 'Share of population aged 65+' colored by 'Country',queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
What does the graphical representation of the variable 'Year' plotted against the variable 'Share of population aged 65+' with the data points differentiated by the variable 'Country' illustrate?,What does the line chart of 'Year' against 'Share of population aged 65+' colored by 'Country' show?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"You should consider creating an area chart where 'Year' is represented on the x-axis, 'total' is on the y-axis, and different colors represent different 'Countries'.","Create an area chart with 'Year' on the x-axis, 'total' on the y-axis, and 'Country' represented by color.",commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
I feel that the area chart showing the 'total' by 'Year' with different colors representing different 'Countries' is a great way to visualize the data.,"Area chart of 'total' by 'Year', color representation of 'Country'",queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
What do you think about the way the 'total' changes over the years for each country in the area chart?,How does the 'total' change over the years for each country in the area chart?,questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",2
"Make a simple bar graph with ""DBMS"" up the side and ""Response Rate"" along the bottom.",Create a bar chart with DBMS on the y-axis and Response Rate on the x-axis.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
"Database Management System, with a response rate ranging from zero to one hundred.","DBMS, Response Rate from 0 to 100",queries,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
What is the rate of response for each database management system?,What is the response rate for each DBMS?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Could you make a bar chart? You might want to consider putting countries on one side and their differences on the other. It might be helpful to arrange them from highest to lowest. Maybe use different colors for different types.,"Create a bar chart with countries on the y-axis and their corresponding differences on the x-axis, sorted in descending order, and color-coded by type.",commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
The bar chart should have the countries on the y-axis and the differences on the x-axis. Arrange it in descending order based on the mean of the differences and use different colors for each type.,"Bar chart, Country on y-axis, diff on x-axis, descending order by mean of diff, type for color",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
What does the bar graph show about the differences between countries when we arrange them from highest to lowest and color-code them by category?,What does the bar chart reveal about the differences among countries when sorted in descending order and color-coded by type?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
Make a bar graph where 'year' is on the horizontal axis and 'net sales(million yen)' is on the vertical axis. Make a line graph where 'Gross/Operating profit ratio' is on the vertical axis. Make another line graph where 'Operating profit ratio' is on the vertical axis.,Create a bar chart with 'year' on the x-axis and 'net sales(million yen)' on the y-axis.. Create a line chart with 'Gross/Operating profit ratio' on the y-axis.. Create a line chart with 'Operating profit ratio' on the y-axis.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
"The terms 'year' and 'net sales(million yen)' are being compared. Additionally, the 'Gross/Operating profit ratio' and 'Operating profit ratio' are being discussed.",'year' vs 'net sales(million yen)'. 'Gross/Operating profit ratio'. 'Operating profit ratio',queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
What is the historical trajectory of net sales? Can you delineate the trend line for the Gross to Operating profit ratio? What is the progression of the Operating profit ratio over time?,How have the net sales changed over the years?. What is the trend of the Gross/Operating profit ratio?. What is the trend of the Operating profit ratio?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
You might want to consider creating a geoshape chart where colors are encoded by the 'Population Density in 2021' field using a quantitative scale and a magma color scheme.,Create a geoshape chart with colors encoded by the 'Population Density in 2021' field using a quantitative scale and a magma color scheme.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
"You know, it's like a map, but the colors show how many people live in each area this year. The more people, the deeper the color. It's kind of like looking at lava.","Geoshape chart, color encoded by 'Population Density in 2021', quantitative scale, magma color scheme",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
Can you show me the geoshape chart where the 'Population Density in 2021' field is represented by different colors on a quantitative scale using a magma color scheme?,How does the geoshape chart look when the color is encoded by the 'Population Density in 2021' field using a quantitative scale and a magma color scheme?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"Make a bar graph with 'Year' going across the bottom and 'How much median earnings have changed' going up the side, and don't pile the bars on top of each other.",Create a bar chart with 'Year' on the x-axis and 'Percentage difference in median earnings' on the y-axis without stacking the bars.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
The bar chart has the years plotted on the x-axis and the percentage difference in median earnings on the y-axis. There is no stacking of the bars in this chart.,"Bar chart, Year on x-axis, Percentage difference in median earnings on y-axis, no bar stacking",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
What do you think the bar chart is trying to tell us about the changes in median earnings every year?,What does the bar chart reveal about the yearly percentage difference in median earnings?,questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
You should consider creating a donut chart where 'issueAmount' is represented on the theta channel and 'giltType' is differentiated on the color channel.,Create a donut chart with 'issueAmount' on the theta channel and 'giltType' on the color channel.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
"Assign 'issueAmount' to the theta channel, and 'giltType' to the color channel, then visualize it in a donut chart.","'issueAmount' to theta channel, 'giltType' to color channel, donut chart",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
What's the donut chart saying about the 'issueAmount' and 'giltType'?,What does the donut chart reveal about the 'issueAmount' and 'giltType'?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"I think you should make a point chart, maybe with 'Employees' on the x-axis and 'value' on the y-axis. It could be a good idea.",Create a point chart with 'Employees' on the x-axis and 'value' on the y-axis.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
The chart is labeled with 'Employees' on the x-axis and 'value' on the y-axis.,"Point chart, 'Employees' x-axis, 'value' y-axis",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"I need you to make a chart for me. The chart should be a point chart. On the x-axis, please label it as 'Employees'. On the y-axis, it should be labeled as 'value'.",Can you create a point chart with 'Employees' on the x-axis and 'value' on the y-axis?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
"Could you make a bar chart? You know, the one where 'Period' is at the bottom, the average 'Value' is on the side, divided by 'Industry', and different 'Metric Clean' have different colors.","Create a bar chart with 'Period' on the x-axis, the mean of 'Value' on the y-axis, faceted by 'Industry', and color-coded by 'Metric Clean'.",commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
"The bar chart represents the average value over a certain period, differentiated by industry and color-coded according to the 'Metric Clean'.","Bar chart, 'Period', mean of 'Value', facet by 'Industry', 'Metric Clean' to color",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
What is the variation in the average value of various metrics over time across different industries?,How does the mean value of different metrics vary over periods for different industries?,questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
"Make a bar graph where ""Date"" is along the bottom, ""Value"" is up the side, and use the ""series"" field to determine the color of the bars.","Create a bar chart with ""Date"" on the x-axis, ""Value"" on the y-axis, and color the bars using the ""series"" field.",commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
"A graph showing the ""Value"" over different ""Dates"", with different colors for each ""series"".","Bar chart of ""Value"" by ""Date"", color by ""series""",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"What is the variation in the ""Value"" according to the ""Date"", when differentiated by ""series"" in a bar chart?","How does the ""Value"" vary by ""Date"" when colored by ""series"" in a bar chart?",questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
"Construct a graphical representation utilizing a point chart, designating ""date4"" as the x-axis and ""Price changes"" as the y-axis. The magnitude of the points should correspond to the ""Price changes"" field, adhering to the ""paintbrush"" selection criterion.","Create a point chart with ""date4"" on the x-axis and ""Price changes"" on the y-axis, and size the points based on the ""Price changes"" field with the ""paintbrush"" selection condition.",commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
"The graph illustrates a comparison between ""date4"" and ""Price changes"", with the size determined by ""Price changes"" and the selection tool being the ""paintbrush"".","Point chart of ""date4"" vs ""Price changes"", size by ""Price changes"" with ""paintbrush"" selection",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
"Could you possibly look at how the ""Price changes"" fluctuate over ""date4"" on the point chart? The size of the points is related to the ""Price changes"" field. This is all under the ""paintbrush"" selection condition, okay?","How does the ""Price changes"" vary over the ""date4"" in the point chart with size determined by the ""Price changes"" field based on the ""paintbrush"" selection condition?",questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
"Make a scatter plot with ""Prices cut"" on the x-axis and ""Prices rising"" on the y-axis, with the size based on ""Price (median)"" and color based on ""Item type"".","Create a scatter plot with ""Prices cut"" on the x-axis and ""Prices rising"" on the y-axis, size determined by ""Price (median)"" and color by ""Item type"".",commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
"Let's take a look at how price cuts and price rises relate to each other, with the size of the points showing us the median price and the color indicating the type of item.","Scatter plot of ""Prices cut"" vs ""Prices rising"", size by ""Price (median)"", color by ""Item type""",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
"Can you explain the impact of the ""Price (median)"" and ""Item type"" on the correlation between ""Prices cut"" and ""Prices rising""?","How does the ""Price (median)"" and ""Item type"" affect the relationship between ""Prices cut"" and ""Prices rising""?",questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
"I think you should create a line chart with 'Date' on the x-axis and 'Volume' on the y-axis. Also, consider creating a line chart with 'Price' on the y-axis.",Create a line chart with 'Date' on the x-axis and 'Volume' on the y-axis.. Create a line chart with 'Price' on the y-axis.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
"Take a look at how 'Volume' changes over time. Now, consider the 'Price'.",Line chart of 'Volume' by 'Date'. Line chart of 'Price',queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
What do you think about the way the 'Volume' fluctuates over the 'Date'? What's your take on the 'Price' changes?,How does the 'Volume' change over 'Date'?. How does the 'Price' change?,questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
Please make a bar chart. The 'Entity' should be placed on the y-axis and the 'food_emissions' should be on the x-axis.,Create a bar chart with 'Entity' on the y-axis and 'food_emissions' on the x-axis.,commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"""Sort the 'Entity' by 'food_emissions', arranging them from highest to lowest.""","'Entity', 'food_emissions', order by 'food_emissions' descending",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Can you guess how food emissions might be spread out among various groups?,What is the distribution of food emissions across different entities?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
"Please construct a line graph with the variable 'Year' on the x-axis and 'All' on the y-axis. Similarly, construct line graphs with 'Year' on the x-axis and 'Heroin', 'Methadone', 'Benzodiazepines', 'Gabapentin/Pregabalin', 'Cocaine', 'Ecstasy', 'Amphetamines', and 'Alcohol' respectively on the y-axis.",Create a line chart with 'Year' on x-axis and 'All' on y-axis.. Create a line chart with 'Year' on x-axis and 'Heroin' on y-axis.. Create a line chart with 'Year' on x-axis and 'Methadone' on y-axis.. Create a line chart with 'Year' on x-axis and 'Benzodiazepines' on y-axis.. Create a line chart with 'Year' on x-axis and 'Gabapentin/Pregabalin' on y-axis.. Create a line chart with 'Year' on x-axis and 'Cocaine' on y-axis.. Create a line chart with 'Year' on x-axis and 'Ectasy' on y-axis.. Create a line chart with 'Year' on x-axis and 'Amphetamines' on y-axis.. Create a line chart with 'Year' on x-axis and 'Alcohol' on y-axis.,commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
"These line charts represent various substances over the years. They include everything from all substances, to specific ones like heroin, methadone, benzodiazepines, gabapentin/pregabalin, cocaine, ecstasy, amphetamines, and alcohol.","Line chart, Year, All. Line chart, Year, Heroin. Line chart, Year, Methadone. Line chart, Year, Benzodiazepines. Line chart, Year, Gabapentin/Pregabalin. Line chart, Year, Cocaine. Line chart, Year, Ectasy. Line chart, Year, Amphetamines. Line chart, Year, Alcohol",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
How's 'All' been doing over the years? And what about 'Heroin'? How's 'Methadone' been? And 'Benzodiazepines'? What's up with 'Gabapentin/Pregabalin'? How's 'Cocaine' been doing? What about 'Ectasy'? How's 'Amphetamines' been? And 'Alcohol'?,What is the trend of 'All' over the years?. What is the trend of 'Heroin' over the years?. What is the trend of 'Methadone' over the years?. What is the trend of 'Benzodiazepines' over the years?. What is the trend of 'Gabapentin/Pregabalin' over the years?. What is the trend of 'Cocaine' over the years?. What is the trend of 'Ectasy' over the years?. What is the trend of 'Amphetamines' over the years?. What is the trend of 'Alcohol' over the years?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"Assign the value 'Longitude' to the longitude field, assign 'Latitude' to the latitude field, assign 'Workers' to the size field with a scale range between 10 and 100, and assign 'Brand' to the color field with a scale range between '#c41e3a' and '#005147'.","Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color with a scale range of ['#c41e3a', '#005147'].. Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color.. Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color.",commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
"The 'COUNTRY' bit from the 'properties' section, along with 'Longitude', 'Latitude', 'Workers', 'Brand', and 'Name'. Same goes for the 'COUNTRY' bit from the 'properties' section, and 'Longitude', 'Latitude', 'Workers', 'Brand'. And the 'Propinsi' bit from the 'properties' section, with 'Longitude', 'Latitude', 'Workers', 'Brand'.","'COUNTRY' property from 'properties' field, 'Longitude', 'Latitude', 'Workers', 'Brand'. 'Name', 'COUNTRY' property from 'properties' field, 'Longitude', 'Latitude', 'Workers', 'Brand'. 'Propinsi' property from 'properties' field, 'Longitude', 'Latitude', 'Workers', 'Brand'",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
What's the spread of workers for each brand in every country? What's the spread of workers for each brand and place in every country? What's the spread of workers for each brand in each province?,What is the distribution of workers by brand in each country?. What is the distribution of workers by brand and location name in each country?. What is the distribution of workers by brand in each province?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
Please make a bar chart. The chart should display the total amount of 'Migration as % of State Population' for each individual state. Arrange the states in the chart in an ascending order.,"Create a bar chart showing the sum of 'Migration as % of State Population' for each state, sorted in ascending order.",commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"Add up the percentage of folks moving in and out of each state, and then sort it from smallest to biggest.","Sum of 'Migration as % of State Population' by State, order ascending",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
Can you calculate the total of 'Migration as % of State Population' for each state and arrange it in increasing order?,What is the sum of 'Migration as % of State Population' for each state when sorted in ascending order?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
You should consider creating a line chart where 'year' is represented on the x-axis and 'GDPpc' is on the y-axis.,Create a line chart with 'year' on the x-axis and 'GDPpc' on the y-axis.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
"""year"", ""per capita GDP"", ""country""","'year', 'GDPpc', 'country'",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
What is the variation in the Gross Domestic Product per capita over a span of years for various nations?,How does the GDP per capita change over the years for different countries?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
