paraphrases,sentences,ptypes,axes,axes2,scores,scores2
"The graph utilizes 'Alpha' as the x-axis, 'Beta' as the y-axis, and the 'Log-likelihood' is represented by both size and color.","Point chart, 'Alpha' x-axis, 'Beta' y-axis, 'Log-likelihood' size and color",queries,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",3,5
What is the variation in the 'Log-likelihood' with respect to the 'Alpha' and 'Beta' parameters as depicted in the point chart?,How does the 'Log-likelihood' vary with 'Alpha' and 'Beta' in the point chart?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,5
"Could you make a line chart, you know, with 'Year' along the bottom and 'Share of population aged 65+' going up the side? And use different colors for each 'Country'.","Create a line chart with 'Year' on the x-axis and 'Share of population aged 65+' on the y-axis, using 'Country' to color the lines.",commands,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,4
The line chart represents the relationship between the 'Year' and the 'Share of population aged 65+' and it's differentiated by various 'Countries'.,Line chart of 'Year' vs 'Share of population aged 65+' colored by 'Country',queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",3,3
"What's that line chart of the 'Year' and 'Share of population aged 65+' colored by 'Country' telling us, you reckon?",What does the line chart of 'Year' against 'Share of population aged 65+' colored by 'Country' show?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,2
"It would be factual to construct an area chart where the 'Year' is represented on the x-axis, the 'total' is represented on the y-axis, and different 'Countries' are differentiated by various colors. However, you might need to infer some of the specifics of how to do this.","Create an area chart with 'Year' on the x-axis, 'total' on the y-axis, and 'Country' represented by color.",commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,2
"The chart shows the total for each year, and different countries are represented by different colors.","Area chart of 'total' by 'Year', color representation of 'Country'",queries,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,2
How does the 'overall' shift over time for each country in the area chart?,How does the 'total' change over the years for each country in the area chart?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",2,2
"I reckon you should whip up a bar chart, mate. Put DBMS on the up-down bit and Response Rate on the left-right bit.",Create a bar chart with DBMS on the y-axis and Response Rate on the x-axis.,commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,2
"The database management system, or DBMS, has a variable response rate that can range anywhere from 0 to 100.","DBMS, Response Rate from 0 to 100",queries,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,2
What do you think is the frequency of responses for each database management system?,What is the response rate for each DBMS?,questions,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",3,2
"Make a bar graph, right? Put countries up and down on the y-axis and their differences left to right on the x-axis. Arrange them from highest to lowest and use different colors for different types.","Create a bar chart with countries on the y-axis and their corresponding differences on the x-axis, sorted in descending order, and color-coded by type.",commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",2,2
The bar chart should be arranged with the countries listed on the y-axis and the differences on the x-axis. The data should be presented in descending order based on the mean of the differences. Different types should be indicated by different colors.,"Bar chart, Country on y-axis, diff on x-axis, descending order by mean of diff, type for color",queries,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",3,4
What's the bar chart showing about how different countries stack up when we sort 'em from top to bottom and color 'em by type?,What does the bar chart reveal about the differences among countries when sorted in descending order and color-coded by type?,questions,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,1
"Construct a bar graph where the abscissa represents the 'year' and the ordinate represents 'net sales(million yen)'. Subsequently, fabricate a line graph where the ordinate illustrates the 'Gross/Operating profit ratio'. Lastly, generate another line graph where the ordinate delineates the 'Operating profit ratio'.",Create a bar chart with 'year' on the x-axis and 'net sales(million yen)' on the y-axis. Create a line chart with 'Gross/Operating profit ratio' on the y-axis. Create a line chart with 'Operating profit ratio' on the y-axis.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",4,4
"""Hey, so we're looking at the year compared to the net sales in millions of yen, right? And then we're checking out the gross or operating profit ratio and the operating profit ratio, yeah?""",'year' vs 'net sales(million yen)' 'Gross/Operating profit ratio' 'Operating profit ratio',queries,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,1
"Can you provide factual data on the variation in net sales over time? Could you also provide information on the pattern of the Gross/Operating profit ratio and the Operating profit ratio, without using too much industry-specific terminology?",How have the net sales changed over the years? What is the trend of the Gross/Operating profit ratio? What is the trend of the Operating profit ratio?,questions,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",5,2
Make a shape map and use colors to show the 'Population Density in 2021' using a scale that measures quantity and a magma color scheme.,Create a geoshape chart with colors encoded by the 'Population Density in 2021' field using a quantitative scale and a magma color scheme.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,3
"The chart of geographical shapes is color-coded based on the data of population density for the year 2021, utilizing a quantitative scale and a magma color scheme.","Geoshape chart, color encoded by 'Population Density in 2021', quantitative scale, magma color scheme",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",4,4
"How does the map look when we use different colors to show how many people live in each area, using a scale and a warm color scheme?",How does the geoshape chart look when the color is encoded by the 'Population Density in 2021' field using a quantitative scale and a magma color scheme?,questions,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",2,1
"Make a bar graph with 'Year' as the horizontal axis and 'Percentage difference in median earnings' as the vertical axis, but don't stack the bars.",Create a bar chart with 'Year' on the x-axis and 'Percentage difference in median earnings' on the y-axis without stacking the bars.,commands,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",2,3
"The graph is a bar chart, with the years displayed on the horizontal axis and the percentage difference in median earnings shown on the vertical axis. There is no stacking of the bars.","Bar chart, Year on x-axis, Percentage difference in median earnings on y-axis, no bar stacking",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",4,1
What does the picture showing the bars tell us about the change in average earnings each year?,What does the bar chart reveal about the yearly percentage difference in median earnings?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",2,4
"Make a donut graph, yeah? Put 'issueAmount' on the theta channel and 'giltType' on the color channel.",Create a donut chart with 'issueAmount' on the theta channel and 'giltType' on the color channel.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",5,1
"Put the 'issue amount' in the theta channel, the 'type of gilt' in the color channel, and use a donut chart.","'issueAmount' to theta channel, 'giltType' to color channel, donut chart",queries,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",1,4
What factual information does the donut chart provide regarding the 'issueAmount' and 'giltType'?,What does the donut chart reveal about the 'issueAmount' and 'giltType'?,questions,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",5,3
"Make a simple graph with 'Employees' going across the bottom and 'value' going up the side, based on what I think would be best.",Create a point chart with 'Employees' on the x-axis and 'value' on the y-axis.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",2,1
The graph shows employees on the horizontal line and their value on the vertical line.,"Point chart, 'Employees' x-axis, 'value' y-axis",queries,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,5
Can you whip up a dot graph with 'Staff Members' on the horizontal line and 'worth' on the vertical line?,Can you create a point chart with 'Employees' on the x-axis and 'value' on the y-axis?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",1,5
"Make a bar graph with 'Period' along the bottom, the average of 'Value' going up the side, split up by 'Industry', and color it by 'Metric Clean'.","Create a bar chart with 'Period' on the x-axis, the mean of 'Value' on the y-axis, faceted by 'Industry', and color-coded by 'Metric Clean'.",commands,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,4
"So, you're gonna take the average value, right? And then you're gonna use that to make a bar chart. You'll sort it by industry and use the 'Metric Clean' for the color. Don't forget to include the period.","Bar chart, 'Period', mean of 'Value', facet by 'Industry', 'Metric Clean' to color",queries,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",2,1
What is the variation in the average measurements of various parameters over time across different sectors?,How does the mean value of different metrics vary over periods for different industries?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",4,5
"Make a bar graph, right? Put ""Date"" on the bottom line, ""Value"" on the side line, and use the ""series"" field to give the bars some color.","Create a bar chart with ""Date"" on the x-axis, ""Value"" on the y-axis, and color the bars using the ""series"" field.",commands,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",1,4
"I think it's a bar chart that seems to be organized by date, with different colors representing different series.","Bar chart of ""Value"" by ""Date"", color by ""series""",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",3,1
"How does the variable ""Value"" fluctuate in relation to the ""Date"" when differentiated by the ""series"" parameter in a bar graph representation?","How does the ""Value"" vary by ""Date"" when colored by ""series"" in a bar chart?",questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",5,4
"Construct a scatter plot utilizing ""date4"" as the abscissa and ""Price changes"" as the ordinate, and scale the markers proportionally to the ""Price changes"" field under the ""paintbrush"" selection criterion.","Create a point chart with ""date4"" on the x-axis and ""Price changes"" on the y-axis, and size the points based on the ""Price changes"" field with the ""paintbrush"" selection condition.",commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",5,3
"The graph illustrates the relationship between ""date4"" and ""Price changes"", with the size determined by ""Price changes"" and a ""paintbrush"" selection tool is available.","Point chart of ""date4"" vs ""Price changes"", size by ""Price changes"" with ""paintbrush"" selection",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,2
"Could you please explain how the fluctuations in price are represented over time in the point chart, where the size of each point is determined by the changes in price, and this is all based on the selection criteria of the paintbrush tool?","How does the ""Price changes"" vary over the ""date4"" in the point chart with size determined by the ""Price changes"" field based on the ""paintbrush"" selection condition?",questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",4,4
"Make a scatter plot with ""Prices cut"" on the horizontal axis and ""Prices rising"" on the vertical axis, where the size is decided by the ""Price (median)"" and the color is determined by the ""Item type"".","Create a scatter plot with ""Prices cut"" on the x-axis and ""Prices rising"" on the y-axis, size determined by ""Price (median)"" and color by ""Item type"".",commands,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",2,2
"The graph shows a comparison between instances of ""Prices cut"" and ""Prices rising"", with the size of the points representing the ""Price (median)"", and different ""Item types"" are distinguished by different colors. I think it's a pretty interesting way to visualize the data.","Scatter plot of ""Prices cut"" vs ""Prices rising"", size by ""Price (median)"", color by ""Item type""",queries,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",3,2
Could you explain how the median price and the type of item influence the correlation between the reduction in prices and the increase in prices?,"How does the ""Price (median)"" and ""Item type"" affect the relationship between ""Prices cut"" and ""Prices rising""?",questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",4,3
