paraphrases,sentences,ptypes,axes,scores
How many buildings does the Natural Resources Department got in Cook county?,"How many buildings does the ""Department of Natural Resources"" have in ""Cook"" county?",lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
"What do you think about the vibrancy of the color of the rectangle that meets the ""Department of Natural Resources"" on the x-axis and ""Cook"" on the y-axis in the heatmap? It seems pretty intense to me.","How intense is the color of the rectangle that intersects the ""Department of Natural Resources"" on the x-axis and ""Cook"" on the y-axis in the heatmap?",lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
"Can you provide me with the exact measurement of the total area, in square feet, of all the buildings that the Department of Natural Resources owns in Cook county?","What is the total square footage of the buildings the ""Department of Natural Resources"" has in ""Cook"" county?",compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"How long's the bar for the ""Department of Natural Resources"" on the chart?","How long is the bar that represents the ""Department of Natural Resources"" in the bar chart?",compositional-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
What effects does the total size of an agency's buildings in a particular county have on its operations and distribution of resources?,What implications does the total square footage of the buildings an agency has in a specific county have on the agency's operations and resource allocation?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
Can you tell me the exact value of the R Squared for the linear regression?,What is the R Squared value of the linear regression?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
What's the R Squared value that's mentioned in the chart's subtitle?,What is the R Squared value mentioned in the subtitle of the chart?,lookup-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
Can you provide the R Squared value to determine the correlation strength between the HDI and the ODA?,What is the strength of the correlation between the HDI and the ODA as indicated by the R Squared value?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
"How closely related are the living standards of a country and the aid it receives, as shown in the chart's title?",How strong is the correlation between the HDI and the ODA as indicated in the subtitle of the chart?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
Can the R Squared value give us an indication of the correlation between a country's HDI and the ODA it receives?,What does the R Squared value suggest about the relationship between a country's HDI and the ODA it receives?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
Can you clearly explain to me the 'log-likelihood' when the 'alpha' value is 0.5 and the 'beta' value is 0.3?,What is the 'log-likelihood' for an 'alpha' value of 0.5 and a 'beta' value of 0.3?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
What is the value of the point where 'alpha' equals 0.5 and 'beta' equals 0.3 on the graph?,What is the size of the point at the position where 'alpha' is 0.5 and 'beta' is 0.3 on the chart?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Can you clearly tell me the values of 'alpha' and 'beta' at the point where the 'log-likelihood' reaches its highest value?,What are the 'alpha' and 'beta' values when the 'log-likelihood' is at its maximum?,compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
Can you clearly tell me the exact 'alpha' and 'beta' values at the position where the point on the chart is the largest?,What are the 'alpha' and 'beta' values at the position of the largest point on the chart?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
How does the rise in 'alpha' and 'beta' values impact the 'log-likelihood'?,How does the increase in 'alpha' and 'beta' values affect the 'log-likelihood'?,open-ended,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Could you provide the data on the percentage of the population aged 65 and over in Japan and South Korea?,What is the share of population aged 65+ in Japan and South Korea?,lookup-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
"Can you tell me where the red and yellow lines are on the vertical line, which show the percentage of people over 65 in Japan and South Korea?","What is the position of the red and yellow lines on the y-axis, representing the share of population aged 65+ in Japan and South Korea respectively?",lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
How do the number of older people in Japan and South Korea stack up against other countries?,How does the share of population aged 65+ in Japan and South Korea compare to other countries?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
"What can we infer about the positions of the red and yellow lines on the y-axis, which represent the share of population aged 65+ in Japan and South Korea, in comparison to the positions of other lines?","How do the positions of the red and yellow lines on the y-axis, representing the share of population aged 65+ in Japan and South Korea respectively, compare to the positions of other lines?",compositional-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
What does it mean for policy planning in Japan and South Korea when they have such a high number of people over 65?,What implications does the high share of population aged 65+ in Japan and South Korea have for policy planning in these countries?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
What was the total value of everything produced in the United States in 2017?,What was the GDP of the United States in 2017?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
Can you guess how tall the representation of the United States was in 2017?,What is the height of the area representing the United States in the year 2017?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
Which country from the group of seven most industrialized nations had the highest economic output in 2017?,Which G7 country had the highest GDP in 2017?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Can you guess the color that tops the chart for 2017?,Which color reaches the highest point on the chart in the year 2017?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
"Can you tell me how the economic output of the seven most advanced economies has shifted over time, and which one had the highest economic output in 2017?",How has the GDP of the G7 countries changed over the years and which country had the highest GDP in 2017?,open-ended,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Can you tell me how often a particular DBMS responds?,What is the response rate of a specific DBMS?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Can you tell me the exact length of the bar that shows the response rate of a specific Database Management System?,How long is the bar representing the response rate of a specific DBMS?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Which database management system provides the quickest response?,Which DBMS has the highest response rate?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Which database management system has the longest bar for the response rate?,Which DBMS has the longest bar representing the response rate?,compositional-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
How do different database systems respond and what could be the effects of these differences?,How does the response rate of different DBMS compare and what could be the implications of these differences?,open-ended,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
Could you please provide the per capita income for Germany in the year 2017?,What was the income per person for Germany in 2017?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
Can you please tell me the exact length of the bar representing Germany and also specify its color?,How long is the bar for Germany and what color is it?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Can you tell me if Germany's per capita income in 2017 was higher or lower than the average income in Europe?,Was the income per person for Germany above or below the median income in Europe in 2017?,compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Does the length of Germany's bar exceed the median bar length and what is its color?,Is the bar for Germany longer than the median bar and what color is it?,compositional-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
How's Germany's income per person stack up against other European countries in 2017?,How does the income per person for Germany compare to other countries in Europe in 2017?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
How much did Nintendo sell and earn in the last year?,What were the net sales and operating profit ratio for Nintendo in the most recent year?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
What's the height of the bar and where's the light green line for the latest year on the chart?,How high is the bar and where is the light green line positioned for the most recent year on the chart?,lookup-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
Can you tell me the highest amount of sales we made that year and what percentage of that was our operating profit?,What is the maximum net sales value and what is the operating profit ratio for that year?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Which is the highest bar and where is the light green line for that year on the graph?,Which is the tallest bar and where is the light green line positioned for that year on the chart?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
What are the changes in Nintendo's financial performance over the years and what implications might these have for its future profitability?,How has Nintendo's financial performance changed over the years and what does this suggest about its future profitability?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Can you tell me how many people live per square mile in the region that has the most people living in it?,What is the population density of the province with the highest density?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Can you tell me the province that is colored the darkest on the map? This dark color represents the province with the highest population density.,"Which province is colored the darkest on the map, indicating the highest population density?",lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
Can you guess the province with the most people living in a small area and how many there might be?,Which province has the maximum population density and what is the value?,compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
"Can you tell me which province on the map is colored the darkest, suggesting it's the most densely populated, and how many people per square mile does that color represent?","Which province is colored the darkest on the map, indicating the highest population density, and what is the density value?",compositional-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
What could be the potential effects of population density on the infrastructure requirements of the province with the greatest density?,How might the population density impact the infrastructure needs of the province with the highest density?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
Which place's got the biggest difference in pay between guys and gals?,Which country has the highest gender pay gap?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
Can you identify the country that has the highest bar on the chart?,Which country's bar reaches the highest point on the chart?,lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
Can you tell me the largest difference there has been between men and women's pay and the specific year this was noted?,What is the maximum gender pay gap and in which year was it recorded?,compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Which bar goes up the highest on the graph and what year is it for?,Which bar reaches the highest point on the chart and in which year is it positioned?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
What measures could be put into place in the nation with the most significant gender wage difference to lessen this inequality?,What policies could be implemented in the country with the highest gender pay gap to reduce this disparity?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
What is the denomination of each category of United Kingdom's sovereign debt instruments?,What is the issue amount for each type of UK debt?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
What is the measurement of the central angle for each individual hue in the toroidal graph?,What is the size of the arc for each color in the donut chart?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
What's the biggest kind of debt the UK's got?,Which type of UK debt has the maximum issue amount?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
Can you tell me which color on the circular graph shows the biggest portion of UK debt?,Which color in the donut chart represents the type of UK debt with the largest arc?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
What does it mean for the UK economy when the type of debt that is most commonly issued in the UK is considered?,What implications does the type of UK debt with the largest issue amount have on the UK economy?,open-ended,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Can you tell me the median productivity level for companies that had 10 employees in 2015?,What is the 50th percentile of productivity for firms with 10 employees in the year 2015?,lookup-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
"In the 2015 panel, could you tell me what the productivity value might be for the point that represents firms with 10 employees at the 50th percentile?","In the 2015 panel, what is the productivity value of the point representing firms with 10 employees at the 50th percentile?",lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
"In 2015, what was the comparison between the productivity at the 50th percentile for firms with 10 employees and firms with 20 employees?",How does the 50th percentile of productivity for firms with 10 employees compare to that of firms with 20 employees in the year 2015?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
"In the 2015 discussion, how does the work output measure for companies with 10 employees at the middle range compare to the work output measure for companies with 20 employees at the same range?","In the 2015 panel, how does the productivity value of the point representing firms with 10 employees at the 50th percentile compare to the productivity value of the point representing firms with 20 employees at the same percentile?",compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
What is the variance in productivity distribution among enterprises of varying scales in the fiscal year 2015?,How does the productivity distribution vary among firms of different sizes in the year 2015?,open-ended,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
Can you tell me what the highest average job reallocation value is for all industries?,What is the highest average job reallocation value across all industries?,lookup-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
Can you tell me directly which industry is shown as having the highest bar in the bar chart?,Which industry's bar has the greatest height in the bar chart?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
Which sector has the highest average job reallocation value?,Which industry has the maximum average job reallocation value?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
"In the bar chart, which industry's bar extends to the greatest value on the y-axis?",Which industry's bar reaches the highest point on the y-axis in the bar chart?,compositional-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
What elements might be contributing to the elevated rate of job reallocation within the industry that possesses the highest mean value of job reallocation?,What factors could contribute to the high job reallocation in the industry with the highest average job reallocation value?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
What's the top value for the 'Transport' series during the chosen period?,What is the highest value of the 'Transport' series over the selected period?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
Can you provide the height of the tallest blue bar that represents the 'Transport' series?,What is the height of the tallest blue bar representing the 'Transport' series?,lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
What's the highest point of the 'Transport' series when you look at it against the highest points of the other series during the chosen time frame?,What is the maximum value of the 'Transport' series compared to the maximum values of the other series over the selected period?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
"Does the maximum value of the 'Transport' series, represented by the tallest blue bar, exceed the maximum values of the other series, represented by the tallest bars of the other colors?",Is the tallest blue bar representing the 'Transport' series higher than the tallest bars of the other colors?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
Can you tell me how the 'Transport' series' impact on CPI inflation measures up against the impacts of other series during the chosen time frame?,How does the contribution of the 'Transport' series to the CPI inflation compare to the contributions of the other series over the selected period?,open-ended,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
When do you think we saw the most price fluctuations?,In which month was the frequency of price changes the highest?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
When does the point peak on the y-axis?,In which month does the point reach the highest position on the y-axis?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
Could you please tell me the highest frequency of price alterations and specify the month in which this happens?,What is the maximum value of the frequency of price changes and in which month does it occur?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
Can you tell me where on the y-axis the price changes are most frequent and also let me know the month that corresponds to on the x-axis?,At which point on the y-axis is the frequency of price changes the highest and what is the corresponding month on the x-axis?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
How does the monthly change in prices affect how we set our prices?,How does the frequency of price changes month-on-month influence pricing strategies?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
"What is the proportion of price increases and decreases for the product ""X""?","What is the share of price rises and cuts for the consumer item ""X""?",lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
"Can you indicate the position of product ""X"" on the chart with respect to price reductions and increases?","Where is the consumer item ""X"" positioned on the chart in terms of price cuts and price rises?",lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
What stuff do people buy that gets more expensive or cheaper the most?,Which consumer item has the highest share of price rises and cuts?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
What consumer product is located at the top of both the price reduction and price increase axes?,Which consumer item is positioned at the highest point on both the price cuts and price rises axes?,compositional-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
"Can you provide a clear comparison of the frequency of price increases and decreases for the consumer item ""X"" in relation to other similar items?","How does the share of price rises and cuts for the consumer item ""X"" compare to other items?",open-ended,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Do you happen to know how much Ether has peaked at?,What is the highest price of Ether?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
When do you think the orange to hotpink line hits its highest point on the chart?,At what point does the orange to hotpink line reach its peak in the chart?,lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",2
Can you tell me about Ether's peak value and its relationship with trading volume?,What is the highest price of Ether and how does it correlate with the volume traded?,compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
