Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1970,1970,10000,2,2,0,Storage,Storage,Not provided
Department of Natural Resources,Beaver Dam State Park - Macoupin County,14548 Beaver Dam Lane,Plainview,62685,Macoupin,13,Rodney L. Davis,95,Bourne Avery,48,Andy Manar,In Use,2001,2001,1400,1,1,0,Mercantile,Mercantile,Not provided
Department of Natural Resources,Joel D. Brunsvold Building,650 East Taintor Road,Springfield,62707,Sangamon,13,Rodney L. Davis,87,Butler Tim,44,William E. Brady,In Use,2001,2001,183175,5,4,1,Business,Business,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2001,2001,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Kickapoo State Park - Vermilion County,"Rr #1, Box 374",Oakwood,61858,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1996,1977,1625,1,1,0,Mercantile,Storage,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,540,1,1,0,Assembly,Assembly,Not provided
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2002,2002,14900,2,2,0,Industrial,Industrial,Not provided
Department of Transportation,Lake Zurich,700 South Ela Road,Lake Zurich,60048,Lake,6,Peter J. Roskam,51,Sauer Nick,26,Dan McConchie,In Use,2001,2001,21100,1,1,0,Storage,Storage,Not provided
Department of Transportation,Litchfield Maintenance Storage Facility,"Us-66, 4 Miles North",Litchfield,62056,Montgomery,16,Adam Kinzinger,106,Bennett Thomas M.,53,Jason A. Barickman,In Use,2001,2001,2160,1,1,0,Storage,Storage,Not provided
Department of Transportation,Springfield Sign Shop,1035 West Reynolds,Springfield,62702,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2001,2001,1540,1,1,0,Storage,Storage,Not provided
Department of Transportation,Scott Airforce-I64,8313 Shiloh Valley Township,Lebanon,62254,St. Clair,12,Mike Bost,114,Greenwood LaToya,57,"James F. Clayborne, Jr.",In Use,2001,2001,900,1,1,0,Storage,Storage,Not provided
Department of Transportation,Browns Property-District 7-Effingham,400 West Wabash,Effingham,62401,Effingham,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,2001,2001,16280,1,1,0,Storage,Storage,Not provided
Department of State Police,Andover Radio Tower - Henry County,Rte 9,Andover,61233,Henry,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Use,2006,2006,240,1,1,0,Industrial,Industrial,Not provided
Department of State Police,Pecatonica District 16 - Winnebago Co.,16450 West State Road,Pecatonica,61063,Winnebago,17,Cheri Bustos,89,Stewart Brian W.,45,Tim Bivins,In Use,2001,2001,504,1,1,0,Industrial,Industrial,Not provided
Department of Central Management Services,Telecommunications Building - Spfld,120 West Jefferson,Springfield,62706,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2000,1990,82500,3,3,0,Business,Business,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1988,1988,2960,1,1,0,Business,Business,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1988,1988,2560,1,1,0,Storage,Storage,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1998,1998,288,1,1,0,Storage,Storage,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1993,1993,10972,1,1,0,Education,Education,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1998,1998,875,1,1,0,Storage,Storage,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1976,1976,153,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Siloam Springs State Park - Adams County,"Rr #1, Box 204",Clayton,62324,Adams,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Use,1981,1981,216,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1995,1995,90,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988,1988,0,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988,1890,1536,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988,1988,0,1,1,0,Business,Business,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1995,1995,90,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1993,1993,2304,1,1,0,Business,Business,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988,1894,3528,5,4,1,Residential,Residential,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1995,1995,90,1,1,0,Unusual,Unusual,Not provided
Historic Preservation Agency,Lincoln Presidential Center - Springfield,500 East Madison,Springfield,62701,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2000,1896,15000,6,5,1,Business,Business,Not provided
Department of Natural Resources,"""Harry """"Babe"""" Woodyard Natural Area - Vermilion Co.""",19268e 670n,Georgetown,61846,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1996,1990,1564,1,1,0,Residential,Residential,Not provided
Department of Natural Resources,Jim Edgar Panther Creek F&WA - Cass Co.,P.o. Box 646,Chandlerville,62627,Cass,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,1684,1,1,0,Business,Business,Not provided
Department of Corrections,Southwestern Correctional Center - E. St. Louis,950 Kingshighway P.o. Box 50,East St Louis,62203,St. Clair,12,Mike Bost,113,Hoffman Jay,57,"James F. Clayborne, Jr.",In Use,2001,2001,3030,1,1,0,Detention & Correc,Detention & Correc,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Castle Rock State Park - Ogle County,1365 West Castle Road,Oregon,61061,Ogle,16,Adam Kinzinger,90,Demmer Tom,45,Tim Bivins,In Use,2001,2001,3260,2,2,0,Storage,Storage,Not provided
Department of Natural Resources,Illini State Park - LaSalle County,2660 E 2350th Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2001,2001,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Eldon Hazlet State Park - Clinton County,Keyesport Road,Carlyle,62231,Clinton,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,2000,2000,1903,1,1,0,Storage,Storage,Not provided
Historic Preservation Agency,Lincoln Presidential Center - Springfield,112 North 6th Street,Springfield,62701,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2002,2002,100000,5,4,1,Assembly,Education,Not provided
Historic Preservation Agency,Lincoln Presidential Center - Springfield,212 North 6th Street,Springfield,62701,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2002,2002,99800,3,3,0,Assembly,Storage,Not provided
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001,2001,45514,2,2,0,Storage,Storage,Not provided
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001,2001,150,1,1,0,Industrial,Industrial,Not provided
Department of Natural Resources,Johnson-Sauk Trail State Park - Henry County,27500 N. 1200 Avenue,Kewanee,61443,Henry,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Use,1997,1997,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Kickapoo State Park - Vermilion County,"Rr #1, Box 374",Oakwood,61858,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,2001,2001,1600,1,1,0,Mercantile,Mercantile,Unusual
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001,2001,32351,2,2,0,Industrial,Industrial,Not provided
Department of Natural Resources,Natural. History Survey - Sullivan,"Rr #1, Box 157",Sullivan,61951,Moultrie,15,John Shimkus,101,Mitchell Bill,51,Chapin Rose,In Use,1987,1987,729,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Natural. History Survey - Sullivan,"Rr #1, Box 157",Sullivan,61951,Moultrie,15,John Shimkus,101,Mitchell Bill,51,Chapin Rose,In Use,1985,1985,700,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Artisans' Shop & Visitors' Center - Rend Lake,14967 Dun Creek Trail,Whittington,62897,Franklin,12,Mike Bost,117,Severin Dave,59,Dale Fowler,In Use,2001,2001,2000,1,1,0,Industrial,Industrial,Not provided
Department of Natural Resources,Prairie Chicken Sanctuary NP(JASPER CO),"Rr #3, Po Box 74",Bogota,62448,Jasper,0,,108,Meier Charles,54,Kyle McCarter,In Use,2001,2001,3520,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Prairie Chicken Sanctuary NP(JASPER CO),"Rr #3, Po Box 74",Bogota,62448,Jasper,0,,108,Meier Charles,54,Kyle McCarter,In Use,2001,2001,100,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,600,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,540,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,90,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,320,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Kickapoo State Park - Vermilion County,"Rr #1, Box 374",Oakwood,61858,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,2001,2001,960,1,1,0,Storage,Storage,Not provided
Department of Juvenile Justice,Illinois Youth Center - St. Charles,38 West 060 Rte 38,St Charles,60174,Kane,14,Randy Hultgren,50,Wheeler Keith R.,25,Jim Oberweis,In Use,2002,2001,12000,1,1,0,Detention & Correc,Detention & Correc,Not provided
Department of Juvenile Justice,Illinois Youth Center - St. Charles,38 West 060 Rte 38,St Charles,60174,Kane,14,Randy Hultgren,50,Wheeler Keith R.,25,Jim Oberweis,In Use,2002,2001,18500,1,1,0,Assembly,Assembly,Not provided
Department of Corrections,Logan Correctional Center - Lincoln,"R.r. #3, Box 1000",Lincoln,62656,Logan,18,Darin M. LaHood,87,Butler Tim,44,William E. Brady,In Use,2000,2000,120,1,1,0,Industrial,Industrial,Not provided
Department of Transportation,Steelville Maintenance Storage Facility,700 North Cherry Street,Steeleville,62288,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Use,2001,2001,4032,1,1,0,Storage,Storage,Not provided
Southern Illinois University,Southern Illinois University - East St. Louis,601 James R Thompson Blvd,East St Louis,62201,St. Clair,13,Rodney L. Davis,111,Beiser Daniel V.,56,William R. Haine,In Use,2002,2002,48000,2,2,0,Health Care,Health Care,Not provided
Southern Illinois University,Southern Illinois University - East St. Louis,601 James R Thompson Blvd,East St Louis,62201,St. Clair,13,Rodney L. Davis,111,Beiser Daniel V.,56,William R. Haine,In Use,2002,2002,12800,1,1,0,Business,Business,Not provided
Illinois Medical District Commission,Illinois Medical District Commission - Chicago,600 S. Hoyne,Chicago,60612,Cook,7,Danny K. Davis,9,Turner Arthur L.,5,Patricia Van Pelt,In Use,2002,2002,15000,1,1,0,Health Care,Health Care,Not provided
Department of Natural Resources,Nauvoo State Park - Hancock County,Kimball Street,Nauvoo,62354,Hancock,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Use,2002,2002,1294,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Goose Lake Prairie Natural Area - Grundy County,5010 North Jugtown Road,Morris,60450,Grundy,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Use,2001,2001,144,1,1,0,Unusual,Unusual,Not provided
