country,region,country_code,year,lifeExp,gdpPercap,pop
Costa Rica,Americas,CRI,1952,58.5,3270,1020000
Cote d'Ivoire,Africa,CIV,1952,36.2,2120,2770000
Croatia,Europe,HRV,1952,60.7,4560,3920000
Cuba,Americas,CUB,1952,60.6,9620,6180000
Cyprus,Europe,CYP,1952,64.8,4020,507000
Czech Republic,Europe,CZE,1952,67.0,8360,9110000
Denmark,Europe,DNK,1952,70.8,12100,4350000
Djibouti,Africa,DJI,1952,48.1,3290,64800
Dominica,Americas,DMA,1952,,2210,52300
Dominican Republic,Americas,DOM,1952,49.7,2360,2520000
Ecuador,Americas,ECU,1952,51.7,3730,3660000
Egypt,Africa,EGY,1952,40.2,1800,21700000
El Salvador,Americas,SLV,1952,46.1,3560,2280000
Equatorial Guinea,Africa,GNQ,1952,37.5,506,234000
Eritrea,Africa,ERI,1952,39.2,831,1180000
Estonia,Europe,EST,1952,61.0,5300,1130000
Ethiopia,Africa,ETH,1952,34.3,593,18800000
Fiji,Asia,FJI,1952,55.2,2920,305000
Finland,Europe,FIN,1952,66.3,7950,4100000
France,Europe,FRA,1952,67.6,8450,42400000
Gabon,Africa,GAB,1952,40.3,773,478000
Gambia,Africa,GMB,1952,41.4,1030,277000
Georgia,Europe,GEO,1952,58.1,2430,3590000
Germany,Europe,DEU,1952,67.3,8540,70600000
Ghana,Africa,GHA,1952,46.0,1630,5190000
Greece,Europe,GRC,1952,67.5,4040,7810000
Grenada,Americas,GRD,1952,58.6,1730,77100
Guatemala,Americas,GTM,1952,41.0,3000,3310000
Guinea,Africa,GIN,1952,39.2,653,3190000
Guinea-Bissau,Africa,GNB,1952,36.8,901,552000
Guyana,Americas,GUY,1952,58.2,3850,433000
Haiti,Americas,HTI,1952,36.2,2370,3330000
Honduras,Americas,HND,1952,44.6,2470,1630000
Hungary,Europe,HUN,1952,64.0,6670,9600000
Iceland,Europe,ISL,1952,72.6,8180,148000
India,Asia,IND,1952,35.9,907,389000000
Indonesia,Asia,IDN,1952,38.6,1550,72300000
Iran,Asia,IRN,1952,43.4,3930,17900000
Iraq,Asia,IRQ,1952,38.5,3460,6070000
Ireland,Europe,IRL,1952,67.4,6560,2920000
Israel,Asia,ISR,1952,63.9,4520,1450000
Italy,Europe,ITA,1952,65.9,7060,47400000
Jamaica,Americas,JAM,1952,58.5,3040,1470000
Japan,Asia,JPN,1952,63.2,3060,85700000
Jordan,Asia,JOR,1952,47.3,3020,576000
Kazakhstan,Asia,KAZ,1952,55.7,6260,7040000
Kenya,Africa,KEN,1952,45.8,1880,6410000
Kiribati,Asia,KIR,1952,45.7,2170,34300
Kuwait,Asia,KWT,1952,55.4,7340,163000
Kyrgyz Republic,Asia,KGZ,1952,52.0,2380,1800000
Lao,Asia,LAO,1952,37.8,1160,1760000
Latvia,Europe,LVA,1952,61.8,4090,1950000
Lebanon,Asia,LBN,1952,60.7,7360,1390000
Lesotho,Africa,LSO,1952,46.6,460,755000
Liberia,Africa,LBR,1952,38.7,1560,958000
Libya,Africa,LBY,1952,41.9,5870,1160000
Lithuania,Europe,LTU,1952,64.5,6780,2580000
Luxembourg,Europe,LUX,1952,66.1,18600,299000
"Macedonia, FYR",Europe,MKD,1952,55.3,2380,1320000
Madagascar,Africa,MDG,1952,40.0,2000,4260000
Malawi,Africa,MWI,1952,38.3,435,3070000
Malaysia,Asia,MYS,1952,54.6,2830,6450000
Maldives,Asia,MDV,1952,29.8,908,75200
Mali,Africa,MLI,1952,31.9,721,4810000
Malta,Europe,MLT,1952,65.0,2600,313000
Marshall Islands,Asia,MHL,1952,,1420,13400
Mauritania,Africa,MRT,1952,41.5,1270,692000
Mauritius,Africa,MUS,1952,48.1,2480,521000
Mexico,Americas,MEX,1952,50.7,4660,29700000
"Micronesia, Fed. Sts.",Asia,FSM,1952,53.1,1210,34600
Moldova,Europe,MDA,1952,57.0,2800,2430000
Mongolia,Asia,MNG,1952,42.4,919,808000
Montenegro,Europe,MNE,1952,61.5,3860,411000
Morocco,Africa,MAR,1952,47.4,2100,9530000
Mozambique,Africa,MOZ,1952,36.4,423,6350000
Myanmar,Asia,MMR,1952,34.1,694,17800000
Namibia,Africa,NAM,1952,45.1,3900,505000
Nepal,Asia,NPL,1952,39.7,828,8820000
Netherlands,Europe,NLD,1952,72.2,9580,10300000
New Zealand,Asia,NZL,1952,69.6,13300,1990000
Nicaragua,Americas,NIC,1952,45.0,4130,1370000
Niger,Africa,NER,1952,40.7,994,2720000
Nigeria,Africa,NGA,1952,43.6,2980,39000000
North Korea,Asia,PRK,1952,27.6,784,10000000
Norway,Europe,NOR,1952,72.6,12300,3330000
Oman,Asia,OMN,1952,35.8,3290,469000
Pakistan,Asia,PAK,1952,39.9,1110,38500000
Palestine,Asia,PSE,1952,51.0,1260,932000
Panama,Americas,PAN,1952,58.5,3220,904000
Papua New Guinea,Asia,PNG,1952,39.3,973,1730000
Paraguay,Americas,PRY,1952,65.9,2870,1550000
Peru,Americas,PER,1952,39.7,4710,8130000
Philippines,Asia,PHL,1952,56.9,2070,19900000
Poland,Europe,POL,1952,60.8,4870,25800000
Portugal,Europe,PRT,1952,60.0,3990,8480000
Qatar,Asia,QAT,1952,54.2,2450,29900
Romania,Europe,ROU,1952,61.1,4210,16800000
Russia,Europe,RUS,1952,57.9,8020,106000000
Rwanda,Africa,RWA,1952,41.5,553,2310000
Samoa,Asia,WSM,1952,52.7,3050,86800
Sao Tome and Principe,Africa,STP,1952,47.9,1160,58500
Saudi Arabia,Asia,SAU,1952,49.4,3110,3280000
Senegal,Africa,SEN,1952,41.4,1810,2610000
Serbia,Europe,SRB,1952,60.5,4220,6960000
Seychelles,Africa,SYC,1952,57.6,5200,37400
Sierra Leone,Africa,SLE,1952,36.2,1090,2080000
Singapore,Asia,SGP,1952,60.2,3310,1120000
Slovak Republic,Europe,SVK,1952,64.4,6200,3590000
Slovenia,Europe,SVN,1952,64.2,4830,1490000
Solomon Islands,Asia,SLB,1952,45.4,973,94100
Somalia,Africa,SOM,1952,39.8,1050,2350000
South Africa,Africa,ZAF,1952,47.7,7190,14300000
South Korea,Asia,KOR,1952,40.4,794,19800000
South Sudan,Africa,SSD,1952,36.0,1980,2630000
Spain,Europe,ESP,1952,64.7,4660,28400000
Sri Lanka,Asia,LKA,1952,54.6,1920,8260000
St. Lucia,Americas,LCA,1952,54.1,1630,84800
St. Vincent and the Grenadines,Americas,VCT,1952,50.5,2280,69300
Sudan,Africa,SDN,1952,44.5,1880,6040000
Suriname,Americas,SUR,1952,56.6,5780,230000
Swaziland,Africa,SWZ,1952,43.5,1510,285000
Sweden,Europe,SWE,1952,71.7,12100,7130000
Switzerland,Europe,CHE,1952,69.5,21600,4790000
Syria,Asia,SYR,1952,52.1,2070,3590000
Tajikistan,Asia,TJK,1952,50.1,2540,1640000
Tanzania,Africa,TZA,1952,45.1,1040,8060000
Thailand,Asia,THA,1952,53.4,1260,21800000
Timor-Leste,Asia,TLS,1952,32.4,707,443000
Togo,Africa,TGO,1952,38.2,1070,1440000
Tonga,Asia,TON,1952,58.9,1410,51200
Trinidad and Tobago,Americas,TTO,1952,57.9,5050,676000
Tunisia,Africa,TUN,1952,42.6,1930,3770000
Turkey,Europe,TUR,1952,43.8,4090,22500000
Turkmenistan,Asia,TKM,1952,49.2,5190,1260000
Uganda,Africa,UGA,1952,40.8,808,5460000
Ukraine,Europe,UKR,1952,61.7,4110,38400000
United Arab Emirates,Asia,ARE,1952,45.3,1220,69100
United Kingdom,Europe,GBR,1952,69.5,11400,50700000
United States,Americas,USA,1952,68.4,16500,163000000
Uruguay,Americas,URY,1952,66.0,8500,2290000
Uzbekistan,Asia,UZB,1952,55.8,1780,6680000
Vanuatu,Asia,VUT,1952,44.6,1330,50300
Venezuela,Americas,VEN,1952,56.3,11500,5990000
Vietnam,Asia,VNM,1952,48.9,1010,26000000
Yemen,Asia,YEM,1952,25.2,1360,4550000
Zambia,Africa,ZMB,1952,46.5,2780,2430000
Zimbabwe,Africa,ZWE,1952,50.3,1560,2920000
Afghanistan,Asia,AFG,1957,36.5,1140,8540000
Albania,Europe,ALB,1957,59.3,2440,1500000
Algeria,Africa,DZA,1957,50.3,5200,10300000
Andorra,Europe,AND,1957,,12100,10800
Angola,Africa,AGO,1957,40.5,3670,5330000
Antigua and Barbuda,Americas,ATG,1957,61.5,4110,53800
Argentina,Americas,ARG,1957,63.5,8910,19600000
Armenia,Europe,ARM,1957,60.9,2300,1680000
Australia,Asia,AUS,1957,70.7,13200,9640000
Austria,Europe,AUT,1957,67.4,10600,6990000
Azerbaijan,Europe,AZE,1957,56.7,4600,3540000
Bahamas,Americas,BHS,1957,60.9,13300,95600
Bahrain,Asia,BHR,1957,48.8,21000,145000
Bangladesh,Asia,BGD,1957,42.5,1020,44300000
Barbados,Americas,BRB,1957,62.9,4300,229000
Belarus,Europe,BLR,1957,66.6,3590,7940000
Belgium,Europe,BEL,1957,69.2,12200,9000000
Belize,Americas,BLZ,1957,59.1,1960,84500
Benin,Africa,BEN,1957,39.5,1140,2350000
Bhutan,Asia,BTN,1957,39.9,919,207000
Bolivia,Americas,BOL,1957,45.3,2700,3490000
Bosnia and Herzegovina,Europe,BIH,1957,58.3,1510,3050000
Botswana,Africa,BWA,1957,50.9,935,491000
Brazil,Americas,BRA,1957,55.2,3670,66200000
Brunei,Asia,BRN,1957,59.3,63700,70500
Bulgaria,Europe,BGR,1957,66.4,3890,7690000
Burkina Faso,Africa,BFA,1957,36.9,619,4640000
Burundi,Africa,BDI,1957,41.1,613,2630000
Cambodia,Asia,KHM,1957,43.5,1370,5310000
Cameroon,Africa,CMR,1957,44.5,1740,4880000
Canada,Americas,CAN,1957,70.0,14200,16600000
Cape Verde,Africa,CPV,1957,53.0,760,198000
Central African Republic,Africa,CAF,1957,39.9,1390,1440000
Chad,Africa,TCD,1957,43.4,1430,2840000
Chile,Americas,CHL,1957,57.1,5940,7220000
China,Asia,CHN,1957,49.4,782,629000000
Colombia,Americas,COL,1957,58.8,3400,15100000
Comoros,Africa,COM,1957,44.9,931,182000
"Congo, Dem. Rep.",Africa,COD,1957,45.5,2190,14200000
"Congo, Rep.",Africa,COG,1957,43.1,2070,964000
Costa Rica,Americas,CRI,1957,61.5,3760,1200000
Cote d'Ivoire,Africa,CIV,1957,39.9,2300,3220000
Croatia,Europe,HRV,1957,63.1,6350,4100000
Cuba,Americas,CUB,1957,63.7,10900,6760000
Cyprus,Europe,CYP,1957,66.7,4900,549000
Czech Republic,Europe,CZE,1957,69.1,10100,9470000
Denmark,Europe,DNK,1957,71.8,13900,4500000
Djibouti,Africa,DJI,1957,50.8,3540,73700
Dominica,Americas,DMA,1957,,2340,56600
Dominican Republic,Americas,DOM,1957,54.3,2620,2980000
Ecuador,Americas,ECU,1957,55.2,4130,4180000
Egypt,Africa,EGY,1957,45.5,1760,24800000
El Salvador,Americas,SLV,1957,50.7,3970,2550000
Equatorial Guinea,Africa,GNQ,1957,39.4,573,245000
Eritrea,Africa,ERI,1957,40.5,871,1300000
Estonia,Europe,EST,1957,67.6,6500,1180000
Ethiopia,Africa,ETH,1957,33.5,622,20800000
Fiji,Asia,FJI,1957,58.2,3310,357000
Finland,Europe,FIN,1957,67.2,9350,4320000
France,Europe,FRA,1957,69.2,10500,44400000
Gabon,Africa,GAB,1957,42.6,1140,488000
Gambia,Africa,GMB,1957,43.7,1120,331000
Georgia,Europe,GEO,1957,59.9,2960,3820000
Germany,Europe,DEU,1957,68.4,12300,72200000
Ghana,Africa,GHA,1957,49.1,1940,6050000
Greece,Europe,GRC,1957,69.1,5600,8130000
Grenada,Americas,GRD,1957,61.5,1940,84600
Guatemala,Americas,GTM,1957,43.0,3220,3850000
Guinea,Africa,GIN,1957,41.1,743,3410000
Guinea-Bissau,Africa,GNB,1957,38.2,1190,592000
Guyana,Americas,GUY,1957,59.0,3360,518000
Haiti,Americas,HTI,1957,39.2,2230,3650000
Honduras,Americas,HND,1957,47.8,2480,1870000
Hungary,Europe,HUN,1957,66.3,7840,9910000
Iceland,Europe,ISL,1957,73.6,10400,165000
India,Asia,IND,1957,39.4,953,424000000
Indonesia,Asia,IDN,1957,43.2,1800,81200000
Iran,Asia,IRN,1957,46.7,4380,20300000
Iraq,Asia,IRQ,1957,45.9,5120,6800000
Ireland,Europe,IRL,1957,69.3,7100,2860000
Israel,Asia,ISR,1957,66.3,5980,1870000
Italy,Europe,ITA,1957,67.7,8880,48900000
Jamaica,Americas,JAM,1957,62.7,5020,1580000
Japan,Asia,JPN,1957,65.7,3900,91000000
Jordan,Asia,JOR,1957,51.7,3670,779000
Kazakhstan,Asia,KAZ,1957,58.1,7660,8760000
Kenya,Africa,KEN,1957,48.7,1960,7400000
Kiribati,Asia,KIR,1957,48.2,2560,38300
Kuwait,Asia,KWT,1957,60.5,14200,205000
Kyrgyz Republic,Asia,KGZ,1957,54.1,2620,1990000
Lao,Asia,LAO,1957,39.0,1210,1980000
Latvia,Europe,LVA,1957,67.1,4990,2050000
Lebanon,Asia,LBN,1957,62.7,9750,1640000
Lesotho,Africa,LSO,1957,50.3,519,812000
Liberia,Africa,LBR,1957,40.3,1690,1050000
Libya,Africa,LBY,1957,44.5,8470,1320000
Lithuania,Europe,LTU,1957,67.6,8240,2680000
Luxembourg,Europe,LUX,1957,67.7,21700,309000
"Macedonia, FYR",Europe,MKD,1957,59.5,3330,1430000
Madagascar,Africa,MDG,1957,43.0,2210,4750000
Malawi,Africa,MWI,1957,39.5,501,3390000
Malaysia,Asia,MYS,1957,57.8,2840,7460000
Maldives,Asia,MDV,1957,31.0,1020,83400
Mali,Africa,MLI,1957,33.4,794,5090000
Malta,Europe,MLT,1957,65.9,2710,312000
Marshall Islands,Asia,MHL,1957,,1590,14100
Mauritania,Africa,MRT,1957,45.1,1480,789000
Mauritius,Africa,MUS,1957,53.5,2580,605000
Mexico,Americas,MEX,1957,55.5,5570,34700000
"Micronesia, Fed. Sts.",Asia,FSM,1957,54.9,1340,40400
Moldova,Europe,MDA,1957,58.8,3380,2780000
Mongolia,Asia,MNG,1957,45.2,1090,890000
Montenegro,Europe,MNE,1957,63.9,5420,462000
Morocco,Africa,MAR,1957,49.4,2070,11200000
Mozambique,Africa,MOZ,1957,39.7,445,6960000
Myanmar,Asia,MMR,1957,39.0,758,19700000
Namibia,Africa,NAM,1957,49.2,4230,562000
Nepal,Asia,NPL,1957,42.2,899,9600000
Netherlands,Europe,NLD,1957,73.1,12100,11000000
New Zealand,Asia,NZL,1957,70.4,15500,2230000
Nicaragua,Americas,NIC,1957,48.6,4560,1610000
Niger,Africa,NER,1957,41.5,1100,3120000
Nigeria,Africa,NGA,1957,46.8,2980,42600000
North Korea,Asia,PRK,1957,55.0,1320,10500000
Norway,Europe,NOR,1957,73.4,14300,3490000
Oman,Asia,OMN,1957,40.4,4100,516000
Pakistan,Asia,PAK,1957,45.9,1210,42000000
Palestine,Asia,PSE,1957,53.0,1180,1020000
Panama,Americas,PAN,1957,61.4,3860,1040000
Papua New Guinea,Asia,PNG,1957,42.5,1050,1890000
Paraguay,Americas,PRY,1957,66.6,2990,1760000
Peru,Americas,PER,1957,41.6,5170,9270000
Philippines,Asia,PHL,1957,58.7,2530,23800000
Poland,Europe,POL,1957,65.4,5790,28300000
Portugal,Europe,PRT,1957,61.7,4910,8780000
Qatar,Asia,QAT,1957,58.1,7740,39400
Romania,Europe,ROU,1957,63.3,5420,18000000
Russia,Europe,RUS,1957,63.6,9840,115000000
Rwanda,Africa,RWA,1957,43.1,607,2690000
Samoa,Asia,WSM,1957,56.1,3230,99500
Sao Tome and Principe,Africa,STP,1957,50.6,1140,61000
Saudi Arabia,Asia,SAU,1957,52.8,6550,3750000
Senegal,Africa,SEN,1957,44.3,1970,2960000
Serbia,Europe,SRB,1957,63.1,5800,7380000
Seychelles,Africa,SYC,1957,59.0,5560,39800
Sierra Leone,Africa,SLE,1957,38.0,1210,2210000
Singapore,Asia,SGP,1957,64.3,4120,1440000
Slovak Republic,Europe,SVK,1957,67.5,7450,3950000
Slovenia,Europe,SVN,1957,66.5,6740,1550000
Solomon Islands,Asia,SLB,1957,47.9,1060,108000
Somalia,Africa,SOM,1957,42.5,1170,2590000
South Africa,Africa,ZAF,1957,51.2,7790,16200000
South Korea,Asia,KOR,1957,51.5,1200,23000000
South Sudan,Africa,SSD,1957,40.1,2210,2810000
Spain,Europe,ESP,1957,66.4,5640,29600000
Sri Lanka,Asia,LKA,1957,58.6,1890,9190000
St. Lucia,Americas,LCA,1957,56.9,2030,87700
St. Vincent and the Grenadines,Americas,VCT,1957,54.5,2670,76600
Sudan,Africa,SDN,1957,47.1,2070,6920000
Suriname,Americas,SUR,1957,59.5,6480,265000
Swaziland,Africa,SWZ,1957,45.8,1660,324000
Sweden,Europe,SWE,1957,72.4,14000,7350000
Switzerland,Europe,CHE,1957,70.4,26100,5080000
Syria,Asia,SYR,1957,55.4,2700,4160000
Tajikistan,Asia,TJK,1957,51.9,3070,1900000
Tanzania,Africa,TZA,1957,47.3,1040,9240000
Thailand,Asia,THA,1957,55.8,1300,25100000
Timor-Leste,Asia,TLS,1957,35.3,714,476000
Togo,Africa,TGO,1957,42.1,1140,1510000
Tonga,Asia,TON,1957,60.8,1490,57400
Trinidad and Tobago,Americas,TTO,1957,60.9,6880,786000
Tunisia,Africa,TUN,1957,44.8,1870,4030000
Turkey,Europe,TUR,1957,46.8,5120,25500000
Turkmenistan,Asia,TKM,1957,51.2,6350,1450000
Uganda,Africa,UGA,1957,43.5,860,6220000
Ukraine,Europe,UKR,1957,65.8,5010,41100000
United Arab Emirates,Asia,ARE,1957,51.5,1260,83100
United Kingdom,Europe,GBR,1957,70.5,12800,51600000
United States,Americas,USA,1957,69.4,17400,178000000
Uruguay,Americas,URY,1957,67.0,8780,2440000
Uzbekistan,Asia,UZB,1957,58.0,2150,7760000
Vanuatu,Asia,VUT,1957,48.1,1420,58200
Venezuela,Americas,VEN,1957,59.3,14600,7290000
Vietnam,Asia,VNM,1957,52.2,1120,29800000
Yemen,Asia,YEM,1957,30.1,1400,4920000
Zambia,Africa,ZMB,1957,49.1,3220,2790000
Zimbabwe,Africa,ZWE,1957,52.5,1970,3410000
Afghanistan,Asia,AFG,1962,40.1,1200,9350000
Albania,Europe,ALB,1962,64.6,2910,1740000
Algeria,Africa,DZA,1962,53.2,4520,11700000
Andorra,Europe,AND,1962,,17800,15400
Angola,Africa,AGO,1962,43.6,4130,5870000
Antigua and Barbuda,Americas,ATG,1962,63.8,4640,57100
Argentina,Americas,ARG,1962,64.3,9190,21300000
Armenia,Europe,ARM,1962,62.7,2640,2010000
Australia,Asia,AUS,1962,71.3,14700,10700000
Austria,Europe,AUT,1962,69.5,12900,7160000
Azerbaijan,Europe,AZE,1962,58.5,5350,4170000
Bahamas,Americas,BHS,1962,62.6,16400,121000
Bahrain,Asia,BHR,1962,55.6,23500,173000
Bangladesh,Asia,BGD,1962,44.9,1070,51000000
Barbados,Americas,BRB,1962,65.6,5830,233000
Belarus,Europe,BLR,1962,70.0,4150,8340000
Belgium,Europe,BEL,1962,70.2,13700,9280000
Belize,Americas,BLZ,1962,61.9,2060,97400
Benin,Africa,BEN,1962,42.2,1130,2500000
Bhutan,Asia,BTN,1962,42.9,972,235000
Bolivia,Americas,BOL,1962,47.1,2770,3840000
Bosnia and Herzegovina,Europe,BIH,1962,61.9,1790,3350000
Botswana,Africa,BWA,1962,52.9,1000,551000
Brazil,Americas,BRA,1962,57.9,4830,76600000
Brunei,Asia,BRN,1962,62.1,69300,89500
Bulgaria,Europe,BGR,1962,69.3,5490,8020000
Burkina Faso,Africa,BFA,1962,39.8,717,4960000
Burundi,Africa,BDI,1962,42.7,580,2890000
Cambodia,Asia,KHM,1962,44.3,1570,6030000
Cameroon,Africa,CMR,1962,47.2,1870,5400000
Canada,Americas,CAN,1962,71.4,15300,18700000
Cape Verde,Africa,CPV,1962,53.9,879,211000
Central African Republic,Africa,CAF,1962,42.5,1380,1560000
Chad,Africa,TCD,1962,45.3,1520,3120000
Chile,Americas,CHL,1962,59.0,6210,8070000
China,Asia,CHN,1962,43.5,569,680000000
Colombia,Americas,COL,1962,62.2,3590,17500000
Comoros,Africa,COM,1962,47.1,1080,197000
"Congo, Dem. Rep.",Africa,COD,1962,47.1,2170,16000000
"Congo, Rep.",Africa,COG,1962,46.0,2400,1090000
Costa Rica,Americas,CRI,1962,64.6,4380,1430000
Cote d'Ivoire,Africa,CIV,1962,44.1,2630,3840000
Croatia,Europe,HRV,1962,65.1,8020,4250000
Cuba,Americas,CUB,1962,67.0,9490,7450000
Cyprus,Europe,CYP,1962,68.3,5980,578000
Czech Republic,Europe,CZE,1962,70.0,12400,9690000
Denmark,Europe,DNK,1962,72.3,17000,4650000
Djibouti,Africa,DJI,1962,53.8,3740,94200
Dominica,Americas,DMA,1962,,2470,62000
Dominican Republic,Americas,DOM,1962,58.7,2850,3520000
Ecuador,Americas,ECU,1962,59.0,4570,4810000
Egypt,Africa,EGY,1962,48.6,2080,28500000
El Salvador,Americas,SLV,1962,54.7,4340,2930000
Equatorial Guinea,Africa,GNQ,1962,41.2,782,263000
Eritrea,Africa,ERI,1962,42.0,948,1470000
Estonia,Europe,EST,1962,69.7,7580,1250000
Ethiopia,Africa,ETH,1962,40.4,678,23200000
Fiji,Asia,FJI,1962,60.8,3590,422000
Finland,Europe,FIN,1962,68.5,11600,4500000
France,Europe,FRA,1962,70.8,12800,47100000
Gabon,Africa,GAB,1962,44.7,1880,510000
Gambia,Africa,GMB,1962,46.3,1300,384000
Georgia,Europe,GEO,1962,61.7,3440,4150000
Germany,Europe,DEU,1962,69.9,15800,74500000
Ghana,Africa,GHA,1962,51.8,2320,7090000
Greece,Europe,GRC,1962,71.2,6840,8350000
Grenada,Americas,GRD,1962,64.0,2170,92400
Guatemala,Americas,GTM,1962,45.7,3360,4460000
Guinea,Africa,GIN,1962,42.8,891,3690000
Guinea-Bissau,Africa,GNB,1962,39.3,1310,630000
Guyana,Americas,GUY,1962,59.7,3120,606000
Haiti,Americas,HTI,1962,42.0,2320,4020000
Honduras,Americas,HND,1962,51.6,2540,2160000
Hungary,Europe,HUN,1962,67.9,10000,10100000
Iceland,Europe,ISL,1962,73.8,11600,183000
India,Asia,IND,1962,43.0,1040,468000000
Indonesia,Asia,IDN,1962,47.5,1790,92600000
Iran,Asia,IRN,1962,50.0,5710,23100000
Iraq,Asia,IRQ,1962,52.3,6710,7670000
Ireland,Europe,IRL,1962,70.2,8460,2820000
Israel,Asia,ISR,1962,67.9,7910,2260000
Italy,Europe,ITA,1962,69.1,11600,50500000
Jamaica,Americas,JAM,1962,65.8,5550,1680000
Japan,Asia,JPN,1962,68.9,5790,95500000
Jordan,Asia,JOR,1962,55.9,4560,1010000
Kazakhstan,Asia,KAZ,1962,60.4,8910,10800000
Kenya,Africa,KEN,1962,52.4,1850,8630000
Kiribati,Asia,KIR,1962,50.8,3020,43300
Kuwait,Asia,KWT,1962,64.7,23700,338000
Kyrgyz Republic,Asia,KGZ,1962,56.4,2890,2320000
Lao,Asia,LAO,1962,40.2,1260,2220000
Latvia,Europe,LVA,1962,69.8,5790,2190000
Lebanon,Asia,LBN,1962,64.3,9570,1930000
Lesotho,Africa,LSO,1962,53.6,636,882000
Liberia,Africa,LBR,1962,42.1,1740,1170000
Libya,Africa,LBY,1962,53.4,16600,1550000
Lithuania,Europe,LTU,1962,69.4,9530,2850000
Luxembourg,Europe,LUX,1962,69.1,23300,321000
"Macedonia, FYR",Europe,MKD,1962,62.9,4220,1530000
Madagascar,Africa,MDG,1962,46.0,2290,5350000
Malawi,Africa,MWI,1962,40.8,526,3780000
Malaysia,Asia,MYS,1962,60.7,3230,8690000
Maldives,Asia,MDV,1962,33.4,1140,94900
Mali,Africa,MLI,1962,34.5,815,5380000
Malta,Europe,MLT,1962,67.3,2720,315000
Marshall Islands,Asia,MHL,1962,,1780,15500
Mauritania,Africa,MRT,1962,49.1,1890,909000
Mauritius,Africa,MUS,1962,58.6,3240,698000
Mexico,Americas,MEX,1962,58.9,6210,40600000
"Micronesia, Fed. Sts.",Asia,FSM,1962,56.8,1480,47400
Moldova,Europe,MDA,1962,60.5,3890,3150000
Mongolia,Asia,MNG,1962,49.5,1290,1010000
Montenegro,Europe,MNE,1962,67.5,6920,510000
Morocco,Africa,MAR,1962,51.7,2000,13100000
Mozambique,Africa,MOZ,1962,42.9,496,7700000
Myanmar,Asia,MMR,1962,42.1,861,21900000
Namibia,Africa,NAM,1962,53.0,5140,633000
Nepal,Asia,NPL,1962,44.9,971,10400000
Netherlands,Europe,NLD,1962,73.3,13700,11800000
New Zealand,Asia,NZL,1962,71.4,16700,2480000
Nicaragua,Americas,NIC,1962,52.3,4770,1890000
Niger,Africa,NER,1962,42.3,1330,3590000
Nigeria,Africa,NGA,1962,50.5,3590,47000000
North Korea,Asia,PRK,1962,58.3,1590,11900000
Norway,Europe,NOR,1962,73.4,16700,3640000
Oman,Asia,OMN,1962,44.6,5420,579000
Pakistan,Asia,PAK,1962,51.1,1310,47100000
Palestine,Asia,PSE,1962,56.0,1110,1130000
Panama,Americas,PAN,1962,64.3,4630,1200000
Papua New Guinea,Asia,PNG,1962,46.0,1190,2090000
Paraguay,Americas,PRY,1962,68.0,3130,2010000
Peru,Americas,PER,1962,43.8,5900,10700000
Philippines,Asia,PHL,1962,60.4,2710,28100000
Poland,Europe,POL,1962,67.6,6580,30400000
Portugal,Europe,PRT,1962,64.6,6160,8940000
