date,Date,CDID,Value,series
2004 MAR,2004-03-15,WUMW,0.31,Transport
2004 MAR,2004-03-15,WUMX,0.01,Communication
2004 MAR,2004-03-15,WUNC,-0.41,RecreationCulture
2004 MAR,2004-03-15,WUND,0.09,Education
2004 MAR,2004-03-15,WUNE,0.41,RestaurantsHotels
2004 MAR,2004-03-15,WUNG,0.43,Misc
2004 MAY,2004-05-15,WUMA,0.11,Food
2004 MAY,2004-05-15,WUMB,0.09,AlcoholTobacco
2004 MAY,2004-05-15,WUMC,-0.29,ClothingFootwear
2004 MAY,2004-05-15,WUMD,0.38,HousingHouseService
2004 MAY,2004-05-15,WUMP,-0.01,FurnitureHousehold
2004 MAY,2004-05-15,WUMQ,0.05,Health
2004 MAY,2004-05-15,WUMW,0.55,Transport
2004 MAY,2004-05-15,WUMX,0.02,Communication
2004 MAY,2004-05-15,WUNC,-0.31,RecreationCulture
2004 MAY,2004-05-15,WUND,0.09,Education
2004 MAY,2004-05-15,WUNE,0.41,RestaurantsHotels
2004 MAY,2004-05-15,WUNG,0.39,Misc
2004 NOV,2004-11-15,WUMA,-0.05,Food
2004 NOV,2004-11-15,WUMB,0.1,AlcoholTobacco
2004 NOV,2004-11-15,WUMC,-0.33,ClothingFootwear
2004 NOV,2004-11-15,WUMD,0.51,HousingHouseService
2004 NOV,2004-11-15,WUMP,-0.03,FurnitureHousehold
2004 NOV,2004-11-15,WUMQ,0.03,Health
2004 NOV,2004-11-15,WUMW,0.6,Transport
2004 NOV,2004-11-15,WUMX,-0.05,Communication
2004 NOV,2004-11-15,WUNC,-0.14,RecreationCulture
2004 NOV,2004-11-15,WUND,0.08,Education
2004 NOV,2004-11-15,WUNE,0.4,RestaurantsHotels
2004 NOV,2004-11-15,WUNG,0.34,Misc
2004 OCT,2004-10-15,WUMA,-0.07,Food
2004 OCT,2004-10-15,WUMB,0.09,AlcoholTobacco
2004 OCT,2004-10-15,WUMC,-0.34,ClothingFootwear
2004 OCT,2004-10-15,WUMD,0.45,HousingHouseService
2004 OCT,2004-10-15,WUMP,-0.04,FurnitureHousehold
2004 OCT,2004-10-15,WUMQ,0.03,Health
2004 OCT,2004-10-15,WUMW,0.5,Transport
2004 OCT,2004-10-15,WUMX,-0.06,Communication
2004 OCT,2004-10-15,WUNC,-0.15,RecreationCulture
2004 OCT,2004-10-15,WUND,0.08,Education
2004 OCT,2004-10-15,WUNE,0.39,RestaurantsHotels
2004 OCT,2004-10-15,WUNG,0.32,Misc
2004 SEP,2004-09-15,WUMA,-0.07,Food
2004 SEP,2004-09-15,WUMB,0.1,AlcoholTobacco
2004 SEP,2004-09-15,WUMC,-0.37,ClothingFootwear
2004 SEP,2004-09-15,WUMD,0.39,HousingHouseService
2004 SEP,2004-09-15,WUMP,-0.04,FurnitureHousehold
2004 SEP,2004-09-15,WUMQ,0.03,Health
2004 SEP,2004-09-15,WUMW,0.5,Transport
2004 SEP,2004-09-15,WUMX,-0.07,Communication
2004 SEP,2004-09-15,WUNC,-0.16,RecreationCulture
2004 SEP,2004-09-15,WUND,0.08,Education
2004 SEP,2004-09-15,WUNE,0.37,RestaurantsHotels
2004 SEP,2004-09-15,WUNG,0.32,Misc
2005 APR,2005-04-15,WUMA,0.11,Food
2005 APR,2005-04-15,WUMB,0.1,AlcoholTobacco
2005 APR,2005-04-15,WUMC,-0.34,ClothingFootwear
2005 APR,2005-04-15,WUMD,0.67,HousingHouseService
2005 APR,2005-04-15,WUMP,-0.04,FurnitureHousehold
2005 APR,2005-04-15,WUMQ,0.06,Health
2005 APR,2005-04-15,WUMW,0.57,Transport
2005 APR,2005-04-15,WUMX,-0.09,Communication
2005 APR,2005-04-15,WUNC,-0.09,RecreationCulture
2005 APR,2005-04-15,WUND,0.08,Education
2005 APR,2005-04-15,WUNE,0.45,RestaurantsHotels
2005 APR,2005-04-15,WUNG,0.46,Misc
2005 AUG,2005-08-15,WUMA,0.23,Food
2005 AUG,2005-08-15,WUMB,0.08,AlcoholTobacco
2005 AUG,2005-08-15,WUMC,-0.29,ClothingFootwear
2005 AUG,2005-08-15,WUMD,0.66,HousingHouseService
2005 AUG,2005-08-15,WUMP,0.05,FurnitureHousehold
2005 AUG,2005-08-15,WUMQ,0.09,Health
2005 AUG,2005-08-15,WUMW,0.83,Transport
2005 AUG,2005-08-15,WUMX,-0.05,Communication
2005 AUG,2005-08-15,WUNC,-0.3,RecreationCulture
2005 AUG,2005-08-15,WUND,0.08,Education
2005 AUG,2005-08-15,WUNE,0.49,RestaurantsHotels
2005 AUG,2005-08-15,WUNG,0.55,Misc
2005 DEC,2005-12-15,WUMA,0.18,Food
2005 DEC,2005-12-15,WUMB,0.12,AlcoholTobacco
2005 DEC,2005-12-15,WUMC,-0.27,ClothingFootwear
2005 DEC,2005-12-15,WUMD,0.67,HousingHouseService
2005 DEC,2005-12-15,WUMP,0.01,FurnitureHousehold
2005 DEC,2005-12-15,WUMQ,0.06,Health
2005 DEC,2005-12-15,WUMW,0.42,Transport
2005 DEC,2005-12-15,WUMX,-0.03,Communication
2005 DEC,2005-12-15,WUNC,-0.26,RecreationCulture
2005 DEC,2005-12-15,WUND,0.08,Education
2005 DEC,2005-12-15,WUNE,0.48,RestaurantsHotels
2005 DEC,2005-12-15,WUNG,0.46,Misc
2005 FEB,2005-02-15,WUMA,0.09,Food
2005 FEB,2005-02-15,WUMB,0.13,AlcoholTobacco
2005 FEB,2005-02-15,WUMC,-0.37,ClothingFootwear
2005 FEB,2005-02-15,WUMD,0.6,HousingHouseService
2005 FEB,2005-02-15,WUMP,-0.05,FurnitureHousehold
2005 FEB,2005-02-15,WUMQ,0.06,Health
2005 FEB,2005-02-15,WUMW,0.5,Transport
2005 FEB,2005-02-15,WUMX,-0.07,Communication
2005 FEB,2005-02-15,WUNC,-0.11,RecreationCulture
2005 FEB,2005-02-15,WUND,0.08,Education
2005 FEB,2005-02-15,WUNE,0.42,RestaurantsHotels
2005 FEB,2005-02-15,WUNG,0.37,Misc
2005 JAN,2005-01-15,WUMA,0.04,Food
2005 JAN,2005-01-15,WUMB,0.11,AlcoholTobacco
2005 JAN,2005-01-15,WUMC,-0.38,ClothingFootwear
2005 JAN,2005-01-15,WUMD,0.6,HousingHouseService
2005 JAN,2005-01-15,WUMP,0.01,FurnitureHousehold
2005 JAN,2005-01-15,WUMQ,0.06,Health
2005 JAN,2005-01-15,WUMW,0.43,Transport
2005 JAN,2005-01-15,WUMX,-0.06,Communication
2005 JAN,2005-01-15,WUNC,-0.06,RecreationCulture
2005 JAN,2005-01-15,WUND,0.08,Education
2005 JAN,2005-01-15,WUNE,0.4,RestaurantsHotels
2005 JAN,2005-01-15,WUNG,0.39,Misc
2005 JUL,2005-07-15,WUMA,0.18,Food
2005 JUL,2005-07-15,WUMB,0.1,AlcoholTobacco
2005 JUL,2005-07-15,WUMC,-0.32,ClothingFootwear
2005 JUL,2005-07-15,WUMD,0.69,HousingHouseService
2005 JUL,2005-07-15,WUMP,0.08,FurnitureHousehold
2005 JUL,2005-07-15,WUMQ,0.08,Health
2005 JUL,2005-07-15,WUMW,0.7,Transport
2005 JUL,2005-07-15,WUMX,-0.07,Communication
2005 JUL,2005-07-15,WUNC,-0.23,RecreationCulture
2005 JUL,2005-07-15,WUND,0.08,Education
2005 JUL,2005-07-15,WUNE,0.48,RestaurantsHotels
2005 JUL,2005-07-15,WUNG,0.56,Misc
2005 JUN,2005-06-15,WUMA,0.23,Food
2005 JUN,2005-06-15,WUMB,0.11,AlcoholTobacco
2005 JUN,2005-06-15,WUMC,-0.3,ClothingFootwear
2005 JUN,2005-06-15,WUMD,0.66,HousingHouseService
2005 JUN,2005-06-15,WUMP,-0.02,FurnitureHousehold
2005 JUN,2005-06-15,WUMQ,0.06,Health
2005 JUN,2005-06-15,WUMW,0.51,Transport
2005 JUN,2005-06-15,WUMX,-0.08,Communication
2005 JUN,2005-06-15,WUNC,-0.18,RecreationCulture
2005 JUN,2005-06-15,WUND,0.08,Education
2005 JUN,2005-06-15,WUNE,0.44,RestaurantsHotels
2005 JUN,2005-06-15,WUNG,0.49,Misc
2005 MAR,2005-03-15,WUMA,0.18,Food
2005 MAR,2005-03-15,WUMB,0.1,AlcoholTobacco
2005 MAR,2005-03-15,WUMC,-0.33,ClothingFootwear
2005 MAR,2005-03-15,WUMD,0.6,HousingHouseService
2005 MAR,2005-03-15,WUMP,0.03,FurnitureHousehold
2005 MAR,2005-03-15,WUMQ,0.06,Health
2005 MAR,2005-03-15,WUMW,0.61,Transport
2005 MAR,2005-03-15,WUMX,-0.08,Communication
2005 MAR,2005-03-15,WUNC,-0.11,RecreationCulture
2005 MAR,2005-03-15,WUND,0.08,Education
2005 MAR,2005-03-15,WUNE,0.39,RestaurantsHotels
2005 MAR,2005-03-15,WUNG,0.39,Misc
2005 MAY,2005-05-15,WUMA,0.15,Food
2005 MAY,2005-05-15,WUMB,0.11,AlcoholTobacco
2005 MAY,2005-05-15,WUMC,-0.35,ClothingFootwear
2005 MAY,2005-05-15,WUMD,0.66,HousingHouseService
2005 MAY,2005-05-15,WUMP,-0.05,FurnitureHousehold
2005 MAY,2005-05-15,WUMQ,0.07,Health
2005 MAY,2005-05-15,WUMW,0.51,Transport
2005 MAY,2005-05-15,WUMX,-0.09,Communication
2005 MAY,2005-05-15,WUNC,-0.08,RecreationCulture
2005 MAY,2005-05-15,WUND,0.08,Education
2005 MAY,2005-05-15,WUNE,0.46,RestaurantsHotels
2005 MAY,2005-05-15,WUNG,0.46,Misc
2005 NOV,2005-11-15,WUMA,0.18,Food
2005 NOV,2005-11-15,WUMB,0.12,AlcoholTobacco
2005 NOV,2005-11-15,WUMC,-0.33,ClothingFootwear
2005 NOV,2005-11-15,WUMD,0.68,HousingHouseService
2005 NOV,2005-11-15,WUMP,0.03,FurnitureHousehold
2005 NOV,2005-11-15,WUMQ,0.07,Health
2005 NOV,2005-11-15,WUMW,0.62,Transport
2005 NOV,2005-11-15,WUMX,-0.03,Communication
2005 NOV,2005-11-15,WUNC,-0.23,RecreationCulture
2005 NOV,2005-11-15,WUND,0.08,Education
2005 NOV,2005-11-15,WUNE,0.48,RestaurantsHotels
2005 NOV,2005-11-15,WUNG,0.47,Misc
2005 OCT,2005-10-15,WUMA,0.16,Food
2005 OCT,2005-10-15,WUMB,0.09,AlcoholTobacco
2005 OCT,2005-10-15,WUMC,-0.34,ClothingFootwear
2005 OCT,2005-10-15,WUMD,0.68,HousingHouseService
2005 OCT,2005-10-15,WUMP,0.03,FurnitureHousehold
2005 OCT,2005-10-15,WUMQ,0.07,Health
2005 OCT,2005-10-15,WUMW,0.87,Transport
2005 OCT,2005-10-15,WUMX,-0.04,Communication
2005 OCT,2005-10-15,WUNC,-0.23,RecreationCulture
2005 OCT,2005-10-15,WUND,0.08,Education
2005 OCT,2005-10-15,WUNE,0.52,RestaurantsHotels
2005 OCT,2005-10-15,WUNG,0.46,Misc
2005 SEP,2005-09-15,WUMA,0.2,Food
2005 SEP,2005-09-15,WUMB,0.07,AlcoholTobacco
2005 SEP,2005-09-15,WUMC,-0.34,ClothingFootwear
2005 SEP,2005-09-15,WUMD,0.67,HousingHouseService
2005 SEP,2005-09-15,WUMP,0.02,FurnitureHousehold
2005 SEP,2005-09-15,WUMQ,0.07,Health
2005 SEP,2005-09-15,WUMW,0.9,Transport
2005 SEP,2005-09-15,WUMX,-0.03,Communication
2005 SEP,2005-09-15,WUNC,-0.24,RecreationCulture
2005 SEP,2005-09-15,WUND,0.08,Education
2005 SEP,2005-09-15,WUNE,0.52,RestaurantsHotels
2005 SEP,2005-09-15,WUNG,0.55,Misc
2006 APR,2006-04-15,WUMA,0.04,Food
2006 APR,2006-04-15,WUMB,0.11,AlcoholTobacco
2006 APR,2006-04-15,WUMC,-0.29,ClothingFootwear
2006 APR,2006-04-15,WUMD,0.81,HousingHouseService
2006 APR,2006-04-15,WUMP,-0.08,FurnitureHousehold
2006 APR,2006-04-15,WUMQ,0.07,Health
2006 APR,2006-04-15,WUMW,0.67,Transport
2006 APR,2006-04-15,WUMX,0.01,Communication
2006 APR,2006-04-15,WUNC,-0.24,RecreationCulture
2006 APR,2006-04-15,WUND,0.08,Education
2006 APR,2006-04-15,WUNE,0.41,RestaurantsHotels
2006 APR,2006-04-15,WUNG,0.44,Misc
2006 AUG,2006-08-15,WUMA,0.35,Food
2006 AUG,2006-08-15,WUMB,0.14,AlcoholTobacco
2006 AUG,2006-08-15,WUMC,-0.26,ClothingFootwear
2006 AUG,2006-08-15,WUMD,1.11,HousingHouseService
2006 AUG,2006-08-15,WUMP,-0.06,FurnitureHousehold
2006 AUG,2006-08-15,WUMQ,0.06,Health
2006 AUG,2006-08-15,WUMW,0.39,Transport
2006 AUG,2006-08-15,WUMX,-0.02,Communication
2006 AUG,2006-08-15,WUNC,-0.14,RecreationCulture
2006 AUG,2006-08-15,WUND,0.08,Education
2006 AUG,2006-08-15,WUNE,0.41,RestaurantsHotels
2006 AUG,2006-08-15,WUNG,0.41,Misc
2006 DEC,2006-12-15,WUMA,0.47,Food
2006 DEC,2006-12-15,WUMB,0.12,AlcoholTobacco
2006 DEC,2006-12-15,WUMC,-0.27,ClothingFootwear
2006 DEC,2006-12-15,WUMD,1.22,HousingHouseService
2006 DEC,2006-12-15,WUMP,0.06,FurnitureHousehold
2006 DEC,2006-12-15,WUMQ,0.09,Health
2006 DEC,2006-12-15,WUMW,0.32,Transport
2006 DEC,2006-12-15,WUMX,0.01,Communication
2006 DEC,2006-12-15,WUNC,-0.05,RecreationCulture
2006 DEC,2006-12-15,WUND,0.24,Education
2006 DEC,2006-12-15,WUNE,0.43,RestaurantsHotels
2006 DEC,2006-12-15,WUNG,0.34,Misc
2006 FEB,2006-02-15,WUMA,0.12,Food
2006 FEB,2006-02-15,WUMB,0.07,AlcoholTobacco
2006 FEB,2006-02-15,WUMC,-0.31,ClothingFootwear
2006 FEB,2006-02-15,WUMD,0.67,HousingHouseService
2006 FEB,2006-02-15,WUMP,-0.06,FurnitureHousehold
2006 FEB,2006-02-15,WUMQ,0.06,Health
2006 FEB,2006-02-15,WUMW,0.64,Transport
2006 FEB,2006-02-15,WUMX,0.01,Communication
2006 FEB,2006-02-15,WUNC,-0.12,RecreationCulture
2006 FEB,2006-02-15,WUND,0.08,Education
2006 FEB,2006-02-15,WUNE,0.49,RestaurantsHotels
2006 FEB,2006-02-15,WUNG,0.4,Misc
2006 JAN,2006-01-15,WUMA,0.13,Food
2006 JAN,2006-01-15,WUMB,0.1,AlcoholTobacco
2006 JAN,2006-01-15,WUMC,-0.31,ClothingFootwear
2006 JAN,2006-01-15,WUMD,0.66,HousingHouseService
2006 JAN,2006-01-15,WUMP,-0.08,FurnitureHousehold
2006 JAN,2006-01-15,WUMQ,0.06,Health
2006 JAN,2006-01-15,WUMW,0.75,Transport
2006 JAN,2006-01-15,WUMX,0.01,Communication
2006 JAN,2006-01-15,WUNC,-0.31,RecreationCulture
2006 JAN,2006-01-15,WUND,0.08,Education
2006 JAN,2006-01-15,WUNE,0.48,RestaurantsHotels
2006 JAN,2006-01-15,WUNG,0.39,Misc
2006 JUL,2006-07-15,WUMA,0.33,Food
2006 JUL,2006-07-15,WUMB,0.12,AlcoholTobacco
2006 JUL,2006-07-15,WUMC,-0.31,ClothingFootwear
2006 JUL,2006-07-15,WUMD,1.06,HousingHouseService
2006 JUL,2006-07-15,WUMP,-0.12,FurnitureHousehold
2006 JUL,2006-07-15,WUMQ,0.06,Health
2006 JUL,2006-07-15,WUMW,0.53,Transport
2006 JUL,2006-07-15,WUMX,0.01,Communication
2006 JUL,2006-07-15,WUNC,-0.2,RecreationCulture
2006 JUL,2006-07-15,WUND,0.08,Education
2006 JUL,2006-07-15,WUNE,0.43,RestaurantsHotels
2006 JUL,2006-07-15,WUNG,0.39,Misc
2006 JUN,2006-06-15,WUMA,0.19,Food
2006 JUN,2006-06-15,WUMB,0.14,AlcoholTobacco
2006 JUN,2006-06-15,WUMC,-0.26,ClothingFootwear
2006 JUN,2006-06-15,WUMD,1.03,HousingHouseService
2006 JUN,2006-06-15,WUMP,-0.02,FurnitureHousehold
2006 JUN,2006-06-15,WUMQ,0.07,Health
2006 JUN,2006-06-15,WUMW,0.59,Transport
2006 JUN,2006-06-15,WUMX,-0.01,Communication
2006 JUN,2006-06-15,WUNC,-0.24,RecreationCulture
2006 JUN,2006-06-15,WUND,0.08,Education
2006 JUN,2006-06-15,WUNE,0.44,RestaurantsHotels
2006 JUN,2006-06-15,WUNG,0.47,Misc
2006 MAR,2006-03-15,WUMA,-0.04,Food
2006 MAR,2006-03-15,WUMB,0.11,AlcoholTobacco
2006 MAR,2006-03-15,WUMC,-0.31,ClothingFootwear
2006 MAR,2006-03-15,WUMD,0.73,HousingHouseService
2006 MAR,2006-03-15,WUMP,-0.04,FurnitureHousehold
2006 MAR,2006-03-15,WUMQ,0.05,Health
2006 MAR,2006-03-15,WUMW,0.53,Transport
2006 MAR,2006-03-15,WUMX,0.01,Communication
2006 MAR,2006-03-15,WUNC,-0.2,RecreationCulture
2006 MAR,2006-03-15,WUND,0.08,Education
2006 MAR,2006-03-15,WUNE,0.49,RestaurantsHotels
2006 MAR,2006-03-15,WUNG,0.4,Misc
2006 MAY,2006-05-15,WUMA,0.12,Food
2006 MAY,2006-05-15,WUMB,0.1,AlcoholTobacco
2006 MAY,2006-05-15,WUMC,-0.24,ClothingFootwear
2006 MAY,2006-05-15,WUMD,0.95,HousingHouseService
2006 MAY,2006-05-15,WUMP,-0.07,FurnitureHousehold
2006 MAY,2006-05-15,WUMQ,0.07,Health
2006 MAY,2006-05-15,WUMW,0.6,Transport
2006 MAY,2006-05-15,WUMX,-0.01,Communication
2006 MAY,2006-05-15,WUNC,-0.23,RecreationCulture
2006 MAY,2006-05-15,WUND,0.08,Education
2006 MAY,2006-05-15,WUNE,0.44,RestaurantsHotels
2006 MAY,2006-05-15,WUNG,0.44,Misc
2006 NOV,2006-11-15,WUMA,0.51,Food
2006 NOV,2006-11-15,WUMB,0.12,AlcoholTobacco
2006 NOV,2006-11-15,WUMC,-0.21,ClothingFootwear
2006 NOV,2006-11-15,WUMD,1.19,HousingHouseService
2006 NOV,2006-11-15,WUMP,-0.05,FurnitureHousehold
2006 NOV,2006-11-15,WUMQ,0.07,Health
2006 NOV,2006-11-15,WUMW,0.12,Transport
2006 NOV,2006-11-15,WUMX,0.02,Communication
2006 NOV,2006-11-15,WUNC,-0.11,RecreationCulture
2006 NOV,2006-11-15,WUND,0.24,Education
2006 NOV,2006-11-15,WUNE,0.43,RestaurantsHotels
2006 NOV,2006-11-15,WUNG,0.37,Misc
2006 OCT,2006-10-15,WUMA,0.48,Food
2006 OCT,2006-10-15,WUMB,0.14,AlcoholTobacco
2006 OCT,2006-10-15,WUMC,-0.21,ClothingFootwear
2006 OCT,2006-10-15,WUMD,1.15,HousingHouseService
2006 OCT,2006-10-15,WUMP,-0.05,FurnitureHousehold
2006 OCT,2006-10-15,WUMQ,0.07,Health
2006 OCT,2006-10-15,WUMW,-0.07,Transport
2006 OCT,2006-10-15,WUMX,0.02,Communication
2006 OCT,2006-10-15,WUNC,-0.16,RecreationCulture
2006 OCT,2006-10-15,WUND,0.24,Education
2006 OCT,2006-10-15,WUNE,0.41,RestaurantsHotels
2006 OCT,2006-10-15,WUNG,0.4,Misc
2006 SEP,2006-09-15,WUMA,0.4,Food
2006 SEP,2006-09-15,WUMB,0.15,AlcoholTobacco
2006 SEP,2006-09-15,WUMC,-0.23,ClothingFootwear
2006 SEP,2006-09-15,WUMD,1.13,HousingHouseService
2006 SEP,2006-09-15,WUMP,0.02,FurnitureHousehold
2006 SEP,2006-09-15,WUMQ,0.07,Health
2006 SEP,2006-09-15,WUMW,0.11,Transport
2006 SEP,2006-09-15,WUMX,0.0,Communication
2006 SEP,2006-09-15,WUNC,-0.15,RecreationCulture
2006 SEP,2006-09-15,WUND,0.12,Education
2006 SEP,2006-09-15,WUNE,0.39,RestaurantsHotels
2006 SEP,2006-09-15,WUNG,0.42,Misc
2007 APR,2007-04-15,WUMA,0.61,Food
2007 APR,2007-04-15,WUMB,0.2,AlcoholTobacco
2007 APR,2007-04-15,WUMC,-0.18,ClothingFootwear
2007 APR,2007-04-15,WUMD,0.87,HousingHouseService
2007 APR,2007-04-15,WUMP,0.19,FurnitureHousehold
2007 APR,2007-04-15,WUMQ,0.08,Health
2007 APR,2007-04-15,WUMW,0.23,Transport
2007 APR,2007-04-15,WUMX,-0.09,Communication
2007 APR,2007-04-15,WUNC,-0.13,RecreationCulture
2007 APR,2007-04-15,WUND,0.24,Education
2007 APR,2007-04-15,WUNE,0.51,RestaurantsHotels
2007 APR,2007-04-15,WUNG,0.25,Misc
2007 AUG,2007-08-15,WUMA,0.3,Food
2007 AUG,2007-08-15,WUMB,0.14,AlcoholTobacco
2007 AUG,2007-08-15,WUMC,-0.22,ClothingFootwear
2007 AUG,2007-08-15,WUMD,0.31,HousingHouseService
2007 AUG,2007-08-15,WUMP,0.11,FurnitureHousehold
