code,municipality,department,tables,total_tables,voters,total_voters,votes_by_candidate,votes_blank,vote_null,votes_unmarked,iván duque,gustavo petro,dane
1163,La Ceja,Antioquia,117,117,32580,47648,29944,1941,624,71,24631,5313,5376
1166,La Estrella,Antioquia,142,142,32017,58076,29088,2225,665,39,21947,7141,5380
1170,La Pintada,Antioquia,19,19,3587,6961,3419,108,47,13,2857,562,5390
1169,La Union,Antioquia,46,46,10996,17164,10322,496,154,24,8629,1693,5400
1172,Liborina,Antioquia,26,26,4761,9118,4506,192,50,13,4023,483,5411
1175,Maceo,Antioquia,21,21,3688,7719,3509,132,37,10,3017,492,5425
1178,Marinilla,Antioquia,94,94,27183,41281,25616,1183,340,44,20473,5143,5440
1001,Medellin,Antioquia,4048,4048,975010,1588150,901761,59119,13027,1103,693334,208427,5001
1181,Montebello,Antioquia,17,17,3017,6185,2807,135,53,22,2465,342,5467
1184,Murindo,Antioquia,10,10,1299,3010,1274,10,7,8,148,1126,5475
1187,Mutata,Antioquia,30,30,4231,10699,4054,93,69,15,2418,1636,5480
1190,Nariño,Antioquia,27,27,4114,8821,4016,69,15,14,3850,166,5483
1191,Nechi,Antioquia,51,51,5139,18198,5003,86,43,7,3680,1323,5495
1192,Necocli,Antioquia,91,91,12927,33425,12369,268,145,145,8124,4245,5490
1193,Olaya,Antioquia,9,9,1611,2914,1543,48,14,6,1368,175,5501
1199,Peque,Antioquia,19,19,3046,6063,2818,113,51,64,2370,448,5543
1196,Peñol,Antioquia,43,43,9527,16308,9102,316,96,13,7959,1143,5541
1202,Pueblorrico,Antioquia,19,19,3502,7106,3389,76,27,10,3044,345,5576
1205,Puerto Berrio,Antioquia,95,95,14071,34079,13068,637,326,40,9603,3465,5579
1168,Puerto Nare-La Magdalena,Antioquia,35,35,5529,11937,5320,103,93,13,3387,1933,5585
1206,Puerto Triunfo,Antioquia,38,38,7321,13768,7010,201,89,21,5970,1040,5591
1208,Remedios,Antioquia,49,49,5562,18027,4924,454,152,32,2952,1972,5604
1211,Retiro,Antioquia,45,45,12015,17049,11298,562,131,24,9830,1468,5607
1214,Rionegro,Antioquia,270,270,69946,103860,64733,3907,1217,89,51663,13070,5615
1217,Sabanalarga,Antioquia,19,19,3463,7134,3296,115,36,16,3001,295,5628
1218,Sabaneta,Antioquia,173,173,45394,70193,42127,2710,521,36,33070,9057,5631
1220,Salgar,Antioquia,37,37,6344,13482,6164,127,40,13,5817,347,5642
1223,San Andres,Antioquia,18,18,2151,5255,1971,92,61,27,1714,257,5647
1226,San Carlos,Antioquia,39,39,7274,14045,6920,238,92,24,5911,1009,5649
1227,San Francisco,Antioquia,17,17,2799,6182,2713,49,26,11,2385,328,5652
1229,San Jeronimo,Antioquia,34,34,6450,12393,6121,240,78,11,5512,609,5656
1230,San Jose De La Montaña,Antioquia,9,9,1550,3122,1433,79,23,15,1280,153,5658
1231,San Juan De Uraba,Antioquia,50,50,7389,17747,7202,114,48,25,4353,2849,5659
1232,San Luis,Antioquia,31,31,6102,11011,5879,167,39,17,5232,647,5660
1235,San Pedro,Antioquia,55,55,11647,20146,10906,567,153,21,9677,1229,5664
1237,San Pedro De Uraba,Antioquia,69,69,10576,25750,10251,228,74,23,8010,2241,5665
1238,San Rafael,Antioquia,33,33,6240,12273,5892,234,93,21,5058,834,5667
1241,San Roque,Antioquia,41,41,7130,14772,6761,218,104,47,6070,691,5670
1244,San Vicente,Antioquia,48,48,10153,16236,9717,287,123,26,8327,1390,5674
1247,Santa Barbara,Antioquia,63,63,10676,22126,9917,515,216,28,8174,1743,5679
1250,Santa Rosa De Osos,Antioquia,73,73,15497,26407,14313,756,362,66,12619,1694,5686
1253,Santo Domingo,Antioquia,29,29,4696,9172,4422,159,80,35,3890,532,5690
1256,Santuario,Antioquia,74,74,18244,27101,17483,526,124,111,15693,1790,5697
1259,Segovia,Antioquia,74,74,7599,27130,6680,650,245,24,2703,3977,5736
1262,Sonson,Antioquia,86,86,15161,26908,14558,412,160,31,13495,1063,5756
1265,Sopetran,Antioquia,36,36,5968,12280,5565,281,109,13,4510,1055,5761
1268,Tamesis,Antioquia,40,40,7714,14424,7249,335,107,23,6059,1190,5789
1270,Taraza,Antioquia,71,71,5480,25880,5049,253,150,28,2698,2351,5790
1271,Tarso,Antioquia,16,16,2510,5894,2414,64,21,11,1887,527,5792
1274,Titiribi,Antioquia,26,26,3650,8672,3389,172,76,13,2941,448,5809
1277,Toledo,Antioquia,13,13,1790,4502,1564,135,64,27,1288,276,5819
1280,Turbo,Antioquia,224,224,36632,85106,35026,1008,511,87,17844,17182,5837
1282,Uramita,Antioquia,18,18,2853,6353,2634,147,52,20,2380,254,5842
1283,Urrao,Antioquia,63,63,8729,22724,8195,374,117,43,6904,1291,5847
1286,Valdivia,Antioquia,32,32,3306,11987,3050,155,68,33,2085,965,5854
1289,Valparaiso,Antioquia,17,17,2775,5656,2571,133,58,13,2049,522,5856
1290,Vegachi,Antioquia,28,28,4111,10324,3917,119,55,20,3572,345,5858
1292,Venecia,Antioquia,33,33,5105,11084,4874,166,56,9,4222,652,5861
1291,Vigia Del Fuerte,Antioquia,20,20,2066,6068,1964,71,18,13,698,1266,5873
1293,Yali,Antioquia,16,16,2627,6094,2503,82,32,10,2146,357,5885
1295,Yarumal,Antioquia,86,86,14481,33089,13415,719,284,63,11397,2018,5887
1298,Yolombo,Antioquia,44,44,6444,15720,6093,228,88,35,5200,893,5890
1300,Yondo-Casabe,Antioquia,37,37,7118,12961,6636,260,208,14,3620,3016,5893
1301,Zaragoza,Antioquia,52,52,5700,19182,5351,195,126,28,3407,1944,5895
40001,Arauca,Arauca,185,185,36015,70548,34318,1208,430,59,28788,5530,81001
40010,Arauquita,Arauca,81,81,12740,28989,11984,421,286,49,5227,6757,81065
40015,Cravo Norte,Arauca,10,10,1506,3637,1450,44,7,5,1324,126,81220
40017,Fortul,Arauca,31,31,5689,11663,5341,208,123,17,1862,3479,81300
40020,Puerto Rondon,Arauca,16,16,1722,3820,1667,31,14,10,1500,167,81591
40025,Saravena,Arauca,93,93,17165,34492,16060,680,384,41,9218,6842,81736
40005,Tame,Arauca,97,97,18417,34040,17455,623,274,65,11498,5957,81794
3004,Baranoa,Atlantico,127,127,23592,47096,23002,414,152,24,8435,14567,8078
3001,Barranquilla,Atlantico,2797,2797,448357,1066702,433958,11499,2408,492,191485,242473,8001
3007,Campo De La Cruz,Atlantico,54,54,8221,20612,8064,104,46,7,5779,2285,8137
3010,Candelaria,Atlantico,34,34,5234,12514,5143,57,23,11,3789,1354,8141
3013,Galapa,Atlantico,105,105,15970,38793,15516,318,125,11,5719,9797,8296
3016,Juan De Acosta,Atlantico,51,51,8494,18541,8292,143,50,9,5074,3218,8372
3019,Luruaco,Atlantico,67,67,9340,24168,9097,148,71,24,5647,3450,8421
3022,Malambo,Atlantico,203,203,32535,81189,31744,540,223,28,11660,20084,8433
3025,Manati,Atlantico,38,38,5492,14291,5358,93,35,6,3941,1417,8436
3028,Palmar De Varela,Atlantico,55,55,9345,20785,9099,169,64,13,3116,5983,8520
3031,Piojo,Atlantico,17,17,2519,5548,2411,25,76,7,1362,1049,8549
3034,Polonuevo,Atlantico,35,35,7109,13033,6918,110,64,17,2230,4688,8558
3035,Ponedera,Atlantico,51,51,7776,18526,7617,91,58,10,4471,3146,8560
3037,Puerto Colombia,Atlantico,94,94,16206,34795,15761,345,95,5,6841,8920,8573
3040,Repelon,Atlantico,54,54,9051,19147,8830,134,62,25,5643,3187,8606
3043,Sabanagrande,Atlantico,63,63,11809,23704,11484,225,90,10,4709,6775,8634
3046,Sabanalarga,Atlantico,180,180,34024,67099,33055,617,312,40,14589,18466,8638
3047,Santa Lucia,Atlantico,30,30,5402,11057,5337,40,21,4,3877,1460,8675
3049,Santo Tomas,Atlantico,72,72,12346,26967,12002,270,60,14,4390,7612,8685
3052,Soledad,Atlantico,727,727,119546,275722,116488,2179,800,79,42694,73794,8758
3055,Suan,Atlantico,27,27,4572,10218,4481,74,15,2,3108,1373,8770
3058,Tubara,Atlantico,29,29,5334,9943,5217,72,36,9,2188,3029,8832
3061,Usiacuri,Atlantico,21,21,4226,7961,4095,76,51,4,2119,1976,8849
16001,Bogotá D.C.,Bogotá D.C.,14420,14420,3572698,5702805,3332554,200079,38493,1572,1447685,1884869,11001
5004,Achi,Bolivar,56,56,8381,16609,8296,49,25,11,7101,1195,13006
5006,Altos Del Rosario,Bolivar,20,20,2620,6897,2568,28,19,5,1794,774,13030
5005,Arenal,Bolivar,19,19,2531,5789,2485,28,17,1,1469,1016,13042
5007,Arjona,Bolivar,136,136,23482,53278,22776,465,214,27,10665,12111,13052
5009,Arroyo Hondo,Bolivar,27,27,3384,8758,3334,20,24,6,2769,565,13062
5010,Barranco De Loba,Bolivar,33,33,4919,11248,4838,40,29,12,3668,1170,13074
5013,Calamar,Bolivar,50,50,7604,17743,7401,98,85,20,5096,2305,13140
5014,Cantagallo,Bolivar,18,18,3322,6526,3214,63,42,3,1518,1696,13160
5001,Cartagena,Bolivar,1952,1952,316545,750215,307065,7745,1419,316,130644,176421,13001
5015,Cicuco,Bolivar,29,29,4426,9984,4356,34,25,11,2427,1929,13188
5018,Clemencia,Bolivar,31,31,4594,11076,4455,75,52,12,2817,1638,13222
5016,Cordoba,Bolivar,41,41,7042,13663,6934,66,25,17,3428,3506,13212
5022,El Carmen De Bolivar,Bolivar,152,152,25907,54965,25362,309,198,38,19288,6074,13244
5025,El Guamo,Bolivar,23,23,3408,8025,3344,31,22,11,2249,1095,13248
5027,El Peñon,Bolivar,20,20,2674,6344,2645,18,8,3,1792,853,13268
5026,Hatillo De Loba,Bolivar,31,31,4368,10432,4313,29,18,8,3541,772,13300
5028,Magangue,Bolivar,261,261,43495,93880,42546,569,313,67,22184,20362,13430
5031,Mahates,Bolivar,56,56,8703,20121,8555,87,52,9,5726,2829,13433
5037,Margarita,Bolivar,32,32,4097,9549,4055,25,9,8,3092,963,13440
5040,Maria La Baja,Bolivar,110,110,15663,39270,15356,160,123,24,7065,8291,13442
5043,Mompos,Bolivar,108,108,15108,35554,14868,148,73,19,8469,6399,13468
5041,Montecristo,Bolivar,28,28,2830,8363,2770,42,15,3,1914,856,13458
5044,Morales,Bolivar,33,33,6241,11170,6081,93,51,16,4619,1462,13473
5050,Norosi,Bolivar,14,14,1557,3982,1508,28,21,0,790,718,13490
5059,Pinillos,Bolivar,54,54,7466,16573,7375,37,45,9,5520,1855,13549
5063,Regidor,Bolivar,16,16,2226,4806,2196,11,15,4,1215,981,13580
5065,Rioviejo,Bolivar,19,19,3107,6263,3039,43,17,8,2042,997,13600
5072,San Cristobal,Bolivar,19,19,3192,6877,3142,38,8,4,1374,1768,13620
5070,San Estanislao,Bolivar,39,39,7083,14531,6954,77,37,15,4802,2152,13647
5073,San Fernando,Bolivar,27,27,3498,8446,3453,20,14,11,2307,1146,13650
5076,San Jacinto,Bolivar,59,59,10459,20728,10266,97,80,16,6770,3496,13654
5078,San Jacinto Del Cauca,Bolivar,22,22,2733,7027,2672,26,31,4,1955,717,13655
5079,San Juan Nepomuceno,Bolivar,85,85,14813,30730,14478,212,105,18,10097,4381,13657
5082,San Martin De Loba,Bolivar,32,32,5320,11134,5243,51,17,9,3070,2173,13667
5084,San Pablo,Bolivar,54,54,8637,18154,8352,158,95,32,5023,3329,13670
5091,Santa Catalina,Bolivar,34,34,4737,11983,4650,56,22,9,2223,2427,13673
5094,Santa Rosa,Bolivar,38,38,6070,14260,5925,88,53,4,2741,3184,13683
5095,Santa Rosa Del Sur,Bolivar,59,59,11501,20582,10995,355,120,31,9096,1899,13688
5097,Simiti,Bolivar,37,37,5699,11932,5470,124,48,57,3910,1560,13744
5106,Soplaviento,Bolivar,22,22,3924,8297,3862,53,6,3,1121,2741,13760
5113,TIquisio (pto. Rico),Bolivar,40,40,5100,13193,5012,47,30,11,3998,1014,13810
5110,Talaigua Nuevo,Bolivar,29,29,4724,9122,4638,47,36,3,3093,1545,13780
5118,Turbaco,Bolivar,153,153,27684,63358,26847,623,182,32,11560,15287,13836
5121,Turbana,Bolivar,39,39,7170,14587,6985,155,25,5,3185,3800,13838
5124,Villanueva,Bolivar,42,42,7239,15574,7054,108,62,15,4998,2056,13873
5127,Zambrano,Bolivar,25,25,4443,9046,4352,49,29,13,1190,3162,13894
7007,Almeida,Boyaca,6,6,927,1965,902,19,5,1,718,184,15022
7008,Aquitania (puebloviejo),Boyaca,40,40,7723,12478,7508,134,72,9,6296,1212,15047
7010,Arcabuco,Boyaca,13,13,2773,4806,2620,87,55,11,1519,1101,15051
7013,Belen,Boyaca,18,18,3895,6638,3677,131,79,8,2007,1670,15087
7016,Berbeo,Boyaca,4,4,807,1442,759,35,12,1,394,365,15090
7019,Beteitiva,Boyaca,6,6,980,1908,914,42,22,2,479,435,15092
7022,Boavita,Boyaca,15,15,2587,4953,2485,76,19,7,1984,501,15097
7025,Boyaca,Boyaca,12,12,2184,4280,2101,50,29,4,1319,782,15104
7028,Briceño,Boyaca,6,6,1264,2193,1225,23,12,4,1037,188,15106
7031,Buenavista,Boyaca,14,14,2701,4607,2649,26,24,2,2081,568,15109
7034,Busbanza,Boyaca,3,3,540,854,505,20,13,2,309,196,15114
7037,Caldas,Boyaca,10,10,1724,3174,1649,58,17,0,1136,513,15131
7040,Campohermoso,Boyaca,8,8,1262,2502,1212,39,11,0,980,232,15135
7043,Cerinza,Boyaca,10,10,2234,3488,2116,70,45,3,1123,993,15162
7064,Chinavita,Boyaca,9,9,1511,2990,1447,48,12,4,1127,320,15172
7067,Chiquinquira,Boyaca,112,112,24298,40741,22919,1006,361,12,13498,9421,15176
7068,Chiquiza,Boyaca,13,13,2224,4466,2106,52,58,8,651,1455,15232
7070,Chiscas,Boyaca,10,10,1784,3321,1757,14,11,2,1535,222,15180
7073,Chita,Boyaca,21,21,3218,6087,3126,59,24,9,2678,448,15183
7076,Chitaraque,Boyaca,16,16,2838,5411,2766,42,23,7,2368,398,15185
7077,Chivata,Boyaca,7,7,1606,2674,1528,51,25,2,770,758,15187
7078,Chivor,Boyaca,6,6,1019,1806,991,15,9,4,893,98,15236
7046,Cienega,Boyaca,10,10,2288,3790,2196,70,17,5,1754,442,15189
7049,Combita,Boyaca,26,26,5024,8929,4728,194,93,9,2124,2604,15204
7052,Coper,Boyaca,11,11,1718,3174,1649,52,14,3,1410,239,15212
7055,Corrales,Boyaca,6,6,1374,2201,1292,55,23,4,618,674,15215
7058,Covarachia,Boyaca,10,10,1563,3072,1530,23,8,2,1392,138,15218
7059,Cubara,Boyaca,17,17,2476,5629,2320,89,54,13,924,1396,15223
7060,Cucaita,Boyaca,9,9,2020,3213,1935,45,31,9,804,1131,15224
7061,Cuitiva,Boyaca,6,6,1032,1861,999,26,6,1,657,342,15226
7079,Duitama,Boyaca,226,226,57711,86458,54065,2651,963,32,23537,30528,15238
7082,El Cocuy,Boyaca,11,11,2066,3496,2000,50,14,2,1770,230,15244
7085,El Espino,Boyaca,7,7,1351,2254,1326,18,4,3,1195,131,15248
7088,Firavitoba,Boyaca,17,17,3034,5777,2860,124,44,6,1406,1454,15272
7091,Floresta,Boyaca,9,9,1930,3088,1861,49,14,6,1263,598,15276
7094,Gachantiva,Boyaca,8,8,1760,2994,1679,34,45,2,1132,547,15293
7097,Gameza,Boyaca,11,11,2276,3982,2186,54,24,12,1640,546,15296
7100,Garagoa,Boyaca,33,33,6985,11756,6617,267,95,6,3924,2693,15299
7103,Guacamayas,Boyaca,5,5,960,1611,942,13,3,2,834,108,15317
7106,Guateque,Boyaca,24,24,4928,8849,4653,177,89,9,2835,1818,15322
7109,Guayata,Boyaca,10,10,2170,3760,2110,41,12,7,1786,324,15325
7112,Guican,Boyaca,11,11,1758,2951,1707,30,17,4,1176,531,15332
7118,Iza,Boyaca,6,6,1282,2181,1235,32,13,2,808,427,15362
7121,Jenesano,Boyaca,15,15,3117,5640,3001,70,36,10,1925,1076,15367
7124,Jerico,Boyaca,11,11,1778,3183,1734,14,21,9,1511,223,15368
7130,La Capilla,Boyaca,7,7,1505,2475,1459,33,11,2,1042,417,15380
7136,La Uvita,Boyaca,8,8,1421,2472,1373,42,5,1,1230,143,15403
7137,La Victoria,Boyaca,6,6,865,1678,840,15,8,2,724,116,15401
7127,Labranzagrande,Boyaca,8,8,1738,2823,1689,29,17,3,1391,298,15377
7142,Macanal,Boyaca,11,11,1957,3547,1894,36,23,4,1501,393,15425
7148,Maripi,Boyaca,18,18,2866,6145,2793,36,27,10,2313,480,15442
7151,Miraflores,Boyaca,20,20,4576,7445,4335,168,66,7,2065,2270,15455
7154,Mongua,Boyaca,11,11,2697,3996,2632,42,19,4,2257,375,15464
7157,Mongui,Boyaca,10,10,2282,3741,2199,56,24,3,1423,776,15466
7160,Moniquira,Boyaca,48,48,10225,17657,9621,348,231,25,5890,3731,15469
7161,Motavita,Boyaca,14,14,3172,5215,3030,76,54,12,1065,1965,15476
7163,Muzo,Boyaca,20,20,4265,7425,4077,121,61,6,3315,762,15480
7166,Nobsa,Boyaca,33,33,8542,12127,8182,282,74,4,2352,5830,15491
7169,Nuevo Colon,Boyaca,12,12,2619,4571,2473,85,51,10,1350,1123,15494
7173,Oicata,Boyaca,7,7,1666,2625,1592,49,25,0,820,772,15500
7176,Otanche,Boyaca,23,23,3483,6378,3375,66,34,8,3010,365,15507
7178,Pachavita,Boyaca,6,6,1111,1952,1069,29,11,2,833,236,15511
7179,Paez,Boyaca,8,8,1490,2395,1439,44,7,0,1115,324,15514
7181,Paipa,Boyaca,71,71,16696,25890,15714,705,261,16,7256,8458,15516
7184,Pajarito,Boyaca,5,5,966,1667,933,25,5,3,766,167,15518
7187,Panqueba,Boyaca,5,5,895,1616,875,11,7,2,768,107,15522
7190,Pauna,Boyaca,19,19,3580,6599,3483,57,33,7,2614,869,15531
7193,Paya,Boyaca,6,6,963,1555,922,25,11,5,722,200,15533
7199,Paz De Rio,Boyaca,12,12,2396,4236,2283,72,34,7,748,1535,15537
7202,Pesca,Boyaca,18,18,3293,6370,3161,100,27,5,2297,864,15542
7205,Pisba,Boyaca,3,3,616,1028,602,5,4,5,444,158,15550
7214,Puerto Boyaca,Boyaca,100,100,20525,36098,18871,857,734,63,13544,5327,15572
7215,Quipama,Boyaca,16,16,2817,5067,2726,54,29,8,2325,401,15580
7217,Ramiriqui,Boyaca,24,24,4795,8598,4580,136,70,9,2870,1710,15599
7220,Raquira,Boyaca,13,13,2767,4615,2602,132,25,8,1722,880,15600
7223,Rondon,Boyaca,7,7,1336,2269,1291,28,11,6,972,319,15621
7226,Saboya,Boyaca,30,30,5706,9545,5459,119,108,20,3449,2010,15632
7232,Sachica,Boyaca,10,10,2313,3499,2202,71,37,3,1199,1003,15638
7235,Samaca,Boyaca,38,38,7858,13885,7404,280,164,10,4223,3181,15646
7237,San Eduardo,Boyaca,4,4,898,1473,839,47,9,3,516,323,15660
7238,San Jose De Pare,Boyaca,15,15,2731,5381,2633,65,28,5,2127,506,15664
7241,San Luis De Gaceno,Boyaca,15,15,2509,4381,2422,65,15,7,2094,328,15667
7247,San Mateo,Boyaca,10,10,2054,3562,2020,25,7,2,1845,175,15673
7248,San Miguel De Sema,Boyaca,8,8,1514,2691,1427,65,17,5,1080,347,15676
7249,San Pablo De Borbur,Boyaca,18,18,3256,5776,3147,66,37,6,2735,412,15681
7251,Santa Maria,Boyaca,10,10,1584,3186,1480,68,28,8,936,544,15690
7253,Santa Rosa De Viterbo,Boyaca,23,23,5334,8147,5037,208,82,7,3101,1936,15693
7256,Santa Sofia,Boyaca,8,8,1805,3042,1728,49,22,6,1393,335,15696
7250,Santana,Boyaca,19,19,3643,6939,3497,102,42,2,2291,1206,15686
7259,Sativanorte,Boyaca,8,8,1381,2451,1346,22,8,5,972,374,15720
7262,Sativasur,Boyaca,4,4,616,1213,587,18,11,0,383,204,15723
7265,Siachoque,Boyaca,17,17,3819,6191,3654,96,54,15,2363,1291,15740
7268,Soata,Boyaca,20,20,4638,7413,4467,126,33,12,3279,1188,15753
7274,Socha,Boyaca,18,18,3280,6041,3086,108,76,10,1845,1241,15757
7271,Socota,Boyaca,19,19,3071,5774,2939,63,36,33,2224,715,15755
7277,Sogamoso,Boyaca,236,236,59913,91941,56238,2655,968,52,25838,30400,15759
7280,Somondoco,Boyaca,7,7,1448,2670,1396,29,21,2,985,411,15761
7281,Sora,Boyaca,7,7,1637,2611,1548,45,39,5,748,800,15762
7282,Soraca,Boyaca,15,15,3516,5494,3380,90,39,7,2101,1279,15764
7283,Sotaquira,Boyaca,15,15,3655,5486,3559,58,34,4,2459,1100,15763
7286,Susacon,Boyaca,9,9,1572,2651,1518,37,9,8,1295,223,15774
7289,Sutamarchan,Boyaca,15,15,3501,5497,3351,109,35,6,2324,1027,15776
7292,Sutatenza,Boyaca,10,10,2098,3666,2016,51,28,3,1471,545,15778
7298,Tasco,Boyaca,13,13,2383,4816,2266,61,46,10,1166,1100,15790
7301,Tenza,Boyaca,9,9,1883,3444,1785,67,26,5,1365,420,15798
7304,Tibana,Boyaca,21,21,3502,7337,3343,89,55,15,1942,1401,15804
7307,Tibasosa,Boyaca,23,23,5425,8726,5097,237,86,5,2360,2737,15806
7310,Tinjaca,Boyaca,8,8,1677,2778,1602,59,13,3,1021,581,15808
7311,Tipacoque,Boyaca,10,10,1767,3335,1702,39,17,9,1303,399,15810
7313,Toca,Boyaca,19,19,3877,7082,3657,148,66,6,1846,1811,15814
7316,Togui,Boyaca,12,12,2248,4317,2138,55,45,10,1643,495,15816
7319,Topaga,Boyaca,9,9,2002,3025,1900,65,33,4,1226,674,15820
