metabolite,sample_id,flux,description
dcyt_m,Cancer2,0.0999999979,Deoxycytidine
cgly_m,Cancer2,0.0995561641,L-cysteinylglycine
amp_m,Cancer2,0.0999999954,AMP
nmn_m,Cancer2,0.1000000004,NMN
26dap_M_m,Cancer2,0.0993836178,"meso-2,6-Diaminoheptanedioate"
orn_m,Cancer2,0.0993800818,Ornithine
csn_m,Cancer2,0.09999999970000001,cytosine
acnam_m,Cancer2,1e-06,N-acetylneuraminate
gam_m,Cancer2,1e-06,D-Glucosamine
acgam_m,Cancer2,1e-06,N-acetyl-D-glucosamine
acmana_m,Cancer2,1e-06,N-acetyl-D-mannosamine
dgsn_m,Cancer2,1e-06,Deoxyguanosine
gsn_m,Cancer2,1e-06,Guanosine
metsox_S_L_m,Cancer2,1e-06,L-Methionine Sulfoxide
adn_m,Cancer2,1e-06,Adenosine
dad_2_m,Cancer2,1e-06,2-deoxyadenosine
ptrc_m,Cancer2,0.029367383900000002,Putrescine
uri_m,Cancer2,0.0193331615,Uridine
pi_m,Cancer2,0.014608771000000001,hydrogenphosphate
asn_L_m,Cancer2,0.021882212800000002,L-asparagine
lys_L_m,Cancer2,0.0144014152,L-lysinium(1+)
gln_L_m,Cancer2,0.0173917195,L-glutamine
arg_L_m,Cancer2,0.0150000014,L-argininium(1+)
his_L_m,Cancer2,0.0150000015,L-histidine
ade_m,Cancer2,1e-06,Adenine
gua_m,Cancer2,1e-06,Guanine
tyr_L_m,Cancer2,1e-06,L-tyrosine
ura_m,Cancer2,0.007692649100000001,uracil
ile_L_m,Cancer2,1e-06,L-isoleucine
leu_L_m,Cancer2,1e-06,L-leucine
trp_L_m,Cancer2,0.0001190809,L-tryptophan
val_L_m,Cancer2,1e-06,L-valine
glu_L_m,Cancer2,1e-06,L-glutamate(1-)
met_L_m,Cancer2,1e-06,L-methionine
pro_L_m,Cancer2,1e-06,L-proline
fol_m,Cancer2,0.0012830449,Folate
fe3_m,Cancer2,0.0017136959,Fe3+
fe2_m,Cancer2,0.0014057227000000001,Fe2+
k_m,Cancer2,0.0015600874,potassium
cl_m,Cancer2,0.0015600854,Chloride
zn2_m,Cancer2,0.0015600785,Zinc
ca2_m,Cancer2,0.0015600652,calcium(2+)
cu2_m,Cancer2,0.0015600751,Cu2+
mn2_m,Cancer2,0.0015600750000000002,Mn2+
cobalt2_m,Cancer2,0.001560074,Co2+
mg2_m,Cancer2,0.0015600743000000002,magnesium
pnto_R_m,Cancer2,0.0011371295000000001,(R)-Pantothenate
12dgr180_m,Cancer2,0.0019652557,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
pydam_m,Cancer2,0.0003331291,Pyridoxamine
spmd_m,Cancer2,0.0006959339,Spermidine
thm_m,Cancer2,0.0006882989,Thiamin
pheme_m,Cancer2,0.00035640730000000004,Protoheme
sheme_m,Cancer2,0.0003533362,Siroheme
ocdcea_m,Cancer2,1e-06,octadecenoate (n-C18:1)
q8_m,Cancer2,1e-06,Ubiquinone-8
2dmmq8_m,Cancer2,0.00028651640000000003,2-Demethylmenaquinone 8
4abz_m,Cancer2,1e-06,4-Aminobenzoate
indole_m,Cancer2,1e-06,Indole
gthox_m,Cancer2,3.4117999999999997e-06,Oxidized glutathione
thymd_m,Cancer2,6.90656e-05,Thymidine
amylose300_m,Cancer2,2.885e-05,"amylose (n=300 repeat units, alpha-1,4-glc)"
galmannan_m,Cancer2,1e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,Cancer2,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
starch1200_m,Cancer2,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
adocbl_m,Cancer2,1e-06,Adenosylcobalamin
xyl_D_m,Cancer2,1e-06,aldehydo-D-xylose
mqn7_m,Cancer2,6.1182999999999995e-06,Menaquinone 7
pydx_m,Cancer2,1e-06,Pyridoxal
pydxn_m,Cancer2,1e-06,Pyridoxine
ncam_m,Cancer2,1e-06,Nicotinamide
no2_m,Cancer2,1e-06,Nitrite
gly_m,Cancer2,1e-06,Glycine
phe_L_m,Cancer2,1e-06,L-phenylalanine
thr_L_m,Cancer2,1e-06,L-threonine
ser_L_m,Cancer2,1e-06,L-serine
ala_D_m,Cancer2,1e-06,D-alanine
ala_L_m,Cancer2,1e-06,L-alanine
asp_L_m,Cancer2,1e-06,L-aspartate(1-)
cys_L_m,Cancer2,1e-06,L-cysteine
glyc3p_m,Cancer3,0.0866408447,Glycerol 3-phosphate
cytd_m,Cancer3,0.0999999993,Cytidine
dcyt_m,Cancer3,0.1000000004,Deoxycytidine
cgly_m,Cancer3,0.0995319099,L-cysteinylglycine
amp_m,Cancer3,0.099999999,AMP
nmn_m,Cancer3,0.1000000006,NMN
26dap_M_m,Cancer3,0.09940186940000001,"meso-2,6-Diaminoheptanedioate"
orn_m,Cancer3,0.0993388769,Ornithine
csn_m,Cancer3,0.1000000023,cytosine
acnam_m,Cancer3,1e-06,N-acetylneuraminate
gam_m,Cancer3,1e-06,D-Glucosamine
acgam_m,Cancer3,1e-06,N-acetyl-D-glucosamine
acmana_m,Cancer3,1e-06,N-acetyl-D-mannosamine
dgsn_m,Cancer3,1e-06,Deoxyguanosine
gsn_m,Cancer3,1e-06,Guanosine
metsox_S_L_m,Cancer3,1e-06,L-Methionine Sulfoxide
adn_m,Cancer3,1e-06,Adenosine
dad_2_m,Cancer3,1e-06,2-deoxyadenosine
ptrc_m,Cancer3,0.0234009011,Putrescine
uri_m,Cancer3,0.0116083902,Uridine
pi_m,Cancer3,0.0042367476,hydrogenphosphate
asn_L_m,Cancer3,0.02179166,L-asparagine
lys_L_m,Cancer3,0.014396425800000001,L-lysinium(1+)
gln_L_m,Cancer3,0.0173444856,L-glutamine
arg_L_m,Cancer3,0.014999999000000002,L-argininium(1+)
his_L_m,Cancer3,0.014999995700000001,L-histidine
ade_m,Cancer3,1e-06,Adenine
gua_m,Cancer3,1e-06,Guanine
tyr_L_m,Cancer3,1e-06,L-tyrosine
ura_m,Cancer3,0.0017950955,uracil
ile_L_m,Cancer3,1e-06,L-isoleucine
leu_L_m,Cancer3,1e-06,L-leucine
trp_L_m,Cancer3,0.0001447736,L-tryptophan
val_L_m,Cancer3,1e-06,L-valine
glu_L_m,Cancer3,1e-06,L-glutamate(1-)
met_L_m,Cancer3,1e-06,L-methionine
pro_L_m,Cancer3,1e-06,L-proline
fol_m,Cancer3,0.0019026632,Folate
fe3_m,Cancer3,0.0021930511,Fe3+
fe2_m,Cancer3,0.002156073,Fe2+
k_m,Cancer3,0.0021711020000000003,potassium
cl_m,Cancer3,0.0021711211000000003,Chloride
zn2_m,Cancer3,0.0021710908,Zinc
ca2_m,Cancer3,0.0021711071000000003,calcium(2+)
cu2_m,Cancer3,0.0021711168,Cu2+
mn2_m,Cancer3,0.0021711176,Mn2+
cobalt2_m,Cancer3,0.0021711307,Co2+
mg2_m,Cancer3,0.0021711302,magnesium
pnto_R_m,Cancer3,9.611800000000002e-05,(R)-Pantothenate
12dgr180_m,Cancer3,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
pydam_m,Cancer3,1.9888500000000004e-05,Pyridoxamine
spmd_m,Cancer3,0.0006580319,Spermidine
thm_m,Cancer3,0.0006473726,Thiamin
pheme_m,Cancer3,0.0005947565000000001,Protoheme
sheme_m,Cancer3,0.0005633331,Siroheme
ocdcea_m,Cancer3,1e-06,octadecenoate (n-C18:1)
q8_m,Cancer3,9.6309e-06,Ubiquinone-8
2dmmq8_m,Cancer3,1.0276000000000001e-06,2-Demethylmenaquinone 8
4abz_m,Cancer3,1e-06,4-Aminobenzoate
indole_m,Cancer3,1e-06,Indole
gthox_m,Cancer3,1e-06,Oxidized glutathione
thymd_m,Cancer3,1e-06,Thymidine
amylose300_m,Cancer3,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
galmannan_m,Cancer3,1e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,Cancer3,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
starch1200_m,Cancer3,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
adocbl_m,Cancer3,1.2033e-06,Adenosylcobalamin
xyl_D_m,Cancer3,1e-06,aldehydo-D-xylose
mqn7_m,Cancer3,5.3115e-05,Menaquinone 7
pydx_m,Cancer3,1e-06,Pyridoxal
pydxn_m,Cancer3,1e-06,Pyridoxine
ncam_m,Cancer3,1e-06,Nicotinamide
no2_m,Cancer3,1e-06,Nitrite
gly_m,Cancer3,1e-06,Glycine
phe_L_m,Cancer3,1e-06,L-phenylalanine
thr_L_m,Cancer3,1e-06,L-threonine
ser_L_m,Cancer3,1e-06,L-serine
ala_D_m,Cancer3,1e-06,D-alanine
ala_L_m,Cancer3,1e-06,L-alanine
asp_L_m,Cancer3,1e-06,L-aspartate(1-)
cys_L_m,Cancer3,1e-06,L-cysteine
glyc3p_m,Healthy4,0.0776858995,Glycerol 3-phosphate
cytd_m,Healthy4,0.1000000217,Cytidine
dcyt_m,Healthy4,0.100000404,Deoxycytidine
cgly_m,Healthy4,0.09975360500000001,L-cysteinylglycine
amp_m,Healthy4,0.1000000127,AMP
nmn_m,Healthy4,0.09999998160000001,NMN
26dap_M_m,Healthy4,0.099724672,"meso-2,6-Diaminoheptanedioate"
orn_m,Healthy4,0.099718475,Ornithine
csn_m,Healthy4,0.0999999938,cytosine
acnam_m,Healthy4,1e-06,N-acetylneuraminate
gam_m,Healthy4,1e-06,D-Glucosamine
acgam_m,Healthy4,1e-06,N-acetyl-D-glucosamine
acmana_m,Healthy4,1e-06,N-acetyl-D-mannosamine
dgsn_m,Healthy4,1e-06,Deoxyguanosine
gsn_m,Healthy4,1e-06,Guanosine
metsox_S_L_m,Healthy4,1e-06,L-Methionine Sulfoxide
adn_m,Healthy4,1e-06,Adenosine
dad_2_m,Healthy4,1e-06,2-deoxyadenosine
ptrc_m,Healthy4,1.35919e-05,Putrescine
uri_m,Healthy4,0.0393410578,Uridine
pi_m,Healthy4,0.0084122,hydrogenphosphate
asn_L_m,Healthy4,0.022213356,L-asparagine
lys_L_m,Healthy4,0.014727382700000001,L-lysinium(1+)
gln_L_m,Healthy4,0.0177195098,L-glutamine
arg_L_m,Healthy4,0.0149997853,L-argininium(1+)
his_L_m,Healthy4,0.0149999513,L-histidine
ade_m,Healthy4,1e-06,Adenine
gua_m,Healthy4,1e-06,Guanine
tyr_L_m,Healthy4,1e-06,L-tyrosine
ura_m,Healthy4,0.0034721716000000002,uracil
ile_L_m,Healthy4,1e-06,L-isoleucine
leu_L_m,Healthy4,1e-06,L-leucine
trp_L_m,Healthy4,0.000333623,L-tryptophan
val_L_m,Healthy4,1e-06,L-valine
glu_L_m,Healthy4,1e-06,L-glutamate(1-)
met_L_m,Healthy4,1e-06,L-methionine
pro_L_m,Healthy4,1e-06,L-proline
fol_m,Healthy4,0.0014279012000000002,Folate
fe3_m,Healthy4,0.0024825082,Fe3+
fe2_m,Healthy4,0.0022910382,Fe2+
k_m,Healthy4,0.0023718759,potassium
cl_m,Healthy4,0.0023731844,Chloride
zn2_m,Healthy4,0.0023731551,Zinc
ca2_m,Healthy4,0.0023735508,calcium(2+)
cu2_m,Healthy4,0.0023735664000000003,Cu2+
mn2_m,Healthy4,0.0023734923,Mn2+
cobalt2_m,Healthy4,0.002374106,Co2+
mg2_m,Healthy4,0.0023739827,magnesium
pnto_R_m,Healthy4,0.0015008481,(R)-Pantothenate
12dgr180_m,Healthy4,2.4285600000000003e-05,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
pydam_m,Healthy4,0.0001041724,Pyridoxamine
spmd_m,Healthy4,0.0005054226,Spermidine
thm_m,Healthy4,0.0005012521,Thiamin
pheme_m,Healthy4,0.0004002585,Protoheme
sheme_m,Healthy4,0.0003654693,Siroheme
ocdcea_m,Healthy4,1e-06,octadecenoate (n-C18:1)
q8_m,Healthy4,5.432199999999999e-06,Ubiquinone-8
2dmmq8_m,Healthy4,1e-06,2-Demethylmenaquinone 8
4abz_m,Healthy4,1e-06,4-Aminobenzoate
indole_m,Healthy4,1e-06,Indole
gthox_m,Healthy4,1e-06,Oxidized glutathione
thymd_m,Healthy4,3.22673e-05,Thymidine
amylose300_m,Healthy4,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
galmannan_m,Healthy4,1e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,Healthy4,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
starch1200_m,Healthy4,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
adocbl_m,Healthy4,1e-06,Adenosylcobalamin
xyl_D_m,Healthy4,1e-06,aldehydo-D-xylose
mqn7_m,Healthy4,6.0530000000000005e-05,Menaquinone 7
pydx_m,Healthy4,1e-06,Pyridoxal
pydxn_m,Healthy4,1e-06,Pyridoxine
ncam_m,Healthy4,1e-06,Nicotinamide
no2_m,Healthy4,1e-06,Nitrite
gly_m,Healthy4,1e-06,Glycine
phe_L_m,Healthy4,1e-06,L-phenylalanine
thr_L_m,Healthy4,1e-06,L-threonine
ser_L_m,Healthy4,1e-06,L-serine
ala_D_m,Healthy4,1e-06,D-alanine
ala_L_m,Healthy4,1e-06,L-alanine
asp_L_m,Healthy4,1e-06,L-aspartate(1-)
cys_L_m,Healthy4,1e-06,L-cysteine
glyc3p_m,Cancer1,0.0536066044,Glycerol 3-phosphate
cytd_m,Cancer1,0.099999557,Cytidine
dcyt_m,Cancer1,0.099999892,Deoxycytidine
cgly_m,Cancer1,0.0988379531,L-cysteinylglycine
amp_m,Cancer1,0.0999997589,AMP
nmn_m,Cancer1,0.1000000016,NMN
26dap_M_m,Cancer1,0.0948516519,"meso-2,6-Diaminoheptanedioate"
orn_m,Cancer1,0.0941615732,Ornithine
csn_m,Cancer1,0.100000001,cytosine
acnam_m,Cancer1,1e-06,N-acetylneuraminate
gam_m,Cancer1,1e-06,D-Glucosamine
acgam_m,Cancer1,1e-06,N-acetyl-D-glucosamine
acmana_m,Cancer1,1e-06,N-acetyl-D-mannosamine
dgsn_m,Cancer1,1e-06,Deoxyguanosine
gsn_m,Cancer1,1e-06,Guanosine
metsox_S_L_m,Cancer1,1e-06,L-Methionine Sulfoxide
adn_m,Cancer1,1e-06,Adenosine
dad_2_m,Cancer1,1e-06,2-deoxyadenosine
ptrc_m,Cancer1,0.0104722151,Putrescine
uri_m,Cancer1,0.0887007571,Uridine
pi_m,Cancer1,0.008458627100000001,hydrogenphosphate
asn_L_m,Cancer1,0.016234947,L-asparagine
lys_L_m,Cancer1,0.0111178374,L-lysinium(1+)
gln_L_m,Cancer1,0.013097681100000001,L-glutamine
arg_L_m,Cancer1,0.014999866700000001,L-argininium(1+)
his_L_m,Cancer1,0.014999840300000001,L-histidine
ade_m,Cancer1,1e-06,Adenine
gua_m,Cancer1,1e-06,Guanine
tyr_L_m,Cancer1,1e-06,L-tyrosine
ura_m,Cancer1,0.0120979018,uracil
ile_L_m,Cancer1,1e-06,L-isoleucine
leu_L_m,Cancer1,1e-06,L-leucine
trp_L_m,Cancer1,9.49702e-05,L-tryptophan
val_L_m,Cancer1,1e-06,L-valine
glu_L_m,Cancer1,1e-06,L-glutamate(1-)
met_L_m,Cancer1,1e-06,L-methionine
pro_L_m,Cancer1,1e-06,L-proline
fol_m,Cancer1,0.0006963427,Folate
fe3_m,Cancer1,0.0019083356000000001,Fe3+
fe2_m,Cancer1,0.0012860878,Fe2+
k_m,Cancer1,0.0015957211,potassium
cl_m,Cancer1,0.0016046401,Chloride
zn2_m,Cancer1,0.0016030094,Zinc
ca2_m,Cancer1,0.0016034945,calcium(2+)
cu2_m,Cancer1,0.0016034362,Cu2+
mn2_m,Cancer1,0.0016035346,Mn2+
cobalt2_m,Cancer1,0.0016031312000000001,Co2+
mg2_m,Cancer1,0.0016029698000000002,magnesium
pnto_R_m,Cancer1,1.2811300000000002e-05,(R)-Pantothenate
12dgr180_m,Cancer1,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
pydam_m,Cancer1,0.00036153730000000004,Pyridoxamine
spmd_m,Cancer1,0.0002354791,Spermidine
thm_m,Cancer1,0.00022726230000000001,Thiamin
pheme_m,Cancer1,0.0002341539,Protoheme
sheme_m,Cancer1,0.0002272765,Siroheme
ocdcea_m,Cancer1,1e-06,octadecenoate (n-C18:1)
q8_m,Cancer1,5.7026e-06,Ubiquinone-8
2dmmq8_m,Cancer1,1e-06,2-Demethylmenaquinone 8
4abz_m,Cancer1,1e-06,4-Aminobenzoate
indole_m,Cancer1,1e-06,Indole
gthox_m,Cancer1,2.8376e-06,Oxidized glutathione
thymd_m,Cancer1,1e-06,Thymidine
amylose300_m,Cancer1,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
galmannan_m,Cancer1,1.4100000000000002e-05,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,Cancer1,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
starch1200_m,Cancer1,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
adocbl_m,Cancer1,1e-06,Adenosylcobalamin
xyl_D_m,Cancer1,1e-06,aldehydo-D-xylose
mqn7_m,Cancer1,2.5912999999999997e-06,Menaquinone 7
pydx_m,Cancer1,1e-06,Pyridoxal
pydxn_m,Cancer1,1e-06,Pyridoxine
ncam_m,Cancer1,1e-06,Nicotinamide
no2_m,Cancer1,1e-06,Nitrite
gly_m,Cancer1,1e-06,Glycine
phe_L_m,Cancer1,1e-06,L-phenylalanine
thr_L_m,Cancer1,1e-06,L-threonine
ser_L_m,Cancer1,1e-06,L-serine
ala_D_m,Cancer1,1e-06,D-alanine
ala_L_m,Cancer1,1e-06,L-alanine
asp_L_m,Cancer1,1e-06,L-aspartate(1-)
cys_L_m,Cancer1,1e-06,L-cysteine
glyc3p_m,Healthy7,0.0679462048,Glycerol 3-phosphate
cytd_m,Healthy7,0.0999999999,Cytidine
dcyt_m,Healthy7,0.1000000057,Deoxycytidine
cgly_m,Healthy7,0.09835734,L-cysteinylglycine
amp_m,Healthy7,0.10000000020000001,AMP
nmn_m,Healthy7,0.1,NMN
26dap_M_m,Healthy7,0.0711114241,"meso-2,6-Diaminoheptanedioate"
orn_m,Healthy7,0.0652224893,Ornithine
csn_m,Healthy7,0.0999999998,cytosine
acnam_m,Healthy7,1e-06,N-acetylneuraminate
gam_m,Healthy7,1e-06,D-Glucosamine
acgam_m,Healthy7,1e-06,N-acetyl-D-glucosamine
acmana_m,Healthy7,1e-06,N-acetyl-D-mannosamine
dgsn_m,Healthy7,1e-06,Deoxyguanosine
gsn_m,Healthy7,1e-06,Guanosine
metsox_S_L_m,Healthy7,1e-06,L-Methionine Sulfoxide
adn_m,Healthy7,1e-06,Adenosine
dad_2_m,Healthy7,1e-06,2-deoxyadenosine
ptrc_m,Healthy7,0.0404576483,Putrescine
uri_m,Healthy7,0.0695849915,Uridine
pi_m,Healthy7,0.0243723031,hydrogenphosphate
asn_L_m,Healthy7,0.0104098931,L-asparagine
lys_L_m,Healthy7,0.0076992431,L-lysinium(1+)
gln_L_m,Healthy7,0.0089420876,L-glutamine
arg_L_m,Healthy7,0.014999995300000001,L-argininium(1+)
his_L_m,Healthy7,0.015,L-histidine
ade_m,Healthy7,1e-06,Adenine
gua_m,Healthy7,1e-06,Guanine
tyr_L_m,Healthy7,1e-06,L-tyrosine
ura_m,Healthy7,0.0182069347,uracil
ile_L_m,Healthy7,1e-06,L-isoleucine
leu_L_m,Healthy7,1e-06,L-leucine
trp_L_m,Healthy7,0.0001144752,L-tryptophan
val_L_m,Healthy7,1e-06,L-valine
glu_L_m,Healthy7,1e-06,L-glutamate(1-)
met_L_m,Healthy7,1e-06,L-methionine
pro_L_m,Healthy7,1e-06,L-proline
fol_m,Healthy7,0.0017661181000000001,Folate
fe3_m,Healthy7,0.0022248191,Fe3+
fe2_m,Healthy7,0.0022511374,Fe2+
k_m,Healthy7,0.0022046942,potassium
cl_m,Healthy7,0.0022047099,Chloride
zn2_m,Healthy7,0.0022047127,Zinc
ca2_m,Healthy7,0.0022047074,calcium(2+)
cu2_m,Healthy7,0.0022047077,Cu2+
mn2_m,Healthy7,0.002204707,Mn2+
cobalt2_m,Healthy7,0.0022047118,Co2+
mg2_m,Healthy7,0.002204699,magnesium
pnto_R_m,Healthy7,5.2836e-06,(R)-Pantothenate
12dgr180_m,Healthy7,6.172500000000001e-05,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
pydam_m,Healthy7,1.71334e-05,Pyridoxamine
spmd_m,Healthy7,0.0006565687,Spermidine
thm_m,Healthy7,0.0006424554,Thiamin
pheme_m,Healthy7,0.0006400211,Protoheme
sheme_m,Healthy7,0.0005707586,Siroheme
ocdcea_m,Healthy7,1e-06,octadecenoate (n-C18:1)
q8_m,Healthy7,1e-06,Ubiquinone-8
2dmmq8_m,Healthy7,1e-06,2-Demethylmenaquinone 8
4abz_m,Healthy7,1e-06,4-Aminobenzoate
indole_m,Healthy7,1e-06,Indole
gthox_m,Healthy7,1e-06,Oxidized glutathione
thymd_m,Healthy7,1e-06,Thymidine
amylose300_m,Healthy7,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
galmannan_m,Healthy7,1e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,Healthy7,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
starch1200_m,Healthy7,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
adocbl_m,Healthy7,1e-06,Adenosylcobalamin
xyl_D_m,Healthy7,1e-06,aldehydo-D-xylose
mqn7_m,Healthy7,1e-06,Menaquinone 7
pydx_m,Healthy7,1e-06,Pyridoxal
pydxn_m,Healthy7,1e-06,Pyridoxine
ncam_m,Healthy7,1e-06,Nicotinamide
no2_m,Healthy7,1e-06,Nitrite
gly_m,Healthy7,1e-06,Glycine
phe_L_m,Healthy7,1e-06,L-phenylalanine
thr_L_m,Healthy7,1e-06,L-threonine
