index,level,interaction,composite
435,extracomplex,TRUE,TRUE
436,extracomplex,TRUE,FALSE
437,extracomplex,TRUE,FALSE
438,extracomplex,TRUE,TRUE
439,extracomplex,TRUE,FALSE
440,extracomplex,TRUE,FALSE
441,extracomplex,TRUE,FALSE
442,extracomplex,TRUE,TRUE
443,complex,TRUE,FALSE
444,extracomplex,FALSE,TRUE
445,extracomplex,FALSE,TRUE
446,extracomplex,FALSE,TRUE
447,extracomplex,TRUE,FALSE
448,extracomplex,TRUE,TRUE
449,extracomplex,TRUE,TRUE
450,extracomplex,TRUE,FALSE
451,extracomplex,FALSE,TRUE
452,extracomplex,FALSE,TRUE
453,extracomplex,FALSE,FALSE
454,complex,FALSE,FALSE
455,extracomplex,FALSE,FALSE
456,extracomplex,TRUE,TRUE
457,extracomplex,FALSE,TRUE
458,extracomplex,TRUE,TRUE
459,extracomplex,TRUE,FALSE
460,extracomplex,TRUE,FALSE
461,extracomplex,TRUE,FALSE
462,extracomplex,TRUE,TRUE
463,extracomplex,TRUE,TRUE
464,extracomplex,TRUE,TRUE
465,extracomplex,TRUE,TRUE
466,extracomplex,TRUE,FALSE
467,extracomplex,TRUE,FALSE
468,extracomplex,TRUE,FALSE
469,extracomplex,TRUE,FALSE
470,extracomplex,TRUE,FALSE
471,extracomplex,TRUE,FALSE
472,extracomplex,TRUE,FALSE
473,extracomplex,TRUE,FALSE
474,extracomplex,TRUE,FALSE
475,extracomplex,TRUE,FALSE
476,extracomplex,TRUE,FALSE
477,extracomplex,TRUE,FALSE
478,extracomplex,TRUE,FALSE
479,extracomplex,TRUE,FALSE
480,extracomplex,TRUE,FALSE
481,extracomplex,TRUE,FALSE
482,extracomplex,TRUE,FALSE
483,extracomplex,TRUE,FALSE
484,extracomplex,TRUE,FALSE
485,extracomplex,TRUE,FALSE
486,extracomplex,TRUE,FALSE
487,extracomplex,TRUE,FALSE
488,extracomplex,TRUE,FALSE
489,extracomplex,TRUE,FALSE
490,extracomplex,FALSE,TRUE
491,extracomplex,TRUE,TRUE
492,extracomplex,TRUE,FALSE
493,complex,TRUE,FALSE
494,extracomplex,TRUE,FALSE
495,complex,FALSE,FALSE
496,extracomplex,TRUE,FALSE
497,extracomplex,TRUE,FALSE
498,extracomplex,TRUE,TRUE
499,extracomplex,TRUE,FALSE
500,extracomplex,TRUE,TRUE
501,extracomplex,TRUE,FALSE
502,extracomplex,TRUE,FALSE
503,extracomplex,TRUE,FALSE
504,extracomplex,TRUE,TRUE
505,extracomplex,TRUE,TRUE
506,extracomplex,TRUE,TRUE
507,complex,FALSE,FALSE
508,extracomplex,TRUE,FALSE
509,extracomplex,TRUE,FALSE
510,complex,FALSE,FALSE
511,extracomplex,TRUE,FALSE
512,extracomplex,TRUE,FALSE
513,extracomplex,FALSE,FALSE
514,complex,FALSE,FALSE
515,complex,FALSE,FALSE
516,extracomplex,TRUE,TRUE
517,extracomplex,FALSE,TRUE
518,extracomplex,FALSE,TRUE
519,complex,FALSE,FALSE
520,extracomplex,TRUE,FALSE
521,extracomplex,TRUE,FALSE
522,complex,FALSE,TRUE
523,extracomplex,FALSE,TRUE
524,complex,FALSE,FALSE
525,extracomplex,FALSE,TRUE
526,complex,FALSE,FALSE
527,complex,FALSE,FALSE
528,complex,FALSE,FALSE
529,extracomplex,TRUE,FALSE
530,complex,FALSE,FALSE
531,extracomplex,FALSE,FALSE
532,extracomplex,TRUE,FALSE
533,complex,FALSE,TRUE
534,complex,FALSE,FALSE
535,extracomplex,FALSE,TRUE
536,extracomplex,FALSE,TRUE
537,extracomplex,TRUE,FALSE
538,extracomplex,FALSE,TRUE
539,complex,TRUE,FALSE
540,extracomplex,TRUE,FALSE
541,extracomplex,TRUE,FALSE
542,complex,TRUE,FALSE
543,complex,TRUE,FALSE
544,complex,TRUE,FALSE
545,extracomplex,TRUE,FALSE
546,extracomplex,TRUE,FALSE
547,extracomplex,FALSE,FALSE
548,extracomplex,TRUE,FALSE
549,complex,FALSE,TRUE
550,extracomplex,TRUE,TRUE
551,extracomplex,TRUE,FALSE
552,extracomplex,TRUE,FALSE
553,extracomplex,TRUE,FALSE
554,extracomplex,TRUE,FALSE
555,extracomplex,FALSE,TRUE
556,complex,FALSE,FALSE
557,complex,FALSE,TRUE
558,extracomplex,TRUE,FALSE
559,complex,TRUE,FALSE
560,complex,FALSE,FALSE
561,extracomplex,TRUE,FALSE
562,extracomplex,TRUE,FALSE
563,complex,TRUE,FALSE
564,extracomplex,TRUE,FALSE
565,extracomplex,FALSE,FALSE
566,extracomplex,FALSE,FALSE
567,extracomplex,TRUE,FALSE
568,extracomplex,TRUE,TRUE
569,extracomplex,TRUE,TRUE
570,extracomplex,FALSE,FALSE
571,extracomplex,TRUE,TRUE
572,extracomplex,TRUE,TRUE
573,extracomplex,TRUE,TRUE
574,extracomplex,TRUE,TRUE
575,extracomplex,TRUE,FALSE
576,extracomplex,FALSE,TRUE
577,extracomplex,FALSE,FALSE
578,complex,FALSE,FALSE
579,extracomplex,FALSE,TRUE
580,extracomplex,FALSE,TRUE
581,complex,FALSE,TRUE
582,complex,FALSE,FALSE
583,extracomplex,FALSE,FALSE
584,extracomplex,FALSE,FALSE
585,extracomplex,FALSE,TRUE
586,complex,FALSE,FALSE
587,complex,FALSE,FALSE
588,complex,FALSE,TRUE
589,complex,FALSE,TRUE
590,complex,FALSE,FALSE
591,complex,FALSE,FALSE
592,complex,FALSE,FALSE
593,extracomplex,TRUE,FALSE
594,extracomplex,TRUE,FALSE
595,extracomplex,TRUE,TRUE
596,extracomplex,TRUE,FALSE
597,extracomplex,TRUE,FALSE
598,extracomplex,TRUE,TRUE
599,extracomplex,TRUE,FALSE
600,extracomplex,TRUE,TRUE
601,extracomplex,TRUE,TRUE
602,extracomplex,TRUE,TRUE
603,extracomplex,TRUE,FALSE
604,complex,FALSE,TRUE
605,medium,FALSE,FALSE
606,complex,FALSE,FALSE
607,extracomplex,TRUE,TRUE
608,complex,FALSE,FALSE
609,complex,FALSE,FALSE
610,extracomplex,FALSE,TRUE
611,extracomplex,TRUE,FALSE
612,extracomplex,TRUE,FALSE
613,complex,TRUE,FALSE
614,complex,TRUE,FALSE
615,complex,FALSE,FALSE
616,extracomplex,FALSE,TRUE
617,extracomplex,FALSE,TRUE
618,extracomplex,FALSE,TRUE
619,extracomplex,FALSE,TRUE
620,extracomplex,FALSE,TRUE
621,extracomplex,FALSE,TRUE
622,extracomplex,FALSE,TRUE
623,extracomplex,FALSE,TRUE
624,extracomplex,FALSE,TRUE
625,extracomplex,FALSE,TRUE
626,extracomplex,FALSE,TRUE
627,complex,FALSE,TRUE
628,extracomplex,FALSE,TRUE
629,complex,FALSE,TRUE
630,extracomplex,FALSE,TRUE
631,complex,FALSE,FALSE
632,complex,FALSE,TRUE
633,complex,FALSE,FALSE
634,complex,FALSE,FALSE
635,complex,FALSE,FALSE
636,extracomplex,TRUE,FALSE
637,extracomplex,TRUE,FALSE
638,extracomplex,FALSE,TRUE
639,complex,TRUE,FALSE
640,extracomplex,TRUE,FALSE
641,extracomplex,TRUE,FALSE
642,extracomplex,TRUE,FALSE
643,extracomplex,TRUE,FALSE
644,extracomplex,TRUE,FALSE
645,extracomplex,TRUE,FALSE
646,extracomplex,TRUE,FALSE
647,complex,FALSE,FALSE
648,complex,TRUE,FALSE
649,complex,FALSE,FALSE
650,extracomplex,TRUE,TRUE
651,extracomplex,FALSE,FALSE
652,extracomplex,TRUE,FALSE
653,extracomplex,TRUE,FALSE
654,extracomplex,TRUE,FALSE
655,complex,FALSE,FALSE
656,complex,FALSE,FALSE
657,medium,FALSE,FALSE
658,extracomplex,TRUE,TRUE
659,complex,FALSE,FALSE
660,extracomplex,FALSE,TRUE
661,complex,FALSE,FALSE
662,extracomplex,TRUE,TRUE
663,complex,TRUE,FALSE
664,complex,FALSE,FALSE
665,extracomplex,TRUE,TRUE
666,extracomplex,TRUE,FALSE
667,extracomplex,TRUE,FALSE
668,complex,FALSE,FALSE
669,complex,FALSE,TRUE
670,extracomplex,TRUE,FALSE
671,complex,FALSE,TRUE
672,extracomplex,TRUE,TRUE
673,extracomplex,TRUE,FALSE
674,extracomplex,FALSE,FALSE
675,extracomplex,FALSE,FALSE
676,extracomplex,FALSE,FALSE
677,extracomplex,FALSE,FALSE
678,extracomplex,TRUE,FALSE
679,extracomplex,FALSE,TRUE
680,complex,TRUE,FALSE
681,extracomplex,TRUE,FALSE
682,extracomplex,TRUE,TRUE
683,extracomplex,TRUE,TRUE
684,extracomplex,FALSE,TRUE
685,medium,FALSE,FALSE
686,extracomplex,FALSE,TRUE
687,extracomplex,TRUE,FALSE
688,extracomplex,TRUE,TRUE
689,extracomplex,TRUE,FALSE
690,extracomplex,TRUE,TRUE
691,extracomplex,TRUE,TRUE
692,extracomplex,TRUE,TRUE
693,extracomplex,TRUE,TRUE
694,extracomplex,TRUE,TRUE
695,complex,TRUE,TRUE
696,extracomplex,TRUE,TRUE
697,complex,TRUE,TRUE
698,complex,TRUE,TRUE
699,complex,TRUE,TRUE
700,extracomplex,TRUE,TRUE
701,complex,FALSE,FALSE
702,extracomplex,FALSE,TRUE
703,complex,FALSE,FALSE
704,complex,TRUE,FALSE
705,complex,TRUE,FALSE
706,complex,FALSE,FALSE
707,complex,FALSE,FALSE
708,complex,FALSE,FALSE
709,complex,TRUE,FALSE
710,extracomplex,TRUE,TRUE
711,complex,TRUE,FALSE
712,extracomplex,FALSE,TRUE
713,complex,FALSE,TRUE
714,complex,TRUE,FALSE
715,complex,FALSE,FALSE
716,complex,FALSE,FALSE
717,extracomplex,TRUE,TRUE
718,complex,TRUE,FALSE
719,complex,TRUE,FALSE
720,extracomplex,TRUE,TRUE
721,extracomplex,TRUE,TRUE
722,extracomplex,TRUE,TRUE
723,complex,FALSE,FALSE
724,complex,TRUE,FALSE
725,complex,FALSE,FALSE
726,complex,FALSE,FALSE
727,complex,FALSE,FALSE
728,complex,FALSE,FALSE
729,extracomplex,TRUE,FALSE
730,extracomplex,TRUE,TRUE
731,extracomplex,TRUE,TRUE
732,extracomplex,TRUE,TRUE
733,extracomplex,TRUE,TRUE
734,extracomplex,TRUE,TRUE
735,complex,FALSE,FALSE
736,medium,TRUE,FALSE
737,complex,TRUE,FALSE
738,complex,TRUE,FALSE
739,complex,TRUE,FALSE
740,complex,TRUE,FALSE
741,complex,TRUE,FALSE
742,complex,TRUE,FALSE
743,extracomplex,TRUE,TRUE
744,extracomplex,TRUE,TRUE
745,complex,FALSE,FALSE
746,extracomplex,TRUE,TRUE
747,complex,FALSE,FALSE
748,complex,FALSE,FALSE
749,complex,FALSE,FALSE
750,extracomplex,TRUE,FALSE
751,complex,FALSE,FALSE
752,complex,FALSE,FALSE
753,extracomplex,TRUE,TRUE
754,complex,FALSE,FALSE
755,extracomplex,TRUE,TRUE
756,complex,FALSE,TRUE
757,extracomplex,TRUE,FALSE
758,extracomplex,TRUE,TRUE
759,extracomplex,TRUE,TRUE
760,extracomplex,TRUE,FALSE
761,extracomplex,TRUE,TRUE
762,complex,TRUE,FALSE
763,complex,TRUE,FALSE
764,complex,FALSE,FALSE
765,complex,FALSE,FALSE
766,extracomplex,TRUE,TRUE
767,complex,TRUE,FALSE
768,extracomplex,TRUE,TRUE
769,extracomplex,TRUE,TRUE
770,extracomplex,TRUE,TRUE
771,complex,FALSE,FALSE
772,extracomplex,TRUE,FALSE
773,extracomplex,TRUE,TRUE
774,complex,FALSE,TRUE
775,extracomplex,TRUE,FALSE
776,extracomplex,TRUE,FALSE
777,extracomplex,TRUE,FALSE
778,extracomplex,TRUE,TRUE
779,extracomplex,TRUE,TRUE
780,extracomplex,TRUE,TRUE
781,extracomplex,TRUE,FALSE
782,simple,FALSE,FALSE
783,extracomplex,TRUE,FALSE
784,extracomplex,TRUE,FALSE
785,extracomplex,TRUE,TRUE
786,extracomplex,TRUE,TRUE
787,complex,FALSE,FALSE
788,complex,FALSE,FALSE
789,extracomplex,TRUE,FALSE
790,medium,FALSE,FALSE
791,simple,FALSE,FALSE
792,extracomplex,TRUE,FALSE
793,extracomplex,FALSE,FALSE
794,extracomplex,FALSE,FALSE
795,complex,FALSE,FALSE
796,complex,FALSE,FALSE
797,extracomplex,TRUE,FALSE
798,extracomplex,TRUE,FALSE
799,extracomplex,TRUE,FALSE
800,extracomplex,TRUE,TRUE
801,complex,TRUE,FALSE
802,complex,TRUE,FALSE
803,complex,TRUE,FALSE
804,complex,TRUE,FALSE
805,complex,TRUE,FALSE
806,extracomplex,TRUE,TRUE
807,complex,TRUE,TRUE
808,complex,FALSE,FALSE
809,complex,FALSE,FALSE
810,extracomplex,TRUE,TRUE
811,extracomplex,TRUE,FALSE
812,extracomplex,TRUE,FALSE
813,complex,TRUE,FALSE
814,extracomplex,TRUE,FALSE
815,complex,TRUE,FALSE
816,extracomplex,TRUE,TRUE
817,extracomplex,TRUE,TRUE
818,extracomplex,TRUE,FALSE
819,extracomplex,TRUE,FALSE
820,extracomplex,TRUE,TRUE
821,complex,FALSE,FALSE
822,complex,FALSE,FALSE
823,extracomplex,TRUE,FALSE
824,extracomplex,TRUE,FALSE
825,extracomplex,TRUE,FALSE
826,complex,TRUE,FALSE
827,complex,TRUE,FALSE
828,complex,TRUE,FALSE
829,complex,FALSE,FALSE
