sentences,axes,ptypes,scores,dnames
Can you tell me which tech company has had the highest stock price over time?,Implicit-Explicit,compositional-nonvisual,4,vega-lite-example-gallery|line_color
Which company's line goes the highest on the chart over time?,Non-technical-Technical,compositional-visual,2,vega-lite-example-gallery|line_color
Which company's line gets the highest up on the y-axis as time goes on?,Colloquial-Standard,compositional-visual,2,vega-lite-example-gallery|line_color
Which country made the most money in Year Y?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_12
Can you guess the top performer in terms of GDP in Year Y?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_12
Do you know who was leading the economic race in Year Y?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_12
"Can you tell me about the economic situation in Year Y, particularly who was at the top?",Implicit-Explicit,compositional-nonvisual,3,d3|d3_12
What country had the highest GDP in Year Y?,Implicit-Explicit,compositional-nonvisual,5,d3|d3_12
Which place had the most dough in Year Y?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_12
Which nation had the most money in Year Y?,Non-technical-Technical,compositional-nonvisual,3,d3|d3_12
Which place was the richest in Year Y?,Non-technical-Technical,compositional-nonvisual,1,d3|d3_12
"I'm really curious, which country do you think had the highest GDP in Year Y?",Subjective-Objective,compositional-nonvisual,1,d3|d3_12
Can you identify the country with the highest GDP in Year Y?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_12
Which country had the highest economic output in Year Y?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_12
Can you figure out which line goes up the most in Year Y?,Implicit-Explicit,compositional-visual,1,d3|d3_12
Provide the exact population of the age range X in state Y.,Implicit-Explicit,lookup-nonvisual,5,d3|d3_4
What is the quantified demographic distribution for the specified age cohort in the designated geopolitical region?,Non-technical-Technical,lookup-nonvisual,5,d3|d3_4
Can you tell me the number of people in the X age range in state Y?,Colloquial-Standard,lookup-nonvisual,3,d3|d3_4
Would you be able to ascertain the population of individuals within the X age demographic residing in state Y?,Colloquial-Standard,lookup-nonvisual,5,d3|d3_4
"Yo, which state's got the most folks in that age group X?",Colloquial-Standard,compositional-nonvisual,1,d3|d3_4
Do you know which state has the most people in the age range X?,Implicit-Explicit,compositional-nonvisual,3,d3|d3_4
Any idea which state's got the most people in that age range X?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_4
Can you guess the state with the most number of people in the age range X?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_4
Which area has the most number of people in the X age group?,Non-technical-Technical,compositional-nonvisual,2,d3|d3_4
It seems like California could have the highest population in that age range.,Subjective-Objective,compositional-nonvisual,3,d3|d3_4
"According to the latest census data, California has the highest population in that age range.",Subjective-Objective,compositional-nonvisual,5,d3|d3_4
"I'm pretty sure California has the most people in that age range, don't you think?",Subjective-Objective,compositional-nonvisual,1,d3|d3_4
Would you be able to inform me which state possesses the highest population within the specified age range X?,Colloquial-Standard,compositional-nonvisual,5,d3|d3_4
The data suggests that California has the highest population in that age range.,Subjective-Objective,compositional-nonvisual,4,d3|d3_4
Can you tell me which state has the highest population in the age range X?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_4
In which geographical region is the population density highest for the X age bracket?,Non-technical-Technical,compositional-nonvisual,3,d3|d3_4
What's the general consensus of a specific religion on this issue?,Implicit-Explicit,lookup-nonvisual,3,kong|kong_3
Is there data showing the percentage of people who respond in a certain way due to their religious beliefs?,Subjective-Objective,lookup-nonvisual,4,kong|kong_3
Which religious sect exhibits the highest percentile response to a particular doctrinal tenet?,Non-technical-Technical,compositional-nonvisual,5,kong|kong_3
Can you guess which belief system might have the most of a certain response?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_3
"Based on the data, which religion appears to have the highest percentage of a particular response?",Subjective-Objective,compositional-nonvisual,4,kong|kong_3
Please tell me which religion has the highest percentage of a specific response.,Implicit-Explicit,compositional-nonvisual,5,kong|kong_3
Which belief system do most people identify with?,Non-technical-Technical,compositional-nonvisual,2,kong|kong_3
Which religious group has the most number of people agreeing to a specific belief?,Non-technical-Technical,compositional-nonvisual,3,kong|kong_3
Do you know which religion might have the most of a specific response?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_3
Which religion has the greatest number of individuals providing a similar response?,Colloquial-Standard,compositional-nonvisual,4,kong|kong_3
"It seems like a certain religion might have the highest percentage of a particular response, doesn't it?",Subjective-Objective,compositional-nonvisual,3,kong|kong_3
What do you think is the religion with the most followers who give a certain response?,Subjective-Objective,compositional-nonvisual,1,kong|kong_3
Which religion's got the most people giving the same answer?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_3
Which religious denomination has the highest proportion of adherence to a specific doctrine?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_3
Can you tell me which religion has the most of a particular response?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_3
How many cases were there in 2010?,Colloquial-Standard,lookup-nonvisual,1,d3|d3_1
Please provide the precise count of cases in the year 2010.,Subjective-Objective,lookup-nonvisual,5,d3|d3_1
"It seems like the number of cases in 2010 was significant, right?",Subjective-Objective,lookup-nonvisual,3,d3|d3_1
Can you tell me the highest number of cases that have been recorded in a single year?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_1
What is the greatest number of cases documented in any given year?,Colloquial-Standard,compositional-nonvisual,4,d3|d3_1
What is the maximum quantity of cases registered in any particular year?,Colloquial-Standard,compositional-nonvisual,5,d3|d3_1
Please provide the exact highest number of cases recorded in any given year.,Implicit-Explicit,compositional-nonvisual,5,d3|d3_1
Any idea about the peak case count in a year?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_1
Do you know the highest number of cases recorded in a year?,Implicit-Explicit,compositional-nonvisual,3,d3|d3_1
What do you think is the highest number of cases we've ever had in a year?,Subjective-Objective,compositional-nonvisual,1,d3|d3_1
What is the highest recorded frequency of cases in a single year?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_1
What's the highest number of cases we've seen in a year?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_1
What's the most cases we've had in a year?,Colloquial-Standard,compositional-nonvisual,1,d3|d3_1
What is the highest number of cases recorded in a single year?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_1
What might be the maximum number of cases we've had in any year?,Subjective-Objective,compositional-nonvisual,3,d3|d3_1
Can you guess the highest number of cases we've had in a year?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_1
What's the most number of times it happened in a year?,Non-technical-Technical,compositional-nonvisual,1,d3|d3_1
Please provide the data for the maximum number of cases recorded in a single year.,Subjective-Objective,compositional-nonvisual,5,d3|d3_1
Can you tell me the height of the 2010 bar on the x-axis?,Colloquial-Standard,lookup-visual,3,d3|d3_1
How much cash did the company pull in 2015?,Colloquial-Standard,lookup-nonvisual,2,d3|d3_10
What was the financial gain of the company in 2015?,Subjective-Objective,lookup-nonvisual,4,d3|d3_10
Do you remember anything about how the company was doing financially around 2015?,Implicit-Explicit,lookup-nonvisual,1,d3|d3_10
Can you quantify the variance in fiscal gain between the years 2015 and 2020?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_10
Can you think about how the revenue might have changed from 2015 to 2020?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_10
Could you elucidate the discrepancy in revenue between the fiscal years of 2015 and 2020?,Colloquial-Standard,compositional-nonvisual,5,d3|d3_10
Could you provide the data on the difference in revenue between the years 2015 and 2020?,Subjective-Objective,compositional-nonvisual,4,d3|d3_10
What's the cash difference between 2015 and 2020?,Colloquial-Standard,compositional-nonvisual,1,d3|d3_10
What was the cost of research and development in 2010?,Colloquial-Standard,lookup-nonvisual,3,d3|d3_11
Could you please inform me of the financial outlay for research and development in the fiscal year of 2010?,Colloquial-Standard,lookup-nonvisual,5,d3|d3_11
Please provide the exact difference in dollar amount between the highest and lowest expenditure on research and development over the years.,Implicit-Explicit,compositional-nonvisual,5,d3|d3_11
Can you tell me what you think is the difference between the highest and lowest spending on research and development over the years?,Subjective-Objective,compositional-nonvisual,1,d3|d3_11
What is the numerical difference between the maximum and minimum expenditure on research and development over the years?,Subjective-Objective,compositional-nonvisual,5,d3|d3_11
Can you tell me the highest and lowest we've spent on research and development over the years?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_11
Can you guess the major with the highest percentage?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_3
Could you tell me what might be the maximum percentage value among all the majors?,Subjective-Objective,compositional-nonvisual,3,d3|d3_3
What is the highest percentage value among all the majors?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_3
What do you think is the highest percentage value among all the majors?,Subjective-Objective,compositional-nonvisual,1,d3|d3_3
"I'm curious, what could be the highest percentage value among all the majors?",Subjective-Objective,compositional-nonvisual,2,d3|d3_3
Can you tell me which major has the maximum percentage value?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_3
Can you provide the maximum percentage value among all the majors?,Subjective-Objective,compositional-nonvisual,4,d3|d3_3
Please provide the maximum percentage value among all the majors.,Subjective-Objective,compositional-nonvisual,5,d3|d3_3
What is the maximum percentage value amongst all the major subjects?,Colloquial-Standard,compositional-nonvisual,5,d3|d3_3
What is the peak percentage value among all the major fields of study?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_3
Any idea which way of getting around is the most popular?,Implicit-Explicit,lookup-nonvisual,1,d3|d3_5
Which transportation modality has the highest utilization rate?,Non-technical-Technical,lookup-nonvisual,5,d3|d3_5
What is the numerical difference in users between the transportation method with the highest usage and the one with the lowest usage?,Implicit-Explicit,compositional-nonvisual,5,d3|d3_5
What is the quantitative discrepancy in utilization between the transportation modality with the maximum patronage and the one with the minimum?,Non-technical-Technical,compositional-nonvisual,5,d3|d3_5
Can you explain the difference in usage between the most popular and least popular modes of transportation?,Implicit-Explicit,compositional-nonvisual,3,d3|d3_5
Can you provide the difference in usage between the most and least used modes of transportation?,Subjective-Objective,compositional-nonvisual,4,d3|d3_5
Can you tell me the difference in usage between the most and least popular modes of transportation?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_5
Can you tell me about the gap in popularity between the most and least used ways of getting around?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_5
What's the difference in how many people use the most used and least used ways of getting around?,Non-technical-Technical,compositional-nonvisual,2,d3|d3_5
How many more people use the most popular way to get around compared to the least popular one?,Non-technical-Technical,compositional-nonvisual,1,d3|d3_5
What's the difference in the number of users between the most and least popular transportation methods?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_5
"I wonder what the highest count value in the dataset could be, it's quite interesting to think about.",Subjective-Objective,lookup-nonvisual,2,d3|d3_6
"It seems like one platform might have a higher count value, doesn't it?",Subjective-Objective,compositional-nonvisual,3,d3|d3_6
Which platform do you think has the most count value?,Subjective-Objective,compositional-nonvisual,1,d3|d3_6
Which platform exhibits the maximum numerical count value?,Colloquial-Standard,compositional-nonvisual,5,d3|d3_6
Which platform has the highest number?,Non-technical-Technical,compositional-nonvisual,2,d3|d3_6
Which platform has the highest count?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_6
Which platform's got the highest count?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_6
Can we determine which platform has the highest count value?,Subjective-Objective,compositional-nonvisual,4,d3|d3_6
Any idea which platform is leading the pack?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_6
Can you guess the amount given by the top donor country?,Implicit-Explicit,lookup-nonvisual,2,d3|d3_7
How much money did the country that gave the most donate?,Non-technical-Technical,lookup-nonvisual,1,d3|d3_7
Could you tell me the amount that the highest donating country has contributed?,Implicit-Explicit,lookup-nonvisual,3,d3|d3_7
Which country gives the most money?,Colloquial-Standard,compositional-nonvisual,2,d3|d3_7
Which place gives the most dough?,Colloquial-Standard,compositional-nonvisual,1,d3|d3_7
"I've heard that some countries donate more than others, do you know which one donates the most?",Subjective-Objective,compositional-nonvisual,2,d3|d3_7
Which country gives the most money?,Non-technical-Technical,compositional-nonvisual,1,d3|d3_7
Can you guess the country that's perhaps the most generous?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_7
Which country leads in terms of the highest monetary donations?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_7
Please provide data on the country with the highest recorded donation amount.,Subjective-Objective,compositional-nonvisual,5,d3|d3_7
Please tell me the country that has the highest donation amount.,Implicit-Explicit,compositional-nonvisual,5,d3|d3_7
Can you tell me which country is known for having the highest donation amount?,Subjective-Objective,compositional-nonvisual,3,d3|d3_7
Which country contributes the most in donations?,Non-technical-Technical,compositional-nonvisual,2,d3|d3_7
Any idea about the country that's leading the pack in terms of donations?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_7
"I'm really curious, which country do you think is the most generous in terms of donations?",Subjective-Objective,compositional-nonvisual,1,d3|d3_7
Which country exhibits the highest quantum of financial philanthropy?,Non-technical-Technical,compositional-nonvisual,5,d3|d3_7
Please provide the country that corresponds to the highest rating value.,Subjective-Objective,lookup-nonvisual,5,d3|d3_8
Do you know the country that has the highest rating value?,Implicit-Explicit,lookup-nonvisual,3,d3|d3_8
Can you guess the country with the highest rating?,Implicit-Explicit,lookup-nonvisual,2,d3|d3_8
Which country is rated the highest and how much more is it than the second highest?,Non-technical-Technical,compositional-nonvisual,2,d3|d3_8
Any idea about the country that's leading the pack in average ratings? And how much of a lead does it have?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_8
Do you know which country has the best average rating and how much it surpasses the second best?,Implicit-Explicit,compositional-nonvisual,3,d3|d3_8
Which nation has the top average score and how much more is it than the runner-up?,Non-technical-Technical,compositional-nonvisual,3,d3|d3_8
Which country possesses the highest mean rating and by what margin does it surpass the subsequent highest rating?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_8
Can you tell me which country has the highest average rating and the difference between it and the second highest?,Implicit-Explicit,compositional-nonvisual,4,d3|d3_8
Could you inform me which country possesses the highest average rating and by what margin it exceeds the subsequent highest rating?,Colloquial-Standard,compositional-nonvisual,4,d3|d3_8
Please provide the exact donation amount of the country that donates the most.,Implicit-Explicit,lookup-nonvisual,5,d3|d3_9
Which country has the highest recorded donation amount?,Subjective-Objective,compositional-nonvisual,5,d3|d3_9
Which country has the highest monetary contribution in terms of donations?,Non-technical-Technical,compositional-nonvisual,4,d3|d3_9
Which country contributes the highest amount in donations?,Non-technical-Technical,compositional-nonvisual,3,d3|d3_9
Can you guess which country has the highest donation amount?,Subjective-Objective,compositional-nonvisual,3,d3|d3_9
Do you know where the most generous donations are coming from?,Implicit-Explicit,compositional-nonvisual,2,d3|d3_9
Which country do you think is the most generous in terms of donations?,Subjective-Objective,compositional-nonvisual,1,d3|d3_9
Which place gives the most dough?,Colloquial-Standard,compositional-nonvisual,1,d3|d3_9
Which country donates the most?,Colloquial-Standard,compositional-nonvisual,3,d3|d3_9
Any idea about the country that's leading the pack in donations?,Implicit-Explicit,compositional-nonvisual,1,d3|d3_9
Which place is the most packed with people per square kilometer?,Colloquial-Standard,lookup-nonvisual,1,kong|kong_15
Can you tell me the country with the most people living per square kilometer?,Implicit-Explicit,lookup-nonvisual,4,kong|kong_15
Would you be able to ascertain which country possesses the highest number of individuals per square kilometer?,Colloquial-Standard,lookup-nonvisual,5,kong|kong_15
What's the highest number of people you can find in a square kilometer and which country has that?,Non-technical-Technical,compositional-nonvisual,2,kong|kong_15
Can you tell me which country has the highest population density? And how many people live in a square kilometer there?,Subjective-Objective,compositional-nonvisual,3,kong|kong_15
What is the maximum human population density expressed in persons per square kilometer and to which country does this statistic pertain?,Non-technical-Technical,compositional-nonvisual,5,kong|kong_15
"I've been wondering, which country do you believe has the highest population density? Any idea about the number of people per square kilometer?",Subjective-Objective,compositional-nonvisual,2,kong|kong_15
What's the maximum number of people per square kilometer and which country is that?,Colloquial-Standard,compositional-nonvisual,3,kong|kong_15
"I'm really curious, which country do you think is the most densely populated? How many people do you reckon live in a square kilometer there?",Subjective-Objective,compositional-nonvisual,1,kong|kong_15
What's the most number of folks you can cram into a square kilometer and which place does that happen?,Colloquial-Standard,compositional-nonvisual,1,kong|kong_15
What do you think about the house effect of pollster X? I personally feel it's quite significant.,Subjective-Objective,lookup-nonvisual,1,kong|kong_17
Which surveyor has the most pronounced house effect?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_17
Who seems to have a bit more influence in the house?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_17
Which survey taker usually shows more bias?,Non-technical-Technical,compositional-nonvisual,2,kong|kong_17
"Based on the data, which pollster has the most significant house effect?",Subjective-Objective,compositional-nonvisual,4,kong|kong_17
Who do you think has the biggest house effect?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_17
Can you tell me who has the most significant house effect?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_17
Can you determine the length of the bar representing pollster X on the vertical axis?,Non-technical-Technical,lookup-visual,4,kong|kong_17
How long is the line for pollster X?,Non-technical-Technical,lookup-visual,1,kong|kong_17
What is the exact length of the bar that represents pollster X on the y-axis?,Implicit-Explicit,lookup-visual,4,kong|kong_17
I'm wondering if there were a lot of people in the 30-35 age group in 2015. What do you think?,Subjective-Objective,lookup-nonvisual,2,kong|kong_18
Please provide the data on the percentage of the population that was in the 30-35 age group in 2015.,Subjective-Objective,lookup-nonvisual,5,kong|kong_18
Can you provide the exact percentage of people aged 30-35 in 2015?,Implicit-Explicit,lookup-nonvisual,4,kong|kong_18
Could you provide information on which age group had the highest percentage each year?,Subjective-Objective,compositional-nonvisual,4,kong|kong_18
Would you be able to specify which age demographic consistently had the highest percentage on an annual basis?,Colloquial-Standard,compositional-nonvisual,5,kong|kong_18
Do you know which age group had the most representation each year?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_18
Which age group had the most folks each year?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_18
Who were the oldest folks each year?,Non-technical-Technical,compositional-nonvisual,1,kong|kong_18
Which age cohort demonstrated the highest annual percentage representation?,Non-technical-Technical,compositional-nonvisual,5,kong|kong_18
Can you guess which age group was leading each year?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_18
What is the numerical difference in growth rates between the religion with the highest growth percentage and the one with the lowest?,Subjective-Objective,compositional-nonvisual,5,kong|kong_5
Could you explain the difference in growth between the religion that's growing the most and the one that's growing the least?,Subjective-Objective,compositional-nonvisual,3,kong|kong_5
Could you elucidate the disparity in growth percentages between the religion experiencing the highest growth and the one experiencing the lowest?,Colloquial-Standard,compositional-nonvisual,4,kong|kong_5
How big is the gap between the religion that's growing the most and the one that's not?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_5
Can you quantify the difference in growth rates between the religion with the highest growth and the one with the lowest growth?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_5
How much more is the fastest growing religion growing compared to the slowest one?,Non-technical-Technical,compositional-nonvisual,1,kong|kong_5
Can you provide the difference in growth rates between the religion with the highest growth and the one with the lowest growth?,Subjective-Objective,compositional-nonvisual,4,kong|kong_5
"Can you identify the religion with the longest bar on the x-axis, colored to show growth?",Implicit-Explicit,lookup-visual,3,kong|kong_5
Which religion's line extends the most on the horizontal line and indicates growth?,Non-technical-Technical,lookup-visual,3,kong|kong_5
"Which religion do you think has the longest bar on the x-axis, showing that it's growing the most?",Subjective-Objective,lookup-visual,1,kong|kong_5
Which religion's bar goes the furthest on the x-axis and is colored to show it's growing?,Colloquial-Standard,lookup-visual,2,kong|kong_5
Which religion's bar on the horizontal axis extends the most and signifies an increase?,Non-technical-Technical,lookup-visual,4,kong|kong_5
Which religion's bar extends the furthest along the x-axis and is colored to represent an increase?,Colloquial-Standard,lookup-visual,5,kong|kong_5
What's the length difference between the longest and shortest growth bars?,Non-technical-Technical,compositional-visual,3,kong|kong_5
What's the maximum budget we have for a specific category?,Colloquial-Standard,lookup-nonvisual,3,kong|kong_50
Do you know the top limit for one of the budget categories?,Implicit-Explicit,lookup-nonvisual,2,kong|kong_50
What is the apex fiscal allotment for a distinct budgetary classification?,Non-technical-Technical,lookup-nonvisual,5,kong|kong_50
What is the maximum financial allocation for a specific budgetary category?,Non-technical-Technical,lookup-nonvisual,4,kong|kong_50
Can you tell me the maximum amount allocated for a particular budget category?,Implicit-Explicit,lookup-nonvisual,3,kong|kong_50
Any idea about the ceiling for a certain budget area?,Implicit-Explicit,lookup-nonvisual,1,kong|kong_50
Please provide the exact highest amount allocated for a specific budget category.,Implicit-Explicit,lookup-nonvisual,5,kong|kong_50
Do you know the country that allocates the most for a particular budget category?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_50
Which country has the highest budget for a particular category?,Colloquial-Standard,compositional-nonvisual,3,kong|kong_50
Which nation allocates the most funds for a particular budgetary item?,Non-technical-Technical,compositional-nonvisual,3,kong|kong_50
"I feel like some countries are just throwing money at certain budget categories, don't you?",Subjective-Objective,compositional-nonvisual,2,kong|kong_50
Which country has the biggest budget for a certain area?,Non-technical-Technical,compositional-nonvisual,2,kong|kong_50
What is the country that has the highest budget allocation for a specific category?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_50
Which country's got the biggest budget for a specific category?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_50
The data shows a variation in the budget allocation for specific categories among different countries.,Subjective-Objective,compositional-nonvisual,5,kong|kong_50
How many people are Asian?,Non-technical-Technical,lookup-nonvisual,1,kong|kong_53
Can you tell me about the Asian representation?,Implicit-Explicit,lookup-nonvisual,2,kong|kong_53
Do you know which race has the most significant percentage?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_53
Don't you think it's obvious which race is dominating in terms of percentage?,Subjective-Objective,compositional-nonvisual,1,kong|kong_53
Which group has the most people?,Non-technical-Technical,compositional-nonvisual,2,kong|kong_53
Which group's got the most numbers?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_53
Which demographic group has the highest proportion?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_53
It seems to me that one race might have a higher percentage than the others.,Subjective-Objective,compositional-nonvisual,3,kong|kong_53
Any thoughts on which race might be leading the pack in terms of percentages?,Implicit-Explicit,compositional-nonvisual,1,kong|kong_53
Can you tell me the length of the bar that represents the Asian population?,Non-technical-Technical,lookup-visual,3,kong|kong_53
Could you please provide the statistical percentage associated with the Asian demographic?,Colloquial-Standard,lookup-nonvisual,5,kong|kong_54
Could we determine the percentage of the population that is Asian?,Subjective-Objective,lookup-nonvisual,4,kong|kong_54
Can you tell me the exact percentage of the Asian population?,Implicit-Explicit,lookup-nonvisual,5,kong|kong_54
Can we find out the percentage of people who are Asian? It seems like it could be a considerable amount.,Subjective-Objective,lookup-nonvisual,3,kong|kong_54
Could you tell me the percentage related to the Asian race?,Colloquial-Standard,lookup-nonvisual,3,kong|kong_54
"According to the statistics, which race has the highest percentage?",Subjective-Objective,compositional-nonvisual,5,kong|kong_54
Do you know which race is likely to have the most representation?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_54
Who do you think has the highest percentage in terms of race?,Subjective-Objective,compositional-nonvisual,1,kong|kong_54
To which race does the highest percentage pertain?,Colloquial-Standard,compositional-nonvisual,5,kong|kong_54
"Based on the data, which race has the highest percentage?",Subjective-Objective,compositional-nonvisual,4,kong|kong_54
Please tell me the race with the highest percentage.,Implicit-Explicit,compositional-nonvisual,5,kong|kong_54
Which race has the most people?,Colloquial-Standard,compositional-nonvisual,3,kong|kong_54
Which ethnic group has the highest representation?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_54
Which demographic has the largest proportion?,Non-technical-Technical,compositional-nonvisual,3,kong|kong_54
Which race's got the most peeps?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_54
Do you know the length of the bar that's related to Asians?,Implicit-Explicit,lookup-visual,3,kong|kong_54
What is the exact length of the bar that is associated with the Asian race?,Implicit-Explicit,lookup-visual,5,kong|kong_54
What's the biggest percent out of all the races?,Colloquial-Standard,lookup-nonvisual,1,kong|kong_55
Can you tell me which race has the highest percentage?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_55
It appears that a certain race could potentially have the highest percentage.,Subjective-Objective,compositional-nonvisual,3,kong|kong_55
The data indicates which race has the highest percentage.,Subjective-Objective,compositional-nonvisual,5,kong|kong_55
Which group has the highest number of people?,Non-technical-Technical,compositional-nonvisual,2,kong|kong_55
Do you know which race is likely to have the highest percentage?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_55
Which population group has the highest percentage representation?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_55
Which group has the most people?,Non-technical-Technical,compositional-nonvisual,1,kong|kong_55
Which demographic has the highest proportion?,Non-technical-Technical,compositional-nonvisual,3,kong|kong_55
Who do you think has the highest percentage in the race?,Subjective-Objective,compositional-nonvisual,1,kong|kong_55
What's the highest percent of folks saying they feel safe in their own hood?,Colloquial-Standard,compositional-nonvisual,1,kong|kong_65
What is the highest percentage of positive responses we received when we asked people if they feel safe in their neighborhood?,Implicit-Explicit,compositional-nonvisual,5,kong|kong_65
"I wonder how many people responded positively to the statement ""I feel safe in my neighborhood"".",Subjective-Objective,compositional-nonvisual,2,kong|kong_65
