outs,step1s,step2s,step3s,lookup-nonvisual,step5s,lookup-visual,step7s,compositional-nonvisual,step9s,compositional-visual,open-ended,dnames
"Step 1. Decision: The decision to be made could be determining which mode of transportation has the highest ridership.
Step 2. Conclusion: The mode of transportation with the highest ridership is the most popular.
Step 3. Specific Value: The specific value would be the highest ridership number.
Step 4. Lookup Question: What mode of transportation has the highest ridership?
Step 5. Visual Attributes: The length of the bar represents the ridership.
Step 6. Paraphrased Question: Which bar is the longest in the chart?
Step 7. Operations: The operation would be finding the maximum value of ridership.
Step 8. Compositional Question: What is the difference in ridership between the mode of transportation with the highest ridership and the one with the lowest?
Step 9. Visual Attributes: The length of the bars represents the ridership.
Step 10. Paraphrased Question: What is the difference in length between the longest and shortest bars in the chart?
Step 11. Open-ended Question: How does the popularity of different modes of transportation compare based on their ridership?",The decision to be made could be determining which mode of transportation has the highest ridership.,The mode of transportation with the highest ridership is the most popular.,The specific value would be the highest ridership number.,What mode of transportation has the highest ridership?,The length of the bar represents the ridership.,Which bar is the longest in the chart?,The operation would be finding the maximum value of ridership.,What is the difference in ridership between the mode of transportation with the highest ridership and the one with the lowest?,The length of the bars represents the ridership.,What is the difference in length between the longest and shortest bars in the chart?,How does the popularity of different modes of transportation compare based on their ridership?,d3|d3_5
"Step 1. Decision: The decision to be made could be determining which platform has the highest count.
Step 2. Conclusion: The platform with the highest count is the most popular or most used.
Step 3. Specific Value: The specific value would be the highest count value.
Step 4. Lookup Question: What is the highest count value in the dataset?
Step 5. Visual Attributes: The height of the bars in the bar chart.
Step 6. Paraphrased Question: Which bar in the chart is the tallest?
Step 7. Operations: The operation would be finding the maximum value.
Step 8. Compositional Question: Which platform has the maximum count value?
Step 9. Visual Attributes: The height of the bars and the labels on the x-axis.
Step 10. Paraphrased Question: Which bar is the tallest and what platform does it represent?
Step 11. Open-ended Question: What could be the reasons for the popularity of the platform with the highest count?",The decision to be made could be determining which platform has the highest count.,The platform with the highest count is the most popular or most used.,The specific value would be the highest count value.,What is the highest count value in the dataset?,The height of the bars in the bar chart.,Which bar in the chart is the tallest?,The operation would be finding the maximum value.,Which platform has the maximum count value?,The height of the bars and the labels on the x-axis.,Which bar is the tallest and what platform does it represent?,What could be the reasons for the popularity of the platform with the highest count?,d3|d3_6
"Step 1. Decision: The decision to be made could be determining which country has the highest amount of donations.
Step 2. Conclusion: The country with the highest bar in the chart is the one with the most donations.
Step 3. Specific Value: The specific value to be retrieved is the donation amount of the country with the highest bar.
Step 4. Lookup Question: What is the donation amount of the country with the highest donations?
Step 5. Visual Attributes: The height of the bars represents the donation amount.
Step 6. Paraphrased Question: Which country's bar is the tallest in the chart?
Step 7. Operations: The operation to be performed is finding the maximum value of the donation amounts.
Step 8. Compositional Question: Which country has the maximum donation amount?
Step 9. Visual Attributes: The height of the bars represents the donation amount.
Step 10. Paraphrased Question: Which bar in the chart is the tallest?
Step 11. Open-ended Question: What could be the reason for this country having the highest donation amount?",The decision to be made could be determining which country has the highest amount of donations.,The country with the highest bar in the chart is the one with the most donations.,The specific value to be retrieved is the donation amount of the country with the highest bar.,What is the donation amount of the country with the highest donations?,The height of the bars represents the donation amount.,Which country's bar is the tallest in the chart?,The operation to be performed is finding the maximum value of the donation amounts.,Which country has the maximum donation amount?,The height of the bars represents the donation amount.,Which bar in the chart is the tallest?,What could be the reason for this country having the highest donation amount?,d3|d3_7
"Step 1. Decision: The decision to be made could be determining which country has the highest average rating.
Step 2. Conclusion: The country with the highest average rating is the most preferred or popular.
Step 3. Specific Value: The highest rating value.
Step 4. Lookup Question: What is the highest rating value and which country does it correspond to?
Step 5. Visual Attributes: The height of the bars.
Step 6. Paraphrased Question: Which bar is the tallest and which country does it represent?
Step 7. Operations: Max operation to find the highest rating.
Step 8. Compositional Question: Which country has the highest average rating and by how much does it exceed the next highest rating?
Step 9. Visual Attributes: The height of the bars and the difference between the heights.
Step 10. Paraphrased Question: Which bar is the tallest, which country does it represent, and how much taller is it than the next tallest bar?
Step 11. Open-ended Question: How does the highest average rating reflect the popularity of a country?",The decision to be made could be determining which country has the highest average rating.,The country with the highest average rating is the most preferred or popular.,The highest rating value.,What is the highest rating value and which country does it correspond to?,The height of the bars.,Which bar is the tallest and which country does it represent?,Max operation to find the highest rating.,Which country has the highest average rating and by how much does it exceed the next highest rating?,The height of the bars and the difference between the heights.,"Which bar is the tallest, which country does it represent, and how much taller is it than the next tallest bar?",How does the highest average rating reflect the popularity of a country?,d3|d3_8
"Step 1. Decision: The decision could be determining which country has the highest amount of donations.
Step 2. Conclusion: The country with the highest bar in the chart is the one with the most donations.
Step 3. Specific Value: The specific value would be the donation amount of the country with the highest bar.
Step 4. Lookup Question: What is the donation amount of the country with the highest donations?
Step 5. Visual Attributes: The height of the bars represents the donation amount.
Step 6. Paraphrased Question: Which bar is the tallest in the chart and what is its value?
Step 7. Operations: The operation would be finding the maximum value of the donation amounts.
Step 8. Compositional Question: Which country has the maximum donation amount?
Step 9. Visual Attributes: The height of the bars represents the donation amount and the labels on the x-axis represent the countries.
Step 10. Paraphrased Question: Which bar is the tallest and what country does it represent?
Step 11. Open-ended Question: How does the country with the highest donations compare to the others in terms of donation amount?",The decision could be determining which country has the highest amount of donations.,The country with the highest bar in the chart is the one with the most donations.,The specific value would be the donation amount of the country with the highest bar.,What is the donation amount of the country with the highest donations?,The height of the bars represents the donation amount.,Which bar is the tallest in the chart and what is its value?,The operation would be finding the maximum value of the donation amounts.,Which country has the maximum donation amount?,The height of the bars represents the donation amount and the labels on the x-axis represent the countries.,Which bar is the tallest and what country does it represent?,How does the country with the highest donations compare to the others in terms of donation amount?,d3|d3_9
"Step 1. Decision: The decision to be made could be determining which country has the highest urban population density.
Step 2. Conclusion: The country with the highest number of persons per square kilometer is the one with the highest urban population density.
Step 3. Specific Value: The specific value would be the highest number of persons per square kilometers.
Step 4. Lookup Question: Which country has the highest number of persons per square kilometers?
Step 5. Visual Attributes: The visual attributes required would be the length of the bar and the label of the country on the y-axis.
Step 6. Paraphrased Question: Which country's bar extends the furthest along the x-axis?
Step 7. Operations: The operation required would be finding the maximum value of persons per square kilometers.
Step 8. Compositional Question: What is the maximum number of persons per square kilometers and which country does it correspond to?
Step 9. Visual Attributes: The visual attributes required would be the length of the bar and the label of the country on the y-axis.
Step 10. Paraphrased Question: Which country's bar extends the furthest along the x-axis and what is the value at that point?
Step 11. Open-ended Question: How does the urban population density vary across different countries?",The decision to be made could be determining which country has the highest urban population density.,The country with the highest number of persons per square kilometer is the one with the highest urban population density.,The specific value would be the highest number of persons per square kilometers.,Which country has the highest number of persons per square kilometers?,The visual attributes required would be the length of the bar and the label of the country on the y-axis.,Which country's bar extends the furthest along the x-axis?,The operation required would be finding the maximum value of persons per square kilometers.,What is the maximum number of persons per square kilometers and which country does it correspond to?,The visual attributes required would be the length of the bar and the label of the country on the y-axis.,Which country's bar extends the furthest along the x-axis and what is the value at that point?,How does the urban population density vary across different countries?,kong|kong_15
"Step 1. Decision: The decision that can be made by analyzing this chart is to determine the pollster with the highest house effect.
Step 2. Conclusion: The pollster with the highest house effect can be considered as the most influential.
Step 3. Specific Value: The specific value that can be retrieved is the house effect of a particular pollster.
Step 4. Lookup Question: What is the house effect of pollster X?
Step 5. Visual Attributes: The visual attributes required are the length of the bar and the y-axis.
Step 6. Paraphrased Question: How long is the bar corresponding to pollster X on the y-axis?
Step 7. Operations: The operation required is max to find the pollster with the highest house effect.
Step 8. Compositional Question: Which pollster has the highest house effect?
Step 9. Visual Attributes: The visual attributes required are the length of the bars and the y-axis.
Step 10. Paraphrased Question: Which bar on the y-axis is the longest?
Step 11. Open-ended Question: How does the house effect of a pollster influence their impact on the poll results?",The decision that can be made by analyzing this chart is to determine the pollster with the highest house effect.,The pollster with the highest house effect can be considered as the most influential.,The specific value that can be retrieved is the house effect of a particular pollster.,What is the house effect of pollster X?,The visual attributes required are the length of the bar and the y-axis.,How long is the bar corresponding to pollster X on the y-axis?,The operation required is max to find the pollster with the highest house effect.,Which pollster has the highest house effect?,The visual attributes required are the length of the bars and the y-axis.,Which bar on the y-axis is the longest?,How does the house effect of a pollster influence their impact on the poll results?,kong|kong_17
"Step 1. Decision: The decision to be made could be understanding the distribution of age groups over different years.
Step 2. Conclusion: A possible conclusion could be that a certain age group has consistently had the highest percentage over the years.
Step 3. Specific Value: The specific value could be the percentage of a certain age group in a specific year.
Step 4. Lookup Question: What is the percentage of the age group 30-35 in the year 2015?
Step 5. Visual Attributes: The visual attributes required are the height of the bar corresponding to the age group 30-35 in the year 2015.
Step 6. Paraphrased Question: How high is the bar representing the age group 30-35 in the year 2015?
Step 7. Operations: The operations required could be finding the maximum percentage among all age groups for each year.
Step 8. Compositional Question: Which age group had the highest percentage each year?
Step 9. Visual Attributes: The visual attributes required are the heights of the bars for each age group in each year.
Step 10. Paraphrased Question: Which bar is the highest for each year?
Step 11. Open-ended Question: How has the distribution of age groups changed over the years?",The decision to be made could be understanding the distribution of age groups over different years.,A possible conclusion could be that a certain age group has consistently had the highest percentage over the years.,The specific value could be the percentage of a certain age group in a specific year.,What is the percentage of the age group 30-35 in the year 2015?,The visual attributes required are the height of the bar corresponding to the age group 30-35 in the year 2015.,How high is the bar representing the age group 30-35 in the year 2015?,The operations required could be finding the maximum percentage among all age groups for each year.,Which age group had the highest percentage each year?,The visual attributes required are the heights of the bars for each age group in each year.,Which bar is the highest for each year?,How has the distribution of age groups changed over the years?,kong|kong_18
"Step 1. Decision: The decision that can be made by analyzing this chart is to understand the growth trends of different religions.

Step 2. Conclusion: A possible conclusion that can be reached from this decision is that a certain religion has the highest growth percentage.

Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the highest percentage of growth among all religions.

Step 4. Lookup Question: Which religion has the highest growth percentage?

Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars and the color representing growth.

Step 6. Paraphrased Question: Which religion's bar extends the furthest on the x-axis and is colored to represent growth?

Step 7. Operations: The mathematical operation to reach the conclusion in Step 2 is max.

Step 8. Compositional Question: What is the difference in growth percentage between the religion with the highest growth and the one with the lowest growth?

Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the lengths of the bars and the colors representing growth.

Step 10. Paraphrased Question: What is the difference in length on the x-axis between the longest bar representing growth and the shortest bar representing growth?

Step 11. Open-ended Question: How does the growth percentage of different religions compare and what factors might contribute to these differences?",The decision that can be made by analyzing this chart is to understand the growth trends of different religions.,A possible conclusion that can be reached from this decision is that a certain religion has the highest growth percentage.,The specific value that can be retrieved to reach this conclusion is the highest percentage of growth among all religions.,Which religion has the highest growth percentage?,The visual attributes required to paraphrase this question are the length of the bars and the color representing growth.,Which religion's bar extends the furthest on the x-axis and is colored to represent growth?,The mathematical operation to reach the conclusion in Step 2 is max.,What is the difference in growth percentage between the religion with the highest growth and the one with the lowest growth?,The visual attributes required to paraphrase this question are the lengths of the bars and the colors representing growth.,What is the difference in length on the x-axis between the longest bar representing growth and the shortest bar representing growth?,How does the growth percentage of different religions compare and what factors might contribute to these differences?,kong|kong_5
"Step 1. Decision: The decision to be made could be determining which country has the highest budget for a specific budget category.
Step 2. Conclusion: The country with the highest budget for a specific budget category is X.
Step 3. Specific Value: The specific value would be the highest budget amount for a specific budget category.
Step 4. Lookup Question: What is the highest budget amount for a specific budget category?
Step 5. Visual Attributes: The visual attributes required would be the length of the bar and the color representing the budget category.
Step 6. Paraphrased Question: Which bar representing a specific budget category is the longest?
Step 7. Operations: The operation required would be finding the maximum budget amount.
Step 8. Compositional Question: Which country has the maximum budget amount for a specific budget category?
Step 9. Visual Attributes: The visual attributes required would be the length of the bar, the color representing the budget category, and the row representing the country.
Step 10. Paraphrased Question: Which country's bar, representing a specific budget category, is the longest?
Step 11. Open-ended Question: How does the highest budget amount for a specific budget category compare across different countries?",The decision to be made could be determining which country has the highest budget for a specific budget category.,The country with the highest budget for a specific budget category is X.,The specific value would be the highest budget amount for a specific budget category.,What is the highest budget amount for a specific budget category?,The visual attributes required would be the length of the bar and the color representing the budget category.,Which bar representing a specific budget category is the longest?,The operation required would be finding the maximum budget amount.,Which country has the maximum budget amount for a specific budget category?,"The visual attributes required would be the length of the bar, the color representing the budget category, and the row representing the country.","Which country's bar, representing a specific budget category, is the longest?",How does the highest budget amount for a specific budget category compare across different countries?,kong|kong_50
"Step 1. Decision: The decision to be made could be understanding the racial distribution in a certain context or scenario.
Step 2. Conclusion: A possible conclusion could be that a certain race is more prevalent or less prevalent in the given context.
Step 3. Specific Value: The specific value could be the percentage of a particular race.
Step 4. Lookup Question: What is the percentage of the Asian race?
Step 5. Visual Attributes: The length of the bar corresponding to the Asian race.
Step 6. Paraphrased Question: How long is the bar corresponding to the Asian race?
Step 7. Operations: The operation could be finding the maximum or minimum percentage to determine the most or least prevalent race.
Step 8. Compositional Question: Which race has the highest percentage?
Step 9. Visual Attributes: The length of the bars.
Step 10. Paraphrased Question: Which bar is the longest?
Step 11. Open-ended Question: What does the racial distribution tell us about the given context or scenario?",The decision to be made could be understanding the racial distribution in a certain context or scenario.,A possible conclusion could be that a certain race is more prevalent or less prevalent in the given context.,The specific value could be the percentage of a particular race.,What is the percentage of the Asian race?,The length of the bar corresponding to the Asian race.,How long is the bar corresponding to the Asian race?,The operation could be finding the maximum or minimum percentage to determine the most or least prevalent race.,Which race has the highest percentage?,The length of the bars.,Which bar is the longest?,What does the racial distribution tell us about the given context or scenario?,kong|kong_53
"Step 1. Decision: The decision that can be made by analyzing this chart is to understand the distribution of a certain variable across different races.
Step 2. Conclusion: A possible conclusion that can be reached from this decision is identifying which race has the highest or lowest percentage of a certain variable.
Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the percentage associated with each race.
Step 4. Lookup Question: What is the percentage associated with the Asian race?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bar associated with the Asian race.
Step 6. Paraphrased Question: How long is the bar associated with the Asian race?
Step 7. Operations: The mathematical operation to reach the conclusion in Step 2 is max or min, to identify the race with the highest or lowest percentage.
Step 8. Compositional Question: Which race has the highest percentage?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the lengths of all the bars in the chart.
Step 10. Paraphrased Question: Which bar is the longest in the chart?
Step 11. Open-ended Question: What can be inferred about the distribution of the variable across different races based on the chart?",The decision that can be made by analyzing this chart is to understand the distribution of a certain variable across different races.,A possible conclusion that can be reached from this decision is identifying which race has the highest or lowest percentage of a certain variable.,The specific value that can be retrieved to reach this conclusion is the percentage associated with each race.,What is the percentage associated with the Asian race?,The visual attributes required to paraphrase this question are the length of the bar associated with the Asian race.,How long is the bar associated with the Asian race?,"The mathematical operation to reach the conclusion in Step 2 is max or min, to identify the race with the highest or lowest percentage.",Which race has the highest percentage?,The visual attributes required to paraphrase this question are the lengths of all the bars in the chart.,Which bar is the longest in the chart?,What can be inferred about the distribution of the variable across different races based on the chart?,kong|kong_54
