sentences,axes,axes2,ptypes,scores,scores2,dnames
Could you clarify which state has the highest demographic in that age range?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,3,d3|d3_4
Any idea which state has the most people in that age bracket?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,2,d3|d3_4
Any clue which state has the highest population in that specific age stratification?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,1,d3|d3_4
"Which state definitely has the most people in that age range, X?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,5,d3|d3_4
The data should show which state has the most people in that age group.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,4,1,d3|d3_4
Can you tell me which state has the most people in that age bracket?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,2,d3|d3_4
Would you be so kind as to provide the distribution of that response in that religious demographic?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,4,5,kong|kong_3
Do you have an estimate of the response percentage for that religion?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,2,4,kong|kong_3
"It's likely that there's a religion that gets a certain response more than others, do you concur?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,4,2,kong|kong_3
The data should indicate which faith group has the highest proportion of a specific response.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,1,kong|kong_3
"It seems like there's a religion that gets a certain response more than others, right?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,1,2,kong|kong_3
Is it plausible that there's a religion that gets a certain response more than others?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_3
Any idea which religious group has the most people leaning towards a specific response?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,2,kong|kong_3
"I believe, which denomination has the highest proportion of adherents responding in a certain way?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,3,kong|kong_3
The information should reveal which religious affiliation has the highest proportion of adherents responding affirmatively to a specific query.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,4,5,kong|kong_3
Which religion has the highest percentage of a specific response?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,2,kong|kong_3
Can you tell me which religious denomination has the highest proportion of a specific response?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,3,kong|kong_3
Which religious group exhibits the highest percentage of a particular response?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,4,kong|kong_3
"So, which religious institution do you think gets the most of a certain answer, eh?",Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,5,kong|kong_3
Could you please tell me which religious denomination has the highest percentage of a particular response?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,4,kong|kong_3
Which religion garners a certain response more than others?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,4,5,kong|kong_3
Do you know how many cases there were in 2010?,Colloquial-Standard,Subjective-Objective,lookup-nonvisual,2,1,d3|d3_1
It's important to know the number of cases in 2010.,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,3,4,d3|d3_1
Could you provide the count of case incidences for the year 2010?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,5,2,d3|d3_1
What's your estimate of the maximum number of cases in a year?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,2,2,d3|d3_1
What year had the highest case incidence?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,5,d3|d3_1
I need the maximum number of cases in any year.,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,4,5,d3|d3_1
Can you provide the absolute maximum of cases documented in a year?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,4,d3|d3_1
What would you say is the maximum number of cases in a year?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,3,d3|d3_1
Any idea what the max number of cases in a year is?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,2,d3|d3_1
"In your view, what's the highest number of cases we've had in a year?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,2,d3|d3_1
What is the authoritative maximum of cases in a year?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,4,5,d3|d3_1
Could you provide the highest incidence of cases in a year?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,2,d3|d3_1
What's the highest number of cases in a year?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,1,5,d3|d3_1
What year had the most cases?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,1,d3|d3_1
Could you tell me what the maximum number of cases in a year is?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,2,d3|d3_1
Can you inform me of the maximum number of cases in a year?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,3,4,d3|d3_1
"What's the biggest number of cases we've seen in a year, you reckon?",Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,1,d3|d3_1
What is the maximum epidemiological count recorded in a year?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,5,d3|d3_1
Indicate the height of the 2010 bar on the x-axis.,Non-technical-Technical,Subjective-Objective,lookup-visual,5,2,d3|d3_1
What was the company's revenue for the year 2015?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,4,4,d3|d3_10
What was the company's financial intake in 2015?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,3,1,d3|d3_10
Can you recall the company's earnings for 2015?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,1,d3|d3_10
How did our fiscal yield change from 2015 to 2020?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,3,d3|d3_10
What's the discrepancy in the financial returns between the fiscal years 2015 and 2020?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,2,d3|d3_10
Any thoughts on the revenue difference between 2015 and 2020?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,3,d3|d3_10
Could there be a revenue difference between 2015 and 2020?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,5,d3|d3_10
Could you tell me the difference in our earnings from 2015 to 2020?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,3,2,d3|d3_10
What was the capital expenditure on research and development in the fiscal year 2010?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,5,1,d3|d3_11
"The research and development expenditure in 2010 was substantial, can you provide the exact figure?",Subjective-Objective,Implicit-Explicit,lookup-nonvisual,4,3,d3|d3_11
"How much did we spend on R&D at the most and the least, you reckon?",Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,1,d3|d3_11
Can you tell me the difference in the funds allocated for research and development from the highest to the lowest year?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,3,d3|d3_11
Can you tell me the difference in the money we've spent on trying new things and learning over time?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,1,d3|d3_11
Could you provide the difference between the maximum and minimum expenditure on research and development?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,2,d3|d3_11
Could you tell me the maximum percentage value among all the majors?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,4,2,d3|d3_3
I would like to know the highest percentage for any major.,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,4,d3|d3_3
Can we figure out which major has the highest percentage?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,2,d3|d3_3
Can you tell me the major with the highest percentage?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,2,d3|d3_3
I'm curious about the maximum percentage among all the majors.,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,2,3,d3|d3_3
Please articulate the major with the maximal percentile value.,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,5,d3|d3_3
What is the maximum percentage value among all the majors?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,4,5,d3|d3_3
Could you please provide the maximum percentage value among all the majors?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,5,d3|d3_3
What's the biggest percent for any major?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,1,d3|d3_3
What's the highest percentage among all the subjects?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,1,d3|d3_3
What is the most frequently utilized mode of transportation?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,4,5,d3|d3_5
Which method of transportation has the greatest number of users?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,5,2,d3|d3_5
"I'm intrigued, how much more frequented is the most utilized mode of transport compared to the least utilized one?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,1,4,d3|d3_5
Do you believe there's a significant difference in ridership between the mode of transportation with the highest ridership and the one with the lowest?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,5,d3|d3_5
"There's likely a noticeable difference between the most and least used modes of transportation, don't you think?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,3,d3|d3_5
What is the exact numerical difference in ridership between the most and least used mode of transportation?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,5,d3|d3_5
Could you elucidate the difference in ridership between the most utilized and least utilized modes of transport?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,3,d3|d3_5
What is the difference in usage data between the transportation mode with the highest and lowest ridership?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,3,d3|d3_5
Can you tell me the disparity in patronage between the most and least patronized modes of transport?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,3,d3|d3_5
There's a significant difference in the number of people using the most popular mode of transportation and the least popular one.,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,3,d3|d3_5
I would like to understand the difference in utilization between the transport mode with the highest usage and the one with the lowest.,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,4,d3|d3_5
What's the maximum value in the data we have?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,1,3,d3|d3_6
Any idea which one's got the highest count?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,2,d3|d3_6
"Which platform, in your assessment, has the maximum count?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,3,4,d3|d3_6
I feel like which platform has the most?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,2,d3|d3_6
"I feel like there's one platform that's really outshining the others, don't you think?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,1,1,d3|d3_6
Which platform has the maximum count value?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,5,d3|d3_6
The data demonstrates that which platform has the maximum count?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,4,4,d3|d3_6
Do you know which one has the most?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,1,d3|d3_6
Which platform has the maximum count value?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,3,d3|d3_6
"I wonder, how much did the country that donated the most give?",Colloquial-Standard,Subjective-Objective,lookup-nonvisual,1,3,d3|d3_7
Could you provide the exact fiscal contribution from the country with the highest donations?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,4,4,d3|d3_7
What is the exact monetary contribution of the country that donated the most?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,4,3,d3|d3_7
Which nation holds the highest record for philanthropic contributions?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,1,d3|d3_7
Any insights on the country with the most donations?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,4,d3|d3_7
Which country has the highest amount of donations?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,2,d3|d3_7
"I think it's interesting to consider which country has given the most, don't you?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,1,d3|d3_7
Which place do you think gives the most?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,1,d3|d3_7
"Which country, in your opinion, donates the most?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,4,1,d3|d3_7
Can you identify the country with the highest donation amount?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,4,3,d3|d3_7
Can you tell me which geopolitical entity has the maximum monetary donation?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,5,d3|d3_7
Do you know which country donates the most?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,2,d3|d3_7
Any thoughts on the country that donates the most?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,2,d3|d3_7
Which country has the highest donation amount?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,5,d3|d3_7
Can you guess the geopolitical entity that has the maximum monetary donation?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,5,d3|d3_7
Which country is the highest contributor in terms of donations?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,2,d3|d3_7
Could you explicate the apex rating value and the nation it corresponds to?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,5,4,d3|d3_8
Do you know which country has the highest score and what that score is?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,1,2,d3|d3_8
"I'm just wondering, you know, which country has the top rating, if you get what I mean?",Subjective-Objective,Implicit-Explicit,lookup-nonvisual,1,1,d3|d3_8
Which place is top of the list and how much better is it than the next one?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,1,d3|d3_8
Could you inform me which country has the highest average rating and what's the difference in terms of standard deviation with the next one?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,4,d3|d3_8
Could you please tell me which country has the highest average rating and by how much it surpasses the next one?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,4,5,d3|d3_8
Can you tell me which country has the highest rating and how much it exceeds the next one?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,3,d3|d3_8
Can you guess which place is the best and how much better it is than the second best?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,1,d3|d3_8
Which country is at the top and by what margin?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,5,d3|d3_8
Could you please tell me which country has the highest average rating and by how much it exceeds the next one?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,4,4,d3|d3_8
May I inquire about the financial contribution from the country with the highest donations?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,2,5,d3|d3_9
"It's a fact that one country donates more than any other, do you know which one it is?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,1,d3|d3_9
Do you know which country gives the most?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,3,1,d3|d3_9
Which country is at the forefront of donation contributions?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,3,d3|d3_9
"I wonder, which country's the top donator?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,1,3,d3|d3_9
Which nation contributes the most funds?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,3,d3|d3_9
Could you ascertain which country donates the most?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,3,4,d3|d3_9
Got a clue about the country that's the biggest donor?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,2,d3|d3_9
Which country seems to be the top donor?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,5,d3|d3_9
Which country leads in terms of donation contributions?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,4,d3|d3_9
Any idea which place is super crowded?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,2,1,kong|kong_15
Can you tell me which country has the highest number of people per square kilometer?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,2,4,kong|kong_15
Do you know which country has the highest number of individuals per square kilometer?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,4,1,kong|kong_15
What is the maximum population per square kilometer and which country does it correspond to?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,3,kong|kong_15
Could you inform me of the maximum population density and the country it pertains to?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,2,kong|kong_15
Can you provide information on the maximum population density per square kilometer and the country it's in?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,5,kong|kong_15
"What is the maximum population density in persons per square kilometer, and which country is it associated with?",Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,3,kong|kong_15
Do you know the maximum population density per square kilometer and the country it corresponds to?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,4,kong|kong_15
"I'm certain there's a country with the highest population density, can you tell me which one it is?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,2,kong|kong_15
Please provide the maximum population per square kilometer and its corresponding country.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,3,kong|kong_15
Please elucidate on the methodological bias of pollster X.,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,4,5,kong|kong_17
Who's the one that always has unique results in these polls?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,2,kong|kong_17
I'm curious about your thoughts on which pollster has the most influence on election predictions?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,3,kong|kong_17
"According to statistics, who has the most significant house effect?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,4,kong|kong_17
I am striving to specify the pollster with the most pronounced house effect?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,5,kong|kong_17
Who do you reckon is the pollster with the highest house effect?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,2,kong|kong_17
Could you provide information on which pollster has the highest house effect?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,1,kong|kong_17
"I feel like the bar for pollster X is pretty long, don't you think?",Subjective-Objective,Implicit-Explicit,lookup-visual,1,1,kong|kong_17
Can you infer the length of the bar corresponding to pollster X?,Non-technical-Technical,Implicit-Explicit,lookup-visual,1,4,kong|kong_17
Can you estimate the size of the bar for X?,Colloquial-Standard,Implicit-Explicit,lookup-visual,2,3,kong|kong_17
Got any clue about the percentage of 30-35 year olds in 2015?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,1,2,kong|kong_18
I am interested in the percentage of the population aged 30-35 in 2015. I presume it's quite significant.,Colloquial-Standard,Subjective-Objective,lookup-nonvisual,1,5,kong|kong_18
What was the demographic proportion of the 30-35 age group in 2015?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,4,3,kong|kong_18
Could you confirm which age group had the highest percentage each year?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,3,kong|kong_18
Identify the age group with the highest representation each year.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,1,kong|kong_18
Determine the demographic segment with the highest percentage each year.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,4,kong|kong_18
"I'm interested to know, which age group had the highest percentage each year?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,3,kong|kong_18
Which age cohort had the highest representation in the data set each year?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,4,5,kong|kong_18
Any idea which age group was leading the pack each year?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,1,kong|kong_18
"I'm questioning, which age group do you think had the highest percentage each year?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,5,kong|kong_18
What is the variance in percentage growth between the religion with the highest growth and the one with the lowest growth?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,5,kong|kong_5
Please provide the variance in percentage growth between the religion with the highest growth rate and the one with the lowest.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,5,kong|kong_5
Maybe we could look at the difference in growth between the top and bottom religions?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,1,2,kong|kong_5
What's the growth rate difference between the religion that's growing the fastest and the one that's not?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,1,kong|kong_5
Could you provide the exact percentage growth discrepancy between the religion with the maximal and minimal growth?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,4,kong|kong_5
"I'm wondering, what's the growth difference between the religion that's growing the most and the one that's not?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,1,2,kong|kong_5
What if we determine the exact difference in growth percentages between the fastest and slowest growing religions?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_5
"I feel like there's a religion that's really growing, you know? It's like its bar is stretching out on the x-axis more than the others. Can you see it?",Subjective-Objective,Implicit-Explicit,lookup-visual,1,1,kong|kong_5
Can you see which faith's line is the longest on the horizontal line and has a color that means it's growing?,Non-technical-Technical,Implicit-Explicit,lookup-visual,2,1,kong|kong_5
Identify the faith whose line extends the furthest and is colored to denote growth.,Non-technical-Technical,Subjective-Objective,lookup-visual,5,1,kong|kong_5
Which religion's bar on the x-axis extends the furthest and is colored to explicitly represent growth?,Non-technical-Technical,Implicit-Explicit,lookup-visual,5,5,kong|kong_5
Which religion's bar on the x-axis extends the furthest and is colored to indicate growth?,Non-technical-Technical,Implicit-Explicit,lookup-visual,3,4,kong|kong_5
Which religion's bar extends the furthest on the x-coordinate and is colored to represent quantitative growth?,Colloquial-Standard,Non-technical-Technical,lookup-visual,5,1,kong|kong_5
There's a clear difference in length on the x-axis between the longest and shortest bars showing growth.,Subjective-Objective,Implicit-Explicit,compositional-visual,4,4,kong|kong_5
What's the most we've ever spent on a certain thing?,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,1,3,kong|kong_50
