dataset,visId,commands,count,Sequence_Length,Phrasing_Type
Cars,scatterFaceted,Compare acceleration vs weight across different countries,1,1,command
Cars,histogram,Show distribution of cars by weight,1,1,command
Cars,groupedBar,Compare car cylinder count against acceleration across countries,1,1,command
Superstore,multiLine,"Create a line chart showing order date and sum of sales, divided by category",3,1,command
Superstore,bar,Create a bar chart showing average profit by state,2,1,command
Superstore,scatter,Create a scatter plot showing profit vs. sales,2,1,command
Superstore,groupedBar,Create one bar chart for each ship mode showing average profit by segment,2,1,command
Superstore,line,Create a line chart showing total sales forecast over time,2,1,command
Superstore,histogram,Create a bar chart showing order quantity vs. count,2,1,command
Superstore,scatterColor,"Create a scatter plot showing sales vs. profit, with each point colored by region",2,1,command
Superstore,scatterFaceted,Create one scatter plot for each region that shows the relationship between sales and profit,2,1,command
Superstore,singleAttrBar,"Create a bar chart that shows count of each sub-category, sorted high to low by count",2,1,command
Superstore,stackedBar,"Create a stacked bar chart showing region and profit, colored by ship status",2,1,command
Superstore,bar,Create bar chart based on state and AVG(Profit),1,1,command
Superstore,bar,Show me a bar graph of the average profit per state,1,1,command
Superstore,histogram,Show me the count of each order quantity,1,1,command
Superstore,line,Show me the sales forecast for each order date,1,1,command
Superstore,singleAttrBar,Show me the count of each subcategory of product,1,1,command
Superstore,multiLine,"Show me the sales of furniture, office supplies, and technology over time",1,1,command
Superstore,scatterColor,Show me the sales versus profit of each region,1,1,command
Superstore,scatter,Show me the profit versus sales,1,1,command
Cars,scatter,Show the scatter plot between horse power and acceleration,1,1,command
Cars,multiLine,Through a visualization show average horsepower of cars for each country from 1997 to 2011,1,1,command
Cars,stackedBar,Show the relationship between number of cars and cylinders in each country,1,1,command
Cars,histogram,Show a bar chart showing weight distribution of cars,1,1,command
Cars,scatterColor,"for country in USA, JAPAN and EUROPE show MPG vs Displacement",1,1,command
Cars,groupedBar,For each country show the relationship between average acceleration and number of cylinders,1,1,command
Cars,scatterFaceted,Give different scatter plots of acceleration vs weight for each country,1,1,command
Cars,singleAttrBar,Show number of cars from each country,1,1,command
Superstore,histogram,show me the order count grouped by quantity,1,1,command
Cars,groupedBar,Visualize average accelaration based on number of cyclinders a model has summed across different origins,1,1,command
Cars,scatterFaceted,Visualize accelaration v/s weight across distribution across different origins,1,1,command
Cars,stackedBar,Visualize distribution of models by number of cyclinders grouped by origin,1,1,command
Cars,singleAttrBar,Plot count of models by grouped by origin,1,1,command
Cars,scatterColor,Visualize distribution of MPG v/s displacement across origin,1,1,command
Cars,line,Visualize the general trend of car model weights over the years,1,1,command
Cars,histogram,Visualize the distribution of models by weight into 8 buckets,1,1,command
Cars,scatter,plot the distribution of acceleration v/s horsepower,1,1,command
Cars,bar,Plot average MPG by number of cylinders,1,1,command
Cars,line,plot year by average weight,1,1,command
Superstore,multiLine,"draw a line chart of monthly sales by order date, with a different colored line for each category",1,1,command
Superstore,scatterColor,draw a scatterplot of sales vs profit where sales is on the x-axis and points are colored by region,1,1,command
Superstore,singleAttrBar,draw a bar chart of count by sub-category,1,1,command
Superstore,scatterFaceted,"by region, draw a scatterplot of sales and profit, with sales on the x axis",1,1,command
Superstore,line,draw a line chart of daily sales forecasts,1,1,command
Superstore,histogram,"draw a histogram showing the count by order quantity, with a 2 order bin size",1,1,command
Superstore,groupedBar,"by ship mode, draw a bar chart of average profit by split by segment",1,1,command
Superstore,stackedBar,"make a stacked bar chart summing profit across region, where profit is colored by ship status",1,1,command
Superstore,bar,"make a bar chart of avgerage profit by state, with state on x axis.",1,1,command
Superstore,scatter,"make a scatterplot of profit vs sales, with profit on x-axis",1,1,command
Cars,singleAttrBar,Plot count of cars by origin,1,1,command
Cars,scatterFaceted,show acceleration of cars by weight for different orgin,1,1,command
Cars,scatterFaceted,show scatterplot of cars acceleration to weight by origin,2,1,command
Cars,scatterColor,show how MPG varies with displacement by different origin,1,1,command
Cars,scatterColor,visualize in scatter plot the Displacement and MPG by orgin,2,1,command
Cars,multiLine,show how horsepower varies each year by origin,1,1,command
Cars,bar,show mpg for each cylinder type,1,1,command
Cars,groupedBar,show acceleration by cylinders by origin,1,1,command
Cars,line,show weight by year,1,1,command
Cars,scatter,show scatter plot of accelration and horse power,3,1,command
Cars,singleAttrBar,show number of cars produced by each country,1,1,command
Cars,histogram,show weight by count,1,1,command
Cars,stackedBar,show cars produced by diiferent origin in various cylinders,1,1,command
Superstore,scatter,"plot the (profit, sales) pairs.",1,1,command
Cars,scatterFaceted,Show me small multiples of acceleration by weight for each country.,1,1,command
Movies,scatterFaceted,Display budget by gross of movies broken down by content rating,1,1,command
Movies,groupedBar,show me bar charts of average production budget by creative types grouped by content rating,1,1,command
Movies,singleAttrBar,Show a count of movies by creative type.,1,1,command
Movies,line,plot average production budget over release year,1,1,command
Movies,line,show me average production budget over release year,1,1,command
Movies,multiLine,Show worldwide gross timeline by movie genre,1,1,command
Movies,scatter,plot IMDB rating against rotten tomatoes rating,1,1,command
Movies,scatterColor,"give me wordwide gross versus production budget, colored by major genres",1,1,command
Movies,histogram,Show a count of movies binned by running time in 20-minute increments.,1,1,command
Movies,bar,show me worldwide gross averaged by major genres,1,1,command
Movies,multiLine,Show a time series plot by year of the worldwide gross sum of movies by genre.,1,1,command
Superstore,singleAttrBar,"show number of orders for the sub categories as bar chart, and sort the bars by count, highest first",1,1,command
Movies,stackedBar,give me a bar chart of worldwide gross sum by major genres stacked by content ratings,1,1,command
Superstore,multiLine,"show the total sales over time as line chart for the categories furniture, office supplies, and technology",1,1,command
Superstore,scatter,show sales and profit as a scatter plot,1,1,command
Movies,line,I want to see trend of production budget by the release year,1,1,command
Superstore,histogram,show a histogram for order quantity,1,1,command
Superstore,line,show the total number of sales forecast over time,1,1,command
Superstore,bar,show the average profit by state,1,1,command
Superstore,groupedBar,"For each ship mode, plot a bar graph where each bar indicates the average profit of each segment",1,1,command
Movies,histogram,Show me count of movie runtimes,1,1,command
Movies,scatterFaceted,Plot production budget against worldwide gross for the different rating categories of movies.,1,1,command
Cars,stackedBar,show me the origin country by cylinder count in a bar chart,1,1,command
Cars,line,show me the average weight in a line chart,1,1,command
Cars,groupedBar,show me average acceleration based on cylinders and country of origin,1,1,command
Cars,singleAttrBar,show me the count of cars by country of origin in bar chart,1,1,command
Cars,scatter,should me acceleration compared to horsepower in a scatter chart,1,1,command
Cars,bar,show me average Miles Per Gallaon by cylinders in a bar chart,1,1,command
Cars,scatterColor,show me MPG by displacement and origin in scatter chart,1,1,command
Cars,scatterFaceted,show me acceleration by weight and by country of origin,1,1,command
Cars,singleAttrBar,Show model count by origin in a bar chart,1,1,command
Cars,bar,Plot average mpg against cyliners,1,1,command
Cars,bar,Show average mgp for each type of cylinder,2,1,command
Cars,line,plot average weight across time,1,1,command
Cars,line,show time series plot of average weight,2,1,command
Cars,singleAttrBar,show frequency by country,1,1,command
Cars,singleAttrBar,Show distribution by counties,2,1,command
Cars,multiLine,Plot average horsepower across time by countries,1,1,command
Cars,multiLine,"For each country, show time series of average horse power",2,1,command
Cars,stackedBar,Show distribution of cylinders by country,1,1,command
Cars,scatterFaceted,Plot wight across acceleration for each country separately,1,1,command
Cars,histogram,Show distribution of weight,1,1,command
Cars,histogram,Show histogram of weight,2,1,command
Cars,groupedBar,"Show average horse power across cylinders, each country shown separately",1,1,command
Cars,scatterColor,Plot MPG vs Displacement colored by Origin,1,1,command
Cars,scatter,Plot acceleration vs Horsepower,1,1,command
Cars,bar,Plot the average of MPG vs Cylinders,1,1,command
Cars,bar,Plot AVG(MPG) vs Cylinders,2,1,command
Superstore,scatter,Show me profits by number of sales per product,1,1,command
Cars,groupedBar,"Plot the average of Acceleration, grouped by Cylinders, colored by Origin",1,1,command
Superstore,scatterFaceted,Show me by region sales and profits by product,1,1,command
Cars,stackedBar,"Plot the Count of cars vs Cylinders, colored by Origin, stacked by Origin",1,1,command
Superstore,histogram,I want to know how many orders there are by the quantity of the order,1,1,command
Cars,multiLine,"Draw axes for the average of Horsepower vs Year, colored by Origin",1,1,command
Cars,multiLine,"Draw axes for AVG(Horsepower) vs Year, colored by Origin",2,1,command
Superstore,scatterColor,Visualize in one chart sales and profits by product by region,1,1,command
Cars,scatterFaceted,"Plot Acceleration vs Weight, grouped by Origin",1,1,command
Superstore,singleAttrBar,Show me how many products were ordered by sub-category,1,1,command
Superstore,stackedBar,By region show our profits based on the shipping status of the order,1,1,command
Cars,histogram,Plot Count of cars vs Weight,1,1,command
Superstore,bar,Show me the average profit by state where the order was placed,1,1,command
Superstore,line,Show me our forecasted number of sales between Jan 2016 and December 2017,1,1,command
Cars,line,Draw the axes for the average of Weight vs Year,1,1,command
Cars,line,Draw the axes for AVG(Weight) vs Year,2,1,command
Movies,stackedBar,Give me a stacked column chart of worldwide gross by genre and rating,3,1,command
Movies,groupedBar,"For each content rating, show a column chart of average production budget by creative type",2,1,command
Movies,line,Give me a line chart of average budget by year,3,1,command
Movies,scatter,Compare imdb rating to rotten tomatoes rating,1,1,command
Movies,scatter,Show a scatter plot of imdb rating vs rotten tomatoes rating,2,1,command
Movies,scatter,Give me a scatter plot showing a comparison of ratings between imdb and rotten tomatoes,3,1,command
Movies,singleAttrBar,Count movies by creative type,1,1,command
Movies,singleAttrBar,Sort creative types by number of movies,3,1,command
Movies,scatterFaceted,Give me a scatter chart of production budget vs worldwide gross for each content rating,1,1,command
Movies,scatterFaceted,"For each content rating, compare budget vs gross in a scatter plot",2,1,command
Movies,scatterColor,Give me a scatter plot of budget vs gross broken down by movie but with genre as a legend,1,1,command
Movies,scatterColor,"For each movie, show its budget and gross on a scatter plot and include the genre",2,1,command
Movies,histogram,Give me a histogram of the number of movies by running time,1,1,command
Movies,histogram,Count the movies by how long they are,3,1,command
Movies,histogram,Show a histogram of the number of movies by how long they are,4,1,command
Movies,histogram,Count movies by how long they are to the nearest 20 minutes,5,1,command
Movies,histogram,Count movies by length in 20 minute buckets,6,1,command
Superstore,line,Show the trend in the total sales from january to october 2017,1,1,command
Superstore,singleAttrBar,arrange the sub categories as per order count,1,1,command
Superstore,histogram,plot a histogram of the total count of orders,1,1,command
Superstore,multiLine,show the trend in sales of all categories,1,1,command
Movies,multiLine,Show the total gross across genres over time,1,1,command
Cars,scatterFaceted,"Faceting on Origin, plot Weight by Acceleration",1,1,command
Cars,scatterColor,"Coloring by Orign, Plot Displacement by MPG",1,1,command
Cars,histogram,Plot a histogram of Weight with a bin width of 500,1,1,command
Movies,scatter,Plot IMBD vs Rotten Tomatoes ratings for all movies,1,1,command
Movies,scatter,Help me see outliers in IMDB and Rotten Tomatoes ratings,2,1,command
Movies,histogram,Show me a boring bar chart of movie running time and count,1,1,command
Movies,histogram,Give me a histogram of running time for movies,2,1,command
Superstore,stackedBar,"For each (region, ship status), plot the sum of the profit into a stacked bar",1,1,command
Superstore,singleAttrBar,"For each sub-category, plot a bar of the count for the sub-category",1,1,command
Movies,line,Display production budget by release date,1,1,command
Superstore,line,"Draw a line graph that connects all (order date, sum of sales forecast) pairs",1,1,command
Movies,groupedBar,Display column graph of average production budget by creative type broken down by content rating,1,1,command
Movies,scatterFaceted,Chart scatter plot of worldwide gross by production budget broken down by content rating,1,1,command
Superstore,scatterColor,"For each data element, draw a circle at (its sales, profit) with the proper color by the region",1,1,command
Movies,histogram,Create histogram of running time,1,1,command
Superstore,bar,"For each state, draw a bar that has its average profit as the height",1,1,command
Movies,scatterColor,Chart scatter plot of production budget by worldwide growth coded by major genre,1,1,command
Movies,bar,Create column graph of worldwide gross by major genre for all movies,1,1,command
Movies,stackedBar,Create stacked column graph of worldwide gross by major genre by content rating,1,1,command
Superstore,groupedBar,Split Ship Mode by category and segement and Avg(Profit) render barchart,1,1,command
Superstore,stackedBar,Split region by ship status and Sum(Profit) render Stacked barchart,1,1,command
Superstore,stackedBar,Split region by ship status and Sum(Profit) render best,2,1,command
Superstore,bar,Show Avg(Profit) by state asc,1,1,command
Superstore,bar,Show Avg(Profit) by state asc render best,2,1,command
Cars,scatterFaceted,"Show me each car's acceleration by weight, and split out separate charts for each country",1,1,command
Cars,scatterColor,"chart each model MPG by displacement, and idetnify coutnry of origin",1,1,command
Cars,groupedBar,"show average acceleration by country of origin, with separate charts for # of cylinders",1,1,command
Cars,multiLine,"Show average horsepower over time, separated by country of origin",1,1,command
Movies,multiLine,Show me the total worldwide gross over time by release year for the major genres,1,1,command
Movies,singleAttrBar,Show me how many movies were made by creative type,1,1,command
Movies,scatter,Show me a scatterplot of movies by imdb rating and rotten tomatoes rating,1,1,command
Movies,stackedBar,Show me the total worldwide gross for all major genres in a stacked bar chart and color it out by content rating,1,1,command
Movies,scatterColor,"plot all titles on a scatter plot chart by production budget an worldwide gross, and color the dots by major genre",1,1,command
Movies,line,show me the average production budget by release year in a line chart,1,1,command
Movies,groupedBar,"i want to see the average production budget of each creative type in a column chart, and grouped together by content rating",1,1,command
Movies,histogram,show me the count of movies by running time buckets,1,1,command
Movies,scatterFaceted,"Show me scatterplots of production budget and woldwide gross for each title, by content rating",1,1,command
Cars,scatter,Show Horsepower by Acceleration in a XYplot,1,1,command
Cars,line,show year and avg(Weight) in a line chart,1,1,command
Cars,groupedBar,Show me Average Acceleration grouped by cylinders and broken out by Origin,1,1,command
Cars,histogram,Show weight in a histogram,1,1,command
Cars,scatter,Show Me Acceleration vs. Horespower For each Model,1,1,command
Cars,bar,Show cylinfers and AVG(MPG) in a bar chart,1,1,command
Cars,bar,Show me Average MPG per Cylinders,1,1,command
Cars,singleAttrBar,Show me count of models by origin,1,1,command
Cars,scatterFaceted,Show me Acceleration vs. Weight broken out by Origin,1,1,command
Cars,scatterColor,Show me MPG vs Displacement colored by Origin,1,1,command
Cars,scatterColor,Show me MPG vs Displacement distinguished by Origin,2,1,command
Cars,multiLine,"Show me the Average Horespower per origin, trended by ascending years",1,1,command
Cars,stackedBar,"Show me count of models grouped by cylinders, stacked by Origin",1,1,command
Cars,histogram,"Show me a histogram of weight, rounded to 500",1,1,command
Cars,line,Show me average weight trended over ascending years,1,1,command
Cars,scatterFaceted,"create scatter plot of weight vs acceleration by car model, group by origin",1,1,command
Cars,singleAttrBar,create a histogram of the count of models by origin,1,1,command
Cars,scatter,create a scatterplot of acceleration vs horsepower by model,1,1,command
Cars,bar,create a bar chart showing the average MPG grouped by cylinders,1,1,command
Cars,stackedBar,"create a stacked bar chart of the count of models by cylinder, group by origin",1,1,command
Cars,multiLine,create a line graph of average horsepower by year grouped by origin,1,1,command
Cars,histogram,create a histogram of model count by weight,1,1,command
Cars,line,create a line graph of average weight by year,1,1,command
Superstore,line,Show me the total sales forecast by order date,1,1,command
Superstore,line,Show me the cumulative sales by order date,2,1,command
Superstore,bar,Show me the average profit by state,1,1,command
Superstore,multiLine,"Show me the total sales by order date, one line for each category",1,1,command
Superstore,multiLine,Show me the total sales by order date split by category,2,1,command
Superstore,multiLine,"Show me the total sales over time for these categories: furniture, office supplies, and technology",3,1,command
Superstore,stackedBar,"Show me a bar chart of total profit by region, and stack the bars by ship status",1,1,command
Superstore,stackedBar,"Show me a stacked bar chart of total profit by region, stacked by ship status",2,1,command
Superstore,scatterFaceted,"Show me a series of scatter charts of profit by sales, one chart for each region",1,1,command
Superstore,scatterFaceted,Show me a scatter chart of profit by sales for each region,2,1,command
Superstore,scatterFaceted,"Show me a scatter chart of profit by sales, one chart for each region",3,1,command
Superstore,scatter,Show me a scatter chart of sales by profit,1,1,command
Superstore,histogram,show me a bar chart of count by order quantity,1,1,command
Movies,scatterColor,show the spread of production budget and worldwide gross for each movie with genre as a legend,2,1,command
Superstore,scatterColor,"show me a scatter chart of profit by sales, color coded by region",1,1,command
Superstore,scatterColor,"show me a scatter chart of profit by sales, split by region",2,1,command
Superstore,groupedBar,"show me a series of bar charts of average profit, split by segment, one chart per ship mode",1,1,command
Superstore,groupedBar,show me one bar chart of average profit split by segment for each ship mode,2,1,command
Superstore,singleAttrBar,"show me a bar chart of count by sub-category, sorted by count highest to lowest",1,1,command
Superstore,singleAttrBar,"show me a bar chart of count by sub-category, sorted by count descending",2,1,command
Superstore,singleAttrBar,"show me a bar chart of count by sub-category, descending sort by count",3,1,command
Superstore,singleAttrBar,"show me a bar chart of count by sub-category, highest count to lowest",4,1,command
Superstore,singleAttrBar,show me a highest to lowest bar chart of count by sub-category,5,1,command
Superstore,singleAttrBar,"show me a bar chart of count by sub-category, highest first",6,1,command
Movies,singleAttrBar,Create column graph of all movies by creative type,1,1,command
Movies,scatter,Create scatter graph of IMDB rating by Rotten Tomatoes Rating,1,1,command
Movies,multiLine,Create timeline of worldwide gross by release year displayed by major genre,1,1,command
Superstore,histogram,Show me the variation in the amount ordered by different entities in different orders,1,1,command
Cars,histogram,show me the distribution of car weight,1,1,command
Cars,stackedBar,show me a distribution of cylinders grouped by car origin,1,1,command
Cars,scatter,Correlate Acceleration and Horsepower.,1,1,command
Cars,bar,Compare AVG (MPG) with Cylinders,1,1,command
Movies,line,show me a line plot of average movie production budget over time for all movies,1,1,command
Movies,line,show me small multiple scatter plots of movie production budget vs gross worldwide where each multiple is a specific rating,2,1,command
Movies,scatterFaceted,show me scatter plots of movie production budget vs gross worldwide revenue broken down by rating,1,1,command
Movies,scatterFaceted,show me small multiple scatter plots of movie production budget vs gross worldwide where each multiple is a specific rating,2,1,command
Movies,groupedBar,show me average production budget of each creative type across content ratings.,1,1,command
Movies,groupedBar,show me small multiples of average production budget for each creative type across different ratings,2,1,command
Movies,groupedBar,"show me how each rating, broken down by creative type, affects the average production budget",3,1,command
Movies,histogram,show me a histogram of movie length,1,1,command
Movies,multiLine,show me how total gross revenue of all movies changes over a year for each genre,1,1,command
Movies,multiLine,show me a line plot of sum of gross revenue for each genre over time,2,1,command
Movies,multiLine,show me how gross revenue of genres changes over time,3,1,command
Movies,scatter,show me a scatterplot of rotten tomatoes ratings vs imdb ratings,1,1,command
Movies,scatterColor,show me a scatterplot of worldwide gross margin vs production budget; color movies by their genre,1,1,command
Movies,bar,show me the average gross revenue of for each genrea,1,1,command
Movies,bar,show me a bar plot where the x axis is movie genre and the y axis is average worldwide revenue,2,1,command
Movies,singleAttrBar,"show me a histogram of the count of each creative type, sorted in descending number of releases.",1,1,command
Movies,singleAttrBar,"show me the number of each creative type move in a bar chart, order the bars in decreasing order.",2,1,command
Superstore,scatterColor,Can you create a graph showing sales and profit by region?,1,1,command
Superstore,groupedBar,Show average profit by ship mode broken out by each segment,1,1,command
Superstore,bar,Show the average profit by state,1,1,command
Superstore,scatter,Show correlation between sales and profit,1,1,command
