code,freq
barriers in communication,1
cross-cultural interactions,1
learning motivation,1
symbolic representation,8
universality,1
cross-cultural understanding,1
population-related,3
cultural influence on  use,1
visual elements in communication,1
informality in digital communication,1
regional differences in  use,1
integration of emojis in,1
written,1
symbolic,7
expressive,4
figurative,2
quantitative description,7
temporal sequence,1
emotion-based,1
quantitative data,30
geographic categorization,3
emotion expression,1
emotional expression,1
frequency of usage,2
repetition,7
informality,3
contemporary usage,1
technological context,7
frequency of use,1
cultural relevance,1
of frequency,1
of technology,3
of cultural behavior,1
of inference,1
exclusivity,3
continental,1
ranking/ordering,1
specific cultural references,2
ranking terminology,2
exceptional,6
concise,36
cause-effect,12
economic status,4
technological accessibility,1
socio-economic disparity,1
communication infrastructure,1
simplified,8
hierarchical,13
research-oriented,5
multinational perspective,1
commas for list separation,1
conjunction 'and' for final item in list,1
reflective of cultural advancement,1
indicative of digital communication trends,1
non-verbal.,1
active voice,32
digital service reference,1
quantification,48
comparison,36
diversity,1
geographic reference,12
quantitative information,5
technological,16
ranking,8
specific terminology,28
geographic references,7
cause-and-effect,5
explicitness,7
contextuality,11
concreteness,13
noun-based,1
context-dependent,10
subject-oriented,1
problem-focused,1
english,28
quantitative measurement,6
digital terminology,2
implicit social commentary,1
ranking system,2
implicit quantification,1
abstract concept,10
specificity in,51
temporal relevance,1
technological terminology,2
technological performance,1
regional grouping,1
temporal aspect,18
technological aspect,2
quantitative measure,16
of generalization,1
of measurement,1
speed measurement,1
implicit reference to internet connectivity,1
comparative aspect,2
subject-specific terminology,25
of digital media,1
of speed measurement,2
performance measurement,3
entertainment industry context,4
subject matter relevance,1
geographic context,8
causality,16
temporality,37
evaluation,6
of digital technology,1
of online streaming services,1
of numerical data.,1
technicality,8
conciseness,64
data-driven,30
future-oriented,54
technology-focused,3
assumption-based,4
specific audience targeting (us adults),1
brand-specific,2
"subject-specific terminology (tv, other devices)",1
implicit assumption  (difference is very large),1
device-specific,1
summative,2
third person perspective,11
assumption,5
media-related,8
technology-related,3
brand reference,2
geographic specificity,10
negative statement,3
specific user group (us adults),1
specific technology (apple watch),1
absence of activity (media consumption),1
geographical context (us),2
consumer behavior,3
demographic-specific,9
media-specific terminology,1
variation in  use,1
media consumption habits,5
demographic differences,1
media consumption hierarchy,1
variety of digital devices,1
presence of traditional media,1
inclusion of wearable technology,1
american adult demographic,1
subject-object relationship,1
device usage,1
time-oriented,9
age-related,5
specific brand (apple),1
specific product (watch),1
reference to a specific demographic (us adults),1
technology-oriented,3
specificity in media devices,1
medium,1
usage,1
negative assertion,2
specific demographic (us adults),1
specific product reference (apple watches),1
contemporary,1
media-specific,1
media-focused,2
competitive,3
simplified statistical,1
specificity (referring to a particular product - apple watch),1
quantitative  (usage amount),1
absoluteness,1
non-technical vocabulary,1
media preference,1
consumption format,1
listening versus reading,1
popularity of radio,1
american media consumption habits,1
directional,22
graphical,34
color-coded,9
"specific terminologies (practitioners, retail pharmacies, chain pharmacies)",1
sector-specific,2
trend description,5
industry-specific terminology,31
contrastive,8
action-oriented,45
past tense,99
"subject-specific  (practitioners, purchases)",1
variability,1
industry-related terminology,4
specific time reference (2008),1
quantitative  (low number of transactions),1
subject-specific terminology (transactions),1
transactional,8
human-centric,1
pattern identification,1
alliteration,1
contrast,1
adjectives for description,1
industry-specific context,1
trend identification,5
temporal progression,6
professional,3
past tense usage,96
negative construction,8
specific time reference,11
third person narrative,1
impersonal tone,3
fact-based statement,5
chronological narrative,1
incorrect grammar usage,3
inconsistent tense usage,1
vague terms,1
lack of clarity in sentence structure,1
incorrect punctuation usage,1
stabilizing,1
implicit causality.,1
uncertainty.,1
quantitative expression,4
temporal reference,31
factual statement,21
specificity in subject (retail pharmacies),1
quantitative  (most pills),1
temporal context (2013),1
indirect object usage,7
business-specific terminology,1
business-oriented,81
professional jargon,1
professional roles,1
financial transactions,1
time period comparison,1
future-oriented perspective,4
assertive tone,2
quantitative terms,11
third-person perspective,3
temporal references,14
comparative structures,4
quantitative expressions,3
domain-specific terminology,4
observational,9
sector-specific  (retail and chain pharmacies),1
consistency,3
medical,11
graphical representation,32
medical terminology,48
interval notation,1
fear-inducing,1
mortality-related,3
time-related,5
numerical representation,3
age specification,2
colloquial,3
percentage usage,3
reference to a reliable source (google),1
age-specific information.,1
negation,5
speculative,5
fact-based,9
diminutive,1
statistical terms,2
age as a variable,1
cause and effect relationship,20
temporal expressions.,1
risk-assessment,1
inclusive,15
vulnerability-focused,1
of health and mortality,1
of demographics,1
of age-related trends,1
of cultural or ethnic specificity,1
incremental,14
abstract concepts,12
age-related context,1
specific age range indication,1
statistical terminology,11
machine learning,1
data analysis,46
descriptive .,1
is symbolic,1
is structured,1
is dynamic,1
is used for communication,1
has a hierarchical organization,1
observation,1
inference,3
programming,18
performance-oriented,2
efficiency measurement,1
improvement potential,1
syntax complexity,1
mathematical symbols,1
abbreviation usage,1
implicit context understanding,1
conditional statements,4
grouping and combining configurations,1
focus on classification accuracy,1
comparison of different configuration states,1
achievement of highest classification.,1
programming  related,1
involves testing and training,1
refers to a combination of elements,1
indicates a discrepancy or gap,1
pertains to performance evaluation,1
abbreviation,33
presence of mathematical terms,1
indication of comparison,1
technical jargon,8
complexity,11
combination,1
configuration,1
verbal,1
accuracy measurement,1
precision,12
specificity in details,3
quantitative aspect,4
progression,1
symbol,3
specificity in context,1
absolutist,2
implicit knowledge,2
field-specific jargon,1
percentage,9
incorrect spelling,4
lack of specific details,2
collaborative nature,1
comparative performance,1
interdependency,1
synergistic effect,1
jargon related to human-computer interaction,1
concise structure,2
outcome-oriented,8
legal,8
incorrect syntax,2
mis words,1
incomplete information,5
normative,1
definitive,4
limiting,3
global context,10
regulatory,2
indirect questioning,2
hypothetical scenarios,1
percentages to quantify information,1
inclusion of potential consequences,1
involvement of multiple subjects (child,1
negative contractions,1
conditional phrases,1
"specific terminology (fermented drinks, id)",1
indirect suggestion,1
generalization (sometimes,1
non-personal,1
legal terminology,17
clear and concise,4
geographic terminology,1
beverage industry terminology,1
logical,1
comparativity,4
lack of specificity,5
absence of colloquial,1
informative style,1
substance-related,1
global,4
specificity in definitions,1
incomplete structure,2
absence of context,4
grammatical inconsistency,1
specific range,1
subject matter related to alcohol content.,1
gradual progression,1
socioeconomic disparity,3
inequality in opportunities,1
wealth-based privilege,1
class discrimination,1
economic status influence,1
health inequality,1
mortality risk,1
access to healthcare,2
social justice,1
socioeconomic,15
implicit social issues,1
economic disparities,1
education inequality,1
reproductive health rights,1
societal,2
implicit socioeconomic comparison,1
assumption of correlation between wealth and family size,1
assumption of correlation between wealth and delivery method,1
positive,7
social inequality,1
healthcare accessibility,1
financial constraints,1
discrimination,1
financial stability,1
percentage of c-section births,1
correlation between financial stability and c-section births,1
socioeconomic factors in birth methods,1
health economics.,1
negative correlation,2
socioeconomic context,6
biological context,10
data-oriented,31
statistic,3
commercial context,20
naming,1
locational reference,1
business identification,1
commercial activity,5
health-related context,10
identification,2
assertion,1
monopolistic,1
commercial,22
superlative,4
corporate entity,1
"proper nouns (rite aid, walgreens, cvs)",1
business-oriented terminology,10
market-specific jargon,1
implicit hierarchy establishment,1
parentheses for additional information,5
geographical location,4
business terminology,65
specificity in naming a business entity,1
proper nouns,13
descriptiveness,8
factuality,4
parenthesis,4
enumeration,1
business context,6
imperative,39
implicit bias towards larger companies,1
specific naming,4
implicative,2
bidirectional,1
market dynamics,1
health sector relevance,1
specificity in entities,3
temporal neutrality,1
outcome-oriented .,1
hypothesis,1
geographic segmentation,1
individual vs. collective behavior,1
preference,4
viewing habits,3
social interaction,5
media consumption,2
asian origin,2
multilingual,1
non-english,2
east asian s,1
used in media consumption context,1
binge-watching behavior,1
partnership dynamics,1
and communication,1
behavioral,5
psychological,1
sociocultural,1
living conditions,2
value systems,1
individualism,1
causal reasoning,1
subject matter specificity,2
behavioral observation,3
social dynamics,1
social,2
problem-oriented,5
relationship status,1
lifestyle differences,1
social interaction dynamics,1
"common, everyday",1
implies a global trend,1
interpersonal interaction,1
social context,4
preference-oriented,1
individualistic behavior,1
preference for solitude,1
digital entertainment trends,1
popularity of specific media trends,1
individual viewing habits,1
influence of animation industry,1
perception of solitude,1
geographical differences,1
stigma associated with activities,1
institutional,3
victim-related,1
historical context,27
time frame specification,2
preposition,44
cyclical,4
future projection,1
trend analysis,26
periodic,4
progressive,10
specific time frame reference,4
time-specific references,6
statistical trend terminology,1
specific date ranges,1
implicit cause-effect assumption,1
past perfect tense,4
trend,8
period-specific,2
historical reference,7
historical referencing,3
socio-cultural context,1
technical terms,21
exclusionary,10
factual tone,15
specific geographical reference,5
educational,11
educational status,3
change over time,1
positive and negative connotations,1
specific demographic focus,2
categorical classification,3
financial,106
racial,5
ethnicity-specific,2
negative and positive connotations,1
educational level,2
specific demographic,1
racially specific,1
negative trend,1
educational attainment,6
racial/ethnic,2
singular,4
socioeconomic factors,2
racial disparity,2
financial implications,1
racial/ethnic categorization,2
financial/economic,1
of education,2
of ethnicity,1
of change,1
socio-economic context,15
racial context,1
educational context,4
demographic factors,1
socioeconomic implications,2
educational factors,1
statistical analysis,15
financial status,1
ethnicity-based analysis,1
racial demographics,2
of social science,1
of economics,2
of racial and ethnic studies,1
quantitative representation,3
data visualization,57
metaphoric,2
modal verb (doesn't seem),1
"quantitative  (increase, number)",1
abstract nouns (relationship,1
analytical tone,1
year-specific references,1
geographical specificity,9
statistical observation,1
temporal  (2010),1
geographical  (west virginia),1
causal  (due to),1
quantitative  (large increase),1
statistical comparison,1
social issue context,2
time-specific reference,10
quantitative statement,1
population-focused,12
human-centered,4
passive construction,2
specificity in data,1
stability-oriented,1
correlational,9
implicit causality,7
societal context,9
hypothetical reasoning,3
problem-solution structure,1
numerical data usage,5
iterative process indication,1
indication of trend or pattern,1
evaluative .,2
iterative,1
precision-focused,1
predictive,64
precision-oriented,3
metaphorical  (zig-zag),1
"technical  (recurring pattern, graph)",1
pattern-oriented,1
cyclic,1
gradual progression.,1
continuous aspect,2
pattern recognition,4
historical,21
economic context,46
statistical representation,1
temporal  (2009),1
quantitative  (9%),1
passive voice (there is),1
abstract  (spike),1
specificity (in,1
neutral,6
future-focused,3
positive tone,3
present continuous tense,3
subject-verb agreement,3
comparative adjective,3
implicit context.,1
retail,1
marketing,2
business-related,22
economic influence,1
time specificity,1
stability,4
directionality,2
quantitative nature,6
trend-focused,2
quantitative comparison,14
continuity,6
uniformity,1
specificity in time frame,4
corporate,22
temporal markers,4
business,37
temporal  (2011),1
"economic  (economic crisis, sales)",1
causal  (resulted in),1
probability  (probably),1
negative  (,1
monetary reference,2
affirmative sentence,1
simple sentence,1
annual periodicity,1
financial terminology,59
fact-stating,1
temporal  (2008 recession),1
"economic  (interest rates, recession)",1
passive voice (have lowered),1
cause and effect  (since,1
absolute,1
continuity expression,1
future orientation,2
future prediction,15
temporal  (after 2009),1
probabilistic  (probably),1
causal  (used low interest rates to get people to invest more),1
chronological context,1
absolute terms,1
continuity in trend,1
stability-focused,4
parenthetical,3
declinative,3
future perfect tense,5
static,1
time-specific referencing,1
estimative,1
range,3
time references,1
seasonal,1
directional .,1
divisive,1
"temporal  (2008, during one year)",1
"quantitative  (-20%, one year)",1
"causal  (shock happened, made the exports",1
cause-effect .,1
"metaphorical  (zigzag, dip)",1
"temporal  (year 2015, end of the graph)",1
c,2
causal relationship,1
year specification,1
indication of time,3
implication of change or transition,1
negative/positive,1
specific time frame,2
implication of change over time,1
possessive pronoun,4
descriptive adjectives,4
a metaphorical,1
exception clauses.,1
continuous,5
gender differentiation,3
temporal analysis,1
employment context,1
color coding,7
data comparison,1
contradiction,1
factual assertion,1
perception manipulation,1
time-bound,2
statistical context,7
gender-specific reference,1
gender inclusivity,2
misleading representation,1
gender-based comparison,1
contradiction in data interpretation,1
visual data (graph) usage,1
inefficiency,1
unintuitiveness,1
manipulative,1
deceptive,1
associative,3
gender-inclusive,1
non-discriminatory,1
scale-related .,1
employment instability,1
human condition,2
job market dynamics,1
abbreviations for years,1
symbols for currency,1
numerical values,6
prepositions for temporal context,1
future tense,44
indirect speech,4
monetary terms,1
agricultural,3
temporal  (2007),1
"quantitative  (most elevated futures price, pound)",1
subject-specific  (futures price),1
commodity-specific  (,1
specificity in time frames,1
monetary,5
spatial .,1
concrete noun usage,2
time reference,1
indefinite subject,1
commodity,1
market,1
monetary value,2
commodity identification,2
lack of precision,1
misplacement of data,1
inappropriate  terminology,1
absence of logical structure,1
temporal  (after 2005),1
quantitative  (the price for a pound of oranges),1
comparative  (follows),1
descriptive  (,1
value-based,5
numeric representation of years,1
passive voice construction,1
possessive in reference to inanimate objects,1
implicit temporal context,5
residential property context,1
indication of time ('12 on),1
pronouns (they),1
continuous action (haven't stopped),1
temporal  (referring to a specific year),1
quantitative  (using percentages and specific numbers),1
geographical  (mentioning a specific location),1
monetary value specification,1
quantitative data presentation,1
property valuation,1
growth-oriented,5
economic impact,1
technological influence,1
geographical focus,6
societal change,1
economic valuation,1
residential property focus,1
exponential growth,1
temporal  (year '12),1
"quantitative  (20%, $1 million)",1
geographical  (san francisco's homes),1
comparative  (or,1
indication of time progression,1
implicit reference to a specific event or time,1
visual descriptive,1
geographical referencing,1
employment of action verbs,1
adverbs to describe movement,1
regularity in,1
fluctuation,1
absolute terminology,1
patterned,1
active,1
action verbs,2
parenthetical statements,1
visual representation .,1
temporal  (2008),2
"quantitative  (5%, massive difference)",1
causal  (make a difference),1
"subject-specific  (input, overall",1
economic data,1
statistical information,3
temporal  (soon after 1990),1
geographical  (the us),1
"statistical  (unemployment rate, percentage)",1
causal  (started,1
abbreviations ('85 and '09),1
"passive voice (""rate fell"")",1
"specific terminology (""unemployment rate"")",1
contractions ('00 for 2000),1
implicit temporal reference (year),1
economic terminology (unemployment,1
abbreviated form,2
descriptive labeling,1
color for differentiation,11
shapes for differentiation,1
positive assertion,1
specificity in data range,1
consistent,1
specificity in data size,3
reference to machine learning process,1
correlation between variables,1
emphasis on accuracy,1
importance of extensive vocabulary,1
negative evaluation,1
implication of progression,1
specificity in measurement,2
implicit evaluation,2
negativity,1
assertiveness,2
positive connotation,5
comparability,3
quantifiability,3
specificity in data presentation,1
numerical range,2
precision in numerical values,1
specificity in data representation,3
specific measurement,1
hypothesis suggesting,1
indication of anomaly,1
specificity in measurements,1
projective,1
measurement,4
measurement-oriented,2
parenthetical explanation,2
commas for separation,2
conjunction for final item,1
capitalization for emphasis,2
business-related terminology,2
digital evolution,1
internet usage,1
dependency on google,1
transformation in search engine usage,1
impact of internet expansion.,1
value judgement,1
corporate focus,1
capitalization,3
business jargon,2
indirect causation,1
pronouns.,1
financial jargon,2
tech industry-specific,1
temporal  (mid-2004),2
financial  (stock price),1
corporate  (goog),1
action-oriented  (started to increase),1
intensity,1
parenthetical clarification,1
negative statements,1
corporate existence context,1
digital industry terminology,1
gradual change,1
parenthetical information.,1
commerciality,1
digitality,1
passivity,1
temporal  (referring to specific time periods),1
financial  (referring to stock prices),1
causal  (suggesting a cause-effect relationship),1
"financial  (shares, prices)",1
"comparative  (exceeding, other)",1
quantitative  (four),1
parenthetical information,2
corporate jargon,1
specificity (referring to a specific entity - goog),1
abbreviated,7
present perfect tense,1
industry-specific,14
specific naming or labeling,1
collective,1
specificity in referencing companies,1
indication of a crisis event,1
expression of resilience or recovery,1
time reference (2010),1
positive progression or growth.,1
specificity in company identification,1
chronological,1
crisis-related,1
company-specific  (goog),1
time-specific references (mid-2004),1
comparative  (highest stock price),1
static description,1
business communication,1
specificity in location identification,1
movement-related,1
specificity in time,2
time frame,1
range in numerical data,1
political implications,1
repetitive,1
negative to positive transition,1
contrast conjunctions,1
color symbolism,4
binary categorization,1
labor market terminology,1
labor-related,2
progression-oriented,1
equality-focused,1
global scope,14
labor market context,1
labor market,1
gender perspective,1
employment trend,1
temporal specificity,1
temporal  (time passes),1
gender-specific  (female rate),1
quantitative  (slight peaks and troughs),1
cultural  (cultural differences,1
temporal  (referring to a specific time period - 1990),1
comparative  (comparing male labor force participation rate to other rates),1
human demographic,1
simple past tense,2
visualization-related terminology,1
growth-related terminology,1
automotive industry-specific,2
restructuring-related,1
industry-specific jargon,3
temporal  (june 2019),1
industry-specific  (auto industry employment),1
action-oriented  (hit),1
negative connotation  (bottom rock),1
context-specific,24
"technical terms (y-axis, zero)",1
conditional statements (if),1
possessive pronouns,3
colloquialism,1
job market,1
graphical data,1
visual communication,1
abstract interpretation,1
conveyance of status,1
indication of process or action,1
symbolism,1
context-specific terminology,3
redundancy,2
future possibility,3
preventive,1
pronoun,1
cause-effect relationship.,1
temporal terms,3
conditional conjunctions,1
adverbs to indicate change over time,1
causal .,1
control,1
measure,1
provide,1
security,1
protection,1
conditional mood,4
abstract terminology,1
indicative mode,2
causative expression,1
impersonal expression,1
conditional structure,1
problem-solving,1
causative,1
formal register,1
alarmist,1
control-oriented,1
scenario-based,1
overload-focused,1
media differentiation,1
visual cues,1
encoding information,1
specific industry focus (tv industry),1
comparative analysis (compared to other industries),1
economic aspect (ad spending rates),1
temp,1
negative trend indication,2
implicit persuasion,1
abstract noun usage,1
contrastive structure,2
present perfect continuous tense,1
impersonal subject,1
digital media,3
advertising,1
mobile communication,1
traditional print media,1
contemporary  trends,1
digital technology,1
trend-based,2
digital marketing,4
social media,2
business growth,1
singular subject,67
digital context,1
growth trend,2
advertising focus,1
growth-focused,2
market-related,1
technology-centric,1
market analysis,3
implication of trend analysis,1
abstract subject,1
continuous action,1
evolutionary,1
indirect reference to a subject,2
specific time frames,1
quantitative expression.,1
specific industry focus,1
digital focus,1
growth orientation,1
market-oriented,1
racial categorization,5
visual differentiation,1
encoding demographics,1
racial discrimination,1
employment inequality,2
corporate culture,1
diversity and inclusion,1
racial identification,2
socio-economic status,1
social demographic,2
ethnicity-related,1
racial discourse,1
sociocultural context,4
racial/ethnic identification,2
economic condition,1
of social issues,1
of racial identity,1
of employment,1
of time,1
racially descriptive,1
racial demographic,1
socio-cultural,2
ethnicity-based differentiation,1
socio-economic issues,1
systemic bias,1
ethnic favoritism,1
racial disparities,1
indication of a timeline,1
specific numerical data,3
reflects racial/ethnic demographics,1
indicates socioeconomic disparities,1
highlights unemployment rates,1
demonstrates hierarchical structure,1
contains statistical information,1
racial/ethnic diversity,1
racial focus,1
racial undertone,1
hypotheticality,1
ethnicity,1
socio-economic topic,1
absence of personal pronouns,5
academic,7
non-existent,1
single-worded,1
non-interactive,1
color coding for differentiation,2
geographical identifiers,1
geographical  (united states),1
quantitative  (very high),1
employment-related  (employment rate),1
specificity in gender identification,1
gender-based,1
consistency-related,1
socio-political context,1
employment and income-related,1
discrimination-related .,1
economic focus,4
temporal context (2009),1
geographical context (united states),1
statistical data (unemployment rate),1
gender distinction,1
comparative analysis (highest difference),1
visual-oriented,13
gender-specific context,1
implied causality,2
subjective interpretation,1
survival,1
specificity in categories,1
shape-based,1
percentage for measurement,1
exclusionary phrases,1
possessive,5
correlation,3
conditionality,3
symmetry,1
reciprocity,1
color descriptive,2
temporal  (annual reference),1
color-based differentiation,2
object-oriented,6
specificity in time periods,2
color-related,4
growth and decline,2
synchronicity,1
sequential progression,3
mutual interaction,1
inclusion of specific commodities,1
metaphorical expressions,1
comma,1
color descriptions,1
company names,2
specificity in naming entities,9
temporal expressions,1
color description,1
past and present tense,1
business-specific,1
"specific terminology (opioid crisis, generic drug manufacturers)",1
sale,3
factual and objective tone,1
chronological structure,1
activity,2
attribution,2
corporate identification,1
periodicity,1
exception handling,1
sequentiality,1
event-oriented,1
temporal characteristics,2
comparative characteristics,1
causal characteristics,1
descriptive characteristics,1
quantitative characteristics,1
"specific terminology (opioid pills, specgx llc)",1
chronological referencing,1
factual reporting,2
medical industry terminology,1
past and present tense usage,1
time measurements,1
range expression,3
range expression in,1
natural phenomena,1
temporal correlation,4
sequential events,1
duration measurement,1
parenthetical explanations,1
exaggeration,1
indefinite quantity,1
predictive nature,3
continuity in events,1
dichotomous,2
range-based,2
sequential order,2
predictive implication,1
binary opposition,5
positivity,1
definiteness,1
strength,1
familial,5
financial reporting,1
simplistic,2
color-coded categorization,1
sequential ordering,1
family-based grouping,1
product-focused,3
product-specific,3
commercial orientation,2
result-oriented,2
specificity in product identification,1
categorization,18
hierarchical structure,3
comparative elements,1
possibility,1
family-related,1
quantitative data interpretation,1
structured,25
cause-and-effect relationship,1
regional exception,1
subject matter (gun deaths),1
public safety issue,1
household context,1
mortality rate,1
consequence,2
societal issue,1
public safety topic,1
population-based measurement,1
quantitative relationship,1
ownership,1
range indication,1
application of visual cues,1
negative connotation associated with color,1
academic context,7
informational content,1
impersonal,1
probabilistic,2
"specific terminology (gpa, columbia university medical school)",1
impersonal perspective,1
importance,1
"specific terminology (mcat, gpa)",1
comparative phrases,2
exclusionary statements,1
"specific terminology (applicants, score, tests, likelihood, rejected)",1
standard english,2
conditional statement,2
impersonality,1
"specific terminology (mcat, score, points)",1
evaluative judgement,1
standardized testing,1
"specific terminology (mcat, columbia university medical school)",1
quantitative  (score of 520 or higher),1
specific terminology (mcat),1
finality,1
demographic terminology,1
visual representation terminology,3
mathematical concepts,2
semantic encoding,1
geographical categorization,2
implicit information conveyance,1
impact assessment,1
health-related terminology,4
risk assessment,4
health-related terminology.,1
economic conditions,1
health risks,1
population scale,1
currency usage,1
socio-economic indicators,1
comparative perspective,1
humanitarian focus,1
health-related issue,1
statistical probability,1
global health concern,1
cultural sensitivity,2
inclusion of statistical correlation,1
third person plural pronouns,1
socio-economic context.,1
global health context,2
risk-related,3
temporal categorization,1
visual representation of data,1
parentheses for clarification,2
hyphen for range specification,1
temporal comparison,2
population segmentation,2
public health,2
technological intervention,1
temporal  (2003-2008),1
comparative  (more of the urban populations were sleeping under itn than the rural populations),1
subject-specific terminology (itn),1
information technology,1
technological reference,2
public health terminology,1
human behavior,1
specialized terminology (itn),1
implicit temporal reference (across the entire survey period,1
authoritative source for credibility,1
categorical differentiation,7
multivariate data,2
shape coding,1
multimodal encoding,1
industrial focus,1
geographic relevance,2
performance characteristics,1
environmental suitability,1
industrial context,2
national entities,1
subject-specific  (automotive),2
automotive terminology,6
automotive,3
quantitativeness,3
mechanical,8
environmental terminology,1
evaluativeness,1
environmental consciousness,3
subject-specific terminology (car specifications),1
implicit value judgments,1
a middle-ground position,1
spatial metaphors,1
categorization .,1
efficiency focus,1
subject-specific terminology (automotive),1
specific terminology (miles_per_gallon),1
focus on efficiency,1
industrial,2
spatial reference,3
the definite article,3
comparative degree.,1
approximate,1
specific terminology (horsepower),1
range specification,2
unit of measurement,1
automotive technical,1
efficiency-focused,2
national identification,1
cause-and-effect reasoning,1
geographical context-specific,1
efficiency orientation,1
speed indifference,1
environmental,1
the present tense,4
the superlative degree.,1
consequence-oriented,1
of observation,1
of assumption,1
of balance,1
of evaluation,1
japanese,1
efficiency,1
car-related,1
inclusion,1
superlativity,1
specific (referring to adam sandler movies),1
temporal (referring to a specific year - 2014),1
referential,2
entertainment industry terminology,1
specific reference,1
popularity,1
commercial success,1
critical reception,1
public opinion,1
specific examples,2
categorical data,3
collective nouns (groups),1
passive voice (appear to obtain),1
"specific terminology (box office earnings, rotten tomatoes ratings",1
absence of jargon,1
neutrality,2
"specificity in referencing (pineapples group, rotten tomatoes ratings, box",1
referentiality,1
expressivity,1
possessive form,8
specific movie titles as examples,1
plural form,1
proper nouns.,2
film-related,7
celebrity-related,1
evaluative terms,1
implicit context,1
"specific terminology (rotten tomatoes rating, box office gross)",1
use,4
reference to popular culture,1
income-related,2
life expectancy-related,1
human lifespan context,3
abstract conceptualization,1
biological,4
sociological,2
human lifespan related,1
longevity-focused,1
biological/health-related,1
life expectancy,1
access to resources,1
quality of life,1
healthcare access,1
gender-specific perspective,2
health-related implications,3
global disparity,1
income inequality,1
economic disparity,1
poverty and deprivation,1
emotion-related,1
simple present tense,2
geographic disparity,1
age-related implications,1
access to self-care resources,1
inequality indication,1
