sentences,axes,axes2,ptypes,dnames,vids,scores,scores2
"You gotta make a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis. That's the fact.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,4,1
"Construct a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis. That's the objective.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,5,1
"Maybe you could create a bar chart? ""Order Quantity"" on the x-axis and the count of data points on the y-axis. Just a suggestion.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,1,2
"I reckon you should create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,2,2
"You should create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,3,2
"It's necessary to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,4,2
"The task is to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,5,2
"How about creating a bar chart? ""Order Quantity"" on the x-axis and the count of data points on the y-axis. Just a thought.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,1,3
"I believe you should create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,2,3
"It would be good to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,3,3
"It's important to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,4,3
"The requirement is to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,5,3
"I suggest creating a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis. Just my opinion.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,1,4
"I propose creating a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,2,4
"It's advisable to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,3,4
"It's necessary to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,4,4
"The instruction is to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,5,4
"I recommend creating a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis. That's my personal view.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,1,5
"I suggest creating a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,2,5
"It's recommended to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,3,5
"It's required to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,4,5
"The directive is to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,5,5
"Make a bar graph, you know, with ""Order Quantity"" on the bottom and the number of data points up the side.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,1,1
"You gotta make a bar graph, right? ""Order Quantity"" goes on the bottom and the count of data points goes up the side.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,2,1
"Can you make a bar graph? Put ""Order Quantity"" on the bottom and the count of data points on the side.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,3,1
"Make a bar graph. ""Order Quantity"" on the bottom, count of data points on the side.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,4,1
"Please make a bar graph with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,5,1
"You should create a bar chart, with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,1,2
"Could you create a bar chart? ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,2,2
"Create a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,3,2
"I need you to create a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,4,2
"Please create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,5,2
"It would be beneficial to create a bar chart, with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,1,3
"Could you possibly create a bar chart? ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,2,3
"I suggest creating a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,3,3
"I would like you to create a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,4,3
"I request that you create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,5,3
"It is necessary to construct a bar chart, with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,1,4
"Could you construct a bar chart? ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,2,4
"Construct a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,3,4
"I require you to construct a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,4,4
"Please construct a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,5,4
"It is imperative to formulate a bar chart, with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,1,5
"Could you formulate a bar chart? ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,2,5
"Formulate a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,3,5
"I necessitate you to formulate a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,4,5
"Please formulate a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,5,5
"Make a simple picture that shows how many times each ""Order Quantity"" shows up.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,1,1
"You should draw a picture that shows how many times each ""Order Quantity"" appears.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,2,1
"Draw a picture that represents the frequency of each ""Order Quantity"".",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,3,1
"It is necessary to construct a visual representation of the frequency of each ""Order Quantity"".",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,4,1
"Construct a visual representation that accurately depicts the frequency distribution of ""Order Quantity"".",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,5,1
"I think you should make a bar chart showing how many times each ""Order Quantity"" comes up.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,1,2
"You need to create a bar chart that shows the frequency of each ""Order Quantity"".",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,2,2
"Create a bar chart that represents the frequency of each ""Order Quantity"".",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,3,2
"It is required to create a bar chart that accurately represents the frequency of each ""Order Quantity"".",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,4,2
"Generate a bar chart that accurately represents the frequency distribution of ""Order Quantity"".",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,5,2
"I suggest you plot a bar chart with ""Order Quantity"" as categories and their counts as values.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,1,3
"You should plot a bar chart with ""Order Quantity"" as categories and their counts as values.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,2,3
"Plot a bar chart with ""Order Quantity"" as categories and their counts as values.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,3,3
"It is necessary to plot a bar chart with ""Order Quantity"" as categories and their counts as values.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,4,3
"Plot a bar chart with ""Order Quantity"" as categories and their counts as values, ensuring accuracy and precision.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,5,3
"I believe you should construct a bar graph with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,1,4
"You need to construct a bar graph with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,2,4
"Construct a bar graph with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,3,4
"It is required to construct a bar graph with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,4,4
"Construct a bar graph with ""Order Quantity"" on the x-axis and the count of data points on the y-axis, ensuring accuracy and precision.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,5,4
"I propose you generate a bar chart with ""Order Quantity"" as the independent variable and the frequency of data points as the dependent variable.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,1,5
"You should generate a bar chart with ""Order Quantity"" as the independent variable and the frequency of data points as the dependent variable.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,2,5
"Generate a bar chart with ""Order Quantity"" as the independent variable and the frequency of data points as the dependent variable.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,3,5
"It is necessary to generate a bar chart with ""Order Quantity"" as the independent variable and the frequency of data points as the dependent variable.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,4,5
"Generate a bar chart with ""Order Quantity"" as the independent variable and the frequency of data points as the dependent variable, ensuring accuracy and precision.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,5,5
"Make a picture with bars. The bars should show how many orders we have. The longer the bar, the more orders we have.",Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,1,1
You know those pictures with bars that show how much of something we have? Make one of those for our orders.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,2,1
Can you make a bar picture that shows how many orders we have?,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,3,1
Please make a bar picture. The bars should represent the number of orders we have.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,4,1
I need you to create a bar picture. The length of each bar should represent the number of orders we have.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,5,1
Let's get a bar graph going. The bars should show the number of orders.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,1,2
"You know how bar graphs work, right? Let's get one for our orders.",Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,2,2
Can you make a bar graph that shows the number of orders we have?,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,3,2
Please make a bar graph. The bars should represent the number of orders we have.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,4,2
I need you to create a bar graph. The length of each bar should represent the number of orders we have.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,5,2
Let's visualize our order quantity with a bar chart.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,1,3
"You're familiar with bar charts, right? Let's use one to show our order quantity.",Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,2,3
Can you create a bar chart that represents our order quantity?,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,3,3
Please create a bar chart. The bars should represent our order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,4,3
I need you to create a bar chart. Each bar should represent our order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,5,3
Construct a bar chart to represent the order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,1,4
"You're familiar with bar charts, correct? We need one for our order quantity.",Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,2,4
Can you construct a bar chart that represents our order quantity?,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,3,4
Please construct a bar chart. The bars should represent our order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,4,4
I need you to construct a bar chart. Each bar should represent our order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,5,4
Generate a bar chart to depict the order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,1,5
"You're familiar with the concept of bar charts, correct? We require one for our order quantity.",Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,2,5
Can you generate a bar chart that accurately represents our order quantity?,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,3,5
Please generate a bar chart. The bars should accurately represent our order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,4,5
I require you to generate a bar chart. Each bar should accurately represent our order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,5,5
"I feel like it would be a good idea to make a bar chart. Maybe we could put ""Order Quantity"" on the x-axis and the count of data points on the y-axis. What do you think?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,1,1
"I think a bar chart would be nice. ""Order Quantity"" could be on the x-axis and the count of data points on the y-axis, don't you agree?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,2,1
"I believe a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis would be beneficial.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,3,1
"I suggest we create a bar chart. ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,4,1
"Let's create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,5,1
"It seems like a bar chart might work well here. Perhaps ""Order Quantity"" on the x-axis and the count of data points on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,1,2
"How about a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,2,2
"A bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis would be appropriate.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,3,2
"We should create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,4,2
"Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,5,2
"A bar chart could be useful. Maybe ""Order Quantity"" on the x-axis and the count of data points on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,1,3
"What about a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,2,3
"A bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis would be suitable.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,3,3
"We need to create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,4,3
"Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,5,3
"A bar chart might be the best option. ""Order Quantity"" on the x-axis and the count of data points on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,1,4
"Consider a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,2,4
"A bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis is required.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,3,4
"We must create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,4,4
"Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,5,4
"A bar chart is necessary. ""Order Quantity"" on the x-axis and the count of data points on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,1,5
"A bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis is suggested.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,2,5
"A bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis is needed.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,3,5
"It is mandatory to create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,4,5
"Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,5,5
"It's like a bar graph thingy, how many orders, and how many bits of info.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,1,1
"It's a bar graph, showing the number of orders, and the amount of data points.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,2,1
"It's a bar chart, showing the quantity of orders, and the count of data points.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,3,1
"It's a bar chart, illustrating the order quantity, and the enumeration of data points.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,4,1
"It's a bar chart, delineating the order quantity, and the quantification of data points.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,5,1
"We have a bar chart here, showing the number of orders and the amount of data.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,1,2
"This is a bar chart, representing the quantity of orders and the count of data points.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,2,2
"Here is a bar chart, indicating the order quantity and the enumeration of data points.",Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,3,2
This bar chart illustrates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,4,2
This bar chart delineates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,5,2
The bar chart displays the number of orders and the count of data.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,1,3
The bar chart represents the quantity of orders and the count of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,2,3
The bar chart indicates the order quantity and the enumeration of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,3,3
The bar chart illustrates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,4,3
The bar chart delineates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,5,3
The bar chart clearly displays the number of orders and the count of data.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,1,4
The bar chart accurately represents the quantity of orders and the count of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,2,4
The bar chart precisely indicates the order quantity and the enumeration of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,3,4
The bar chart meticulously illustrates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,4,4
The bar chart rigorously delineates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,5,4
The bar chart distinctly displays the number of orders and the count of data.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,1,5
The bar chart accurately represents the quantity of orders and the count of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,2,5
The bar chart precisely indicates the order quantity and the enumeration of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,3,5
The bar chart meticulously illustrates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,4,5
The bar chart rigorously delineates the order quantity and the quantification of data points.,Colloquial-Standard,Non-technical-Technical,query,superstore,histogram,5,5
"It's like, a bar graph thingy, showing how much stuff we've got, and how many times we've counted it.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,1,1
"It's a bar graph, right? Shows how much stuff we've got and how many times we've counted it.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,2,1
"This here's a bar graph, showing the quantity of orders and the count of data points.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,3,1
"This is a bar graph, it represents the quantity of orders and the count of data points.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,4,1
This bar chart represents the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,5,1
"It's a bar chart, showing the amount of stuff we've got and how many times we've counted it.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,1,2
This bar chart shows the amount of stuff we've got and how many times we've counted it.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,2,2
This bar chart represents the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,3,2
This bar chart illustrates the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,4,2
The bar chart depicts the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,5,2
"It's a bar chart, showing the quantity of orders and how many times we've counted it.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,1,3
This bar chart shows the quantity of orders and how many times we've counted it.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,2,3
This bar chart represents the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,3,3
The bar chart illustrates the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,4,3
The bar chart depicts the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,5,3
"This is a bar chart, showing the quantity of orders and how many times we've counted it.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,1,4
This bar chart shows the quantity of orders and how many times we've counted it.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,2,4
This bar chart represents the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,3,4
The bar chart illustrates the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,4,4
The bar chart accurately depicts the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,5,4
"This is a bar chart, showing the quantity of orders and how many times we've counted it.",Colloquial-Standard,Subjective-Objective,query,superstore,histogram,1,5
This bar chart shows the quantity of orders and how many times we've counted it.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,2,5
This bar chart represents the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,3,5
The bar chart illustrates the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,4,5
The bar chart accurately depicts the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,5,5
