commands,axes,ptypes,dnames,vids,scores
Construct a bar graph with different product categories along the bottom and the number of each type going up the side.,Non-technical-Technical,command,superstore,singleAttrBar,3
Maybe you could consider creating a bar chart with product types on the x-axis and their count on the y-axis.,Subjective-Objective,command,superstore,singleAttrBar,3
Create a bar chart with product types on the x-axis and their count on the y-axis.,Subjective-Objective,command,superstore,singleAttrBar,5
Could you possibly put together a chart showing the different types of products and how many of each we have?,Implicit-Explicit,command,superstore,singleAttrBar,2
I feel like a bar chart with product types on the x-axis and their count on the y-axis would be a good idea.,Subjective-Objective,command,superstore,singleAttrBar,2
I think you should make a bar chart with product types on the x-axis and their count on the y-axis. It's the best way to visualize the data.,Subjective-Objective,command,superstore,singleAttrBar,1
Generate a bar graph in which the abscissa represents the various product classifications and the ordinate represents their corresponding frequencies.,Non-technical-Technical,command,superstore,singleAttrBar,5
Can you make a visual representation of the different product types and their quantities?,Implicit-Explicit,command,superstore,singleAttrBar,1
Make a bar graph with the stuff we sell on the bottom and how many we have on the side.,Colloquial-Standard,command,superstore,singleAttrBar,2
Create a bar chart. Use product types for the x-axis and their count for the y-axis.,Implicit-Explicit,command,superstore,singleAttrBar,5
"The categories of products we have, the quantity of each category, and arrange them from highest to lowest.",Non-technical-Technical,query,superstore,singleAttrBar,3
"What types of products we have, how many of each, and list them from most to least.",Colloquial-Standard,query,superstore,singleAttrBar,2
"The types of products, the quantity of each type, and arrange them from highest to lowest.",Colloquial-Standard,query,superstore,singleAttrBar,3
"Enumerate the product types, calculate the count of each product type, and then order the list in descending order based on the count.",Implicit-Explicit,query,superstore,singleAttrBar,5
"What kind of stuff we have, how many different kinds, and list them from most to least.",Non-technical-Technical,query,superstore,singleAttrBar,1
"Please list the product types, count each type, and then sort them in descending order based on the count.",Implicit-Explicit,query,superstore,singleAttrBar,4
"The classifications of products we possess, the enumeration of each classification, and sort them in a descending order.",Non-technical-Technical,query,superstore,singleAttrBar,4
"We need to identify the types of products, count each type, and then arrange them in descending order.",Implicit-Explicit,query,superstore,singleAttrBar,3
"You know, the different kinds of stuff we have, how many of each, and then sort it so the most common ones are at the top.",Implicit-Explicit,query,superstore,singleAttrBar,1
"Let's look at the variety of items we have, count them, and then arrange them from most to least.",Implicit-Explicit,query,superstore,singleAttrBar,2
"The types of items we have, the number of each type, and list them from the most to the least.",Non-technical-Technical,query,superstore,singleAttrBar,2
"It would be efficient to categorize the product types by their count, and arrange them in descending order.",Subjective-Objective,query,superstore,singleAttrBar,4
"It appears that we have a variety of each type of product, can we confirm the exact numbers?",Subjective-Objective,question,superstore,singleAttrBar,3
Can you tell me the count of each kind of item we have?,Non-technical-Technical,question,superstore,singleAttrBar,2
Please make a bar chart with these states on the x-axis and 'AVG (Profit)' on the y-axis.,Implicit-Explicit,command,superstore,bar,4
"Create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Subjective-Objective,command,superstore,bar,5
"Draw a bar graph. The states Indiana, New York, California, Colorado, Michigan should be along the bottom. The height of the bars should show the total average profit.",Non-technical-Technical,command,superstore,bar,2
"Kindly produce a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the abscissa and the summation of 'AVG (Profit)' on the ordinate.",Colloquial-Standard,command,superstore,bar,5
"Make a simple bar graph with these states: Indiana, New York, California, Colorado, Michigan. The height of each bar should show the total average profit.",Non-technical-Technical,command,superstore,bar,1
"Please generate a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the aggregate of 'AVG (Profit)' on the y-axis.",Colloquial-Standard,command,superstore,bar,4
"Generate a bar graph with the states Indiana, New York, California, Colorado, Michigan as the categories on the x-axis. The y-axis should represent the aggregate of the average profit.",Non-technical-Technical,command,superstore,bar,4
"Make a bar graph with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the bottom and the total of 'AVG (Profit)' going up the side.",Colloquial-Standard,command,superstore,bar,2
"Maybe you could create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Subjective-Objective,command,superstore,bar,3
Could you create a chart with these states and their 'AVG (Profit)'?,Implicit-Explicit,command,superstore,bar,3
"Construct a bar chart. The x-axis should have 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'. The y-axis should represent the sum of 'AVG (Profit)'.",Implicit-Explicit,command,superstore,bar,5
"I suggest you create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis. It seems like a good idea.",Subjective-Objective,command,superstore,bar,2
"Construct a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Colloquial-Standard,command,superstore,bar,3
"The total average profit from Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,query,superstore,bar,1
"What's the total average profit from Indiana, New York, California, Colorado, and Michigan?",Implicit-Explicit,query,superstore,bar,4
"The sum of the average profit from Indiana, New York, California, Colorado, and Michigan is a factual representation of their economic performance.",Subjective-Objective,query,superstore,bar,4
"The states we've been discussing, what's their profit average?",Implicit-Explicit,query,superstore,bar,2
"The sum of the average profit from Indiana, New York, California, Colorado, and Michigan could be considered significant.",Subjective-Objective,query,superstore,bar,3
"It seems to me that the sum of the average profit from Indiana, New York, California, Colorado, and Michigan is noteworthy.",Subjective-Objective,query,superstore,bar,2
"The aggregate of the average profit from the states of Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,query,superstore,bar,3
"So, ya got Indiana, New York, California, Colorado, Michigan, and then ya add up the average profit, ya see?",Colloquial-Standard,query,superstore,bar,1
"What's the total profit for Indiana, New York, California, Colorado, and Michigan?",Non-technical-Technical,question,superstore,bar,2
"What's the combined 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Colloquial-Standard,question,superstore,bar,2
"How much money did Indiana, New York, California, Colorado, and Michigan make altogether?",Non-technical-Technical,question,superstore,bar,1
"What is the aggregate of the 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Non-technical-Technical,question,superstore,bar,5
"Could you ascertain the summation of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Colloquial-Standard,question,superstore,bar,5
"Construct a point graph with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Colloquial-Standard,command,superstore,scatter,3
What if we put profit and sales on a graph? Just a thought.,Implicit-Explicit,command,superstore,scatter,2
"You know, it might be interesting to see how profit and sales relate on a graph.",Implicit-Explicit,command,superstore,scatter,1
"Maybe we could make a chart? Profit on one axis, sales on the other.",Implicit-Explicit,command,superstore,scatter,3
"I need you to create a point chart. ""Profit"" should be on the x-axis and ""Sales"" on the y-axis.",Implicit-Explicit,command,superstore,scatter,5
"Make a dot chart with ""Profit"" on the horizontal and ""Sales"" on the vertical.",Colloquial-Standard,command,superstore,scatter,2
"Construct a graph with ""Profit"" as the horizontal component and ""Sales"" as the vertical component.",Non-technical-Technical,command,superstore,scatter,3
"Make a simple graph with ""Profit"" going across and ""Sales"" going up.",Non-technical-Technical,command,superstore,scatter,1
"I think you should make a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis. It's the best way to visualize the data.",Subjective-Objective,command,superstore,scatter,1
"Let's make a chart. Put ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Implicit-Explicit,command,superstore,scatter,4
"Develop a point chart where ""Profit"" is represented on the horizontal axis and ""Sales"" on the vertical axis.",Non-technical-Technical,command,superstore,scatter,4
"Generate a scatter plot with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,command,superstore,scatter,5
"Draw a graph with ""Profit"" on the side-to-side line and ""Sales"" on the up-and-down line.",Non-technical-Technical,command,superstore,scatter,2
"Maybe you could consider creating a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,command,superstore,scatter,3
"You know, it's like a map, where the treasure is the profit and the path is the sales.",Implicit-Explicit,query,superstore,scatter,1
"The chart presents profit on the x-axis and sales on the y-axis, suggesting a correlation between them.",Subjective-Objective,query,superstore,scatter,4
"In this graphical representation, the x-axis denotes profit while the y-axis signifies sales.",Colloquial-Standard,query,superstore,scatter,4
"I feel like this chart is showing us how profit is directly related to sales, with profit being on the x-axis and sales on the y-axis.",Subjective-Objective,query,superstore,scatter,1
"This chart appears to be showing profit on the x-axis and sales on the y-axis, possibly indicating a relationship between the two.",Subjective-Objective,query,superstore,scatter,3
"On this graph, profit is represented on the x-axis and sales on the y-axis.",Colloquial-Standard,query,superstore,scatter,3
This is a graph with profit on the horizontal axis and sales on the vertical axis.,Implicit-Explicit,query,superstore,scatter,4
"Imagine a graph, where profit and sales are the two main elements.",Implicit-Explicit,query,superstore,scatter,2
"We're looking at a graph here, with profit and sales as the variables.",Implicit-Explicit,query,superstore,scatter,3
This is a graph with profit represented on the horizontal line and sales on the vertical line.,Non-technical-Technical,query,superstore,scatter,3
It's a simple graph showing how much money we make compared to how much we sell.,Non-technical-Technical,query,superstore,scatter,1
"I need you to create a point chart. Put ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Implicit-Explicit,question,superstore,scatter,5
"Can you fabricate a Cartesian coordinate system with ""Profit"" as the x-coordinate and ""Sales"" as the y-coordinate?",Non-technical-Technical,question,superstore,scatter,5
Whip up a line graph with 'Order Date' on the side-to-side bit and the total of 'Sales Forecast' on the up-and-down bit.,Colloquial-Standard,command,superstore,line,1
Let's make a line chart. We can use 'Order Date' for the timeline and show the total 'Sales Forecast' on it.,Implicit-Explicit,command,superstore,line,3
Make a line graph with 'Order Date' on the horizontal line and the total of 'Sales Forecast' on the vertical line.,Colloquial-Standard,command,superstore,line,2
"How about we try to visualize the 'Sales Forecast' data? Perhaps a line chart could work, with 'Order Date' as our timeline.",Implicit-Explicit,command,superstore,line,2
Draw a graph with the order date along the bottom and the total sales forecast going up the side.,Non-technical-Technical,command,superstore,line,2
It seems like a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis would be a good idea.,Subjective-Objective,command,superstore,line,3
Create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.,Subjective-Objective,command,superstore,line,5
I think you should make a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis. It would look really good.,Subjective-Objective,command,superstore,line,1
Fabricate a line diagram with 'Order Date' designated as the abscissa and the summation of 'Sales Forecast' as the ordinate.,Colloquial-Standard,command,superstore,line,5
It is recommended to create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.,Subjective-Objective,command,superstore,line,4
I want you to make a line chart. Put 'Order Date' on the x-axis and the total 'Sales Forecast' on the y-axis.,Implicit-Explicit,command,superstore,line,4
Construct a graph with the order date as the horizontal reference and the total of the sales forecast as the vertical reference.,Non-technical-Technical,command,superstore,line,3
Generate a linear graph with 'Order Date' as the abscissa and the aggregate of 'Sales Forecast' as the ordinate.,Non-technical-Technical,command,superstore,line,5
Generate a line chart with 'Order Date' as the horizontal axis and the aggregate of 'Sales Forecast' as the vertical axis.,Colloquial-Standard,command,superstore,line,4
Construct a line chart. The x-axis should be 'Order Date' and the y-axis should represent the sum of 'Sales Forecast'.,Implicit-Explicit,command,superstore,line,5
"""We need a line chart showing the sum of sales forecast by order date.""",Implicit-Explicit,query,superstore,line,3
The line chart represents the sum of sales forecast according to the order date.,Subjective-Objective,query,superstore,line,4
"""Think about a timeline of sales predictions.""",Implicit-Explicit,query,superstore,line,1
The line graph illustrating the cumulative forecasted sales over the order dates.,Non-technical-Technical,query,superstore,line,4
Show me a graph with the dates and the total sales prediction.,Colloquial-Standard,query,superstore,line,1
The graph that shows the total expected sales based on the date of order.,Non-technical-Technical,query,superstore,line,2
Could you plot a line chart with the order dates and the sum of sales forecast?,Colloquial-Standard,query,superstore,line,3
Kindly construct a line chart illustrating the order dates and the aggregate of the sales forecast.,Colloquial-Standard,query,superstore,line,5
Can you draw a graph with the dates and total predicted sales?,Colloquial-Standard,query,superstore,line,2
The graph showing the total predicted sales over time.,Non-technical-Technical,query,superstore,line,1
"""Imagine a line graph with dates and projected sales.""",Implicit-Explicit,query,superstore,line,2
What conclusions can we draw from the line graph that delineates 'Order Date' in relation to the summation of 'Sales Forecast'?,Non-technical-Technical,question,superstore,line,5
"Whip up a bar graph with the shipping ways as the columns, customer types on the bottom line, and average dough on the side line.",Colloquial-Standard,command,superstore,groupedBar,1
"Create a bar chart with the shipping method as columns, customer segment on the x-axis, and average profit on the y-axis.",Subjective-Objective,command,superstore,groupedBar,5
"It might be a good idea to create a bar chart with the shipping method as columns, customer segment on the x-axis, and average profit on the y-axis.",Subjective-Objective,command,superstore,groupedBar,3
"Draw a graph that shows the average profit we make from each customer group, divided by how they get their goods.",Non-technical-Technical,command,superstore,groupedBar,2
"Please create a chart that has shipping method as columns, customer segment on the x-axis, and average profit on the y-axis.",Implicit-Explicit,command,superstore,groupedBar,4
"I need a chart that shows the average profit for each customer segment, broken down by shipping method.",Implicit-Explicit,command,superstore,groupedBar,3
"I feel it would be beneficial to create a bar chart with the shipping method as columns, customer segment on the x-axis, and average profit on the y-axis. This is just my suggestion though.",Subjective-Objective,command,superstore,groupedBar,2
"Develop a bar graph that represents the average profit per customer segment, with the segments differentiated by their chosen method of shipment.",Non-technical-Technical,command,superstore,groupedBar,4
"Generate a bar chart that delineates the average profit per customer segment, with the segments stratified by their respective shipping methods.",Non-technical-Technical,command,superstore,groupedBar,5
"I think you should make a bar chart, and maybe use the shipping method for the columns, customer segment on the x-axis, and average profit on the y-axis. It's just my opinion, but I believe it would look best this way.",Subjective-Objective,command,superstore,groupedBar,1
"Make a simple graph that shows how much profit we make on average from each type of customer, based on how they get their stuff.",Non-technical-Technical,command,superstore,groupedBar,1
"Can you make a visual with shipping, customer types, and profit?",Implicit-Explicit,command,superstore,groupedBar,1
"It is requested to construct a bar chart, utilizing the shipping method as columns, placing the customer segment on the x-axis, and representing the average profit on the y-axis.",Colloquial-Standard,command,superstore,groupedBar,5
"A bar chart should be created with the shipping method as columns, customer segment on the x-axis, and average profit on the y-axis.",Subjective-Objective,command,superstore,groupedBar,4
What is the average profit for each shipping method and customer segment?,Implicit-Explicit,query,superstore,groupedBar,4
What is the mean profit derived from each shipping method and customer segment?,Colloquial-Standard,query,superstore,groupedBar,4
What is the average monetary gain per shipping method and customer demographic?,Colloquial-Standard,query,superstore,groupedBar,5
Please provide the exact average profit figures for each shipping method and customer segment.,Implicit-Explicit,query,superstore,groupedBar,5
Let's talk numbers and routes.,Implicit-Explicit,query,superstore,groupedBar,1
Can we discuss the profit margins for each shipping method and customer segment?,Implicit-Explicit,query,superstore,groupedBar,3
What's the average gain for each shipping method and customer category?,Colloquial-Standard,question,superstore,groupedBar,3
How much money do we usually make from each way we send stuff and each type of customer?,Non-technical-Technical,question,superstore,groupedBar,1
I have a hunch that some shipping methods and customer segments are more profitable than others. Can we find out the average profit for each?,Subjective-Objective,question,superstore,groupedBar,2
"Make a bar graph with 'Region' on the bottom and the total 'Profit' going up, and color it based on 'Ship Status'.",Colloquial-Standard,command,superstore,stackedBar,2
"A bar chart can be created with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, potentially colored by 'Ship Status'.",Subjective-Objective,command,superstore,stackedBar,4
"How about we visualize the profit by region, with some color coding for the ship status?",Implicit-Explicit,command,superstore,stackedBar,1
"Implement a bar chart visualization with 'Region' as the categorical variable on the x-axis and the aggregate of 'Profit' on the y-axis, with the variable 'Ship Status' represented through chromatic differentiation.",Non-technical-Technical,command,superstore,stackedBar,5
"Construct a bar chart with 'Region' on the horizontal axis and the sum of 'Profit' on the vertical axis, colored according to 'Ship Status'.",Colloquial-Standard,command,superstore,stackedBar,3
"Make a bar graph that shows different regions along the bottom and the total profit up the side, and use colors to show whether the shipment was delivered or not.",Non-technical-Technical,command,superstore,stackedBar,2
"Can you make a chart? Use 'Region' for the horizontal axis and the total 'Profit' for the vertical one. Also, use different colors for different 'Ship Status'.",Implicit-Explicit,command,superstore,stackedBar,3
"Please make a bar chart. 'Region' should be on the x-axis and the sum of 'Profit' on the y-axis. Also, color the bars based on 'Ship Status'.",Implicit-Explicit,command,superstore,stackedBar,4
"I suggest you create a bar chart with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, and it might be interesting to color it by 'Ship Status'.",Subjective-Objective,command,superstore,stackedBar,2
"You could create a bar chart with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, perhaps colored by 'Ship Status'.",Subjective-Objective,command,superstore,stackedBar,3
"Whip up a bar graph with 'Region' at the bottom and the total 'Profit' going up, and color it by 'Ship Status'.",Colloquial-Standard,command,superstore,stackedBar,1
"Make a picture with bars that shows different areas on the bottom and how much money was made on the side, and use different colors to show if the shipment was delivered or not.",Non-technical-Technical,command,superstore,stackedBar,1
"Generate a bar graph with 'Region' as the horizontal axis and the total 'Profit' as the vertical axis, and apply color differentiation to represent the 'Ship Status'.",Non-technical-Technical,command,superstore,stackedBar,4
"Construct a bar graph with different regions along the horizontal line and the total profit along the vertical line, and use color coding to indicate the status of the shipment.",Non-technical-Technical,command,superstore,stackedBar,3
"Maybe we can make a chart, with regions and profits, and use colors to show the ship status?",Implicit-Explicit,command,superstore,stackedBar,2
"A graphical representation of the total profit per region, differentiated by the status of the shipment.",Non-technical-Technical,query,superstore,stackedBar,4
"Let's take a look at how the regions stack up in terms of profit, with a bit of color to show the ship status.",Implicit-Explicit,query,superstore,stackedBar,1
"This is a bar diagram representing the correlation between the geographical region and the accumulated profit, with the shipping status differentiated by color.",Colloquial-Standard,query,superstore,stackedBar,5
"What's the profit for each region, split by shipping status?",Colloquial-Standard,question,superstore,stackedBar,3
"Create a chart. 'Region' should be represented by color, 'Sales' should be on the x-axis, and 'Profit' should be on the y-axis.",Implicit-Explicit,command,superstore,scatterColor,5
"I think you should make a point chart where 'Region' is the color, 'Sales' is on the x-axis, and 'Profit' is on the y-axis. It would look really good.",Subjective-Objective,command,superstore,scatterColor,1
"Create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,command,superstore,scatterColor,5
"Make a point chart, color it 'Region', put 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,command,superstore,scatterColor,2
"Make a dot picture. Use different colors for each area, put the sales on the side, and the earnings up and down.",Non-technical-Technical,command,superstore,scatterColor,1
"I want you to make a chart. Use 'Region' for color, 'Sales' for the x-axis, and 'Profit' for the y-axis.",Implicit-Explicit,command,superstore,scatterColor,4
"You know, it might be interesting to see how sales and profit relate across different regions. Maybe we could visualize it somehow?",Implicit-Explicit,command,superstore,scatterColor,1
"I feel it would be best if you create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,command,superstore,scatterColor,2
What if we try to visualize the sales and profit data? Maybe using different colors for each region could help.,Implicit-Explicit,command,superstore,scatterColor,2
"You should create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,command,superstore,scatterColor,4
"Generate a scatter plot. Distinguish regions by color, plot sales on the x-axis, and profit on the y-axis.",Non-technical-Technical,command,superstore,scatterColor,4
"Whip up a dot chart, color it with 'Region', slap 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,command,superstore,scatterColor,1
"It might be a good idea to create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,command,superstore,scatterColor,3
"Could you create a point chart? Use 'Region' for color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,command,superstore,scatterColor,3
"Construct a scatter diagram with categorical variable 'Region' represented by color, quantitative variable 'Sales' on the abscissa, and 'Profit' on the ordinate.",Non-technical-Technical,command,superstore,scatterColor,5
"I request you to generate a point chart, designating 'Region' as the color, positioning 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,command,superstore,scatterColor,5
"Imagine a chart where regions are differentiated by color, sales spread out on the horizontal line, and profit rises on the vertical.",Implicit-Explicit,query,superstore,scatterColor,2
"The point chart could possibly have 'Region' as the color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,query,superstore,scatterColor,3
"In this chart, 'Region' is represented by color, 'Sales' is on the x-axis, and 'Profit' is on the y-axis.",Colloquial-Standard,query,superstore,scatterColor,3
"I feel like the point chart should have 'Region' as the color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,query,superstore,scatterColor,1
"I think it would be best if the point chart had 'Region' as the color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,query,superstore,scatterColor,2
"The chart has regions colored differently, sales on the x-axis, and profit on the y-axis.",Implicit-Explicit,query,superstore,scatterColor,4
"The point chart should have 'Region' as the color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,query,superstore,scatterColor,4
"The point chart has 'Region' as the color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,query,superstore,scatterColor,5
"How about a chart with some color, maybe something regional, and a bit of sales and profit?",Implicit-Explicit,question,superstore,scatterColor,1
"Can you construct a scatter plot with 'Region' as the categorical variable represented by color, 'Sales' as the independent variable on the x-axis, and 'Profit' as the dependent variable on the y-axis?",Non-technical-Technical,question,superstore,scatterColor,5
"Construct a point chart. The column field should be 'Central', 'East', 'West', 'South'. The x-axis should represent 'Sales' and the y-axis should represent 'Profit'.",Implicit-Explicit,command,superstore,scatterFaceted,5
"Instantiate a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the abscissa, and 'Profit' as the ordinate.",Non-technical-Technical,command,superstore,scatterFaceted,5
I need a chart that shows our sales and profit data. Use the regions as the main categories and plot sales and profit against each other.,Implicit-Explicit,command,superstore,scatterFaceted,3
"A point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis could be an effective way to display the data.",Subjective-Objective,command,superstore,scatterFaceted,4
"Can you create a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' on the x-axis, and 'Profit' on the y-axis?",Colloquial-Standard,command,superstore,scatterFaceted,3
"You know those regions we always talk about? Central, East, West, South? And how we're always looking at sales and profit? Could you put those together in a visual way for me?",Implicit-Explicit,command,superstore,scatterFaceted,1
"Make a chart with 'Central', 'East', 'West', 'South' as the columns, 'Sales' as the horizontal line, and 'Profit' as the vertical line.",Non-technical-Technical,command,superstore,scatterFaceted,2
"Make a dot graph with 'Central', 'East', 'West', 'South' as the up and down lines, 'Sales' as the side to side line, and 'Profit' as the up and down line.",Non-technical-Technical,command,superstore,scatterFaceted,1
"Please make a chart using our sales and profit data. The regions should be the column field, with sales on the x-axis and profit on the y-axis.",Implicit-Explicit,command,superstore,scatterFaceted,4
Can you make a visual representation of our sales and profit data? Use the regions as the main categories and plot sales and profit against each other.,Implicit-Explicit,command,superstore,scatterFaceted,2
"Generate a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Non-technical-Technical,command,superstore,scatterFaceted,4
"Construct a chart with 'Central', 'East', 'West', 'South' as the column categories, 'Sales' as the horizontal axis, and 'Profit' as the vertical axis.",Non-technical-Technical,command,superstore,scatterFaceted,3
"Whip up a dot chart with 'Central', 'East', 'West', 'South' as the column stuff, 'Sales' as the x thingy, and 'Profit' as the y thingy.",Colloquial-Standard,command,superstore,scatterFaceted,1
"Create a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Subjective-Objective,command,superstore,scatterFaceted,5
"Make a point chart with 'Central', 'East', 'West', 'South' as the column bit, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Colloquial-Standard,command,superstore,scatterFaceted,2
"In my opinion, the point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South' provides a clear picture of our company's financial situation.",Subjective-Objective,query,superstore,scatterFaceted,2
"I feel like the point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South' is the best way to visualize our company's performance.",Subjective-Objective,query,superstore,scatterFaceted,1
"This is a graph showing the comparison between sales and profits in the central, east, west, and south regions.",Colloquial-Standard,query,superstore,scatterFaceted,3
"The chart that compares sales and profit across Central, East, West, and South.",Implicit-Explicit,query,superstore,scatterFaceted,3
