sentences,axes,ptypes,dnames,vids,scores
"Bar graph representation, quantity of orders placed, tally of data points",Colloquial-Standard,query,superstore,histogram,5
A simple graph showing how many times something happens.,Non-technical-Technical,query,superstore,histogram,1
A graph that shows the number of times something is ordered.,Non-technical-Technical,query,superstore,histogram,2
"A visual representation, specifically a bar graph, showing the number of orders.",Non-technical-Technical,query,superstore,histogram,3
"A bar graph illustrating the quantity of orders, represented by the count of data points.",Non-technical-Technical,query,superstore,histogram,4
"A bar chart visualizing the order quantity, quantified by the enumeration of data points.",Non-technical-Technical,query,superstore,histogram,5
I feel like the bar chart is showing us the order quantity through the count of data points.,Subjective-Objective,query,superstore,histogram,1
I think the bar chart is probably representing the order quantity by counting data points.,Subjective-Objective,query,superstore,histogram,2
The bar chart seems to be displaying the order quantity by counting data points.,Subjective-Objective,query,superstore,histogram,3
The bar chart is likely representing the order quantity by counting data points.,Subjective-Objective,query,superstore,histogram,4
The bar chart represents the order quantity by counting data points.,Subjective-Objective,query,superstore,histogram,5
Just a visual with some numbers.,Implicit-Explicit,query,superstore,histogram,1
"It's a visual representation, showing how many times something occurs.",Implicit-Explicit,query,superstore,histogram,2
It's a bar chart showing the number of times an order quantity occurs.,Implicit-Explicit,query,superstore,histogram,3
This is a bar chart that represents the count of data points for each order quantity.,Implicit-Explicit,query,superstore,histogram,4
This is a bar chart that explicitly displays the total count of data points for each specific order quantity.,Implicit-Explicit,query,superstore,histogram,5
How many bits of info we got for each order amount in that bar graph?,Colloquial-Standard,question,superstore,histogram,1
How many data bits are there for each order amount in the bar chart?,Colloquial-Standard,question,superstore,histogram,2
How many data points do we have for each order quantity in the bar chart?,Colloquial-Standard,question,superstore,histogram,3
Could you tell me the number of data points for each order quantity in the bar chart?,Colloquial-Standard,question,superstore,histogram,4
Could you please inform me of the quantity of data points corresponding to each order quantity represented in the bar chart?,Colloquial-Standard,question,superstore,histogram,5
How many things are there for each amount in the bar chart?,Non-technical-Technical,question,superstore,histogram,1
How many items are there for each amount shown in the bar chart?,Non-technical-Technical,question,superstore,histogram,2
How many instances are there for each order amount in the bar chart?,Non-technical-Technical,question,superstore,histogram,3
How many observations are there for each order volume in the bar chart?,Non-technical-Technical,question,superstore,histogram,4
How many empirical observations are there for each order magnitude in the bar chart?,Non-technical-Technical,question,superstore,histogram,5
"I'm curious about how many data points each order quantity has in the bar chart, don't you think it's interesting?",Subjective-Objective,question,superstore,histogram,1
"I feel like it would be helpful to know how many data points each order quantity has in the bar chart, wouldn't you agree?",Subjective-Objective,question,superstore,histogram,2
It seems to me that knowing the number of data points for each order quantity in the bar chart could be useful.,Subjective-Objective,question,superstore,histogram,3
It would be beneficial to determine the number of data points for each order quantity in the bar chart.,Subjective-Objective,question,superstore,histogram,4
Determine the number of data points for each order quantity in the bar chart.,Subjective-Objective,question,superstore,histogram,5
Can you figure out the number of data points for each order quantity in the bar chart?,Implicit-Explicit,question,superstore,histogram,1
Could you take a look at the bar chart and tell me what you see in terms of data points for each order quantity?,Implicit-Explicit,question,superstore,histogram,2
What does the bar chart suggest about the number of data points for each order quantity?,Implicit-Explicit,question,superstore,histogram,3
Can you count and tell me the number of data points for each order quantity shown in the bar chart?,Implicit-Explicit,question,superstore,histogram,4
Please count and provide the exact number of data points for each order quantity in the bar chart.,Implicit-Explicit,question,superstore,histogram,5
Whip up a bar graph with the different stuff we sell on the bottom line and how many we got on the side line.,Colloquial-Standard,command,superstore,singleAttrBar,1
Make a bar graph with the stuff we sell on the bottom and how many we have on the side.,Colloquial-Standard,command,superstore,singleAttrBar,2
Can you make a bar chart with the products we sell on the x-axis and the number we have on the y-axis?,Colloquial-Standard,command,superstore,singleAttrBar,3
Please construct a bar chart with the types of products on the x-axis and their quantity on the y-axis.,Colloquial-Standard,command,superstore,singleAttrBar,4
"Kindly generate a bar chart, positioning the product types on the x-axis and their respective quantities on the y-axis.",Colloquial-Standard,command,superstore,singleAttrBar,5
Make a picture with bars that shows how many of each type of product we have.,Non-technical-Technical,command,superstore,singleAttrBar,1
Draw a bar graph showing the number of each kind of product we have.,Non-technical-Technical,command,superstore,singleAttrBar,2
Construct a bar graph with different product categories along the bottom and the number of each type going up the side.,Non-technical-Technical,command,superstore,singleAttrBar,3
Develop a bar diagram where the horizontal axis represents different product categories and the vertical axis represents their respective quantities.,Non-technical-Technical,command,superstore,singleAttrBar,4
Generate a bar graph in which the abscissa represents the various product classifications and the ordinate represents their corresponding frequencies.,Non-technical-Technical,command,superstore,singleAttrBar,5
I think you should make a bar chart with product types on the x-axis and their count on the y-axis. It's the best way to visualize the data.,Subjective-Objective,command,superstore,singleAttrBar,1
I feel like a bar chart with product types on the x-axis and their count on the y-axis would be a good idea.,Subjective-Objective,command,superstore,singleAttrBar,2
Maybe you could consider creating a bar chart with product types on the x-axis and their count on the y-axis.,Subjective-Objective,command,superstore,singleAttrBar,3
It would be beneficial to create a bar chart with product types on the x-axis and their count on the y-axis.,Subjective-Objective,command,superstore,singleAttrBar,4
Create a bar chart with product types on the x-axis and their count on the y-axis.,Subjective-Objective,command,superstore,singleAttrBar,5
Can you make a visual representation of the different product types and their quantities?,Implicit-Explicit,command,superstore,singleAttrBar,1
Could you possibly put together a chart showing the different types of products and how many of each we have?,Implicit-Explicit,command,superstore,singleAttrBar,2
Can you make a chart with product types and their quantities?,Implicit-Explicit,command,superstore,singleAttrBar,3
Please make a chart with product types and their count.,Implicit-Explicit,command,superstore,singleAttrBar,4
Create a bar chart. Use product types for the x-axis and their count for the y-axis.,Implicit-Explicit,command,superstore,singleAttrBar,5
"What kinda stuff we got, how much of each, and sort 'em from most to least.",Colloquial-Standard,query,superstore,singleAttrBar,1
"What types of products we have, how many of each, and list them from most to least.",Colloquial-Standard,query,superstore,singleAttrBar,2
"The types of products, the quantity of each type, and arrange them from highest to lowest.",Colloquial-Standard,query,superstore,singleAttrBar,3
"The categories of products, the number of each category, and organize them in descending order.",Colloquial-Standard,query,superstore,singleAttrBar,4
"The classification of products, the enumeration of each classification, and sequence them in descending order.",Colloquial-Standard,query,superstore,singleAttrBar,5
"What kind of stuff we have, how many different kinds, and list them from most to least.",Non-technical-Technical,query,superstore,singleAttrBar,1
"The types of items we have, the number of each type, and list them from the most to the least.",Non-technical-Technical,query,superstore,singleAttrBar,2
"The categories of products we have, the quantity of each category, and arrange them from highest to lowest.",Non-technical-Technical,query,superstore,singleAttrBar,3
"The classifications of products we possess, the enumeration of each classification, and sort them in a descending order.",Non-technical-Technical,query,superstore,singleAttrBar,4
"The distinct product classifications, the quantification of each classification, and arrange them in a descending order of magnitude.",Non-technical-Technical,query,superstore,singleAttrBar,5
"I personally think it's best to sort the product types by the number of each type, and I feel it's more useful to have them in descending order.",Subjective-Objective,query,superstore,singleAttrBar,1
"In my opinion, it might be a good idea to arrange the product types by their count, and perhaps it would be beneficial to have them in descending order.",Subjective-Objective,query,superstore,singleAttrBar,2
"It seems like it could be helpful to organize the product types by count, and possibly in descending order.",Subjective-Objective,query,superstore,singleAttrBar,3
"It would be efficient to categorize the product types by their count, and arrange them in descending order.",Subjective-Objective,query,superstore,singleAttrBar,4
Arrange the product types by their count in descending order.,Subjective-Objective,query,superstore,singleAttrBar,5
"You know, the different kinds of stuff we have, how many of each, and then sort it so the most common ones are at the top.",Implicit-Explicit,query,superstore,singleAttrBar,1
"Let's look at the variety of items we have, count them, and then arrange them from most to least.",Implicit-Explicit,query,superstore,singleAttrBar,2
"We need to identify the types of products, count each type, and then arrange them in descending order.",Implicit-Explicit,query,superstore,singleAttrBar,3
"Please list the product types, count each type, and then sort them in descending order based on the count.",Implicit-Explicit,query,superstore,singleAttrBar,4
"Enumerate the product types, calculate the count of each product type, and then order the list in descending order based on the count.",Implicit-Explicit,query,superstore,singleAttrBar,5
How many of each kinda stuff we got?,Colloquial-Standard,question,superstore,singleAttrBar,1
How many of each type of stuff do we have?,Colloquial-Standard,question,superstore,singleAttrBar,2
How many of each type of product do we have?,Colloquial-Standard,question,superstore,singleAttrBar,3
Could you tell me the quantity of each type of product we have?,Colloquial-Standard,question,superstore,singleAttrBar,4
Could you please inform me of the quantity of each type of product in our inventory?,Colloquial-Standard,question,superstore,singleAttrBar,5
How many different things do we have?,Non-technical-Technical,question,superstore,singleAttrBar,1
Can you tell me the count of each kind of item we have?,Non-technical-Technical,question,superstore,singleAttrBar,2
What's the quantity of each product category we have?,Non-technical-Technical,question,superstore,singleAttrBar,3
Can you provide the inventory count for each product classification?,Non-technical-Technical,question,superstore,singleAttrBar,4
What is the quantitative distribution across the various product categories in our inventory?,Non-technical-Technical,question,superstore,singleAttrBar,5
What's your guess on the number of each type of product we have?,Subjective-Objective,question,superstore,singleAttrBar,1
"I'm not sure, but it seems like we have a lot of each type of product, don't you think?",Subjective-Objective,question,superstore,singleAttrBar,2
"It appears that we have a variety of each type of product, can we confirm the exact numbers?",Subjective-Objective,question,superstore,singleAttrBar,3
Can we verify the exact quantity of each type of product we have?,Subjective-Objective,question,superstore,singleAttrBar,4
What is the exact quantity of each type of product?,Subjective-Objective,question,superstore,singleAttrBar,5
Any idea about the variety and quantity of products we have?,Implicit-Explicit,question,superstore,singleAttrBar,1
Can you give me a rough idea of the product types and their numbers?,Implicit-Explicit,question,superstore,singleAttrBar,2
Could you tell me the number of each type of product we have?,Implicit-Explicit,question,superstore,singleAttrBar,3
Can you provide a count of each type of product we have in stock?,Implicit-Explicit,question,superstore,singleAttrBar,4
Please provide an exact count of each type of product in our inventory.,Implicit-Explicit,question,superstore,singleAttrBar,5
"Whip up a bar graph with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the bottom line and the total of 'AVG (Profit)' on the side line.",Colloquial-Standard,command,superstore,bar,1
"Make a bar graph with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the bottom and the total of 'AVG (Profit)' going up the side.",Colloquial-Standard,command,superstore,bar,2
"Construct a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Colloquial-Standard,command,superstore,bar,3
"Please generate a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the aggregate of 'AVG (Profit)' on the y-axis.",Colloquial-Standard,command,superstore,bar,4
"Kindly produce a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the abscissa and the summation of 'AVG (Profit)' on the ordinate.",Colloquial-Standard,command,superstore,bar,5
"Make a simple bar graph with these states: Indiana, New York, California, Colorado, Michigan. The height of each bar should show the total average profit.",Non-technical-Technical,command,superstore,bar,1
"Draw a bar graph. The states Indiana, New York, California, Colorado, Michigan should be along the bottom. The height of the bars should show the total average profit.",Non-technical-Technical,command,superstore,bar,2
"Construct a bar graph with the states Indiana, New York, California, Colorado, Michigan on the horizontal line. The vertical line should represent the total average profit.",Non-technical-Technical,command,superstore,bar,3
"Generate a bar graph with the states Indiana, New York, California, Colorado, Michigan as the categories on the x-axis. The y-axis should represent the aggregate of the average profit.",Non-technical-Technical,command,superstore,bar,4
"Plot a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' as categorical variables on the x-axis and the summation of 'AVG (Profit)' as the quantitative variable on the y-axis.",Non-technical-Technical,command,superstore,bar,5
"I think you should make a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis. It would look really good.",Subjective-Objective,command,superstore,bar,1
"I suggest you create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis. It seems like a good idea.",Subjective-Objective,command,superstore,bar,2
"Maybe you could create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Subjective-Objective,command,superstore,bar,3
"You should create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Subjective-Objective,command,superstore,bar,4
"Create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Subjective-Objective,command,superstore,bar,5
"Can you put together a visual with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' and something related to 'AVG (Profit)'?",Implicit-Explicit,command,superstore,bar,1
How about making a bar chart with some states and 'AVG (Profit)'?,Implicit-Explicit,command,superstore,bar,2
Could you create a chart with these states and their 'AVG (Profit)'?,Implicit-Explicit,command,superstore,bar,3
Please make a bar chart with these states on the x-axis and 'AVG (Profit)' on the y-axis.,Implicit-Explicit,command,superstore,bar,4
"Construct a bar chart. The x-axis should have 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'. The y-axis should represent the sum of 'AVG (Profit)'.",Implicit-Explicit,command,superstore,bar,5
"So, ya got Indiana, New York, California, Colorado, Michigan, and then ya add up the average profit, ya see?",Colloquial-Standard,query,superstore,bar,1
"You've got Indiana, New York, California, Colorado, Michigan, and then you add up the average profit.",Colloquial-Standard,query,superstore,bar,2
"We have Indiana, New York, California, Colorado, Michigan, and then we calculate the average profit.",Colloquial-Standard,query,superstore,bar,3
"The states in question are Indiana, New York, California, Colorado, Michigan, and the sum of the average profit is also to be considered.",Colloquial-Standard,query,superstore,bar,4
"The entities under consideration are 'Indiana', 'New York', 'California', 'Colorado', 'Michigan', and the summation of 'AVG (Profit)'.",Colloquial-Standard,query,superstore,bar,5
"The total average profit from Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,query,superstore,bar,1
"The combined average profit from states like Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,query,superstore,bar,2
"The aggregate of the average profit from the states of Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,query,superstore,bar,3
"The summation of the average profit derived from the states of Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,query,superstore,bar,4
"The cumulative total of the 'AVG (Profit)' from the states of Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,query,superstore,bar,5
"I believe that the total average profit from Indiana, New York, California, Colorado, and Michigan is quite impressive.",Subjective-Objective,query,superstore,bar,1
"It seems to me that the sum of the average profit from Indiana, New York, California, Colorado, and Michigan is noteworthy.",Subjective-Objective,query,superstore,bar,2
"The sum of the average profit from Indiana, New York, California, Colorado, and Michigan could be considered significant.",Subjective-Objective,query,superstore,bar,3
"The sum of the average profit from Indiana, New York, California, Colorado, and Michigan is a factual representation of their economic performance.",Subjective-Objective,query,superstore,bar,4
"The sum of the 'AVG (Profit)' from 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' is a quantifiable data point.",Subjective-Objective,query,superstore,bar,5
"The average profit from these states, you know which ones I mean, right?",Implicit-Explicit,query,superstore,bar,1
"The states we've been discussing, what's their profit average?",Implicit-Explicit,query,superstore,bar,2
What's the average profit from the states we've been talking about?,Implicit-Explicit,query,superstore,bar,3
"What's the total average profit from Indiana, New York, California, Colorado, and Michigan?",Implicit-Explicit,query,superstore,bar,4
"Calculate the sum of the average profit from Indiana, New York, California, Colorado, and Michigan.",Implicit-Explicit,query,superstore,bar,5
"What's the total of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Colloquial-Standard,question,superstore,bar,1
"What's the combined 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Colloquial-Standard,question,superstore,bar,2
"Could you tell me the total of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Colloquial-Standard,question,superstore,bar,3
"Could you provide the sum of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Colloquial-Standard,question,superstore,bar,4
"Could you ascertain the summation of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Colloquial-Standard,question,superstore,bar,5
"How much money did Indiana, New York, California, Colorado, and Michigan make altogether?",Non-technical-Technical,question,superstore,bar,1
"What's the total profit for Indiana, New York, California, Colorado, and Michigan?",Non-technical-Technical,question,superstore,bar,2
"Can you tell me the combined profit for the states Indiana, New York, California, Colorado, and Michigan?",Non-technical-Technical,question,superstore,bar,3
"What's the aggregate of the 'Profit' for the states Indiana, New York, California, Colorado, and Michigan?",Non-technical-Technical,question,superstore,bar,4
"What is the aggregate of the 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?",Non-technical-Technical,question,superstore,bar,5
"I'm really curious to know, what do you think is the total average profit for the states Indiana, New York, California, Colorado, and Michigan?",Subjective-Objective,question,superstore,bar,1
"I'm wondering, could you tell me what the total average profit might be for the states Indiana, New York, California, Colorado, and Michigan?",Subjective-Objective,question,superstore,bar,2
"Can we find out what the total average profit is for the states Indiana, New York, California, Colorado, and Michigan?",Subjective-Objective,question,superstore,bar,3
"Could you provide the total average profit for the states Indiana, New York, California, Colorado, and Michigan?",Subjective-Objective,question,superstore,bar,4
"Please provide the sum of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'.",Subjective-Objective,question,superstore,bar,5
"Can you figure out what we're making in Indiana, New York, California, Colorado, and Michigan?",Implicit-Explicit,question,superstore,bar,1
Could you look into how we're doing profit-wise in a few states?,Implicit-Explicit,question,superstore,bar,2
Can you tell me how much we've made in certain states?,Implicit-Explicit,question,superstore,bar,3
"What's the total profit for Indiana, New York, California, Colorado, and Michigan?",Implicit-Explicit,question,superstore,bar,4
"Calculate the total of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'.",Implicit-Explicit,question,superstore,bar,5
"Whip up a dot graph with ""Profit"" on the side-to-side line and ""Sales"" on the up-and-down line.",Colloquial-Standard,command,superstore,scatter,1
"Make a dot chart with ""Profit"" on the horizontal and ""Sales"" on the vertical.",Colloquial-Standard,command,superstore,scatter,2
"Construct a point graph with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Colloquial-Standard,command,superstore,scatter,3
"Please create a point chart with ""Profit"" as the x-coordinate and ""Sales"" as the y-coordinate.",Colloquial-Standard,command,superstore,scatter,4
"Kindly construct a point diagram with ""Profit"" represented on the abscissa and ""Sales"" on the ordinate.",Colloquial-Standard,command,superstore,scatter,5
"Make a simple graph with ""Profit"" going across and ""Sales"" going up.",Non-technical-Technical,command,superstore,scatter,1
"Draw a graph with ""Profit"" on the side-to-side line and ""Sales"" on the up-and-down line.",Non-technical-Technical,command,superstore,scatter,2
"Construct a graph with ""Profit"" as the horizontal component and ""Sales"" as the vertical component.",Non-technical-Technical,command,superstore,scatter,3
"Develop a point chart where ""Profit"" is represented on the horizontal axis and ""Sales"" on the vertical axis.",Non-technical-Technical,command,superstore,scatter,4
"Generate a scatter plot with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,command,superstore,scatter,5
"I think you should make a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis. It's the best way to visualize the data.",Subjective-Objective,command,superstore,scatter,1
"I feel like it would be a good idea to create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,command,superstore,scatter,2
"Maybe you could consider creating a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,command,superstore,scatter,3
"It would be beneficial to create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,command,superstore,scatter,4
"Create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,command,superstore,scatter,5
"You know, it might be interesting to see how profit and sales relate on a graph.",Implicit-Explicit,command,superstore,scatter,1
What if we put profit and sales on a graph? Just a thought.,Implicit-Explicit,command,superstore,scatter,2
"Maybe we could make a chart? Profit on one axis, sales on the other.",Implicit-Explicit,command,superstore,scatter,3
"Let's make a chart. Put ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Implicit-Explicit,command,superstore,scatter,4
"I need you to create a point chart. ""Profit"" should be on the x-axis and ""Sales"" on the y-axis.",Implicit-Explicit,command,superstore,scatter,5
"It's like, you got your money stuff on the side-to-side line, and your selling stuff on the up-and-down line, all on this graph thingy.",Colloquial-Standard,query,superstore,scatter,1
"So, on this graph, you've got your profit on the horizontal line and your sales on the vertical line.",Colloquial-Standard,query,superstore,scatter,2
"On this graph, profit is represented on the x-axis and sales on the y-axis.",Colloquial-Standard,query,superstore,scatter,3
"In this graphical representation, the x-axis denotes profit while the y-axis signifies sales.",Colloquial-Standard,query,superstore,scatter,4
"Within this graphical depiction, the horizontal axis, or x-axis, represents profit, whereas the vertical axis, or y-axis, corresponds to sales.",Colloquial-Standard,query,superstore,scatter,5
It's a simple graph showing how much money we make compared to how much we sell.,Non-technical-Technical,query,superstore,scatter,1
It's a graph where the bottom line shows our earnings and the side line shows our sales.,Non-technical-Technical,query,superstore,scatter,2
This is a graph with profit represented on the horizontal line and sales on the vertical line.,Non-technical-Technical,query,superstore,scatter,3
This is a Cartesian graph with profit plotted on the x-axis and sales plotted on the y-axis.,Non-technical-Technical,query,superstore,scatter,4
This is a point chart where the x-axis represents profit margins and the y-axis represents sales volume.,Non-technical-Technical,query,superstore,scatter,5
"I feel like this chart is showing us how profit is directly related to sales, with profit being on the x-axis and sales on the y-axis.",Subjective-Objective,query,superstore,scatter,1
"It seems to me that the chart is trying to illustrate the relationship between profit and sales, with profit being represented on the x-axis and sales on the y-axis.",Subjective-Objective,query,superstore,scatter,2
"This chart appears to be showing profit on the x-axis and sales on the y-axis, possibly indicating a relationship between the two.",Subjective-Objective,query,superstore,scatter,3
"The chart presents profit on the x-axis and sales on the y-axis, suggesting a correlation between them.",Subjective-Objective,query,superstore,scatter,4
The chart displays profit on the x-axis and sales on the y-axis.,Subjective-Objective,query,superstore,scatter,5
"You know, it's like a map, where the treasure is the profit and the path is the sales.",Implicit-Explicit,query,superstore,scatter,1
"Imagine a graph, where profit and sales are the two main elements.",Implicit-Explicit,query,superstore,scatter,2
"We're looking at a graph here, with profit and sales as the variables.",Implicit-Explicit,query,superstore,scatter,3
This is a graph with profit on the horizontal axis and sales on the vertical axis.,Implicit-Explicit,query,superstore,scatter,4
The chart represents profit on the x-axis and sales on the y-axis.,Implicit-Explicit,query,superstore,scatter,5
"Can you whip up a dot chart with ""Profit"" on the side-to-side line and ""Sales"" on the up-and-down line?",Colloquial-Standard,question,superstore,scatter,1
"Can you make a point chart with ""Profit"" on the horizontal line and ""Sales"" on the vertical line?",Colloquial-Standard,question,superstore,scatter,2
"Could you create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis?",Colloquial-Standard,question,superstore,scatter,3
"Would you be able to construct a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis?",Colloquial-Standard,question,superstore,scatter,4
"Could you possibly generate a point chart with ""Profit"" represented on the x-axis and ""Sales"" represented on the y-axis?",Colloquial-Standard,question,superstore,scatter,5
"Can you make a simple graph with ""Profit"" on the side-to-side line and ""Sales"" on the up-and-down line?",Non-technical-Technical,question,superstore,scatter,1
"Can you draw a graph with ""Profit"" on the horizontal line and ""Sales"" on the vertical line?",Non-technical-Technical,question,superstore,scatter,2
"Can you construct a graph with ""Profit"" as the horizontal component and ""Sales"" as the vertical component?",Non-technical-Technical,question,superstore,scatter,3
"Can you generate a point graph with ""Profit"" as the abscissa and ""Sales"" as the ordinate?",Non-technical-Technical,question,superstore,scatter,4
"Can you fabricate a Cartesian coordinate system with ""Profit"" as the x-coordinate and ""Sales"" as the y-coordinate?",Non-technical-Technical,question,superstore,scatter,5
"I think it would be really cool if you could make a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis. I feel like it would really help us visualize our data better.",Subjective-Objective,question,superstore,scatter,1
"I believe it would be beneficial if you could create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis. It seems to me that it would provide a clearer picture of our data.",Subjective-Objective,question,superstore,scatter,2
"Would it be possible for you to create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis? It might be a good way to represent our data.",Subjective-Objective,question,superstore,scatter,3
"It would be useful to have a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis. This could provide a clear representation of our data.",Subjective-Objective,question,superstore,scatter,4
"Please create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis. This will provide a visual representation of our data.",Subjective-Objective,question,superstore,scatter,5
"You know, it would be interesting to see how profit and sales relate on a graph.",Implicit-Explicit,question,superstore,scatter,1
"Maybe we could visualize the relationship between profit and sales in a different way, like a point chart?",Implicit-Explicit,question,superstore,scatter,2
How about making a point chart to show the relationship between profit and sales?,Implicit-Explicit,question,superstore,scatter,3
Please make a point chart to show the relationship between profit and sales.,Implicit-Explicit,question,superstore,scatter,4
