commands,axes,axes2,ptypes,dnames,vids,scores,scores2
This is a bar chart. It clearly shows the quantity of orders and the number of data points.,Non-technical-Technical,Implicit-Explicit,query,superstore,histogram,5,4
The bar chart illustrates the quantity of orders and the count of data points.,Colloquial-Standard,Subjective-Objective,query,superstore,histogram,4,5
This is a bar chart that represents order quantity with a specific count of data points.,Subjective-Objective,Implicit-Explicit,query,superstore,histogram,4,4
Here's a bar chart. It displays the order quantity and the count of data points.,Non-technical-Technical,Implicit-Explicit,query,superstore,histogram,3,5
"I'm guessing there's a certain number of data points for each order quantity in the bar chart, right?",Non-technical-Technical,Subjective-Objective,question,superstore,histogram,1,3
"There should be a specific number of data points for each order quantity in the bar chart, can you confirm?",Subjective-Objective,Implicit-Explicit,question,superstore,histogram,3,3
How many items are there for each order amount in the bar graph?,Non-technical-Technical,Subjective-Objective,question,superstore,histogram,3,1
Create a bar chart with product types on the x-axis and their count on the y-axis.,Non-technical-Technical,Implicit-Explicit,command,superstore,singleAttrBar,5,3
Please create a bar chart with the product types on the x-axis and their count on the y-axis.,Colloquial-Standard,Subjective-Objective,command,superstore,singleAttrBar,5,5
"We could create a bar chart, with product types on the x-axis and their count on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,singleAttrBar,4,3
It is proposed to produce a bar diagram with product classifications on the abscissa and their enumeration on the ordinate.,Colloquial-Standard,Non-technical-Technical,command,superstore,singleAttrBar,4,5
It's imperative to fabricate a bar chart with product typologies on the x-coordinate and their quantification on the y-coordinate.,Colloquial-Standard,Non-technical-Technical,command,superstore,singleAttrBar,5,2
You should generate a bar chart with product categories on the abscissa and their frequency on the ordinate.,Non-technical-Technical,Implicit-Explicit,command,superstore,singleAttrBar,3,5
Bar chart with product types on one axis and their count on the other is required.,Subjective-Objective,Implicit-Explicit,command,superstore,singleAttrBar,2,5
I reckon we should make a bar chart showing the different products and how many of each we have.,Non-technical-Technical,Subjective-Objective,command,superstore,singleAttrBar,1,2
I'm of the opinion that we need to generate a bar chart with product categories on the x-axis and their frequency on the y-axis.,Non-technical-Technical,Subjective-Objective,command,superstore,singleAttrBar,1,4
You should create a bar chart with product types on the x-axis and their frequency on the y-axis.,Non-technical-Technical,Implicit-Explicit,command,superstore,singleAttrBar,3,4
How about a bar chart with the product types on the bottom and their numbers on the side?,Non-technical-Technical,Implicit-Explicit,command,superstore,singleAttrBar,2,3
Make a picture with bars that shows the different kinds of products and how many of each we have. I think it'll be easier to understand that way.,Non-technical-Technical,Subjective-Objective,command,superstore,singleAttrBar,1,1
"Create a bar chart, with product types on the x-axis and their count on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,singleAttrBar,3,5
"Create a bar chart, with product types on the x-axis and their count on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,singleAttrBar,4,4
Create a histogram with product classifications on the abscissa and their enumeration on the ordinate.,Non-technical-Technical,Subjective-Objective,command,superstore,singleAttrBar,3,5
Let's draw a bar picture with different products and their numbers. It seems like a good idea.,Non-technical-Technical,Subjective-Objective,command,superstore,singleAttrBar,2,1
"We must identify the types of products, count them, and list them from most to least.",Colloquial-Standard,Non-technical-Technical,query,superstore,singleAttrBar,1,4
"The product types should be listed, counted, and then arranged in descending order.",Subjective-Objective,Implicit-Explicit,query,superstore,singleAttrBar,4,4
"It is crucial to examine the product classifications, enumerate them, and order them in a descending manner.",Colloquial-Standard,Non-technical-Technical,query,superstore,singleAttrBar,4,5
"We're classifying product types, counting them, and arranging them in descending order.",Non-technical-Technical,Implicit-Explicit,query,superstore,singleAttrBar,4,2
"Product types are being categorized, quantified, and ordered in descending order.",Non-technical-Technical,Implicit-Explicit,query,superstore,singleAttrBar,5,5
"We should check out the types of products we have, count them, and sort them from most to least.",Colloquial-Standard,Subjective-Objective,query,superstore,singleAttrBar,2,2
"It might be a good idea to identify the product types, count them, and then order them from highest to lowest.",Subjective-Objective,Implicit-Explicit,query,superstore,singleAttrBar,3,2
"It is essential to ascertain the product types, quantify them, and arrange them from highest to lowest.",Colloquial-Standard,Non-technical-Technical,query,superstore,singleAttrBar,3,5
"We're classifying product types, counting them, and arranging them in descending order.",Non-technical-Technical,Implicit-Explicit,query,superstore,singleAttrBar,4,3
"We should identify the types of products, count them, and sort them from most to least.",Colloquial-Standard,Subjective-Objective,query,superstore,singleAttrBar,2,4
"It's crucial to scrutinize the product typologies, numerate them, and sequence them in a descending order.",Colloquial-Standard,Non-technical-Technical,query,superstore,singleAttrBar,5,3
"We need to see what products we have, count them, and list them from most to least.",Colloquial-Standard,Non-technical-Technical,query,superstore,singleAttrBar,1,2
Could you provide the exact count of each product type?,Colloquial-Standard,Subjective-Objective,question,superstore,singleAttrBar,4,3
"I conjecture we have a substantial number of each product, correct?",Colloquial-Standard,Subjective-Objective,question,superstore,singleAttrBar,2,5
The task is to construct a bar chart with these states and their average profits.,Non-technical-Technical,Subjective-Objective,command,superstore,bar,3,4
"Make a picture with bars for Indiana, New York, California, Colorado, and Michigan. The height of the bars should show how much profit each state made on average.",Non-technical-Technical,Subjective-Objective,command,superstore,bar,1,1
"Generate a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Non-technical-Technical,Implicit-Explicit,command,superstore,bar,1,5
Generate a bar chart with these states on the x-axis and their average profits on the y-axis.,Non-technical-Technical,Subjective-Objective,command,superstore,bar,5,5
"""We are required to create a bar chart with these states and their profits.""",Colloquial-Standard,Implicit-Explicit,command,superstore,bar,3,5
"Construct a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Non-technical-Technical,Implicit-Explicit,command,superstore,bar,2,5
"It would be beneficial to create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,bar,4,2
"How about we make a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis? Sounds good, right?",Colloquial-Standard,Subjective-Objective,command,superstore,bar,1,2
"We should create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,bar,3,2
"Create a bar graph. The bars should represent Indiana, New York, California, Colorado, and Michigan. The height of the bars should be the total average profit.",Non-technical-Technical,Implicit-Explicit,command,superstore,bar,4,1
"""Could you please create a bar chart with these states and their profits?""",Colloquial-Standard,Implicit-Explicit,command,superstore,bar,4,5
Create a bar chart. The bars should represent the states and the height should be the total average profit.,Non-technical-Technical,Implicit-Explicit,command,superstore,bar,3,2
"Let's do a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the bottom and the total of 'AVG (Profit)' on the side.",Colloquial-Standard,Subjective-Objective,command,superstore,bar,3,1
"""So, like, you got Indiana, New York, California, Colorado, Michigan, right? And then you just add up the average profit, you know what I mean?""",Colloquial-Standard,Subjective-Objective,query,superstore,bar,1,1
"""The sum of the average profit from the states of Indiana, New York, California, Colorado, Michigan, is this understood?""",Colloquial-Standard,Implicit-Explicit,query,superstore,bar,4,5
"""We're considering the states Indiana, New York, California, Colorado, Michigan, and calculating the sum of their average profit.""",Colloquial-Standard,Subjective-Objective,query,superstore,bar,3,3
"""You're just adding up the average dough from Indiana, New York, California, Colorado, and Michigan, yeah?""",Colloquial-Standard,Non-technical-Technical,query,superstore,bar,2,1
"""The summation of the average profit from these states appears to be substantial.""",Non-technical-Technical,Subjective-Objective,query,superstore,bar,3,4
"""The summation of the average profit from Indiana, New York, California, Colorado, and Michigan must be computed.""",Colloquial-Standard,Non-technical-Technical,query,superstore,bar,5,5
"""The summation of the average profit from these states is a significant figure.""",Non-technical-Technical,Subjective-Objective,query,superstore,bar,4,4
"""The states Indiana, New York, California, Colorado, Michigan are being examined, and the sum of their average profit is calculated.""",Colloquial-Standard,Subjective-Objective,query,superstore,bar,4,4
"What's the total income for Indiana, New York, California, Colorado, and Michigan?",Colloquial-Standard,Non-technical-Technical,question,superstore,bar,2,2
"The sum of the average profit from Indiana, New York, California, Colorado, and Michigan needs to be computed.",Non-technical-Technical,Subjective-Objective,question,superstore,bar,3,4
"It would be prudent to compute the sum of the average profit from Indiana, New York, California, Colorado, and Michigan.",Non-technical-Technical,Subjective-Objective,question,superstore,bar,2,4
"The sum of the average profit from the states Indiana, New York, California, Colorado, and Michigan is required.",Non-technical-Technical,Subjective-Objective,question,superstore,bar,5,3
"What's the aggregate of 'AVG (Profit)' for these states: Indiana, New York, California, Colorado, and Michigan?",Non-technical-Technical,Implicit-Explicit,question,superstore,bar,2,5
"It would be useful to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,3,2
"I suggest you fabricate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,1,4
"It is advised to construct a point chart with ""net income"" on the x-axis and ""units sold"" on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,scatter,4,4
"""Could you make a chart? 'Profit' on one axis, 'Sales' on the other.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,3,1
"Generate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,3
"Please create a point chart with ""profit"" on the x-axis and ""sales"" on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,scatter,2,3
"Fabricate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,4
"Create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,5,3
"It's necessary to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,3,5
"Could you generate a point chart, with profit as the independent variable and sales as the dependent variable?",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,1,4
"Synthesize a point chart with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,5
"It is advisable to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,scatter,4,3
"The creation of a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis is advised.",Colloquial-Standard,Subjective-Objective,command,superstore,scatter,5,4
"Please construct a point chart with ""net income"" on the x-axis and ""units sold"" on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,scatter,4,3
"""The scatter plot diagram, with profit plotted on the x-axis and sales plotted on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,5,5
"""The chart, with profit on one side and sales on the other.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,1,3
The chart is about profits and sales.,Subjective-Objective,Implicit-Explicit,query,superstore,scatter,1,5
"""The graph, with profit on the horizontal axis and sales on the vertical axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,2,4
"""The chart illustrates profits on the x-axis and sales on the y-axis. This is an objective statement.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,4,2
"I think the chart is about profits and sales, but it's not very clear.",Subjective-Objective,Implicit-Explicit,query,superstore,scatter,2,1
"""The chart factually represents profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,5,4
The chart is showing profits on the x-axis and sales on the y-axis.,Subjective-Objective,Implicit-Explicit,query,superstore,scatter,3,5
The chart shows profits on the x-axis and sales on the y-axis.,Subjective-Objective,Implicit-Explicit,query,superstore,scatter,5,5
"""This is a diagram, with earnings on the x-axis and sales on the y-axis.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,4,2
"""Envision a chart with revenue on one axis and sales volume on the other.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,1,4
"Please synthesize a point chart with the parameter ""Profit"" on the x-axis and the parameter ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,question,superstore,scatter,4,5
"Please create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,question,superstore,scatter,4,3
Create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.,Colloquial-Standard,Subjective-Objective,command,superstore,line,5,5
It is counseled to fabricate a line chart with 'Order Date' as the x-coordinate and the summation of 'Sales Forecast' as the y-coordinate.,Colloquial-Standard,Non-technical-Technical,command,superstore,line,5,5
Can you generate a line chart with order dates and aggregated sales forecast?,Non-technical-Technical,Implicit-Explicit,command,superstore,line,2,4
"""A chart with the dates and the sales forecast would be useful.""",Colloquial-Standard,Implicit-Explicit,command,superstore,line,1,3
I reckon you should draw a graph with the order date at the bottom and the total sales forecast going up.,Non-technical-Technical,Subjective-Objective,command,superstore,line,2,1
Can you draw a picture that shows when we got orders and how much we thought we'd sell?,Non-technical-Technical,Implicit-Explicit,command,superstore,line,2,1
Generate a line chart with 'Order Date' as the x-axis and the aggregate of 'Sales Forecast' as the y-axis.,Non-technical-Technical,Subjective-Objective,command,superstore,line,3,3
You know that thing where you show data with lines? Do that with the order dates and sales forecast.,Non-technical-Technical,Implicit-Explicit,command,superstore,line,1,2
Generate a line chart with 'Order Date' functioning as the x-coordinate and the summation of 'Sales Forecast' serving as the y-coordinate.,Colloquial-Standard,Non-technical-Technical,command,superstore,line,5,1
Create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.,Subjective-Objective,Implicit-Explicit,command,superstore,line,5,5
It is suggested to draw a graph with the order date at the bottom and the total sales forecast going up.,Non-technical-Technical,Subjective-Objective,command,superstore,line,4,1
I need you to create a line graph that clearly shows the order dates and the total sales forecast.,Non-technical-Technical,Implicit-Explicit,command,superstore,line,4,2
It is advised to create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.,Colloquial-Standard,Non-technical-Technical,command,superstore,line,1,5
We should create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.,Subjective-Objective,Implicit-Explicit,command,superstore,line,2,4
We need to create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.,Subjective-Objective,Implicit-Explicit,command,superstore,line,4,3
"""This line chart represents the cumulative sales forecast over time.""",Colloquial-Standard,Non-technical-Technical,query,superstore,line,4,5
"""This is a line chart, it's displaying the sales forecast.""",Colloquial-Standard,Implicit-Explicit,query,superstore,line,2,4
"""This is a line chart representation of the summation of the sales forecast over the order date.""",Colloquial-Standard,Non-technical-Technical,query,superstore,line,5,3
The line chart illustrates the dates of our orders and provides a calculated sum of our sales.,Colloquial-Standard,Subjective-Objective,query,superstore,line,4,4
"We're looking at a simple graph, the dates of orders, and a rough guess of sales.",Non-technical-Technical,Implicit-Explicit,query,superstore,line,1,1
The line chart displays our order dates and provides an estimated sum of our sales.,Colloquial-Standard,Subjective-Objective,query,superstore,line,3,2
I think we need a line chart that shows the sum of our sales forecast based on the order date.,Non-technical-Technical,Subjective-Objective,query,superstore,line,1,3
This line chart contains the dates of our orders and a rough estimate of our sales.,Colloquial-Standard,Subjective-Objective,query,superstore,line,1,4
The line chart displays the dates of our orders and provides an estimated sum of our sales.,Colloquial-Standard,Subjective-Objective,query,superstore,line,3,5
"""This graph represents sales over time.""",Colloquial-Standard,Non-technical-Technical,query,superstore,line,1,5
"""Here is a line chart representation of the summation of the sales forecast over the order date.""",Colloquial-Standard,Non-technical-Technical,query,superstore,line,5,4
The line chart is clearly indicating a relationship between the order date and the sales forecast.,Subjective-Objective,Implicit-Explicit,question,superstore,line,4,2
"You know what you should do? Make a bar chart with shipping method as columns, customer segment on the x-axis, and average profit on the y-axis. I think it'll be clear.",Colloquial-Standard,Subjective-Objective,command,superstore,groupedBar,2,1
"A bar chart is needed. Shipping methods as columns, customer segments on the x-axis, and average profit on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,groupedBar,3,4
"You are tasked to fabricate a bar diagram with the mode of dispatch as the columns, customer segment on the abscissa, and average yield on the ordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,groupedBar,5,2
"Construct a bar chart. It should depict our shipping methods, customer segments, and average profits.",Non-technical-Technical,Implicit-Explicit,command,superstore,groupedBar,4,3
"A bar chart is necessary. Shipping methods as columns, customer segments on the x-axis, and average profit on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,groupedBar,2,5
"A bar chart could be useful. How about shipping methods as columns, customer segments on the x-axis, and average profit on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,groupedBar,2,2
"""I request a bar chart. The columns should be shipping methods, the x-axis should be customer segments, and the y-axis should be average profit.""",Colloquial-Standard,Implicit-Explicit,command,superstore,groupedBar,4,3
"It would be beneficial to create a bar chart with the shipping method as the bars, the type of customer along the bottom, and the average profit up the side.",Colloquial-Standard,Non-technical-Technical,command,superstore,groupedBar,1,4
"It is recommended to create a bar chart that illustrates shipping modalities, customer demographics, and average profit margins.",Non-technical-Technical,Subjective-Objective,command,superstore,groupedBar,4,5
"I strongly advocate for the creation of a bar chart with shipping method as columns, customer segment on the x-axis, and average profit on the y-axis. I am convinced it will be beneficial.",Colloquial-Standard,Subjective-Objective,command,superstore,groupedBar,1,5
"""A bar chart is needed. Shipping methods, customer segments, average profit - you understand.""",Colloquial-Standard,Implicit-Explicit,command,superstore,groupedBar,1,4
"We need a bar chart with shipping method as columns, customer segment on the x-axis, and average profit on the y-axis. It's a practical approach.",Colloquial-Standard,Subjective-Objective,command,superstore,groupedBar,3,2
"Make a bar chart. It should show our shipping methods, customer segments, and profits.",Non-technical-Technical,Implicit-Explicit,command,superstore,groupedBar,4,2
"A bar chart might be a good idea. Shipping methods as columns, customer segments on the x-axis, and average profit on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,groupedBar,2,3
It appears that the average earnings are affected by the delivery method and the customer group.,Non-technical-Technical,Subjective-Objective,query,superstore,groupedBar,2,2
The net income is associated with the freight method and the customer cohort.,Non-technical-Technical,Implicit-Explicit,query,superstore,groupedBar,3,5
The average profit is associated with the shipping method and customer segment.,Subjective-Objective,Implicit-Explicit,query,superstore,groupedBar,4,5
The median profit is impacted by the logistics method and the consumer segment.,Non-technical-Technical,Subjective-Objective,query,superstore,groupedBar,3,4
The average profit could be related to the shipping method and customer segment.,Subjective-Objective,Implicit-Explicit,query,superstore,groupedBar,2,3
Any idea about the profit from different shipping and customer types?,Colloquial-Standard,Implicit-Explicit,query,superstore,groupedBar,1,2
The average earnings for each delivery method and customer group should be determined.,Non-technical-Technical,Subjective-Objective,question,superstore,groupedBar,5,2
We should probably find out the average profit for each shipping method and customer segment.,Subjective-Objective,Implicit-Explicit,question,superstore,groupedBar,4,2
What do you think is the average profit for each shipping method and customer segment?,Colloquial-Standard,Subjective-Objective,question,superstore,groupedBar,1,2
"""Please create a bar chart. 'Region' should be on the x-axis and the sum of 'Profit' on the y-axis. Also, color it by 'Ship Status'.""",Colloquial-Standard,Implicit-Explicit,command,superstore,stackedBar,4,4
"Construct a bar diagram with 'Region' on the x-axis and the aggregate of 'Profit' on the y-axis, and color it according to 'Ship Status'.",Colloquial-Standard,Non-technical-Technical,command,superstore,stackedBar,3,1
Can you draw a picture with places on one side and the total money we made on the other? Use colors to show the shipping status.,Non-technical-Technical,Implicit-Explicit,command,superstore,stackedBar,2,1
"The directive is to create a bar chart with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, colored by 'Ship Status'. This is the instruction.",Colloquial-Standard,Subjective-Objective,command,superstore,stackedBar,5,5
"The task is to generate a bar chart with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, colored by 'Ship Status'.",Non-technical-Technical,Subjective-Objective,command,superstore,stackedBar,4,4
"Let's have a bar chart with regions and profits, and use colors for shipping statuses.",Non-technical-Technical,Implicit-Explicit,command,superstore,stackedBar,1,2
"""Please create a bar chart. 'Region' should be on the x-axis and the sum of 'Profit' on the y-axis. Also, color it by 'Ship Status'.""",Colloquial-Standard,Implicit-Explicit,command,superstore,stackedBar,4,5
"Create a bar chart with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, colored by 'Ship Status'.",Subjective-Objective,Implicit-Explicit,command,superstore,stackedBar,5,5
"The task is to create a bar chart with regions and their corresponding profits, and color it according to the shipping status.",Non-technical-Technical,Subjective-Objective,command,superstore,stackedBar,4,2
"""Hey, can you whip up a bar chart for me? You know, with 'Region' on the bottom and the total 'Profit' up the side. Oh, and color it by 'Ship Status', okay?""",Colloquial-Standard,Implicit-Explicit,command,superstore,stackedBar,1,1
"One is compelled to construct a bar diagram with 'Region' on the x-axis and the aggregate of 'Profit' on the y-axis, and color it according to 'Ship Status'.",Colloquial-Standard,Non-technical-Technical,command,superstore,stackedBar,3,5
"Could you generate a bar chart with 'Region' and the aggregate of 'Profit', color-coded by 'Ship Status'?",Non-technical-Technical,Implicit-Explicit,command,superstore,stackedBar,2,4
"We need to create a bar chart with regions on the x-axis and profit on the y-axis, colored by ship status.",Subjective-Objective,Implicit-Explicit,command,superstore,stackedBar,4,3
"Please generate a bar chart with 'Region' as the independent variable and the sum of 'Profit' as the dependent variable, differentiated by 'Ship Status'.",Non-technical-Technical,Implicit-Explicit,command,superstore,stackedBar,3,5
"You are required to construct a bar diagram with 'Region' on the x-axis and the aggregate of 'Profit' on the y-axis, and color it according to 'Ship Status'.",Colloquial-Standard,Non-technical-Technical,command,superstore,stackedBar,3,2
"A bar chart showing regions and profits, with colors representing delivery status.",Non-technical-Technical,Implicit-Explicit,query,superstore,stackedBar,2,3
"This is a bar chart representing the aggregate profit per region, with the color coding indicating the status of shipment.",Colloquial-Standard,Non-technical-Technical,query,superstore,stackedBar,5,2
"We have a bar chart here. It's about regions and profits, and the colors are related to shipping.",Colloquial-Standard,Implicit-Explicit,query,superstore,stackedBar,1,3
"What's the pecuniary benefit for each geographical sector, bifurcated by shipping status?",Colloquial-Standard,Non-technical-Technical,question,superstore,stackedBar,5,1
"Make a dot chart, color it by 'Region', 'Sales' on the side, and 'Profit' up top, you know?",Colloquial-Standard,Implicit-Explicit,command,superstore,scatterColor,1,1
"I believe you should generate a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatterColor,1,3
"Can you draw a picture with dots? Use colors for places, the money we made goes at the bottom, and the money we kept goes on the side.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatterColor,2,1
"A point chart should be created, with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,scatterColor,5,2
"We should create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatterColor,4,2
"Could you generate a scatter plot? 'Region' is denoted by color, 'Sales' is on the x-axis, and 'Profit' is on the y-axis.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatterColor,2,4
"Let's make a chart with dots. Use colors for regions, sales on the horizontal line, and profit on the vertical line.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatterColor,1,2
"Could you create a point chart? Use 'Region' for color, 'Sales' on the side, and 'Profit' up top.",Colloquial-Standard,Implicit-Explicit,command,superstore,scatterColor,3,2
"It is crucial to generate a point plot, with 'Region' as chromaticity, 'Sales' on the x-coordinate, and 'Profit' on the y-coordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,scatterColor,4,4
"I direct you to create a point chart. Use 'Region' for color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,scatterColor,5,5
"A scatter plot is to be instantiated with 'Region' as the categorical variable, 'Sales' as the x-coordinate, and 'Profit' as the y-coordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatterColor,4,5
"It is imperative to fabricate a Cartesian coordinate system, with 'Region' as chromatic differentiation, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,scatterColor,5,4
"Make a dot picture with colors showing where it's from, sales going across, and profit going up and down. I think it'll look good.",Non-technical-Technical,Subjective-Objective,command,superstore,scatterColor,1,1
"Please create a point chart. Use 'Region' for color, 'Sales' on the side, and 'Profit' up top.",Colloquial-Standard,Implicit-Explicit,command,superstore,scatterColor,4,5
"I reckon you should make a simple chart with colors for different regions, sales on the side, and profit going up.",Non-technical-Technical,Subjective-Objective,command,superstore,scatterColor,2,1
"Please fabricate a point distribution diagram. The variable 'Region' is represented by color, 'Sales' is plotted on the abscissa, and 'Profit' is plotted on the ordinate.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatterColor,4,5
"This point chart, it presents 'Region' as the color, 'Sales' on the x-axis, and 'Profit' on the y-axis. This is a factual statement.",Colloquial-Standard,Subjective-Objective,query,superstore,scatterColor,4,2
"The chart utilizes colors to indicate regions, with sales on the horizontal line and profit on the vertical line.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatterColor,1,4
"We could use a point chart, with colors for regions, sales on the x-axis, and profit on the y-axis.",Subjective-Objective,Implicit-Explicit,query,superstore,scatterColor,3,2
"Use a point chart, with colors for regions, sales on the x-axis, and profit on the y-axis.",Subjective-Objective,Implicit-Explicit,query,superstore,scatterColor,5,2
